ACCOUNTID,ACCOUNTINVESTMENTOBJECTIVES,ACCOUNTLASTINTERACTION,ACCOUNTMARKETINGSEGMENT,ACCOUNTNAME,ACCOUNTSERVICEMODEL,CREATEDDATE,ID,PRIORITY,LastProcessedDate
0011U00000KuFYCQA3,Aggressive Growth,2018-11-15,Millennials,Evangeline Christian,Tier 2,2018-11-30,Case-0-0011U00000KuFYCQA3,High,2020-05-25
0011U00000KuFYDQA3,Growth,2018-11-18,Affluent Professionals,Ulysses Hale,Tier 2,2018-11-27,Case-0-0011U00000KuFYDQA3,Medium,2020-05-25
0011U00000KuFYEQA3,Income,2018-11-06,Retired,Reuben Roman,Tier 1,2018-11-30,Case-0-0011U00000KuFYEQA3,High,2020-05-25
0011U00000Kcp1PQAR,Income,2018-11-12,Mass Market,Symonds Household,Tier 3,2018-12-02,Case-0-0011U00000Kcp1PQAR,Medium,2020-05-25
0011U00000Kcp1PQAR,Income,2018-11-12,Mass Market,Symonds Household,Tier 3,2018-11-27,Case-1-0011U00000Kcp1PQAR,Low,2020-05-25
0011U00000KuFXHQA3,Income,2018-11-22,Affluent Professionals,Hedley Church,Tier 1,2018-11-30,Case-0-0011U00000KuFXHQA3,Low,2020-05-25
0011U00000KuFXHQA3,Income,2018-11-22,Affluent Professionals,Hedley Church,Tier 1,2018-11-28,Case-1-0011U00000KuFXHQA3,Medium,2020-05-25
0011U00000KuFYLQA3,Income,2018-11-26,High Net Worth Families,Bell Solis,Tier 1,2018-11-29,Case-0-0011U00000KuFYLQA3,Medium,2020-05-25
0011U00000KuFYLQA3,Income,2018-11-26,High Net Worth Families,Bell Solis,Tier 1,2018-12-02,Case-1-0011U00000KuFYLQA3,High,2020-05-25
0011U00000KuFYNQA3,Balanced Growth,2018-11-21,Affluent Professionals,Raphael Snider,Tier 3,2018-12-01,Case-0-0011U00000KuFYNQA3,Medium,2020-05-25
0011U00000KuFYNQA3,Balanced Growth,2018-11-21,Affluent Professionals,Raphael Snider,Tier 3,2018-11-27,Case-1-0011U00000KuFYNQA3,Medium,2020-05-25
0011U00000KuFYQQA3,Aggressive Growth,2018-11-26,Retired,Autumn Perry,Tier 1,2018-12-02,Case-0-0011U00000KuFYQQA3,Medium,2020-05-25
0011U00000KuFYQQA3,Aggressive Growth,2018-11-26,Retired,Autumn Perry,Tier 1,2018-11-30,Case-1-0011U00000KuFYQQA3,Medium,2020-05-25
0011U00000KuFXPQA3,Income,2018-11-09,Retired,Erich Grimes,Tier 1,2018-11-29,Case-0-0011U00000KuFXPQA3,High,2020-05-25
0011U00000KuFYRQA3,Aggressive Growth,2018-11-11,Retired,Rafael Klein,Tier 3,2018-11-27,Case-0-0011U00000KuFYRQA3,High,2020-05-25
0011U00000KuFYSQA3,Income,2018-11-13,Affluent Professionals,Nicole Savage,Tier 1,2018-12-01,Case-0-0011U00000KuFYSQA3,High,2020-05-25
0011U00000KuFYSQA3,Income,2018-11-13,Affluent Professionals,Nicole Savage,Tier 1,2018-11-28,Case-1-0011U00000KuFYSQA3,Medium,2020-05-25
0011U00000KuFXWQA3,Growth,2018-11-20,Mass Market,Grant Cline,Tier 1,2018-11-30,Case-0-0011U00000KuFXWQA3,Medium,2020-05-25
0011U00000KuFXWQA3,Growth,2018-11-20,Mass Market,Grant Cline,Tier 1,2018-12-01,Case-1-0011U00000KuFXWQA3,Medium,2020-05-25
0011U00000KuFYaQAN,Income,2018-11-23,Mass Market,Drake Branch,Tier 2,2018-11-27,Case-0-0011U00000KuFYaQAN,High,2020-05-25
0011U00000KuFXYQA3,Growth,2018-11-24,Mass Market,Elizabeth Avila,Tier 3,2018-12-01,Case-0-0011U00000KuFXYQA3,Low,2020-05-25
0011U00000KuFXcQAN,Income,2018-11-25,Mass Market,Travis Jacobson,Tier 3,2018-12-01,Case-0-0011U00000KuFXcQAN,Medium,2020-05-25
0011U00000KuFXdQAN,Income,2018-11-26,Mass Market,Penelope Solis,Tier 1,2018-11-28,Case-0-0011U00000KuFXdQAN,Low,2020-05-25
0011U00000KuFXdQAN,Income,2018-11-26,Mass Market,Penelope Solis,Tier 1,2018-12-02,Case-1-0011U00000KuFXdQAN,Medium,2020-05-25
0011U00000KuFYgQAN,Balanced Growth,2018-11-24,Millennials,Edan Downs,Tier 1,2018-12-01,Case-0-0011U00000KuFYgQAN,Low,2020-05-25
0011U00000KuFYgQAN,Balanced Growth,2018-11-24,Millennials,Edan Downs,Tier 1,2018-11-28,Case-1-0011U00000KuFYgQAN,Medium,2020-05-25
0011U00000KuFXhQAN,Balanced Growth,2018-11-24,Retired,Brett Beard,Tier 1,2018-12-01,Case-0-0011U00000KuFXhQAN,High,2020-05-25
0011U00000KuFXhQAN,Balanced Growth,2018-11-24,Retired,Brett Beard,Tier 1,2018-11-30,Case-1-0011U00000KuFXhQAN,Medium,2020-05-25
0011U00000KuFXnQAN,Income,2018-11-18,Mass Market,TaShya Perez,Tier 3,2018-11-28,Case-0-0011U00000KuFXnQAN,High,2020-05-25
0011U00000KuFXsQAN,Aggressive Growth,2018-11-24,Affluent Professionals,Harlan Mcgowan,Tier 3,2018-11-29,Case-0-0011U00000KuFXsQAN,Medium,2020-05-25
0011U00000KuFXtQAN,Balanced Growth,2018-11-10,Millennials,Blaze Pennington,Tier 1,2018-11-30,Case-0-0011U00000KuFXtQAN,Low,2020-05-25
0011U00000KuFXtQAN,Balanced Growth,2018-11-10,Millennials,Blaze Pennington,Tier 1,2018-11-28,Case-1-0011U00000KuFXtQAN,High,2020-05-25
0011U00000KuFXuQAN,Aggressive Growth,2018-11-17,Mass Market,Marvin Garcia,Tier 1,2018-11-28,Case-0-0011U00000KuFXuQAN,High,2020-05-25
0011U00000KuFY1QAN,Growth,2018-11-26,Mass Market,Yoko Marshall,Tier 1,2018-11-30,Case-0-0011U00000KuFY1QAN,High,2020-05-25
0011U00000KuFY1QAN,Growth,2018-11-26,Mass Market,Yoko Marshall,Tier 1,2018-11-28,Case-1-0011U00000KuFY1QAN,High,2020-05-25
0011U00000KuFY7QAN,Income,2018-11-20,Mass Market,Brielle Lynn,Tier 2,2018-11-27,Case-0-0011U00000KuFY7QAN,Medium,2020-05-25
0011U00000KuFY7QAN,Income,2018-11-20,Mass Market,Brielle Lynn,Tier 2,2018-11-30,Case-1-0011U00000KuFY7QAN,High,2020-05-25
0011U00000Kcp1KQAR,Balanced Growth,2018-11-25,Millennials,Adams Household,Tier 1,2018-11-29,Case-0-0011U00000Kcp1KQAR,Medium,2020-05-25
0011U00000Kcp1LQAR,Aggressive Growth,2018-11-19,Millennials,Neil Symonds,Tier 2,2018-11-29,Case-0-0011U00000Kcp1LQAR,High,2020-05-25
0011U00000Kcp1NQAR,Balanced Growth,2018-11-10,Millennials,Rachel Adams,Tier 2,2018-11-27,Case-0-0011U00000Kcp1NQAR,Medium,2020-05-25
0011U00000Kcp1NQAR,Balanced Growth,2018-11-10,Millennials,Rachel Adams,Tier 2,2018-12-01,Case-1-0011U00000Kcp1NQAR,Medium,2020-05-25
0011U00000Kcp1OQAR,Aggressive Growth,2018-11-24,Affluent Professionals,"Smith, Kohl and Company",Tier 3,2018-12-02,Case-0-0011U00000Kcp1OQAR,Medium,2020-05-25
0011U00000KuWpYQAV,Growth,2018-11-26,Affluent Professionals,Fredericka Mccullough,Tier 3,2018-11-27,Case-0-0011U00000KuWpYQAV,Medium,2020-05-25
0011U00000KuFXKQA3,Balanced Growth,2018-11-21,Affluent Professionals,Carissa Mckee,Tier 2,2018-12-01,Case-0-0011U00000KuFXKQA3,Medium,2020-05-25
0011U00000KuFXKQA3,Balanced Growth,2018-11-21,Affluent Professionals,Carissa Mckee,Tier 2,2018-11-27,Case-1-0011U00000KuFXKQA3,Medium,2020-05-25
0011U00000KuFXMQA3,Growth,2018-11-19,Retired,Quinn Cummings,Tier 1,2018-11-28,Case-0-0011U00000KuFXMQA3,Low,2020-05-25
0011U00000KuFXMQA3,Growth,2018-11-19,Retired,Quinn Cummings,Tier 1,2018-11-27,Case-1-0011U00000KuFXMQA3,Medium,2020-05-25
0011U00000KuFXSQA3,Growth,2018-11-16,Affluent Professionals,Zeph Mcmahon,Tier 3,2018-11-28,Case-0-0011U00000KuFXSQA3,Low,2020-05-25
0011U00000KuFXSQA3,Growth,2018-11-16,Affluent Professionals,Zeph Mcmahon,Tier 3,2018-12-02,Case-1-0011U00000KuFXSQA3,High,2020-05-25
0011U00000KuFXTQA3,Aggressive Growth,2018-11-21,High Net Worth Families,Aquila Mejia,Tier 1,2018-11-29,Case-0-0011U00000KuFXTQA3,High,2020-05-25
0011U00000KuFXUQA3,Growth,2018-11-19,Millennials,Britanni Garcia,Tier 1,2018-12-01,Case-0-0011U00000KuFXUQA3,High,2020-05-25
0011U00000KuFXUQA3,Growth,2018-11-19,Millennials,Britanni Garcia,Tier 1,2018-11-28,Case-1-0011U00000KuFXUQA3,Medium,2020-05-25
0011U00000KuFXfQAN,Aggressive Growth,2018-11-25,Retired,Xanthus Wilkins,Tier 3,2018-12-01,Case-0-0011U00000KuFXfQAN,Medium,2020-05-25
0011U00000KuFXjQAN,Aggressive Growth,2018-11-24,Mass Market,Dorian Newton,Tier 2,2018-12-01,Case-0-0011U00000KuFXjQAN,Medium,2020-05-25
0011U00000KuFXlQAN,Growth,2018-11-17,Mass Market,Wade Greer,Tier 3,2018-12-01,Case-0-0011U00000KuFXlQAN,Medium,2020-05-25
0011U00000KuFXpQAN,Income,2018-11-21,High Net Worth Families,Cooper Flowers,Tier 3,2018-12-01,Case-0-0011U00000KuFXpQAN,Medium,2020-05-25
0011U00000KuFXpQAN,Income,2018-11-21,High Net Worth Families,Cooper Flowers,Tier 3,2018-11-29,Case-1-0011U00000KuFXpQAN,Low,2020-05-25
0011U00000KuFXqQAN,Income,2018-11-05,Mass Market,Ryder Velez,Tier 2,2018-12-01,Case-0-0011U00000KuFXqQAN,Medium,2020-05-25
0011U00000KuFXrQAN,Aggressive Growth,2018-11-26,Mass Market,Priscilla Jimenez,Tier 2,2018-11-30,Case-0-0011U00000KuFXrQAN,Medium,2020-05-25
0011U00000KuFXrQAN,Aggressive Growth,2018-11-26,Mass Market,Priscilla Jimenez,Tier 2,2018-12-02,Case-1-0011U00000KuFXrQAN,Low,2020-05-25
0011U00000KuFXvQAN,Income,2018-11-24,High Net Worth Families,Odysseus Grimes,Tier 3,2018-11-27,Case-0-0011U00000KuFXvQAN,Medium,2020-05-25
0011U00000KuFXwQAN,Balanced Growth,2018-11-23,Retired,Genevieve Bauer,Tier 3,2018-11-30,Case-0-0011U00000KuFXwQAN,Medium,2020-05-25
0011U00000KuFXxQAN,Income,2018-11-17,Millennials,Lael Rutledge,Tier 1,2018-11-27,Case-0-0011U00000KuFXxQAN,Medium,2020-05-25
0011U00000KuFY4QAN,Aggressive Growth,2018-11-21,High Net Worth Families,Marny Ford,Tier 1,2018-11-29,Case-0-0011U00000KuFY4QAN,Low,2020-05-25
0011U00000KuFYJQA3,Balanced Growth,2018-11-22,Retired,Constance Henson,Tier 1,2018-12-02,Case-0-0011U00000KuFYJQA3,High,2020-05-25
0011U00000KuFYVQA3,Income,2018-11-23,Affluent Professionals,Kirestin Ratliff,Tier 1,2018-11-28,Case-0-0011U00000KuFYVQA3,Medium,2020-05-25
0011U00000KuFYWQA3,Aggressive Growth,2018-11-26,High Net Worth Families,Brian Williamson,Tier 1,2018-11-29,Case-0-0011U00000KuFYWQA3,High,2020-05-25
0011U00000KuFYWQA3,Aggressive Growth,2018-11-26,High Net Worth Families,Brian Williamson,Tier 1,2018-11-28,Case-1-0011U00000KuFYWQA3,Medium,2020-05-25
0011U00000KuFYXQA3,Balanced Growth,2018-11-25,Millennials,Tarik Mercer,Tier 3,2018-11-29,Case-0-0011U00000KuFYXQA3,Medium,2020-05-25
0011U00000KuFYcQAN,Aggressive Growth,2018-11-17,Retired,Basil Moran,Tier 3,2018-11-30,Case-0-0011U00000KuFYcQAN,Medium,2020-05-25
0011U00000Kcp1LQAR,Aggressive Growth,2018-11-19,Millennials,Neil Symonds,Tier 2,2018-12-07,Case-1-0011U00000Kcp1LQAR,Medium,2020-05-25
0011U00000Kcp1LQAR,Aggressive Growth,2018-11-19,Millennials,Neil Symonds,Tier 2,2018-12-09,Case-2-0011U00000Kcp1LQAR,Medium,2020-05-25
0011U00000Kcp1MQAR,Growth,2018-11-21,Mass Market,Nigel Adams,Tier 2,2018-12-06,Case-0-0011U00000Kcp1MQAR,Medium,2020-05-25
0011U00000Kcp1MQAR,Growth,2018-11-21,Mass Market,Nigel Adams,Tier 2,2018-12-09,Case-1-0011U00000Kcp1MQAR,Medium,2020-05-25
0011U00000KuWpYQAV,Growth,2018-11-26,Affluent Professionals,Fredericka Mccullough,Tier 3,2018-12-05,Case-1-0011U00000KuWpYQAV,High,2020-05-25
0011U00000KuFXIQA3,Income,2018-11-25,Mass Market,Wallace Summers,Tier 3,2018-12-05,Case-0-0011U00000KuFXIQA3,Low,2020-05-25
0011U00000KuFXIQA3,Income,2018-11-25,Mass Market,Wallace Summers,Tier 3,2018-12-05,Case-1-0011U00000KuFXIQA3,Medium,2020-05-25
0011U00000KuFXNQA3,Income,2018-11-21,Affluent Professionals,Hasad Madden,Tier 3,2018-12-08,Case-0-0011U00000KuFXNQA3,Medium,2020-05-25
0011U00000KuFXOQA3,Balanced Growth,2018-11-15,High Net Worth Families,Alfreda Pierce,Tier 3,2018-12-07,Case-0-0011U00000KuFXOQA3,Medium,2020-05-25
