"Article_ArticleVersion_VersionNumber","Case_Status","IsSharedByEmail","Case_Type","ArticleVersionNumber","Article_ArticleVersion_DataCategory_DataCategoryName","CreatedById","Article_ArticleVersion_IsVisibleInPkb","KnowledgeArticleId","Article_ArticleVersion_IsVisibleInCsp","Article_ArticleVersion_Title","User_Name","Article_User_Name","Article_ArticleVersion_IsVisibleInPrm","Case_Product_Family_KB__c","LastProcessedDate","CaseId","Article_CreatedById","Case_Reason","Article_ArticleVersion_IsVisibleInApp","Article_ArticleVersion_PublishStatus","isAttachedByOwner","CreatedDate","Article_ArticleVersion_DataCategory_DataCategoryGroupName","Id","User_Id","Case_Type_of_Support__c","Case_ED_Outcome__c"
,"Closed","false","Product Support","1.0",,"005B0000003JLI3IAO",,"a4CB00000000ElvMAE",,,"Susan Pena",,,"Video Games","2022-09-09","500B0000002uCQ8IAM","005B0000003JK1iIAG","Item Damaged",,,"false","2022-09-07",,"a4HB000000004elMAA","005B0000003JLI3IAO","Silver",68.3
,"Closed","true","Product Support","1.0",,"005B0000003JLIHIA4",,"a4CB00000000ElwMAE",,,"Katie Adams",,,"Home Audio","2022-09-09","500B00000033710IAA","005B0000003JK1iIAG","Hardware Question",,,"false","2022-07-12",,"a4HB000000004emMAA","005B0000003JLIHIA4","Basic",81.6
,"Closed","true","Product Support","1.0",,"005B0000003JLI7IAO",,"a4CB00000000ElxMAE",,,"Jane Nelson",,,"Tablets","2022-09-09","500B00000045wVKIAY","005B0000003JK1iIAG","Hardware Question",,,"false","2022-08-14",,"a4HB000000004enMAA","005B0000003JLI7IAO","Free",51.6
,"Closed","true","Product Support","1.0",,"005B0000003JLIHIA4",,"a4CB00000000ElyMAE",,,"Katie Adams",,,"Video Games","2022-09-09","500B000000355j7IAA","005B0000003JK1iIAG","Item Damaged",,,"false","2022-08-06",,"a4HB000000004eoMAA","005B0000003JLIHIA4","Silver",68.6
,"Closed","false","Product Support","1.0",,"005B0000003JLI5IAO",,"a4CB00000000ElzMAE",,,"Crystal Rodriguez",,,"Cables","2022-09-09","500B00000033712IAA","005B0000003JK1iIAG","Hardware Question",,,"false","2022-08-20",,"a4HB000000004epMAA","005B0000003JLI5IAO","Free",67.1
"1.0","Waiting on Customer","true","Product Support","1.0",,"005B0000003JLI5IAO","true","a4CB00000000Em0MAE","true","Kids","Crystal Rodriguez",,"true","Cameras","2022-09-09","500B000000355j9IAA","005B0000003JK1iIAG","Late Delivery","true","Online","false","2022-08-22",,"a4HB000000004eqMAA","005B0000003JLI5IAO","Free",51.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLI7IAO","true","a4CB00000000Em1MAE","true","Beauty","Jane Nelson",,"true","DVD Players","2022-09-09","500B00000045wVOIAY","005B0000003JK1iIAG","Late Delivery","true","Online","false","2022-08-11",,"a4HB000000004erMAA","005B0000003JLI7IAO","Basic",81.6
,"Closed","false","Product Support","1.0",,"005B0000003JLI9IAO",,"a4CB00000000Em2MAE",,,"Matthew Wong",,,"Headphones","2022-09-09","500B00000045wVPIAY","005B0000003JK1iIAG","Item Damaged",,,"false","2022-07-15",,"a4HB000000004esMAA","005B0000003JLI9IAO","Silver",51.6
,"Closed","true","Product Support","1.0",,"005B0000003JLIBIA4",,"a4CB00000000Em3MAE",,,"Katie Cole",,,"Tablets","2022-09-09","500B0000002uCQKIA2","005B0000003JK1iIAG","Late Delivery",,,"false","2022-08-15",,"a4HB000000004etMAA","005B0000003JLIBIA4","Free",81.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLI6IAO","true","a4CB00000000Em4MAE","true","Computers","William Edwards",,"true","TVs","2022-09-09","500B00000045wVQIAY","005B0000003JK1iIAG","Late Delivery","true","Online","false","2022-07-30",,"a4HB000000004euMAA","005B0000003JLI6IAO","Free",51.6
"1.0","Closed in Community","false","Product Support","1.0",,"005B0000003JLI9IAO","true","a4CB00000000Em5MAE","true","Health","Matthew Wong",,"true","Cameras","2022-09-09","500B0000002uCQNIA2","005B0000003JK1iIAG","Hardware Question","true","Online","false","2022-07-13",,"a4HB000000004evMAA","005B0000003JLI9IAO","Free",81.6
,"Closed","false","Product Support","1.0",,"005B0000003JLIHIA4",,"a4CB00000000Em6MAE",,,"Katie Adams",,,"Video Games","2022-09-09","500B000000355jJIAQ","005B0000003JK1iIAG","Item Damaged",,,"false","2022-08-16",,"a4HB000000004ewMAA","005B0000003JLIHIA4","Silver",68.4
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLIEIA4","true","a4CB00000000Em7MAE","true","Beauty","Melody Moore",,"true","Cables","2022-09-09","500B00000045wVUIAY","005B0000003JK1iIAG","Late Delivery","true","Online","false","2022-08-01",,"a4HB000000004exMAA","005B0000003JLIEIA4","Free",51.6
,"Closed","false","Product Support","1.0",,"005B0000003JLI4IAO",,"a4CB00000000Em8MAE",,,"Zachary Fisher",,,"Cell Phones","2022-09-09","500B000000355jLIAQ","005B0000003JK1iIAG","Hardware Question",,,"false","2022-07-17",,"a4HB000000004eyMAA","005B0000003JLI4IAO","Platinum",81.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLIEIA4","true","a4CB00000000Em9MAE","true","Industrial","Melody Moore",,"true","DVD Players","2022-09-09","500B000000358TNIAY","005B0000003JK1iIAG","Late Delivery","true","Online","false","2022-07-15",,"a4HB000000004ezMAA","005B0000003JLIEIA4","Basic",81.6
,"Closed","false","Product Support","1.0",,"005B0000003JLIDIA4",,"a4CB00000000EmAMAU",,,"Tammy Foley",,,"DVD Players","2022-09-09","500B0000002uCQiIAM","005B0000003JK1iIAG","Item Damaged",,,"false","2022-08-30",,"a4HB000000004f0MAA","005B0000003JLIDIA4","Basic",81.6
,"Closed","true","Product Support","1.0",,"005B0000003JLIDIA4",,"a4CB00000000EmBMAU",,,"Tammy Foley",,,"Home Audio","2022-09-09","500B00000045wVeIAI","005B0000003JK1iIAG","Late Delivery",,,"false","2022-07-23",,"a4HB000000004f1MAA","005B0000003JLIDIA4","Basic",51.6
,"Closed","true","Product Support","1.0",,"005B0000003JLI4IAO",,"a4CB00000000EmCMAU",,,"Zachary Fisher",,,"Home Audio","2022-09-09","500B000000358TVIAY","005B0000003JK1iIAG","Item Damaged",,,"false","2022-08-07",,"a4HB000000004f2MAA","005B0000003JLI4IAO","Basic",81.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLI8IAO","true","a4CB00000000EmDMAU","true","Grocery","Nathaniel Castillo",,"true","TVs","2022-09-09","500B0000003371OIAQ","005B0000003JK1iIAG","Item Damaged","true","Online","false","2022-08-22",,"a4HB000000004f3MAA","005B0000003JLI8IAO","Free",51.6
"1.0","Closed","false","Product Support","1.0",,"005B0000003JLI7IAO","true","a4CB00000000EmEMAU","true","Games","Jane Nelson",,"true","Cameras","2022-09-09","500B00000045wVqIAI","005B0000003JK1iIAG","Late Delivery","true","Online","false","2022-07-26",,"a4HB000000004f4MAA","005B0000003JLI7IAO","Platinum",51.6
,"Closed","true","Product Support","1.0",,"005B0000003JLICIA4",,"a4CB00000000EmFMAU",,,"Jennifer Barton",,,"Computers","2022-09-09","500B000000358TcIAI","005B0000003JK1iIAG","Item Damaged",,,"false","2022-07-18",,"a4HB000000004f5MAA","005B0000003JLICIA4","Basic",51.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLICIA4","true","a4CB00000000EmGMAU","true","Grocery","Jennifer Barton",,"true","DVD Players","2022-09-09","500B00000045wVtIAI","005B0000003JK1iIAG","Item Damaged","true","Online","false","2022-07-23",,"a4HB000000004f6MAA","005B0000003JLICIA4","Basic",81.6
,"Closed","true","Product Support","1.0",,"005B0000003JLIHIA4",,"a4CB00000000EmHMAU",,,"Katie Adams",,,"DVD Players","2022-09-09","500B00000045wVuIAI","005B0000003JK1iIAG","Hardware Question",,,"false","2022-09-01",,"a4HB000000004f7MAA","005B0000003JLIHIA4","Basic",81.6
"1.0","Working","false","Product Support","1.0",,"005B0000003JLI9IAO","true","a4CB00000000EmIMAU","true","Music","Matthew Wong",,"true","Cables","2022-09-09","500B00000045wVyIAI","005B0000003JK1iIAG","Late Delivery","true","Online","false","2022-08-13",,"a4HB000000004f8MAA","005B0000003JLI9IAO","Basic",81.6
"1.0","Closed","false","Product Support","1.0",,"005B0000003JLIIIA4","true","a4CB00000000EmJMAU","true","Baby","Marissa White",,"true","Computers","2022-09-09","500B00000045wW1IAI","005B0000003JK1iIAG","Hardware Question","true","Online","false","2022-08-26",,"a4HB000000004f9MAA","005B0000003JLIIIA4","Basic",51.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLICIA4","true","a4CB00000000EmKMAU","true","Automotive","Jennifer Barton",,"true","Home Audio","2022-09-09","500B000000355jlIAA","005B0000003JK1iIAG","Late Delivery","true","Online","false","2022-08-18",,"a4HB000000004fAMAQ","005B0000003JLICIA4","Free",51.6
,"Closed","true","Product Support","1.0",,"005B0000003JLI5IAO",,"a4CB00000000EmLMAU",,,"Crystal Rodriguez",,,"Tablets","2022-09-09","500B00000045wW2IAI","005B0000003JK1iIAG","Hardware Question",,,"false","2022-09-03",,"a4HB000000004fBMAQ","005B0000003JLI5IAO","Free",51.6
"1.0","Closed","false","Product Support","1.0",,"005B0000003JLI6IAO","true","a4CB00000000EmMMAU","true","Industrial","William Edwards",,"true","Cables","2022-09-09","500B0000003371YIAQ","005B0000003JK1iIAG","Item Damaged","true","Online","false","2022-08-01",,"a4HB000000004fCMAQ","005B0000003JLI6IAO","Basic",66.8
,"Closed","true","Product Support","1.0",,"005B0000003JLIHIA4",,"a4CB00000000EmNMAU",,,"Katie Adams",,,"DVD Players","2022-09-09","500B00000045wWBIAY","005B0000003JK1iIAG","Late Delivery",,,"false","2022-08-28",,"a4HB000000004fDMAQ","005B0000003JLIHIA4","Basic",81.6
