"Task_Subtype","ActivityDate","Account_Name","AssignedTo_Name"
"Email","2020-04-27","Ohana, Inc.","Sam Ennis"
"Task","2020-04-24","Ohana, Inc.","Bill West"
"Task","2020-04-26","Ohana, Inc.","Bill West"
"Task",,"Advanced Communications",
"Task","2020-04-18","Ohana, Inc.","Sue Marketing"
"Task","2020-04-18","Ohana, Inc.","Bill West"
"Task","2020-05-02","Advanced Communications","Sam Ennis"
"Task","2020-04-24","Ohana, Inc.","Sam Ennis"
"Task","2020-04-30","Advanced Communications","Tim Service"
"Task","2020-04-18","Advanced Communications","Tim Service"
"Task","2020-03-13","Ohana, Inc.","Kasey Central"
"Task","2020-04-12","Ohana, Inc.","Kasey Central"
"Task","2020-04-17","Ohana, Inc.","Kasey Central"
"Task","2020-04-24","Ohana, Inc.","Sue Marketing"
"Task","2020-04-20","Ohana, Inc.","Sam Ennis"
"Task","2020-04-13","Ohana, Inc.","Sue Marketing"
"Task","2020-04-27","Advanced Communications","Sam Ennis"
"Task","2020-04-27","Advanced Communications","Sam Ennis"
"Task","2020-04-27","Advanced Communications","Sam Ennis"
"Task","2020-03-15","Allied Technologies","Sam Ennis"
"Task","2020-04-18","Allied Technologies","Sam Ennis"
"Task","2020-03-01","Advanced Communications","Sam Ennis"
"Task","2020-03-01","Advanced Communications","Sam Ennis"
"Task","2020-04-16","Advanced Communications","Bill West"
"Task","2020-05-10","Advanced Communications","Bill West"
"Task","2020-04-22","Advanced Communications","Bill West"
"Task","2020-04-28","Advanced Communications","Bill West"
"Task","2020-05-08","Advanced Communications","Sam Ennis"
"Task","2020-04-30","Advanced Communications","Bill West"
"Task","2020-05-14","Advanced Communications","Sam Ennis"
"Task","2020-05-11","Allied Technologies","Bill West"
"Task","2020-05-03","Allied Technologies","Bill West"
"Task","2020-05-09","Allied Technologies","Cindy Central"
"Task","2020-04-23","Advanced Communications","Bill West"
"Task","2020-04-24","Advanced Communications","Bill West"
"Task","2020-04-25","Advanced Communications","Bill West"
"Task","2020-04-26","Advanced Communications","Bill West"
"Task","2020-05-15","Advanced Communications","Sam Ennis"
"Task","2020-05-09","Advanced Communications","Bill West"
"Task","2020-05-13","Advanced Communications","Sam Ennis"
"Task","2020-05-16","Allied Technologies","Bill West"
"Task","2020-05-12","Allied Technologies","Cindy Central"
"Task","2020-04-29","Ohana, Inc.","Sam Ennis"
"Task","2020-04-24","Ohana, Inc.","Tim Service"
"Task","2020-04-27","Ohana, Inc.","Sam Ennis"
"Task","2020-04-16","Allied Technologies","Bill West"
"Task","2020-05-01","Ohana, Inc.","Sam Ennis"
"Task","2020-04-27","Advanced Communications","Sam Ennis"
"Email","2020-04-27","Advanced Communications","Sam Ennis"
"Task","2020-05-02","Ohana, Inc.","Quentin Engineer"
"Task","2020-04-26","Advanced Communications","Sam Ennis"
"Task","2020-04-26","Advanced Communications","Cindy Central"
"Task","2020-05-05","Ohana, Inc.","Sam Ennis"
"Email","2020-04-26","Ohana, Inc.","Kasey Central"
"Task","2020-04-27","Ohana, Inc.","Sam Ennis"
"Task","2020-04-24","Ohana, Inc.","Sam Ennis"
"Task","2020-04-27","Ohana, Inc.","Sam Ennis"
"Task","2020-05-09","Ohana, Inc.","Sam Ennis"
"Task","2020-05-12","Ohana, Inc.","Sam Ennis"
"Email","2020-04-27","Ohana, Inc.","Sam Ennis"
"Task","2020-03-27","Advanced Communications","Sam Ennis"
"Task","2020-03-27","Advanced Communications","Vance Channel"
"Task","2020-03-13","Allied Technologies","Ricky East"
"Task","2020-04-01","Allied Technologies","Kasey Central"
"Task","2020-04-25","Allied Technologies","Kasey Central"
"Task","2020-04-01","Allied Technologies","Ely East"
"Task","2020-03-09","Allied Technologies","Sam Ennis"
"Task","2020-04-19","Advanced Communications","Ely East"
"Task","2020-04-14","Advanced Communications","Tim Service"
"Task","2020-03-17","Allied Technologies","Cindy Central"
"Task","2020-03-19","Advanced Communications","Bill West"
"Task","2020-04-08","Allied Technologies","Vance Channel"
"Task","2020-04-01","Advanced Communications","Sam Ennis"
"Task","2020-04-20","Ohana, Inc.","Kasey Central"
"Task","2020-03-29","Advanced Communications","Sam Ennis"
"Task","2020-03-10","Advanced Communications","Bill West"
"Task","2020-04-11","Allied Technologies","Kasey Central"
"Task","2020-03-13","Ohana, Inc.","Vance Channel"
"Task","2020-03-21","Ohana, Inc.","Sam Ennis"
