"Client_Name","Is_Converted","Campaign_Name","Lead_Source_formula_formula","Close_Date","Lead_Status","Forecast_Category_bucket","Action_Framework_Opportunity_ID","Zip_Code","Opportunity_ID","Opportunity_Name","Account_ID","Lead_Score_bucket","Lead_Stage","Forecast_Category","Appointment_Set","Opportunity_Owner","Opportunity_Stage","Lead_Source_formula","B2B_Opportunity_Name","Lead_Source","Region","Created_Date","Location","Next_Steps","Time_in_Status","Lead_Score","Opportunity_Amount","Count_of_Calls","Count_of_Tasks","Days_Open","Count_of_Events","Days_Since_Last_Activity","Total_Activities","Count_of_Emails"
"Tammy Baxter 1","Yes","None","00Q5w00001zd9ZgEAI","2020-04-19","4 - Qualifed","3 - Commit","006Dp000004HJc0IAG","90806","0065w000022R1ZSAA0","Tammy Baxter 1","0015w00002DLYAAAA5","Losing","3 - Qualified","Commit","False","Travis Coleman","4 - Negotiation","00Q5w00001qNTPJEA4","Resourcesoft 8","Social Media","Cypress","2020-03-19","Long Beach","Send email with more information and capture decision criteria.",64,45,147000,0,1,236,3,46,4,0
"Larry Baxter 2","No","None","00Q5w00001zd9ZgEAI","2020-02-15","3 - Working","2 - Best Case","006Dp000004HJc0IAG","90601","0065w000022R1ZSAA0","Larry Baxter 2","0015w00002DLYA9AAP","Losing","2 - Working","Best Case","False","Mary Powers","3 - Proposal/Quote","00Q5w00001qNTPJEA4","Cipient Networks Inc 16","Referral","Whittier","2020-02-27","Whittier","Presentation went well. Follow up meeting scheduled for Tueday.",154,48,1750,0,4,257,2,75,8,2
"Karen Wells 3","No","Annual Customer Conference","00Q5w00001zd9ZgEAI","2020-10-23","1 - New","5 - Omitted","006Dp000004HJc0IAG","91732","0065w000022R1ZSAA0","Karen Wells 3","0015w00002DLYADAA5","Losing","5 - Unqualified","Omitted","False","Michelle Stanley","1 - Qualification","00Q5w00001qNTPJEA4","Alvion Technologies 32","Event","San Gabriel Valley","2020-07-12","City of Industry","Initial introduction call went well. Still need to confirm budget and timing.",199,9,95700,1,0,121,0,111,1,0
"Mike Malmin 4","No","None","00Q5w00001zd9ZgEAI","2020-09-29","2 - Contacted","1 - Pipeline","006Dp000004HJc0IAG","90803","0065w000022R1ZSAA0","Mike Malmin 4","0015w00002DLYB2AAP","Losing","1 - New","Pipeline","True","Kristen Miller","2 - Discovery","00Q5w00001qNTPJEA4","MMG Technology Corporation 36","Event","Cypress","2019-11-20","Long Beach","Validated interest level. Plan to give a call on Thursday.",160,40,40300,2,1,356,2,70,5,0
"Gabe Hoskins 5","No","Web-to-Lead Campaign","00Q5w00001zd9ZgEAI","2020-01-20","5 - Nurture","4 - Closed","006Dp000004HJc0IAG","90720","0065w000022R1ZSAA0","Gabe Hoskins 5","0015w00002DLYANAA5","Winning","4 - Converted","Closed","False","Theresa Jones","5 - Closed Won","00Q5w00001qNTPJEA4","Lone Star Circuits 47","Website","Cypress","2020-01-21","Cypress","Price negiotations and expecting signed agreement soon.",206,83,134000,1,1,294,2,7,7,3
"Chip Colli 6","No","Referral Campaign","00Q5w00001zd9ZgEAI","2020-06-11","6 - Unqualified","5 - Omitted","006Dp000004HJc0IAG","91748","0065w000022R1ZSAA0","Chip Colli 6","0015w00002DLYB6AAP","Losing","5 - Unqualified","Omitted","False","Bill West","6 - Closed Lost","00Q5w00001qNTPJEA4","e  bots Consulting Services 69","Referral","San Gabriel Valley","2020-10-18","City of Industry","Weekly check-ins to collaborate on a go-forward plan.",136,28,4090,1,0,23,1,8,4,2
"Russell Hartman 7","No","None","00Q5w00001zd9ZgEAI","2020-07-26","1 - New","5 - Omitted","006Dp000004HJc0IAG","92202","0065w000022R1ZSAA0","Russell Hartman 7","0015w00002DLYABAA5","Losing","5 - Unqualified","Omitted","True","Wendy West","1 - Qualification","00Q5w00001qNTPJEA4","Foreshock 86","Cold Call","Coachella Valley","2020-08-27","Indio","Validated interest level. Plan to give a call on Thursday.",11,42,12000,2,1,75,0,102,7,4
"Peter Parker 8","Yes","Telemarketing Campaign","00Q5w00001zd9ZgEAI","2020-11-29","6 - Unqualified","5 - Omitted","006Dp000004HJc0IAG","92236","0065w000022R1ZSAA0","Peter Parker 8","0015w00002DLYBDAA5","Winning","5 - Unqualified","Omitted","True","Mary Powers","6 - Closed Lost","00Q5w00001qNTPJEA4","American Environmental Container Corp. 104","Cold Call","Coachella Valley","2020-05-19","Coachella","Presentation went well. Follow up meeting scheduled for Tueday.",217,78,1330,2,2,175,5,78,12,3
"Mina Passini 9","No","None","00Q5w00001zd9ZgEAI","2020-03-30","2 - Contacted","1 - Pipeline","006Dp000004HJc0IAG","92241","0065w000022R1ZSAA0","Mina Passini 9","0015w00002DLYAEAA5","Losing","1 - New","Pipeline","False","Crystal Stevens","2 - Discovery","00Q5w00001qNTPJEA4","American Environmental Container Corp. 105","Website","Coachella Valley","2019-12-24","Cathedral City","Price negiotations and expecting signed agreement soon.",99,3,148000,2,4,322,1,15,8,1
"Jon Allegri 10","No","Referral Campaign","00Q5w00001zd9ZgEAI","2020-08-18","1 - New","5 - Omitted","006Dp000004HJc0IAG","90840","0065w000022R1ZSAA0","Jon Allegri 10","0015w00002DLYB4AAP","Losing","5 - Unqualified","Omitted","True","Rebecca Gonzalez","1 - Qualification","00Q5w00001qNTPJEA4","SmartPartner.com 148","Referral","Cypress","2020-06-25","Long Beach","Weekly check-ins to collaborate on a go-forward plan.",82,4,67900,5,2,138,1,136,10,2
"Troy Bullock 11","No","Web-to-Lead Campaign","00Q5w00001zd9ZgEAI","2019-12-18","6 - Unqualified","5 - Omitted","006Dp000004HJc0IAG","90605","0065w000022R1ZSAA0","Troy Bullock 11","0015w00002DLYB1AAP","Winning","5 - Unqualified","Omitted","True","Barry Brown","6 - Closed Lost","00Q5w00001qNTPJEA4","SmartPartner.com 154","Website","Whittier","2020-09-10","Whittier","Initial introduction call went well. Still need to confirm budget and timing.",39,65,139000,1,2,61,2,1,6,1
"Robert Simpson 12","No","Web-to-Lead Campaign","00Q5w00001zd9ZgEAI","2020-05-31","5 - Nurture","4 - Closed","006Dp000004HJc0IAG","92203","0065w000022R1ZSAA0","Robert Simpson 12","0015w00002DLYAOAA5","Losing","4 - Converted","Closed","False","Ricky East","5 - Closed Won","00Q5w00001qNTPJEA4","Coviant 161","Website","Coachella Valley","2020-04-22","Coachella","Send email with more information and capture decision criteria.",7,5,4900,2,1,202,0,97,7,4
"Niki Sullivan 13","No","Twitter Inbound Campaign","00Q5w00001zd9ZgEAI","2020-06-09","2 - Contacted","1 - Pipeline","006Dp000004HJc0IAG","90822","0065w000022R1ZSAA0","Niki Sullivan 13","0015w00002DLYB5AAP","Losing","1 - New","Pipeline","False","Robin Montgomery","2 - Discovery","00Q5w00001qNTPJEA4","Associated Grocers 179","Social Media","Cypress","2020-11-08","Long Beach","Send email with more information and capture decision criteria.",56,46,29900,0,0,2,1,105,2,1
"Robert Janzen 14","No","None","00Q5w00001zd9ZgEAI","2019-12-24","3 - Working","2 - Best Case","006Dp000004HJc0IAG","90844","0065w000022R1ZSAA0","Robert Janzen 14","0015w00002DLYAJAA5","Losing","2 - Working","Best Case","False","Heather Greer","3 - Proposal/Quote","00Q5w00001qNTPJEA4","CORT Business Services 198","Social Media","Cypress","2020-09-21","Long Beach","Validated interest level. Plan to give a call on Thursday.",47,9,135000,1,0,50,2,45,5,2
