"Approver.Role.Hierarchy_RoleNames","Approver.Role.RolePath","SubmittedBy.UniqueUserName","SubmittedBy.Role.RoleNames","Approval.Id","SubmittedBy.Name","SubmittedBy.Username","OriginalApprover.UserRoleId","Approver.Role.ParentRole.Name","SubmittedBy.Role.RolePath","OriginalApprover.Role.ParentRoleId","OriginalApprover.UniqueUserName","Process.TableEnumOrId","Approval.CompletedDate","Approval.ProcessDefinitionId","OriginalApprover.SmallPhotoUrl","OriginalApprover.Role.RolePath","Approver.Role.RoleNamesPath","SubmittedBy.Role.Hierarchy_RoleNames","OriginalApprover.Role.RoleNames","OriginalApprover.FullPhotoUrl","SubmittedBy.SmallPhotoUrl","Approver.SmallPhotoUrl","ActorId","Approval.SubmittedById","Approver.Role.ParentRole.DeveloperName","Approval.LastModifiedDate","Approver.Role.Roles","Process.Name","SubmittedBy.Role.Name","SubmittedBy.UserRoleId","CreatedDate","Approval.TargetObjectId","OriginalApprover.Role.DeveloperName","Process.Type","OriginalApprover.Role.ParentRole.DeveloperName","OriginalApprover.Username","OriginalActorId","SubmittedBy.Role.ParentRole.DeveloperName","ElapsedTimeInMinutes","OriginalApprover.Role.Hierarchy_RoleNames","Approver.UniqueUserName","Approval.Status","OriginalApprover.Role.Name","OriginalApprover.Role.ParentRole.Name","SubmittedBy.Role.Roles","Approver.Name","Approver.FullPhotoUrl","Approver.Role.ParentRoleId","OriginalApprover.Role.RoleNamesPath","Process.Description","SubmittedBy.Role.DeveloperName","Comments","Process.State","OriginalApprover.Name","StepStatus","Approval.CreatedDate","Approver.Role.DeveloperName","SubmittedBy.FullPhotoUrl","Approver.Role.RoleNames","SubmittedBy.Role.RoleNamesPath","SubmittedBy.Role.ParentRole.Name","Approver.Username","SubmittedBy.Role.ParentRoleId","ActionRecordId","ProcessInstanceId","Approver.Role.Name","Approver.UserRoleId","OriginalApprover.Role.Roles","Approval.ElapsedTimeInMinutes"
"BronzePartnersPartnerExecutive","00EB0000000PSLFMA4/00EB0000000PSLEMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","Barry Brown","BronzePartnersPartnerExecutive","04gB00000006F4dIAE","Barry Brown","eapartner@gartnerbimq2018.com","00EB0000000PSKeMAO","Jillie Stout Partner Manager","00EB0000000PSLFMA4/00EB0000000PSLEMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","00EB0000000PSLFMA4","Barry Brown","Lead",,"04aB00000004POjIAM","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIR/T","00EB0000000PSLFMA4/00EB0000000PSLEMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","BronzePartnersPartnerUser/BronzePartnersPartnerManager/BronzePartnersPartnerExecutive/DirChannel/VPSales/CEO","BronzePartnersPartnerExecutive","BronzePartnersPartnerExecutive","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIR/F","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIR/T","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIR/T","005B0000004hsWFIAY","005B0000004hsWFIAY","BronzePartnersPartnerManager","2018-08-24T22:12:40.000Z","00EB0000000PSKWMA4","Deal Registration - 1 Level of Approval","Jillie Stout Partner User","00EB0000000PSKeMAO","2020-06-03T22:12:40.000Z","00QB0000005d58KMAQ","BronzePartnersPartnerUser","Approval","BronzePartnersPartnerManager","eapartner@gartnerbimq2018.com","005B0000004hsWFIAY","BronzePartnersPartnerManager",,"BronzePartnersPartnerExecutive","Barry Brown","Pending","Jillie Stout Partner User","Jillie Stout Partner Manager","00EB0000000PSKWMA4","Barry Brown","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIR/F","00EB0000000PSLFMA4","BronzePartnersPartnerUser/BronzePartnersPartnerManager/BronzePartnersPartnerExecutive/DirChannel/VPSales/CEO",,"BronzePartnersPartnerUser","New deal registration submitted for your approval.","Active","Barry Brown","Started","2020-06-03T22:12:40.000Z","BronzePartnersPartnerUser","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIR/F","BronzePartnersPartnerExecutive","BronzePartnersPartnerUser/BronzePartnersPartnerManager/BronzePartnersPartnerExecutive/DirChannel/VPSales/CEO","Jillie Stout Partner Manager","eapartner@gartnerbimq2018.com","00EB0000000PSLFMA4","Approval.Id","04gB00000006F4dIAE","Jillie Stout Partner User","00EB0000000PSKeMAO","00EB0000000PSKWMA4",0
"BronzePartnersPartnerExecutive","00EB0000000PSLFMA4/00EB0000000PSLEMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","Barry Brown","BronzePartnersPartnerExecutive","04gB00000006F4eIAE","Barry Brown","eapartner@gartnerbimq2018.com","00EB0000000PSKeMAO","Jillie Stout Partner Manager","00EB0000000PSLFMA4/00EB0000000PSLEMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","00EB0000000PSLFMA4","Barry Brown","Lead",,"04aB00000004POjIAM","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIR/T","00EB0000000PSLFMA4/00EB0000000PSLEMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","BronzePartnersPartnerUser/BronzePartnersPartnerManager/BronzePartnersPartnerExecutive/DirChannel/VPSales/CEO","BronzePartnersPartnerExecutive","BronzePartnersPartnerExecutive","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIR/F","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIR/T","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIR/T","005B0000004hsWFIAY","005B0000004hsWFIAY","BronzePartnersPartnerManager","2018-08-24T22:12:40.000Z","00EB0000000PSKWMA4","Deal Registration - 1 Level of Approval","Jillie Stout Partner User","00EB0000000PSKeMAO","2020-06-03T22:12:40.000Z","00QB0000005d58LMAQ","BronzePartnersPartnerUser","Approval","BronzePartnersPartnerManager","eapartner@gartnerbimq2018.com","005B0000004hsWFIAY","BronzePartnersPartnerManager",,"BronzePartnersPartnerExecutive","Barry Brown","Pending","Jillie Stout Partner User","Jillie Stout Partner Manager","00EB0000000PSKWMA4","Barry Brown","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIR/F","00EB0000000PSLFMA4","BronzePartnersPartnerUser/BronzePartnersPartnerManager/BronzePartnersPartnerExecutive/DirChannel/VPSales/CEO",,"BronzePartnersPartnerUser","New deal registration submitted for your approval.","Active","Barry Brown","Started","2020-06-03T22:12:40.000Z","BronzePartnersPartnerUser","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIR/F","BronzePartnersPartnerExecutive","BronzePartnersPartnerUser/BronzePartnersPartnerManager/BronzePartnersPartnerExecutive/DirChannel/VPSales/CEO","Jillie Stout Partner Manager","eapartner@gartnerbimq2018.com","00EB0000000PSLFMA4","Approval.Id","04gB00000006F4eIAE","Jillie Stout Partner User","00EB0000000PSKeMAO","00EB0000000PSKWMA4",0
"CEO","00EB0000000PSLNMA4/00EB0000000PSLMMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","Daryl Distributor","CEO","04gB00000006F4fIAE","Daryl Distributor","ddistributorexvyn0sofuv0@analytics.templates.demo.gs0","00EB0000000PSL2MAO","Keriann Chaganty Partner Manager","00EB0000000PSLNMA4/00EB0000000PSLMMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","00EB0000000PSLNMA4","Daryl Distributor","Lead",,"04aB00000004POjIAM","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECK9/T","00EB0000000PSLNMA4/00EB0000000PSLMMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","ZenithDistributorsPartnerUser/ZenithDistributorsPartnerManager/ZenithDistributorsPartnerExecutive/DirChannel/VPSales/CEO","CEO","CEO","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECK9/F","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECK9/T","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECK9/T","005B0000004hsaWIAQ","005B0000004hsaWIAQ","ZenithDistributorsPartnerManager","2018-08-24T22:12:40.000Z","00EB0000000PSKWMA4","Deal Registration - 1 Level of Approval","Keriann Chaganty Partner User","00EB0000000PSL2MAO","2020-06-03T22:12:40.000Z","00QB0000005d58MMAQ","ZenithDistributorsPartnerUser","Approval","ZenithDistributorsPartnerManager","ddistributorexvyn0sofuv0@analytics.templates.demo.gs0","005B0000004hsaWIAQ","ZenithDistributorsPartnerManager",,"CEO","Daryl Distributor","Pending","Keriann Chaganty Partner User","Keriann Chaganty Partner Manager","00EB0000000PSKWMA4","Daryl Distributor","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECK9/F","00EB0000000PSLNMA4","ZenithDistributorsPartnerUser/ZenithDistributorsPartnerManager/ZenithDistributorsPartnerExecutive/DirChannel/VPSales/CEO",,"ZenithDistributorsPartnerUser","New deal registration submitted for your approval.","Active","Daryl Distributor","Started","2020-06-03T22:12:40.000Z","ZenithDistributorsPartnerUser","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECK9/F","CEO","ZenithDistributorsPartnerUser/ZenithDistributorsPartnerManager/ZenithDistributorsPartnerExecutive/DirChannel/VPSales/CEO","Keriann Chaganty Partner Manager","ddistributorexvyn0sofuv0@analytics.templates.demo.gs0","00EB0000000PSLNMA4","Approval.Id","04gB00000006F4fIAE","Keriann Chaganty Partner User","00EB0000000PSL2MAO","00EB0000000PSKWMA4",0
"CEO","00EB0000000PSLNMA4/00EB0000000PSLMMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","Daryl Distributor","CEO","04gB00000006F4gIAE","Daryl Distributor","ddistributorexvyn0sofuv0@analytics.templates.demo.gs0","00EB0000000PSL2MAO","Keriann Chaganty Partner Manager","00EB0000000PSLNMA4/00EB0000000PSLMMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","00EB0000000PSLNMA4","Daryl Distributor","Lead",,"04aB00000004POjIAM","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECK9/T","00EB0000000PSLNMA4/00EB0000000PSLMMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","ZenithDistributorsPartnerUser/ZenithDistributorsPartnerManager/ZenithDistributorsPartnerExecutive/DirChannel/VPSales/CEO","CEO","CEO","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECK9/F","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECK9/T","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECK9/T","005B0000004hsaWIAQ","005B0000004hsaWIAQ","ZenithDistributorsPartnerManager","2018-08-24T22:12:40.000Z","00EB0000000PSKWMA4","Deal Registration - 1 Level of Approval","Keriann Chaganty Partner User","00EB0000000PSL2MAO","2020-06-03T22:12:40.000Z","00QB0000005d58NMAQ","ZenithDistributorsPartnerUser","Approval","ZenithDistributorsPartnerManager","ddistributorexvyn0sofuv0@analytics.templates.demo.gs0","005B0000004hsaWIAQ","ZenithDistributorsPartnerManager",,"CEO","Daryl Distributor","Pending","Keriann Chaganty Partner User","Keriann Chaganty Partner Manager","00EB0000000PSKWMA4","Daryl Distributor","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECK9/F","00EB0000000PSLNMA4","ZenithDistributorsPartnerUser/ZenithDistributorsPartnerManager/ZenithDistributorsPartnerExecutive/DirChannel/VPSales/CEO",,"ZenithDistributorsPartnerUser","New deal registration submitted for your approval.","Active","Daryl Distributor","Started","2020-06-03T22:12:40.000Z","ZenithDistributorsPartnerUser","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECK9/F","CEO","ZenithDistributorsPartnerUser/ZenithDistributorsPartnerManager/ZenithDistributorsPartnerExecutive/DirChannel/VPSales/CEO","Keriann Chaganty Partner Manager","ddistributorexvyn0sofuv0@analytics.templates.demo.gs0","00EB0000000PSLNMA4","Approval.Id","04gB00000006F4gIAE","Keriann Chaganty Partner User","00EB0000000PSL2MAO","00EB0000000PSKWMA4",0
"AcmeResellersPartnerExecutive","00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","Paul Partner","AcmeResellersPartnerExecutive","04gB00000006F4hIAE","Paul Partner","ppartnerukhtu0nl7qlq@analytics.templates.demo.gs0","00EB0000000PSKbMAO","Director of Channel Sales","00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","00EB0000000PSKhMAO","Paul Partner","Lead",,"04aB00000004POjIAM","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIN/T","00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","AcmeResellersPartnerExecutive/DirChannel/VPSales/CEO","AcmeResellersPartnerExecutive","AcmeResellersPartnerExecutive","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIN/F","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIN/T","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIN/T","005B0000004hsWBIAY","005B0000004hsWBIAY","DirChannel","2018-08-24T22:12:40.000Z","00EB0000000PSKWMA4","Deal Registration - 1 Level of Approval","Joby Friese Partner Executive","00EB0000000PSKbMAO","2020-06-03T22:12:40.000Z","00QB0000005d58OMAQ","AcmeResellersPartnerExecutive","Approval","DirChannel","ppartnerukhtu0nl7qlq@analytics.templates.demo.gs0","005B0000004hsWBIAY","DirChannel",,"AcmeResellersPartnerExecutive","Paul Partner","Pending","Joby Friese Partner Executive","Director of Channel Sales","00EB0000000PSKWMA4","Paul Partner","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIN/F","00EB0000000PSKhMAO","AcmeResellersPartnerExecutive/DirChannel/VPSales/CEO",,"AcmeResellersPartnerExecutive","New deal registration submitted for your approval.","Active","Paul Partner","Started","2020-06-03T22:12:40.000Z","AcmeResellersPartnerExecutive","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIN/F","AcmeResellersPartnerExecutive","AcmeResellersPartnerExecutive/DirChannel/VPSales/CEO","Director of Channel Sales","ppartnerukhtu0nl7qlq@analytics.templates.demo.gs0","00EB0000000PSKhMAO","Approval.Id","04gB00000006F4hIAE","Joby Friese Partner Executive","00EB0000000PSKbMAO","00EB0000000PSKWMA4",0
"AcmeResellersPartnerExecutive","00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","Paul Partner","AcmeResellersPartnerExecutive","04gB00000006F4iIAE","Paul Partner","ppartnerukhtu0nl7qlq@analytics.templates.demo.gs0","00EB0000000PSKbMAO","Director of Channel Sales","00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","00EB0000000PSKhMAO","Paul Partner","Lead",,"04aB00000004POjIAM","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIN/T","00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","AcmeResellersPartnerExecutive/DirChannel/VPSales/CEO","AcmeResellersPartnerExecutive","AcmeResellersPartnerExecutive","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIN/F","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIN/T","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIN/T","005B0000004hsWBIAY","005B0000004hsWBIAY","DirChannel","2018-08-24T22:12:40.000Z","00EB0000000PSKWMA4","Deal Registration - 1 Level of Approval","Joby Friese Partner Executive","00EB0000000PSKbMAO","2020-06-03T22:12:40.000Z","00QB0000005d58PMAQ","AcmeResellersPartnerExecutive","Approval","DirChannel","ppartnerukhtu0nl7qlq@analytics.templates.demo.gs0","005B0000004hsWBIAY","DirChannel",,"AcmeResellersPartnerExecutive","Paul Partner","Pending","Joby Friese Partner Executive","Director of Channel Sales","00EB0000000PSKWMA4","Paul Partner","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIN/F","00EB0000000PSKhMAO","AcmeResellersPartnerExecutive/DirChannel/VPSales/CEO",,"AcmeResellersPartnerExecutive","New deal registration submitted for your approval.","Active","Paul Partner","Started","2020-06-03T22:12:40.000Z","AcmeResellersPartnerExecutive","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIN/F","AcmeResellersPartnerExecutive","AcmeResellersPartnerExecutive/DirChannel/VPSales/CEO","Director of Channel Sales","ppartnerukhtu0nl7qlq@analytics.templates.demo.gs0","00EB0000000PSKhMAO","Approval.Id","04gB00000006F4iIAE","Joby Friese Partner Executive","00EB0000000PSKbMAO","00EB0000000PSKWMA4",0
"CEO","00EB0000000PSLDMA4/00EB0000000PSLCMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","Jamie Green","CEO","04gB00000006F4jIAE","Jamie Green","jmgreenzrwwyyg4warv@analytics.templates.demo.gs0","00EB0000000PSKdMAO","Jessee Young Partner Manager","00EB0000000PSLDMA4/00EB0000000PSLCMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","00EB0000000PSLDMA4","Jamie Green","Lead",,"04aB00000004POjIAM","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIQ/T","00EB0000000PSLDMA4/00EB0000000PSLCMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","CTWResellersPartnerUser/CTWResellersPartnerManager/CTWResellersPartnerExecutive/DirChannel/VPSales/CEO","CEO","CEO","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIQ/F","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIQ/T","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIQ/T","005B0000004hsWEIAY","005B0000004hsWEIAY","CTWResellersPartnerManager","2018-08-24T22:12:40.000Z","00EB0000000PSKWMA4","Deal Registration - 1 Level of Approval","Jessee Young Partner User","00EB0000000PSKdMAO","2020-06-03T22:12:40.000Z","00QB0000005d58QMAQ","CTWResellersPartnerUser","Approval","CTWResellersPartnerManager","jmgreenzrwwyyg4warv@analytics.templates.demo.gs0","005B0000004hsWEIAY","CTWResellersPartnerManager",,"CEO","Jamie Green","Pending","Jessee Young Partner User","Jessee Young Partner Manager","00EB0000000PSKWMA4","Jamie Green","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIQ/F","00EB0000000PSLDMA4","CTWResellersPartnerUser/CTWResellersPartnerManager/CTWResellersPartnerExecutive/DirChannel/VPSales/CEO",,"CTWResellersPartnerUser","New deal registration submitted for your approval.","Active","Jamie Green","Started","2020-06-03T22:12:40.000Z","CTWResellersPartnerUser","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIQ/F","CEO","CTWResellersPartnerUser/CTWResellersPartnerManager/CTWResellersPartnerExecutive/DirChannel/VPSales/CEO","Jessee Young Partner Manager","jmgreenzrwwyyg4warv@analytics.templates.demo.gs0","00EB0000000PSLDMA4","Approval.Id","04gB00000006F4jIAE","Jessee Young Partner User","00EB0000000PSKdMAO","00EB0000000PSKWMA4",0
"CEO","00EB0000000PSLDMA4/00EB0000000PSLCMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","Jamie Green","CEO","04gB00000006F4kIAE","Jamie Green","jmgreenzrwwyyg4warv@analytics.templates.demo.gs0","00EB0000000PSKdMAO","Jessee Young Partner Manager","00EB0000000PSLDMA4/00EB0000000PSLCMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","00EB0000000PSLDMA4","Jamie Green","Lead",,"04aB00000004POjIAM","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIQ/T","00EB0000000PSLDMA4/00EB0000000PSLCMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","CTWResellersPartnerUser/CTWResellersPartnerManager/CTWResellersPartnerExecutive/DirChannel/VPSales/CEO","CEO","CEO","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIQ/F","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIQ/T","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIQ/T","005B0000004hsWEIAY","005B0000004hsWEIAY","CTWResellersPartnerManager","2018-08-24T22:12:40.000Z","00EB0000000PSKWMA4","Deal Registration - 1 Level of Approval","Jessee Young Partner User","00EB0000000PSKdMAO","2020-06-03T22:12:40.000Z","00QB0000005d58RMAQ","CTWResellersPartnerUser","Approval","CTWResellersPartnerManager","jmgreenzrwwyyg4warv@analytics.templates.demo.gs0","005B0000004hsWEIAY","CTWResellersPartnerManager",,"CEO","Jamie Green","Pending","Jessee Young Partner User","Jessee Young Partner Manager","00EB0000000PSKWMA4","Jamie Green","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIQ/F","00EB0000000PSLDMA4","CTWResellersPartnerUser/CTWResellersPartnerManager/CTWResellersPartnerExecutive/DirChannel/VPSales/CEO",,"CTWResellersPartnerUser","New deal registration submitted for your approval.","Active","Jamie Green","Started","2020-06-03T22:12:40.000Z","CTWResellersPartnerUser","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIQ/F","CEO","CTWResellersPartnerUser/CTWResellersPartnerManager/CTWResellersPartnerExecutive/DirChannel/VPSales/CEO","Jessee Young Partner Manager","jmgreenzrwwyyg4warv@analytics.templates.demo.gs0","00EB0000000PSLDMA4","Approval.Id","04gB00000006F4kIAE","Jessee Young Partner User","00EB0000000PSKdMAO","00EB0000000PSKWMA4",0
"AcmeResellersPartnerExecutive","00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","Sarah Phillips","AcmeResellersPartnerExecutive","04gB00000006F4lIAE","Sarah Phillips","sphillipsvk3qzw8cx3bl@analytics.templates.demo.gs0","00EB0000000PSKbMAO","Director of Channel Sales","00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","00EB0000000PSKhMAO","Sarah Phillips","Lead",,"04aB00000004POjIAM","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECJZ/T","00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","AcmeResellersPartnerExecutive/DirChannel/VPSales/CEO","AcmeResellersPartnerExecutive","AcmeResellersPartnerExecutive","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECJZ/F","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECJZ/T","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECJZ/T","005B0000004hsYuIAI","005B0000004hsYuIAI","DirChannel","2018-08-24T22:12:40.000Z","00EB0000000PSKWMA4","Deal Registration - 1 Level of Approval","Joby Friese Partner Executive","00EB0000000PSKbMAO","2020-06-03T22:12:40.000Z","00QB0000005d58SMAQ","AcmeResellersPartnerExecutive","Approval","DirChannel","sphillipsvk3qzw8cx3bl@analytics.templates.demo.gs0","005B0000004hsYuIAI","DirChannel",,"AcmeResellersPartnerExecutive","Sarah Phillips","Pending","Joby Friese Partner Executive","Director of Channel Sales","00EB0000000PSKWMA4","Sarah Phillips","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECJZ/F","00EB0000000PSKhMAO","AcmeResellersPartnerExecutive/DirChannel/VPSales/CEO",,"AcmeResellersPartnerExecutive","New deal registration submitted for your approval.","Active","Sarah Phillips","Started","2020-06-03T22:12:40.000Z","AcmeResellersPartnerExecutive","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECJZ/F","AcmeResellersPartnerExecutive","AcmeResellersPartnerExecutive/DirChannel/VPSales/CEO","Director of Channel Sales","sphillipsvk3qzw8cx3bl@analytics.templates.demo.gs0","00EB0000000PSKhMAO","Approval.Id","04gB00000006F4lIAE","Joby Friese Partner Executive","00EB0000000PSKbMAO","00EB0000000PSKWMA4",0
"CEO","00EB0000000PSLHMA4/00EB0000000PSLGMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","Sean Silver","CEO","04gB00000006F4mIAE","Sean Silver","ssilverzn1odd4wopsd@analytics.templates.demo.gs0","00EB0000000PSKcMAO","Jo Wilbur Partner Manager","00EB0000000PSLHMA4/00EB0000000PSLGMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","00EB0000000PSLHMA4","Sean Silver","Lead",,"04aB00000004POjIAM","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIP/T","00EB0000000PSLHMA4/00EB0000000PSLGMA4/00EB0000000PSKhMAO/00EB0000000PSKXMA4/00EB0000000PSKWMA4","SilverPartnersPartnerUser/SilverPartnersPartnerManager/SilverPartnersPartnerExecutive/DirChannel/VPSales/CEO","CEO","CEO","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIP/F","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIP/T","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIP/T","005B0000004hsWDIAY","005B0000004hsWDIAY","SilverPartnersPartnerManager","2018-08-24T22:12:40.000Z","00EB0000000PSKWMA4","Deal Registration - 1 Level of Approval","Jo Wilbur Partner User","00EB0000000PSKcMAO","2020-06-03T22:12:40.000Z","00QB0000005d58TMAQ","SilverPartnersPartnerUser","Approval","SilverPartnersPartnerManager","ssilverzn1odd4wopsd@analytics.templates.demo.gs0","005B0000004hsWDIAY","SilverPartnersPartnerManager",,"CEO","Sean Silver","Pending","Jo Wilbur Partner User","Jo Wilbur Partner Manager","00EB0000000PSKWMA4","Sean Silver","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIP/F","00EB0000000PSLHMA4","SilverPartnersPartnerUser/SilverPartnersPartnerManager/SilverPartnersPartnerExecutive/DirChannel/VPSales/CEO",,"SilverPartnersPartnerUser","New deal registration submitted for your approval.","Active","Sean Silver","Started","2020-06-03T22:12:40.000Z","SilverPartnersPartnerUser","https://analyticstemplates-demo--c.documentforce.com/profilephoto/729B0000000ECIP/F","CEO","SilverPartnersPartnerUser/SilverPartnersPartnerManager/SilverPartnersPartnerExecutive/DirChannel/VPSales/CEO","Jo Wilbur Partner Manager","ssilverzn1odd4wopsd@analytics.templates.demo.gs0","00EB0000000PSLHMA4","Approval.Id","04gB00000006F4mIAE","Jo Wilbur Partner User","00EB0000000PSKcMAO","00EB0000000PSKWMA4",0
