"LastModifiedDate","ccrz__Storefront__c","ccrz__ShipStructure__c","ccrz__PaymentMethod__c","Name","ccrz__EffectiveAccountID__c","ccrz__AdjustmentReason__c","ccrz__OrderName__c","ccrz__EncryptedId__c","IsDeleted","LastViewedDate","ccrz__ExtCarrier__c","ccrz__PONumber__c","ccrz__CCEmailAddress__c","ccrz__RequestDate__c","ccrz__SplitProcessed__c","ccrz__ShipMethod__c","CreatedDate","ccrz__BuyerLastName__c","Id","ccrz__ShipComplete__c","ccrz__BuyerPhone__c","ccrz__BuyerFirstName__c","LastReferencedDate","Account.ccrz__E_AccountGroup__c","ccrz__OrderStatus__c","ccrz__SkipTax__c","ccrz__IsAnonymous__c","ccrz__CurrencyISOCode__c","ccrz__Contact__c","ccrz__OrderDate__c","ccrz__BuyerCompanyName__c","ccrz__Note__c","ccrz__ContractId__c","ccrz__ExtShipTrackNo__c","ccrz__Account__c","ccrz__OrderId__c","SystemModstamp","ccrz__BuyerMobilePhone__c","ccrz__TaxExemptFlag__c","ccrz__VerifyExemptionFlag__c","ccrz__Name__c","LastActivityDate","Account.Name","ccrz__BuyerEmail__c","ccrz__TaxAmount__c","ccrz__TaxSubTotalAmount__c","ccrz__TotalSurcharge__c","ccrz__TotalDiscount__c","ccrz__AdjustmentAmount__c","ccrz__TotalAmount__c","ccrz__OrderNumber__c","ccrz__ShipAmount__c","ccrz__ShipDiscountAmount__c","ccrz__SubtotalAmount__c"
"2020-04-14T14:25:48.000Z","AlpinePartner","LLI",,"O-0000000610",,,"O-0000000610","d6ea66a5-5e2e-403c-9668-9c38231f3898","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","Buyer","a7y3A0000008RVYQA2","false","8001119866","Olivia",,"a7H3A00001p0Ma6UAE","Back Order","false","false","USD","0033A00002XjFJPQA3","2020-01-14",,,,,"0013A00001gycIMQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"NTO San Francisco","obuyer@example.com",0,2019.19,0,0,0,2055.19,1000610,36,0,2019.19
"2020-04-14T14:25:48.000Z","NTOFranchise","LLI",,"O-0000000611",,,"O-0000000611","f1b6980a-a425-4bc2-85ae-1afed2ae2703","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","Buyer","a7y3A0000008RVZQA2","false","8001119866","Olivia",,"a7H3A00001p0Ma6UAE","Order Submitted","false","false","USD","0033A00002XjFJPQA3","2020-04-09",,,,,"0013A00001gycIMQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"NTO San Francisco","obuyer@example.com",0,1444,0,0,0,1486,1000611,42,0,1444
"2020-04-14T14:25:48.000Z","AlpinePartner","LLI",,"O-0000000612",,,"O-0000000612","e038af17-9a04-4b1e-8842-20a93aeb0fa4","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","Buyer","a7y3A0000008RVaQAM","false","8001119866","Olivia",,"a7H3A00001p0Ma6UAE","Order Submitted","false","false","USD","0033A00002XjFJPQA3","2020-04-09",,,,,"0013A00001gycIMQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"NTO San Francisco","obuyer@example.com",0,2871.8,0,0,0,2913.8,1000612,42,0,2871.8
"2020-04-14T14:25:48.000Z","AlpinePartner","LLI",,"O-0000000335",,,"O-0000000335","59ef8c3c-fd46-4e9d-9a40-ce2e488ff252","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","Buyer","a7y3A0000008RVcQAM","false","(415)555-1212","Olivia",,"a7H3A00001p0Ma6UAE","Order Submitted","false","false","USD","0033A00002XjFJPQA3","2019-04-11",,,,,"0013A00001gycIMQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"NTO San Francisco","obuyer@example.com",0,239.7,0,0,0,239.7,1000335,0,0,239.7
"2020-04-14T14:25:48.000Z","AlpinePartner","LLI",,"O-0000000350",,,"O-0000000350","a36e2ab4-68e2-42d6-a93c-8e71203951aa","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","Blumer","a7y3A0000008RVdQAM","false","(650)555-1212","Kylee",,"a7H3A00001p0Ma5UAE","Shipped","false","false","USD","0033A00002XjFJaQAN","2019-06-08",,,,,"0013A00001gycIVQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"Nutrition Stop - San Mateo","blumerkylee@nto.com",0,549.76,0,0,0,601.76,1000350,52,0,549.76
"2020-04-14T14:25:48.000Z","AlpinePartner","LLI",,"O-0000000351",,,"O-0000000351","6eb89b82-9842-44ad-8333-578ca8cb3d60","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","Buyer","a7y3A0000008RVeQAM","false","510-555-1212","Tracy",,"a7H3A00001p0Ma6UAE","Shipped","false","false","USD","0033A00002XjFJSQA3","2019-06-08",,,,,"0013A00001gycINQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"NTO Store - Berkeley","tbuyer@nto.com",0,522.29,0,0,0,564.29,1000351,42,0,522.29
"2020-04-14T14:25:48.000Z","AlpinePartner","LLI",,"O-0000000352",,,"O-0000000352","8eda0a44-4d5e-4044-afdf-9b586b83b297","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","McCormick","a7y3A0000008RVfQAM","false","(415)555-1212","Earl",,"a7H3A00001p0Ma6UAE","Shipped","false","false","USD","0033A00002XjFJTQA3","2019-06-08",,,,,"0013A00001gycIOQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"NTO Store - Presidio","khuebner@salesforce.com",0,343.6,0,0,0,385.6,1000352,42,0,343.6
"2020-04-14T14:25:48.000Z","AlpinePartner","LLI",,"O-0000000353",,,"O-0000000353","b91cf2ee-1648-4d56-9d46-1a5a86f6a56a","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","Stimac","a7y3A0000008RVgQAM","false","(510)555-1212","Rasheeda",,"a7H3A00001p0Ma7UAE","Shipped","false","false","USD","0033A00002XjFJUQA3","2019-06-08",,,,,"0013A00001gycIPQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"Alpine Nutrition Outlet (Hayward)","stimacrasheeda@alpineoutlet.com",0,1099.52,0,0,0,1157.52,1000353,58,0,1099.52
"2020-04-14T14:25:48.000Z","AlpinePartner","LLI",,"O-0000000354",,,"O-0000000354","4a6c583f-5661-4eca-be2b-36029c004184","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","Zickefoose","a7y3A0000008RVhQAM","false","(925)555-1212","Anja",,"a7H3A00001p0Ma6UAE","Shipped","false","false","USD","0033A00002XjFJVQA3","2019-06-08",,,,,"0013A00001gycIQQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"NTO Store - Walnut Creek","zickefooseanja@nto.com",0,2237.5,0,0,0,2304.5,1000354,67,0,2237.5
"2020-04-14T14:25:48.000Z","AlpinePartner","LLI",,"O-0000000355",,,"O-0000000355","b381ef58-78a2-4170-a8be-04cf34562428","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","Barton","a7y3A0000008RViQAM","false","(415)555-1212","Crystal",,"a7H3A00001p0Ma8UAE","Shipped","false","false","USD","0033A00002XjFJWQA3","2019-06-08",,,,,"0013A00001gycIRQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"Rondel Store - San Francisco South","crystalbarton@rondel.com",0,549.76,0,0,0,601.76,1000355,52,0,549.76
"2020-04-14T14:25:48.000Z","AlpinePartner","LLI",,"O-0000000356",,,"O-0000000356","47bbb16f-7d74-4da0-bccf-eac32b82f6f9","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","Wolanski","a7y3A0000008RVjQAM","false","(415) 555-1212","Lauren",,"a7H3A00001p0Ma6UAE","Shipped","false","false","USD","0033A00002XjFJXQA3","2019-06-08",,,,,"0013A00001gycISQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"NTO Store - Ferry Plaza Market","lwolanski@example.com",0,2148.86,0,0,0,2200.86,1000356,52,0,2148.86
"2020-04-14T14:25:48.000Z","AlpinePartner","LLI",,"O-0000000357",,,"O-0000000357","61261b91-893a-40d5-8697-103f34fa2ebe","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","Fultz","a7y3A0000008RVkQAM","false","(925)555-1212","Gerri",,"a7H3A00001p0Ma6UAE","Shipped","false","false","USD","0033A00002XjFJYQA3","2019-06-08",,,,,"0013A00001gycITQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"NTO Store - Dublin","fultzgerri@nto.com",0,4416.68,0,0,0,4483.68,1000357,67,0,4416.68
"2020-04-14T14:25:48.000Z","AlpinePartner","LLI",,"O-0000000358",,,"O-0000000358","2c983579-7c2d-4d50-b063-f52c86372d70","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","Burton","a7y3A0000008RVlQAM","false","(415)555-1212","Maxine",,"a7H3A00001p0Ma9UAE","Shipped","false","false","USD","0033A00002XjFJZQA3","2019-06-08",,,,,"0013A00001gycIUQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"Fare Merchants - Union Sq","maxineburton@faremerchants.com",0,3600.89,0,0,0,3658.89,1000358,58,0,3600.89
"2020-04-14T14:25:48.000Z","AlpinePartner","LLI",,"O-0000000359",,,"O-0000000359","a10c7e43-f14c-4726-a7de-20fe9c93b80a","false",,,,,,"false",,"2020-04-14T14:25:48.000Z","Stack","a7y3A0000008RVmQAM","false","(408)555-1212","Amparo",,"a7H3A00001p0Ma6UAE","Shipped","false","false","USD","0033A00002XjFJbQAN","2019-06-08",,,,,"0013A00001gycIWQAY",,"2020-04-14T14:25:48.000Z",,"false","false","New Cart",,"NTO Store - Campbell","stackamparo@nto.com",0,3486.05,0,0,0,3563.3,1000359,77.25,0,3486.05
