"Type","AgeBucket","FirstName","State","Channel","Stage","Gender","LastName","ChannelOrder","AgeBucketOrder","StageOrder","Age"
"Promoter","0-17","Gabi","Texas","Website","Acquisition","Male","Woodroffe",1,1,1,10
"Passive","0-17","Onfroi","Wyoming","Website","Acquisition","NA","Lehon",1,1,1,10
"Detractor","26-35","Cass","New York","Website","Acquisition","Female","Deamer",1,3,1,34
"Detractor","36-50","Tammy","Ohio","Website","Acquisition","Male","Stollard",1,4,1,50
"Promoter","18-25","Alfred","Maine","Website","Acquisition","NA","Aldcorne",1,2,1,20
"Passive","36-50","Cathleen","Colorado","Website","Acquisition","Female","Raynard",1,4,1,45
"Detractor","18-25","Corey","Texas","Website","Acquisition","NA","Raper",1,2,1,24
"Promoter","26-35","Clair","Oklahoma","Website","Acquisition","Male","Waterstone",1,3,1,34
"Passive","18-25","Celka","California","Website","Acquisition","Female","Sevitt",1,2,1,24
"Detractor","NA","Noreen","District of Columbia","Website","Acquisition","Female","Brookfield",1,5,1,38
"Passive","26-35","Aridatha","Texas","Website","Acquisition","NA","Bleibaum",1,3,1,32
"Promoter","36-50","Wanids","California","Website","Acquisition","Male","Matschuk",1,4,1,47
"Detractor","18-25","Cedric","Kansas","Website","Acquisition","Female","Gatrill",1,2,1,22
"Passive","NA","Welby","Florida","Website","Acquisition","NA","Seebert",1,5,1,73
"Promoter","NA","Cosetta","Massachusetts","Website","Acquisition","Male","Bettlestone",1,5,1,10
"Detractor","26-35","Cecil","North Carolina","Website","Acquisition","NA","Darke",1,3,1,29
"Detractor","26-35","Alford","Florida","Website","Acquisition","Female","Mingaud",1,3,1,26
"Passive","18-25","Eachelle","California","Website","Acquisition","Male","O'Dowgaine",1,2,1,21
"Promoter","26-35","Lettie","Florida","Website","Acquisition","NA","Burland",1,3,1,33
"Detractor","0-17","Brynna","Georgia","Website","Acquisition","Male","Fetherstone",1,1,1,13
"Promoter","36-50","Elsey","Massachusetts","Website","Acquisition","Female","Chatwin",1,4,1,40
"Passive","18-25","Trumaine","Florida","Website","Acquisition","NA","Block",1,2,1,19
"Detractor","36-50","Corey","Florida","Website","Acquisition","Male","Toop",1,4,1,40
"Passive","0-17","Lorrayne","Delaware","Website","Acquisition","Female","Liversley",1,1,1,15
"Detractor","18-25","Roxi","New York","Website","Acquisition","Female","Riolfi",1,2,1,21
"Promoter","36-50","Carlynne","Georgia","Website","Acquisition","Male","Fasham",1,4,1,48
"Passive","36-50","Sascha","Alabama","Website","Acquisition","NA","Swatten",1,4,1,47
"Detractor","26-35","Immanuel","Florida","Website","Acquisition","NA","Ducker",1,3,1,32
"Promoter","18-25","Kerby","Texas","Website","Acquisition","Female","Coldridge",1,2,1,20
"Passive","18-25","Charleen","California","Website","Acquisition","Male","Nerney",1,2,1,21
"Promoter","18-25","Cynthea","Michigan","Website","Acquisition","Female","Kinchington",1,2,1,21
"Detractor","36-50","Alyson","Texas","Website","Acquisition","Male","Vose",1,4,1,49
"Detractor","26-35","Arly","Connecticut","Website","Acquisition","NA","Criag",1,3,1,26
"Passive","NA","Naoma","Michigan","Website","Acquisition","NA","Paddington",1,5,1,64
"Detractor","26-35","Danita","Florida","Website","Acquisition","Female","Shipman",1,3,1,34
"Promoter","36-50","Goddart","Wisconsin","Website","Acquisition","Male","Lecordier",1,4,1,40
"Passive","26-35","Ronnie","Missouri","Website","Acquisition","NA","McLemon",1,3,1,33
"Promoter","26-35","Ellene","Florida","Website","Acquisition","Male","Pearle",1,3,1,28
"Detractor","18-25","Raffaello","Louisiana","Website","Acquisition","Female","Allaway",1,2,1,19
"Detractor","18-25","Esteban","California","Website","Acquisition","Male","Worgen",1,2,1,22
"Promoter","26-35","Crosby","Washington","Website","Acquisition","Female","Meaddowcroft",1,3,1,31
"Passive","36-50","Demetris","Florida","Website","Acquisition","NA","Kelleher",1,4,1,39
"Passive","0-17","Aeriel","Massachusetts","Website","Acquisition","NA","Doidge",1,1,1,14
"Detractor","26-35","Chevy","Utah","Website","Acquisition","Male","Climpson",1,3,1,30
"Promoter","18-25","Roberto","Ohio","Website","Acquisition","Female","Royce",1,2,1,23
"Detractor","36-50","Cassaundra","Texas","Website","Acquisition","Male","Lisciardelli",1,4,1,44
"Passive","26-35","Martguerita","California","Website","Acquisition","NA","Hanbridge",1,3,1,33
"Promoter","0-17","Skell","Minnesota","Website","Acquisition","Female","Shawley",1,1,1,11
"Detractor","26-35","Elke","Texas","Website","Acquisition","NA","Dobey",1,3,1,35
"Passive","18-25","Corinna","Florida","Website","Acquisition","Female","Helsby",1,2,1,23
"Promoter","18-25","Malanie","Texas","Website","Acquisition","Male","Benz",1,2,1,21
"Detractor","18-25","Otha","Connecticut","Website","Acquisition","Female","Rothman",1,2,1,18
"Detractor","26-35","Flory","Texas","Website","Acquisition","NA","McIlherran",1,3,1,31
"Passive","36-50","Bonnee","District of Columbia","Website","Acquisition","Male","Lumm",1,4,1,50
"Promoter","26-35","Wendall","Kentucky","Website","Acquisition","NA","Dayce",1,3,1,29
"Detractor","26-35","Alvina","Connecticut","Website","Acquisition","Female","Ramelet",1,3,1,29
"Passive","26-35","Brynna","Arizona","Website","Acquisition","Male","Haslewood",1,3,1,31
"Promoter","NA","Wanda","California","Website","Acquisition","Male","Cronchey",1,5,1,52
"Passive","18-25","Mercie","Colorado","Website","Acquisition","Female","Hooks",1,2,1,18
"Detractor","36-50","Kennan","Minnesota","Website","Acquisition","NA","Klicher",1,4,1,50
"Detractor","18-25","Stoddard","Iowa","Website","Acquisition","NA","Ledley",1,2,1,22
"Passive","0-17","Connie","Texas","Website","Acquisition","Male","Cakebread",1,1,1,10
"Promoter","36-50","Sammy","Florida","Website","Acquisition","Female","Cyster",1,4,1,49
"Detractor","26-35","Monica","Indiana","Website","Acquisition","Male","Rehme",1,3,1,30
"Promoter","18-25","Martino","California","Website","Acquisition","NA","Adao",1,2,1,25
"Detractor","0-17","Demetris","Pennsylvania","Website","Acquisition","Female","Ferron",1,1,1,10
