"Origin","LastModifiedDate","AccountId","Description","LastReferencedDate","ContactId","IsClosed","Reason","ContactPhone","CreatedById","OwnerId","CaseNumber","IsClosedOnCreate","ContactFax","MasterRecordId","ContactMobile","ParentId","Status","IsDeleted","Comments","Priority","LastViewedDate","Subject","Type","IsEscalated","CreatedDate","ContactEmail","ClosedDate","Id","LastModifiedById"
"Email","2019-11-15T10:13:50.000Z","001B0000011lJtcIAE",,,"003B000000FBm2AIAT","false",,,"005B0000005odYPIAY","005B0000005odYPIAY","00002009","false",,,,,"New","false",,,,"I am very happy, I want take Employee survey",,"false","2019-11-15T10:13:50.000Z","pramit.das@salesforce.com",,"500B0000004Sw9lIAC","005B0000005odYPIAY"
"Phone","2019-06-05T09:14:03.000Z","001B0000011lJtbIAE",,,"003B000000FiEczIAF","false","Instructions not clear","(212) 555-5555","005B0000005odYPIAY","005B0000005odYPIAY","00001001","false","(212) 555-5555",,,,"New","false",,"High",,"Sample Case 2: The widgets we received are the wrong size.",,"false","2019-06-05T09:14:03.000Z","kavadhanula@salesforce.com",,"500B0000004fVmiIAE","005B0000005odYPIAY"
"Phone","2019-06-05T09:14:03.000Z","001B0000011lJtbIAE",,,"003B000000FiEczIAF","false",,"(212) 555-5555","005B0000005odYPIAY","005B0000005odYPIAY","00001002","false","(212) 555-5555",,,,"On Hold","false",,"Low",,"Sample Case 3: Cannot track our order.",,"false","2019-06-05T09:14:03.000Z","kavadhanula@salesforce.com",,"500B0000004fVmjIAE","005B0000005odYPIAY"
"Phone","2019-06-05T09:14:03.000Z","001B0000011lJtaIAE",,,"003B000000FiEcyIAF","false",,"(905) 555-1212","005B0000005odYPIAY","005B0000005odYPIAY","00001000","false","(555) 555-1212",,,,"Escalated","false",,"High",,"Sample Case: Our Widgets have not been delivered.",,"false","2019-06-05T09:14:03.000Z","info@salesforce.com",,"500B0000004fVmkIAE","005B0000005odYPIAY"
"Email","2019-07-05T09:40:01.000Z","001B0000011lJtaIAE","Damaged product delivered",,"003B000000FiEcxIAF","false","New problem","(415) 555-1212","005B0000005odYPIAY","005B0000005odYPIAY","00001004","false",,,,,"New","false",,"High",,"Refund","Problem","false","2019-07-05T09:40:01.000Z","kavadhanula@salesforce.com",,"500B0000004vChmIAE","005B0000005odYPIAY"
"Phone","2020-02-27T07:11:50.000Z","001B000001KAznoIAD",,,"003B000000H0W4nIAF","false",,,"005B0000005odYPIAY","005B0000005odYPIAY","00002011","false",,,,,"Escalated","false",,"Medium",,"test","Problem","false","2020-02-27T06:31:05.000Z","adelaide.mcdaniel@testdom.com",,"500B0000004lSrEIAU","005B0000005odYPIAY"
"Email","2020-03-02T15:59:32.000Z","001B000001KAzyBIAT",,,"003B000000H1JW2IAN","false",,,"005B0000005odYPIAY","005B0000005odYPIAY","00003015","false",,,,,"Escalated","false",,"Medium",,"Claims Delay",,"false","2020-03-02T15:58:19.000Z","avedachalam@salesforce.com",,"500B0000004lVGyIAM","005B0000005odYPIAY"
"Email","2020-03-02T16:00:21.000Z","001B0000011lJtcIAE",,,"003B000000H1JW2IAN","false",,,"005B0000005odYPIAY","005B0000005odYPIAY","00002008","false",,,,,"On Hold","false",,,,"happy",,"false","2019-11-15T10:09:59.000Z","avedachalam@salesforce.com",,"500B0000004Sw8JIAS","005B0000005odYPIAY"
"Email","2020-03-04T11:47:07.000Z","001B0000011lJtbIAE","Issue with sticks of dynamite issued 

Old Coyote","2020-01-18T08:12:57.000Z","003B000000FZQJrIAP","true","Existing problem","723-9996-13","005B0000005odYPIAY","005B0000005odYPIAY","00001005","false",,,,,"Closed","false",,"High","2020-01-18T08:12:57.000Z","Issue with screens delivered","Problem","false","2019-10-20T08:21:54.000Z","kavadhanula@salesforce.com","2020-03-04T11:47:07.000Z","500B0000005KH2DIAW","005B0000006OeZ0IAK"
"Email","2019-10-29T15:53:45.000Z","001B0000011lJtaIAE",,,"003B000000FiEd0IAF","true",,"(212) 555-5555","005B0000005odYPIAY","005B0000005odYPIAY","00001003","false","(212) 555-5555",,,,"Closed","false",,"Medium",,"Faulty license",,"false","2019-06-25T10:27:48.000Z","anoop.thomas@salesforce.com","2019-10-29T15:53:45.000Z","500B0000004v7LNIAY","005B0000005odYPIAY"
