"Role.RoleNames","UniqueUserName","AccountId","UserRoleId","IsActive","Role.ParentRoleId","Role.RolePath","Role.ParentRole.ForecastManager.UniqueUserName","ForecastEnabled","Name","Role.ForecastManager.UniqueUserName","Role.ParentRole.ForecastManager.Name","isDuplicate","Role.DeveloperName","SmallPhotoUrl","FirstName","Role.ParentRole.Name","Role.ForecastManager.ForecastEnabled","Role.ForecastManager.Name","Role.RoleNamesPath","Username","Role.Name","Role.Roles","Id","LastName","Role.ParentRole.DeveloperName","ManagerId"
"Admin","Admin",,"00EB0000000azEQMAY","true","NA","00EB0000000azEQMAY",,"true","Admin","Admin",,,"CEO","https://sales-ed--c.gus.content.force.com/profilephoto/005/T",,,"true","Admin","Admin","admin@sales.analytics.demo","CEO","00EB0000000azEQMAY","005B00000034KssIAE","Admin",,"005B000000389UdIAI"
"Bobby Brill","Bobby Brill",,"00EB0000000azEQMAY","true","NA","00EB0000000azEQMAY",,"true","Bobby Brill","Admin",,,"CEO","https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Bobby",,"true","Admin","Bobby Brill","bbrill@saleswave.demo","CEO","00EB0000000azEQMAY","005B00000034KxeIAE","Brill",,"005B000000389UdIAI"
"Admin","Romero Rose",,"00EB0000000Env9MAC","true","00EB0000000azELMAY","00EB0000000Env9MAC/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Barton","true","Romero Rose",,"Andrew Barton",,"Central_Manager","https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Romero","RVP Central",,,"Romero Rose/Andrew Barton/Elliot Shapiro/Admin","rromero01493074125@demo.user","Central Manager","00EB0000000Env9MAC","005B00000034W0VIAU","Rose","RVPCentral","N/A"
"Admin","Martinez Jerry",,"00EB0000000EnvEMAS","true","00EB0000000azEHMAY","00EB0000000EnvEMAS/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Malone","true","Martinez Jerry",,"Andrew Malone",,"East_Manager","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYp/T","Martinez","RVP East",,,"Martinez Jerry/Andrew Malone/Elliot Shapiro/Admin","jmartine1493074126@demo.user","East Manager","00EB0000000EnvEMAS","005B00000034W0WIAU","Jerry","RVPEast","N/A"
"Admin","Amanda Mills",,"00EB0000000azEIMAY","true","00EB0000000azEKMAY","00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Elliot Shapiro","true","Amanda Mills","Tyler Parker","Elliot Shapiro",,"RVPWest","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000HqHw/T","Amanda","VP of Sales","true","Tyler Parker","Amanda Mills/Elliot Shapiro/Admin","amills@sales.demo","RVP West","00EB0000000azEIMAY","005B00000034W0XIAU","Mills","VPSales","005B000000389UhIAI"
"Admin","Julia Hart",,"00EB0000000azECMAY","true","00EB0000000azELMAY","00EB0000000azECMAY/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Barton","true","Julia Hart",,"Andrew Barton",,"CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYV/T","Julia","RVP Central",,,"Julia Hart/Andrew Barton/Elliot Shapiro/Admin","jhart01489180171123@demo.user","Central Sales","00EB0000000azECMAY","005B00000034W1BIAU","Hart","RVPCentral","N/A"
"Admin","Susan Dunn",,"00EB0000000azECMAY","true","00EB0000000azELMAY","00EB0000000azECMAY/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Barton","true","Susan Dunn",,"Andrew Barton",,"CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Susan","RVP Central",,,"Susan Dunn/Andrew Barton/Elliot Shapiro/Admin","sdunn31489180173123@demo.user","Central Sales","00EB0000000azECMAY","005B00000034W1CIAU","Dunn","RVPCentral","N/A"
"Admin","Nicholas Wright",,"00EB0000000azECMAY","true","00EB0000000azELMAY","00EB0000000azECMAY/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Barton","true","Nicholas Wright",,"Andrew Barton",,"CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYu/T","Nicholas","RVP Central",,,"Nicholas Wright/Andrew Barton/Elliot Shapiro/Admin","nwright41489180173123@demo.user","Central Sales","00EB0000000azECMAY","005B00000034W1DIAU","Wright","RVPCentral","N/A"
"Admin","Clarence Burton",,"00EB0000000azECMAY","true","00EB0000000azELMAY","00EB0000000azECMAY/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Barton","true","Clarence Burton",,"Andrew Barton",,"CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rY1/T","Clarence","RVP Central",,,"Clarence Burton/Andrew Barton/Elliot Shapiro/Admin","cburton81489180173123@demo.user","Central Sales","00EB0000000azECMAY","005B00000034W1EIAU","Burton","RVPCentral","N/A"
"Adam Andrews","Adam Andrews",,"00EB0000000azECMAY","true","00EB0000000azELMAY","00EB0000000azECMAY/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Barton","true","Adam Andrews",,"Andrew Barton",,"CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXm/T","Adam","RVP Central",,,"Adam Andrews/Andrew Barton/Elliot Shapiro/Admin","aandrews1489180174123@demo.user","Central Sales","00EB0000000azECMAY","005B00000034W1FIAU","Andrews","RVPCentral","N/A"
