"UniqueUserName","AccountId","Email","IsYearEndFiscal_Computed","UserRoleId","IsActive","Role.ParentRoleId","Role.RolePath","PostalCode","ContactId","MobilePhone","Name","CompanyName","Department","Phone","Street","Division","isDuplicate","IndividualId","Role.DeveloperName","SmallPhotoUrl","FirstName","EmployeeNumber","Title","City","FullPhotoUrl","Username","Alias","Role.Name","State","CreatedDate","Role.Roles","Country","Id","LastName","Fax","UserType","ManagerId"
"Umair Rauf",,"urauf@salesforce.com","false","00EB0000000fdvVMAQ","true",,,,,,"Umair Rauf",,,,,,,,"CEO","https://divyasharma--c.documentforce.com/profilephoto/005/T","Umair",,,,"https://divyasharma--c.documentforce.com/profilephoto/005/F","urauf@cgdemo.com","urauf","CEO",,"2020-05-18T02:29:55.000Z",,,"005B0000005xwjCIAQ","Rauf",,"Standard",
"Automated Process",,"autoproc@00db0000000ykaomag","false",,"true",,,"94105",,,"Automated Process","Consumer Goods Analytics App",,,"1 Market St",,,,,"https://divyasharma--c.documentforce.com/profilephoto/005/T","Automated",,,"San Francisco","https://divyasharma--c.documentforce.com/profilephoto/005/F","autoproc@00db0000000ykaomag","autoproc",,"CA","2019-11-12T09:11:29.000Z",,"US","005B0000006IiyTIAS","Process",,"AutomatedProcess",
"Admin User",,"industriesengineeringdevops@salesforce.com","false","00EB0000000fdvVMAQ","true",,,"94105",,,"Admin User","Consumer Goods Analytics App",,,"1 Market St",,,,"CEO","https://divyasharma--c.documentforce.com/profilephoto/005/T","Admin",,,"San Francisco","https://divyasharma--c.documentforce.com/profilephoto/005/F","cgdev2admin@industries.org","AUser","CEO","CA","2019-11-12T09:11:29.000Z",,"US","005B0000006NoPnIAK","User",,"Standard",
"Chatter Expert",,"noreply@chatter.salesforce.com","false",,"true",,,"94105",,,"Chatter Expert",,,,"Landmark @ One Market",,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000BiTY/T",,,,"San Francisco","https://divyasharma--c.documentforce.com/profilephoto/729B0000000BiTY/F","chatty.00db0000000ykaomag.h5cim2pc4y20@chatter.salesforce.com","Chatter",,"CA","2019-11-12T09:12:48.000Z",,"USA","005B0000006NoPsIAK","Chatter Expert",,"CsnOnly",
"Platform Integration User",,"noreply@salesforce.com","false",,"true",,,,,,"Platform Integration User",,,,,,,,,"https://divyasharma--c.documentforce.com/profilephoto/005/T",,,,,"https://divyasharma--c.documentforce.com/profilephoto/005/F","cloud@00db0000000ykaomag","platint",,,"2019-11-12T09:13:18.000Z",,,"005B0000006NoPxIAK","Platform Integration User",,"CloudIntegrationUser",
"Chantelle Rep",,"agorain@salesforce.com","false",,"true",,,,,,"Chantelle Rep",,,,,,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bnzz/T",,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bnzz/F","chantellerep@salesforce.com","SRep",,,"2019-12-25T06:18:08.000Z",,,"005B0000006PwWHIA0","Chantelle Rep",,"Standard",
"Wendy West",,"agorain@salesforce.com","false",,"true",,,,,,"Wendy West",,,,,,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0i/T",,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0i/F","wendywest@salesforce.com","SRep",,,"2019-12-25T06:18:09.000Z",,,"005B0000006PwWIIA0","Wendy West",,"Standard",
"Vince West",,"agorain@salesforce.com","false",,"true",,,,,,"Vince West",,,,,,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0Y/T",,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0Y/F","vincewest@salesforce.com","SRep",,,"2019-12-25T06:18:09.000Z",,,"005B0000006PwWJIA0","Vince West",,"Standard",
"Cindy Central",,"agorain@salesforce.com","false",,"true",,,,,,"Cindy Central",,,,,,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo04/T",,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo04/F","cindycentral@salesforce.com","SRep",,,"2019-12-25T06:18:09.000Z",,,"005B0000006PwWKIA0","Cindy Central",,"Standard",
"Vanessa Central",,"agorain@salesforce.com","false",,"true",,,,,,"Vanessa Central",,,,,,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0T/T",,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0T/F","vanessacentral@salesforce.com","SRep",,,"2019-12-25T06:18:09.000Z",,,"005B0000006PwWLIA0","Vanessa Central",,"Standard",
