"LastModifiedDate","OwnerName","hasOpportunity","ID_Policy_BROKER_ID","Agent.AGENCY_NAME","Agent.AGENT_NAME","Industry","CustomFilter","OpportunityId","Agent.SALES_MANAGER","CreatedDate","ShippingState","Agent.AGENT_GENDER","BillingState","AccountName","Agent.REGION","Employees","AnnualRevenue"
"2019-08-29 20:55:30","Melissa Neal","true","BROKER_2295",,,"Transportation","true","0063s00000DYwjIAAT",,"2018-09-02 04:00:00",,,"WA","Resourcesoft",,236,6948000
"2019-08-29 20:55:30","Monica Campbell","true","BROKER_227",,,"Government","true","0063s00000DYwjKAAT",,"2018-08-13 04:00:00",,,"CA","Cipient Networks Inc",,160,3622000
"2019-08-29 20:55:30","Amanda Long","true","BROKER_1585",,,"Electronics","true","0063s00000DYwjLAAT",,"2017-10-24 04:00:00",,,"MI","Alvion Technologies",,117,8158000
"2019-08-29 20:55:30","Melissa Neal","true","BROKER_1588",,,"Technology","true","0063s00000DYwjMAAT",,"2018-11-30 05:00:00",,,"HI","Lone Star Circuits",,56,5418000
"2019-08-29 20:55:30","Monica Campbell","true","BROKER_1944",,,"Recreation","true","0063s00000DYwjNAAT",,"2019-01-26 05:00:00",,,"CA","e  bots Consulting Services",,19,5684000
"2019-08-29 20:55:30","Meagan Combs","true","BROKER_1145",,,"Machinery","true","0063s00000DYwjOAAT",,"2018-12-29 05:00:00",,,"OH","Foreshock",,229,9919000
"2019-08-29 20:55:30","Monica Campbell","true","BROKER_440",,,"Consulting","true","0063s00000DYwjPAAT",,"2017-10-20 04:00:00",,,"OR","American Environmental Container Corp.",,121,5800000
"2019-08-29 20:55:30","Mary Tyler","true","BROKER_1687",,,"Machinery","true","0063s00000DYwjQAAT",,"2019-08-10 04:00:00",,,"MN","Cenquest",,134,8135000
"2019-08-29 20:55:30","Monica Campbell","true","BROKER_533",,,"Hospitality","true","0063s00000DYwjRAAT",,"2019-06-11 04:00:00",,,"AZ","Aries Inc",,223,9266000
"2019-08-29 20:55:30","Anne Powers","true","BROKER_125",,,"Other","true","0063s00000DYwjSAAT",,"2017-11-05 04:00:00",,,"KS","SmartPartner.com",,115,3725000
"2019-08-29 20:55:30","Meagan Combs","true","BROKER_701",,,"Agriculture","true","0063s00000DYwjUAAT",,"2019-04-15 04:00:00",,,"IL","Coviant",,146,5639000
"2019-08-29 20:55:30","Heather Willis","true","BROKER_2150",,,"Entertainment","true","0063s00000DYwjVAAT",,"2019-04-10 04:00:00",,,"AZ","Associated Grocers",,105,2288000
"2019-08-29 20:55:30","Heather Willis","true","BROKER_746",,,"Healthcare & Life Sciences","true","0063s00000DYwjWAAT",,"2019-06-25 04:00:00",,,"HI","Disney Institute",,197,4141000
"2019-08-29 20:55:30","Meagan Combs","true","BROKER_1204",,,"Communications","true","0063s00000DYwjXAAT",,"2019-04-15 04:00:00",,,"WI","CORT Business Services",,192,5462000
"2019-08-29 20:55:30","Sandra Parker","true","BROKER_284",,,"Environmental","true","0063s00000DYwjYAAT",,"2018-05-14 04:00:00",,,"AK","Metapa",,0,8717000
"2019-08-29 20:55:30","Jennifer Jackson","true","BROKER_1328",,,"Insurance","true","0063s00000DYwjZAAT",,"2018-02-03 05:00:00",,,"ID","Emulex Corp. / Bothell Facility Corp.",,1,9228000
"2019-08-29 20:55:30","Monica Campbell","true","BROKER_65",,,"Biotechnology","true","0063s00000DYwjaAAD",,"2019-06-19 04:00:00",,,"CA","Global Infotech Corporation",,210,3325000
"2019-08-29 20:55:30","Heather Willis","true","BROKER_678",,,"Electronics","true","0063s00000DYwjbAAD",,"2019-06-23 04:00:00",,,"HI","TTI Asia",,179,8486000
"2019-08-29 20:55:30","Sarah Rivas","true","BROKER_1068","Vaughn and Apperson","Andre Brown","Utilities","true","0063s00000DYwjcAAD","Lisa Lewis","2018-04-10 04:00:00",,"Male","CA","Payment Plus","North West",25,9681000
"2019-08-29 20:55:30","Anne Powers","true","BROKER_1513",,,"Media","true","0063s00000DYwjdAAD",,"2017-10-01 04:00:00",,,"IA","Connections for Business",,244,4783000
"2019-08-29 20:55:30","Anne Powers","true","BROKER_407",,,"Technology","true","0063s00000DYwjlAAD",,"2018-06-17 04:00:00",,,"IA","Greenleaf Produce",,51,8408000
"2019-08-29 20:55:30","Meagan Combs","true","BROKER_2016",,,"Financial Services","true","0063s00000DYwjoAAD",,"2019-05-07 04:00:00",,,"NE","Punch Networks Corporation",,208,7027000
"2019-08-29 20:55:30","Monica Campbell","true","BROKER_2137",,,"Government","true","0063s00000DYwjpAAD",,"2017-09-13 04:00:00",,,"AZ","Centerfield Technology Inc",,198,9239000
"2019-08-29 20:55:30","Mary Tyler","true","BROKER_2102",,,"Biotechnology","true","0063s00000DYwjqAAD",,"2017-12-08 05:00:00",,,"MO","Education Interface",,93,5986000
"2019-08-29 20:55:30","Sarah Rivas","true","BROKER_2166","Brohm and Brohm","Adam Bullard","Healthcare & Life Sciences","true","0063s00000DYwjrAAD","Jeffrey Miranda","2018-05-29 04:00:00",,"Male","HI","North Hills Signal Processing Corp","North West",92,6719000
"2019-08-29 20:55:30","Mary Tyler","true","BROKER_433",,,"Engineering","true","0063s00000DYwjtAAD",,"2018-07-07 04:00:00",,,"KS","Dimension Data Premier - CO",,102,8549000
"2019-08-29 20:55:30","Sandra Parker","true","BROKER_159","Vaughn and Apperson","Verdie Porter","Agriculture","true","0063s00000DYwjuAAD","James Coleman","2017-09-09 04:00:00",,"Female","AK","MHM Services","Midwest",28,2294000
"2019-08-29 20:55:30","Amanda Long","true","BROKER_1700",,,"Technology","true","0063s00000DYwjvAAD",,"2018-03-25 04:00:00",,,"IL","Dominion Digital",,64,9902000
"2019-08-29 20:55:30","Heather Willis","true","BROKER_466",,,"Chemicals","true","0063s00000DYwjyAAD",,"2019-08-04 04:00:00",,,"OR","Vicon Solutions Inc",,216,7234000
"2019-08-29 20:55:30","Lisa Lewis","true","BROKER_1630","Stein Agency","Kara Johnson","Entertainment","true","0063s00000DYwjzAAD","Sandra Parker","2018-08-31 04:00:00",,"Female","MI","PMRealty Advisors","South East",116,5125000
"2019-08-29 20:55:30","Anne Powers","true","BROKER_1699",,,"Shipping","true","0063s00000DYwk0AAD",,"2019-08-12 04:00:00",,,"KS","Cymatix",,245,2498000
"2019-08-29 20:55:30","Jennifer Jackson","true","BROKER_640","Morris Agency","Nell Bass","Government","true","0063s00000DYwk1AAD","Chad Russo","2018-09-21 04:00:00",,"Female","AZ","Gas Equipment Company","North West",168,9319000
"2019-08-29 20:55:30","Amanda Long","true","BROKER_1568",,,"Shipping","true","0063s00000DYwk4AAD",,"2018-01-15 05:00:00",,,"WI","Millennium Hotels & Resorts",,28,7662000
"2019-08-29 20:55:30","Sarah Rivas","true","BROKER_551",,,"Telecommunications","true","0063s00000DYwk5AAD",,"2019-08-02 04:00:00",,,"OR","NetMercury",,28,4175000
"2019-08-29 20:55:30","Monica Campbell","true","BROKER_1448",,,"Utilities","true","0063s00000DYwk6AAD",,"2018-11-25 05:00:00",,,"WA","The Stop & Shop Supermarket Company",,126,6173000
"2019-08-29 20:55:30","Lisa Lewis","true","BROKER_1602","TapInsure","James Ramirez","Retail","true","0063s00000DYwk8AAD","Sandra Parker","2018-12-09 05:00:00",,"Male","MN","Rofin-Sinar Technologies","South East",139,4354000
"2019-08-29 20:55:30","Sandra Parker","true","BROKER_731",,,"Telecommunications","true","0063s00000DYwk9AAD",,"2018-09-19 04:00:00",,,"WY","iPrint.com",,97,2480000
"2019-08-29 20:55:30","Anne Powers","true","BROKER_1268","AEV Agency","Clara Wynn","Transportation","true","0063s00000DYwkAAAT","Chad Russo","2019-03-21 04:00:00",,"Female","NE","Quality Resource Assoc","North West",96,8438000
"2019-08-29 20:55:30","Lisa Lewis","true","BROKER_1836",,,"Not For Profit","true","0063s00000DYwkBAAT",,"2017-11-04 04:00:00",,,"NE","Product Development Consulting",,37,7811000
"2019-08-29 20:55:30","Meagan Combs","true","BROKER_1141",,,"Not For Profit","true","0063s00000DYwkEAAT",,"2017-11-05 04:00:00",,,"IA","Golden Key International Honour Society",,167,9386000
"2019-08-29 20:55:30","Heather Willis","true","BROKER_832",,,"Other","true","0063s00000DYwkFAAT",,"2018-01-04 05:00:00",,,"OR","Gemco  Ware",,100,5139000
"2019-08-29 20:55:30","Sarah Rivas","true","BROKER_2099",,,"Technology","true","0063s00000DYwkGAAT",,"2018-05-29 04:00:00",,,"AZ","The Surfside Group",,163,2029000
"2019-08-29 20:55:30","Lisa Lewis","true","BROKER_2220",,,"Utilities","true","0063s00000DYwkIAAT",,"2018-03-08 05:00:00",,,"KS","Oklahoma Department of Commerce",,24,7175000
"2019-08-29 20:55:30","Anne Powers","true","BROKER_599",,,"Insurance","true","0063s00000DYwkKAAT",,"2018-10-14 04:00:00",,,"OH","Hispanic Outsourcing Solutions",,132,6520000
"2019-08-29 20:55:30","Melissa Neal","true","BROKER_1140",,,"Banking","true","0063s00000DYwkLAAT",,"2018-12-14 05:00:00",,,"NM","Practicorp",,46,7220000
"2019-08-29 20:55:30","Sarah Rivas","true","BROKER_1275",,,"Government","true","0063s00000DYwkMAAT",,"2019-06-09 04:00:00",,,"OR","WEFA",,29,6758000
"2019-08-29 20:55:30","Sandra Parker","true","BROKER_1154",,,"Chemicals","true","0063s00000DYwkNAAT",,"2019-03-11 04:00:00",,,"MT","Crane Aerospace Division / Hydro  Aire",,234,8907000
"2019-08-29 20:55:30","Meagan Combs","true","BROKER_677",,,"Food & Beverage","true","0063s00000DYwkOAAT",,"2018-03-07 05:00:00",,,"IN","CitySoft",,161,7053000
"2019-08-29 20:55:30","Sandra Parker","true","BROKER_759","Sean Banks Agency","Evangeline Bakker","Education","true","0063s00000DYwkPAAT","Monica Campbell","2018-01-22 05:00:00",,"Female","AZ","SYNNEX Corporation","North East",152,9392000
"2019-08-29 20:55:30","Sandra Parker","true","BROKER_1682",,,"Utilities","true","0063s00000DYwkQAAT",,"2018-06-05 04:00:00",,,"CA","Healthsense",,173,6523000
