"LastModifiedDate","Company","ConvertedDate","Rating","ConvertedAccountShippingState","ID_Policy_BROKER_ID","ConvertedOpportunityName","Industry","ConvertedAccountName","Agent_AGENT_NAME","Agent_AGENT_GENDER","Agent_SALES_MANAGER","Agent_AGENCY_NAME","Agent_REGION","Status","ConvertedAccountBillingState","LastProcessedDate","Converted","ConvertedAccountType","OwnerID","ConvertedAccountOwnerId","FullName","Referrer","CreatedDate","Lead_Source","LeadID","ConvertedOpportunityID","UnreadByOwner","Agent_CAPTIVE_AGENT","ConvertedAccountOwnerName","ConvertedAccountIndustry","TotalOpportunityAge","ConvertedAccountAnnualRevenue","TouchesToConvert","ActivityTouchesToConvert","ActivityTouches","LeadAgeInDays"
"2019-09-12 21:00:40","Digitek Computer Products","2019-01-21 05:00:00","Cool",,"BROKER_953","Digitek Computer Products 247","Entertainment","Digitek Computer Products","Angela Powers","Female","Evan Bullock","Ball Group","North East","Qualified - Convert","NY","2019-10-07 14:44:49","true","Mid-Market","0053s000002J4U9AAK","0053s000002J4U9AAK","Aaron Brown","Otto Dietz","2019-09-12 21:00:40","Reseller","00Q3s000012xga1EAA","0063s00000DYxruAAD","true","Angela Powers","Anne Powers","Entertainment",-188.88,495764000,7,7,7,0
"2019-09-12 21:00:44","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_696",,"N/A","Xcelerate Corp.","Kathleen Culp","Female","Justin Chen","Levin Insurance Agency","Midwest","Pending",,"2019-10-07 14:44:49","false",,"0056A000001ogPVQAY",,"Aaron Johnson","Angela Powers","2019-09-12 21:00:44","Fields Sales","00Q3s000012xgcUEAQ",,"true","Kathleen Culp",,,0,0,9,9,9,0
"2019-09-12 21:00:13","Grey Zone Productions","2017-10-04 04:00:00","Cool",,"BROKER_193","Grey Zone Productions 58","Construction","Grey Zone Productions","Dorothy Sheffield","Female","Jennifer Jackson","ARE Agency","Midwest","Qualified - Convert","IL","2019-10-07 14:44:49","true","Corporate","0056A000001ogPTQAY","0056A000001ogPTQAY","Aaron Kirk","Leo Neff","2019-09-12 21:00:13","Fields Sales","00Q3s000012xgLKEAY","0063s00000DYwwWAAT","true","Dorothy Sheffield","Meagan Combs","Construction",-624.88,2105000,3,3,3,0
"2019-09-12 21:00:35","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_1713",,"N/A","Fine Light","Daniel Powers","Male","Sandra Parker","Atkins Agency","South East","Approved",,"2019-10-07 14:44:49","false",,"0056A000001ogPSQAY",,"Aaron Morrison","NA","2019-09-12 21:00:35","Fields Sales","00Q3s000012xgWHEAY",,"true","Daniel Powers",,,0,0,7,7,7,0
"2019-09-12 21:00:40","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_596",,"N/A","IDEXX Computer Systems","Charles Wolf","Male","Matthew Hanna","Nirel Agency","South East","Archived",,"2019-10-07 14:44:49","false",,"0056A000001ogPVQAY",,"Aaron Price","NA","2019-09-12 21:00:40","Fields Sales","00Q3s000012xgYuEAI",,"true","Charles Wolf",,,0,0,6,6,6,0
"2019-09-12 21:00:35","Hemstreet Development","2017-12-23 05:00:00","Warm",,"BROKER_445","Hemstreet Development 13","Environmental","Hemstreet Development","Carolyn Bostick","Female","Melissa Neal","Insurato","South West","Qualified - Convert","NM","2019-10-07 14:44:49","true","Corporate","0056A000001ogPVQAY","0056A000001ogPVQAY","Aaron Williams","Debra Shepard","2019-09-12 21:00:35","Other","00Q3s000012xgXTEAY","0063s00000DYxhyAAD","true","Carolyn Bostick","Heather Willis","Environmental",-546.88,9093000,10,10,10,0
"2019-09-12 21:00:40","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_559",,"N/A","IBM Software Group","Angela Graham","Female","Jennifer Jackson","Ball Group","Midwest","Rejected",,"2019-10-07 14:44:49","false",,"0053s000002J4U9AAK",,"Abigail Bryan","NA","2019-09-12 21:00:40","Fields Sales","00Q3s000012xgYbEAI",,"true","Angela Graham",,,0,0,5,5,5,0
"2019-09-12 21:00:18","Not Applicable","1970-01-15 00:00:00","Cool",,"BROKER_1299",,"N/A","B&B Socket Products","Dallas Amann","Male","Chad Russo","Zann and Sons","North West","Submitted",,"2019-10-07 14:44:49","false",,"0056A000001ogPWQAY",,"Abigail Riley","Brianne Copeland","2019-09-12 21:00:18","Reseller","00Q3s000012xgO4EAI",,"true","Dallas Amann",,,0,0,9,9,9,0
"2019-09-12 21:00:13","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_1489",,"N/A","Airspeak Inc","Christopher Leclair","Male","Matthew Hanna","Laurence Agency","South East","Draft",,"2019-10-07 14:44:49","false",,"0053s000002J4UFAA0",,"Adam Brown","Beatrice Cleek","2019-09-12 21:00:13","Fields Sales","00Q3s000012xgKVEAY",,"true","Christopher Leclair",,,0,0,7,7,7,0
"2019-09-12 21:00:22","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_1589",,"N/A","Brenton Engineering Co.","Benjamin Ryan","Male","Anne Powers","TapInsure","South East","Rejected",,"2019-10-07 14:44:49","false",,"0053s000002J4U8AAK",,"Adam Nguyen","Roberta Martinez","2019-09-12 21:00:22","Fields Sales","00Q3s000012xgQ5EAI",,"true","Benjamin Ryan",,,0,0,9,9,9,0
