"OWNERUNIQUEUSERNAME","ISHIGHPRIORITY","OWNERID","ACCOUNTRECORDTYPENAME","ACCOUNTTYPE","OWNERSTATE","ACTIVITYDATE","PRIORITY","CREATEDDATE","OWNERCITY","STATUS","DESCRIPTION","OWNERROLENAME","EVENTSUBTYPE","ACCOUNTID","OWNERSMALLPHOTOURL","DUEDATE","TYPE","ANALYTICSDEMO_BATCH_ID_C","ACCOUNTINVESTMENTOBJECTIVES","REGARDING","TASKSUBTYPE","ACCOUNTNAME","ACCOUNTINVESTMENTEXPERIENCE","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","OWNERNAME","ACCOUNTBALANCEBUCKET","CALLTYPE","SUBJECT","OWNEREMAIL","DueDays"
"Mark Garet","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-15","High","2019-06-17","Chicago","In progress","-","Manager","Call","0011U00000Kcp1JQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-08","Meeting","2.01908291351258E+019","Income","Onboarding","Call","Adams Charitable Trust (Sample)","Moderately Inexperienced","2020-07-06","Retired","Allen Advisor","1. Less than 50k","Event","Sync Up","allen.advisor@example.com",329
"Chelsea Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2020-06-24","High","2020-01-05","Florida","Not Started","-","Manager","Call","0011U00000Kcp1KQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-17","Other","2.01908291351258E+019","Balanced Growth","Service","Call","Adams Household (Sample)","Moderately Experienced","2020-07-06","Mass Market","Chelsea Advisor","1. Less than 50k","Event","Evaluate Refinancing Loan","ryan.dobson@example.com",320
"Mark Garet","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-07-02","High","2020-06-08","Florida","Not Started","-","Manager","Call","0011U00000Kcp1LQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-25","Email","2.01908291351258E+019","Aggressive Growth","Service","Call","Neil Symonds (Sample)","Moderately Experienced","2020-07-06","Retired","Chelsea Advisor","1. Less than 50k","Event","Quarterly Earnings Summary","ryan.dobson@example.com",312
"Allen Advisor","true","0051U000005KhW6QAK","Individual","Customer","NY","2020-07-01","High","2020-07-01","New York","Completed","-","Manager","Call","0011U00000Kcp1NQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-24","Other","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Rachel Adams (Sample)","Moderately Experienced","2020-07-06","Millennials","Mark Garet","1. Less than 50k","Event","Sync Up","mark.garet@example.com",313
"Mark Garet","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-17","High","2019-10-21","Chicago","In progress","-","Manager","Call","0011U00000Kcp1MQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-10","Call","2.01908291351258E+019","Aggressive Growth","Client Retention","Call","Nigel Adams (Sample)","Inexperienced","2020-07-06","Retired","Allen Advisor","1. Less than 50k","Event","Sync Up","allen.advisor@example.com",327
"Chelsea Advisor","true","0051U000005KhW6QAK","Household","Customer","NY","2020-06-27","High","2020-06-22","New York","Completed","-","Manager","Call","0011U00000Kcp1OQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-20","Meeting","2.01908291351258E+019","Income","Service","Call","Smith, Kohl and Company (Sample)","Experienced","2020-07-06","Millennials","Mark Garet","2. Between 50k and 250k","Event","Quarterly Earnings Summary","mark.garet@example.com",317
"Mark Garet","true","0051U000005KhW6QAK","Household","Customer","NY","2020-06-27","High","2020-06-21","New York","Event","-","Manager","Call","0011U00000Kcp1PQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-20","Email","2.01908291351258E+019","Growth","Onboarding","Call","Symonds Household (Sample)","Experienced","2020-07-06","High Net Worth Families","Mark Garet","2. Between 50k and 250k","Event","Lunch Meeting","mark.garet@example.com",317
"Chelsea Advisor","true","0051U000005KhW6QAK","Individual","Customer","NY","2020-06-17","High","2020-06-17","New York","Not Started","-","Manager","Call","0011U00000Kss4jQAB","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-10","Other","2.01908291351258E+019","Income","Client Retention","Call","Jinni Boyd","Experienced","2020-07-06","Mass Market","Mark Garet","1. Less than 50k","Event","Discussion","mark.garet@example.com",327
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-24","High","2019-11-11","San Francisco","Completed","-","Manager","Call","0011U00000KuFXFQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-17","Call","2.01908291351258E+019","Income","Onboarding","Call","Kristen Beasley","Experienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Quarterly Earnings Summary","sunil.dixit@example.com",320
"Chelsea Advisor","true","0051U000005L4E9QAK","Individual","Customer","CA","2020-06-07","High","2019-12-25","San Francisco","Completed","-","Manager","Call","0011U00000KuWpYQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-07-31","Call","2.01908291351258E+019","Income","Service","Call","Fredericka Mccullough","Experienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Discussion","sunil.dixit@example.com",337
