"ANALYTICSDEMO_BATCH_ID_C","OWNERUNIQUEUSERNAME","ACCOUNTINVESTMENTOBJECTIVES","ACCOUNTNAME","ACCOUNTCLIENTCATEGORYCUSTOM","LastProcessedDate","PRIORITY","ACCOUNTMARKETINGSEGMENT","ACCOUNTSERVICEMODEL","ACCOUNTBALANCEBUCKET","CREATEDDATE","ACCOUNTPRIMARYCONTACTGENDER","ACCOUNTBILLINGSTATE","ACCOUNTID","ID","ACCOUNTYEARSSINCECLIENTBUCKET","ACCOUNTLASTINTERACTION","ACCOUNTAGEBUCKET"
"20190823181914853028","Chelsea Advisor","Income","Adams Charitable Trust (Sample)","1 - Platinum","2019-08-23","Low","Millennials","Tier 1","1. Less than 50k","2018-08-26 00:00:00","Male","CA","0011U00000Kcp1JQAR","W_Sales_Case.1","6. Greater than 15Y","2018-10-08","3. 30-49"
"20190823181914853028","Chelsea Advisor","Income","Adams Charitable Trust (Sample)","1 - Platinum","2019-08-23","Medium","Millennials","Tier 1","1. Less than 50k","2018-08-22 00:00:00","Male","CA","0011U00000Kcp1JQAR","W_Sales_Case.2","6. Greater than 15Y","2018-10-08","3. 30-49"
"20190823181914853028","Mark Garet","Aggressive Growth","Adams Household (Sample)","2 - Gold","2019-08-23","Low","Mass Market","Tier 2","1. Less than 50k","2019-02-06 00:00:00","Female","NY","0011U00000Kcp1KQAR","W_Sales_Case.3","6. Greater than 15Y","2019-02-24","4. 50-69"
"20190823181914853028","Mark Garet","Aggressive Growth","Adams Household (Sample)","2 - Gold","2019-08-23","High","Mass Market","Tier 2","1. Less than 50k","2019-03-02 00:00:00","Female","NY","0011U00000Kcp1KQAR","W_Sales_Case.4","6. Greater than 15Y","2019-02-24","4. 50-69"
"20190823181914853028","Mark Garet","Growth","Neil Symonds (Sample)","2 - Gold","2019-08-23","Critical","Retired","Tier 3","2. Between 50k and 250k","2019-05-02 00:00:00","Female","NY","0011U00000Kcp1LQAR","W_Sales_Case.5","6. Greater than 15Y","2019-08-06","2. 18-29"
"20190823181914853028","Mark Garet","Income","Rachel Adams (Sample)","1 - Platinum","2019-08-23","Critical","Millennials","Tier 1","1. Less than 50k","2019-04-27 00:00:00","Male","CA","0011U00000Kcp1NQAR","W_Sales_Case.6","6. Greater than 15Y","2019-04-24","2. 18-29"
"20190823181914853028","Mark Garet","Aggressive Growth","Nigel Adams (Sample)","2 - Gold","2019-08-23","High","Mass Market","Tier 2","2. Between 50k and 250k","2019-06-06 00:00:00","Male","CA","0011U00000Kcp1MQAR","W_Sales_Case.7","6. Greater than 15Y","2019-06-21","4. 50-69"
"20190823181914853028","Mark Garet","Aggressive Growth","Nigel Adams (Sample)","2 - Gold","2019-08-23","Low","Mass Market","Tier 2","2. Between 50k and 250k","2019-05-11 00:00:00","Male","CA","0011U00000Kcp1MQAR","W_Sales_Case.8","6. Greater than 15Y","2019-06-21","4. 50-69"
"20190823181914853028","Mark Garet","Aggressive Growth","Nigel Adams (Sample)","2 - Gold","2019-08-23","Low","Mass Market","Tier 2","2. Between 50k and 250k","2019-06-02 00:00:00","Male","CA","0011U00000Kcp1MQAR","W_Sales_Case.9","6. Greater than 15Y","2019-06-21","4. 50-69"
"20190823181914853028","Mark Garet","Aggressive Growth","Nigel Adams (Sample)","2 - Gold","2019-08-23","High","Mass Market","Tier 2","2. Between 50k and 250k","2019-03-24 00:00:00","Male","CA","0011U00000Kcp1MQAR","W_Sales_Case.10","6. Greater than 15Y","2019-06-21","4. 50-69"
"20190823181914853028","Mark Garet","Growth","Smith, Kohl and Company (Sample)","1 - Platinum","2019-08-23","High","Retired","Tier 3","1. Less than 50k","2018-10-24 00:00:00","Female","NY","0011U00000Kcp1OQAR","W_Sales_Case.11","6. Greater than 15Y","2019-05-15","2. 18-29"
"20190823181914853028","Brenda Banker","Growth","Symonds Household (Sample)","3 - Silver","2019-08-23","Low","High Net Worth Families","Tier 3","2. Between 50k and 250k","2019-07-19 00:00:00","Female","CA","0011U00000Kcp1PQAR","W_Sales_Case.12","6. Greater than 15Y","2019-08-14","2. 18-29"
"20190823181914853028","Chelsea Advisor","Income","Jinni Boyd","5 - Standard","2019-08-23","Low","Affluent Professionals","Tier 1","1. Less than 50k","2018-09-08 00:00:00","Female","IL","0011U00000Kss4jQAB","W_Sales_Case.13","6. Greater than 15Y","2019-03-26","5. > 69"
"20190823181914853028","Brenda Banker","Balanced Growth","Kristen Beasley","1 - Platinum","2019-08-23","Critical","High Net Worth Families","Tier 3","2. Between 50k and 250k","2018-09-16 00:00:00","Male","NY","0011U00000KuFXFQA3","W_Sales_Case.14","6. Greater than 15Y","2019-03-19","4. 50-69"
"20190823181914853028","Mark Garet","Income","Fredericka Mccullough","1 - Platinum","2019-08-23","Critical","Affluent Professionals","Tier 3","2. Between 50k and 250k","2018-05-26 00:00:00","Male","NY","0011U00000KuWpYQAV","W_Sales_Case.15","6. Greater than 15Y","2019-06-05","3. 30-49"
"20190823181914853028","Allen Advisor","Income","Hedley Church","3 - Silver","2019-08-23","Medium","Mass Market","Tier 1","1. Less than 50k","2019-03-15 00:00:00","Female","NY","0011U00000KuFXHQA3","W_Sales_Case.16","6. Greater than 15Y","2019-02-26","4. 50-69"
"20190823181914853028","Allen Advisor","Growth","Wallace Summers","5 - Standard","2019-08-23","Medium","Mass Market","Tier 1","1. Less than 50k","2019-03-31 00:00:00","Male","CA","0011U00000KuFXIQA3","W_Sales_Case.17","6. Greater than 15Y","2019-04-28","2. 18-29"
"20190823181914853028","Allen Advisor","Growth","Wallace Summers","5 - Standard","2019-08-23","High","Mass Market","Tier 1","1. Less than 50k","2019-03-13 00:00:00","Male","CA","0011U00000KuFXIQA3","W_Sales_Case.18","6. Greater than 15Y","2019-04-28","2. 18-29"
"20190823181914853028","Allen Advisor","Income","Zane Cervantes","3 - Silver","2019-08-23","Medium","Mass Market","Tier 2","1. Less than 50k","2018-07-06 00:00:00","Female","CA","0011U00000KuFXJQA3","W_Sales_Case.19","6. Greater than 15Y","2019-04-28","3. 30-49"
"20190823181914853028","Brenda Banker","Balanced Growth","Carissa Mckee","1 - Platinum","2019-08-23","Critical","Mass Market","Tier 2","1. Less than 50k","2019-08-17 00:00:00","Male","CA","0011U00000KuFXKQA3","W_Sales_Case.20","6. Greater than 15Y","2019-07-26","2. 18-29"
"20190823181914853028","Allen Advisor","Aggressive Growth","Akeem Head","2 - Gold","2019-08-23","Low","Retired","Tier 3","2. Between 50k and 250k","2018-08-05 00:00:00","Male","CA","0011U00000KuFXLQA3","W_Sales_Case.21","6. Greater than 15Y","2018-09-28","4. 50-69"
"20190823181914853028","Allen Advisor","Aggressive Growth","Akeem Head","2 - Gold","2019-08-23","Low","Retired","Tier 3","2. Between 50k and 250k","2018-08-11 00:00:00","Male","CA","0011U00000KuFXLQA3","W_Sales_Case.22","6. Greater than 15Y","2018-09-28","4. 50-69"
"20190823181914853028","Allen Advisor","Aggressive Growth","Akeem Head","2 - Gold","2019-08-23","Medium","Retired","Tier 3","2. Between 50k and 250k","2018-06-17 00:00:00","Male","CA","0011U00000KuFXLQA3","W_Sales_Case.23","6. Greater than 15Y","2018-09-28","4. 50-69"
"20190823181914853028","Allen Advisor","Aggressive Growth","Akeem Head","2 - Gold","2019-08-23","Critical","Retired","Tier 3","2. Between 50k and 250k","2018-09-08 00:00:00","Male","CA","0011U00000KuFXLQA3","W_Sales_Case.24","6. Greater than 15Y","2018-09-28","4. 50-69"
"20190823181914853028","Allen Advisor","Aggressive Growth","Akeem Head","2 - Gold","2019-08-23","Medium","Retired","Tier 3","2. Between 50k and 250k","2018-06-14 00:00:00","Male","CA","0011U00000KuFXLQA3","W_Sales_Case.25","6. Greater than 15Y","2018-09-28","4. 50-69"
