"FINANCIALACCOUNTNAME","ACCOUNTCLIENTCATEGORYCUSTOM","TRANSACTIONDATE","ACCOUNTSERVICEMODEL","HELDAWAY","FINANCIALACCOUNTID","ACCOUNTOWNERNAME","TRANSACTIONTYPE","ACCOUNTID","ACCOUNTYEARSSINCECLIENTBUCKET","ACCOUNTLASTINTERACTION","ACCOUNTAGEBUCKET","ANALYTICSDEMO_BATCH_ID_C","TRANSACTIONSTATUS","ACCOUNTINVESTMENTOBJECTIVES","ACCOUNTNAME","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","ACCOUNTBALANCEBUCKET","FEESTYPE","FINANCIALACCOUNTTYPE","ACCOUNTPRIMARYCONTACTGENDER","ACCOUNTBILLINGSTATE","BALANCEAMOUNT","FEES","AMOUNT"
"Raven Clark Mutual Fund1989","1 - Platinum","2018-05-30","Tier 1",True,"FinAcct.0011U00000KuFnJQAV-1989","Brenda Banker","Credit","0011U00000KuFnJQAV","6. Greater than 15Y","2019-07-29T21:37:43","3. 30-49","20190829100511427864","B","Income","Raven Clark","2019-10-07","Mass Market","1. Less than 50k","Checking Account Fees","Mutual Fund","Female","CA",0,5,800
"Griffin Thompson Managed Account1988","5 - Standard","2018-09-19","Tier 2",True,"FinAcct.0011U00000KuFnIQAV-1988","Allen Advisor","Debit","0011U00000KuFnIQAV","6. Greater than 15Y","2018-12-22T01:23:11","3. 30-49","20190829100511427864","B","Growth","Griffin Thompson","2019-10-07","Retired","1. Less than 50k","ATM Fees","Managed Account","Female","CA",0,1,100
"Griffin Thompson Managed Account1988","5 - Standard","2018-10-17","Tier 2",True,"FinAcct.0011U00000KuFnIQAV-1988","Allen Advisor","Debit","0011U00000KuFnIQAV","6. Greater than 15Y","2018-12-22T01:23:11","3. 30-49","20190829100511427864","A","Growth","Griffin Thompson","2019-10-07","Retired","1. Less than 50k","Checking Account Fees","Managed Account","Female","CA",0,1,100
"Griffin Thompson Managed Account1988","5 - Standard","2019-01-09","Tier 2",True,"FinAcct.0011U00000KuFnIQAV-1988","Allen Advisor","Credit","0011U00000KuFnIQAV","6. Greater than 15Y","2018-12-22T01:23:11","3. 30-49","20190829100511427864","B","Growth","Griffin Thompson","2019-10-07","Retired","1. Less than 50k","ATM Fees","Managed Account","Female","CA",0,5,800
"Griffin Thompson Mutual Fund1987","5 - Standard","2018-04-04","Tier 2",True,"FinAcct.0011U00000KuFnIQAV-1987","Allen Advisor","Debit","0011U00000KuFnIQAV","6. Greater than 15Y","2018-12-22T01:23:11","3. 30-49","20190829100511427864","A","Growth","Griffin Thompson","2019-10-07","Retired","1. Less than 50k","Checking Account Fees","Mutual Fund","Female","CA",0,3,100
"Griffin Thompson Mutual Fund1987","5 - Standard","2018-07-25","Tier 2",True,"FinAcct.0011U00000KuFnIQAV-1987","Allen Advisor","Debit","0011U00000KuFnIQAV","6. Greater than 15Y","2018-12-22T01:23:11","3. 30-49","20190829100511427864","B","Growth","Griffin Thompson","2019-10-07","Retired","1. Less than 50k","Card replacement Fees","Mutual Fund","Female","CA",0,5,800
"Griffin Thompson Mutual Fund1987","5 - Standard","2019-04-03","Tier 2",True,"FinAcct.0011U00000KuFnIQAV-1987","Allen Advisor","Credit","0011U00000KuFnIQAV","6. Greater than 15Y","2018-12-22T01:23:11","3. 30-49","20190829100511427864","A","Growth","Griffin Thompson","2019-10-07","Retired","1. Less than 50k","Cashier's Check Fees","Mutual Fund","Female","CA",0,1,1000
"Brenna Porter Managed Account1986","1 - Platinum","2018-11-17","Tier 2",False,"FinAcct.0011U00000KuFnHQAV-1986","Chelsea Advisor","Credit","0011U00000KuFnHQAV","6. Greater than 15Y","2019-07-28T04:02:40","4. 50-69","20190829100511427864","B","Aggressive Growth","Brenna Porter","2019-10-07","Mass Market","2. Between 50k and 250k","Debit Card Transaction Fees","Managed Account","Male","CA",0,5,1000
"Brenna Porter Managed Account1986","1 - Platinum","2019-01-01","Tier 2",False,"FinAcct.0011U00000KuFnHQAV-1986","Chelsea Advisor","Credit","0011U00000KuFnHQAV","6. Greater than 15Y","2019-07-28T04:02:40","4. 50-69","20190829100511427864","B","Aggressive Growth","Brenna Porter","2019-10-07","Mass Market","2. Between 50k and 250k","Additional Checks Fees","Managed Account","Male","CA",0,1,800
"Brenna Porter Managed Account1985","1 - Platinum","2018-11-14","Tier 2",True,"FinAcct.0011U00000KuFnHQAV-1985","Chelsea Advisor","Credit","0011U00000KuFnHQAV","6. Greater than 15Y","2019-07-28T04:02:40","4. 50-69","20190829100511427864","B","Aggressive Growth","Brenna Porter","2019-10-07","Mass Market","2. Between 50k and 250k","ATM Fees","Managed Account","Male","CA",0,3,100
