"HOUSEHOLD","OWNERTITLE","OWNERUNIQUEUSERNAME","OWNERID","OWNERSTATE","HOUSEHOLDCREATEDDATE","ACCOUNTCLIENTCATEGORYCUSTOM","ACCOUNTRELATIONSHIPSTARTDATE","LASTMODIFIEDDATE","ACCOUNTSERVICEMODEL","HELDAWAY","ACCOUNTBILLINGCITY","OWNERPHONE","CREATEDDATE","OWNERCITY","RECORDTYPENAME","OWNERROLENAME","ACCOUNTID","HOUSEHOLDNAME","OWNERSMALLPHOTOURL","ID","ACCOUNTYEARSSINCECLIENTBUCKET","ACCOUNTLASTINTERACTION","ACCOUNTAGEBUCKET","ANALYTICSDEMO_BATCH_ID_C","ACCOUNTINVESTMENTOBJECTIVES","ACCOUNTNAME","ACCOUNTNEXTREVIEW","LastProcessedDate","PRIMARYOWNER","ACCOUNTCREATEDDATE","ACCOUNTMARKETINGSEGMENT","OWNERNAME","NAME","ACCOUNTBALANCEBUCKET","FINANCIALACCOUNTTYPE","ACCOUNTPRIMARYCONTACTGENDER","ACCOUNTBILLINGSTATE","ACCOUNTSTATUS","MANAGE","OWNEREMAIL","OWNERSHIP","DepositAndInvestmentBalanceAmount","LOANAMOUNT","BALANCEAMOUNT","INVESTMENTAMOUNT","ACCOUNTYEARSSINCECLIENT","ACCOUNTDAYSSINCELASTINTERACTION"
"0011U00000Kcp1KQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2019-04-27","5 - Standard","2017-11-04","2019-08-21","Tier 3","false","Sabrinamouth",,"2020-07-03","Florida","Investment Account","Manager","0011U00000Kcp1JQAR","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000Kcp1JQAR-1","6. Greater than 15Y","2019-04-30T08:44:56","2. 18-29","2.01908231740307E+019","Balanced Growth","Adams Charitable Trust (Sample)","2018-05-21","2020-07-06","0051U000005L6eJQAS","2019-04-27","Mass Market","Chelsea Advisor","Adams Charitable Trust (Sample) Brokerage1","1. Less than 50k","Brokerage","Male","NY","Active","true","ryan.dobson@example.com","Individual",514673,4132,264610,250063,2019,115
"0011U00000Kcp1KQAR","Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2018-04-13","2 - Gold","2014-03-28","2019-08-23","Tier 2","false","Edwardschester",,"2020-07-05","San Francisco","Mutual Fund Investment","Manager","0011U00000Kcp1KQAR","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000Kcp1KQAR-2","6. Greater than 15Y","2019-04-11T14:18:32","4. 50-69","2.01908231740307E+019","Growth","Adams Household (Sample)","2018-05-29","2020-07-06","0051U000005L4E9QAK","2018-04-13","Mass Market","Brenda Banker","Adams Household (Sample) Mutual Fund2","2. Between 50k and 250k","Mutual Fund","Male","FL","Onboarding","true","sunil.dixit@example.com","Trust",525214,3344,397277,127937,2017,134
,"Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2018-04-13","2 - Gold","2014-03-28","2019-08-21","Tier 2","false","Edwardschester",,"2020-07-03","San Francisco","Savings Account","Manager","0011U00000Kcp1KQAR",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000Kcp1KQAR-3","6. Greater than 15Y","2019-04-11T14:18:32","4. 50-69","2.01908231740307E+019","Growth","Adams Household (Sample)","2018-05-29","2020-07-06","0051U000005L4E9QAK","2018-04-13","Mass Market","Brenda Banker","Adams Household (Sample) Savings3","2. Between 50k and 250k","Savings","Male","FL","Onboarding","true","sunil.dixit@example.com","Trust",460818,3434,270141,190677,2017,134
,"Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2018-04-13","2 - Gold","2014-03-28","2019-08-22","Tier 2","false","Edwardschester",,"2020-07-04","San Francisco","Bank Account","Manager","0011U00000Kcp1KQAR",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000Kcp1KQAR-4","6. Greater than 15Y","2019-04-11T14:18:32","4. 50-69","2.01908231740307E+019","Growth","Adams Household (Sample)","2018-05-29","2020-07-06","0051U000005L4E9QAK","2018-04-13","Mass Market","Brenda Banker","Adams Household (Sample) Cash Management Account4","2. Between 50k and 250k","Cash Management Account","Male","FL","Onboarding","true","sunil.dixit@example.com","Individual",512789,2744,253481,259308,2017,134
,"Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2019-08-09","1 - Platinum","2019-06-25","2019-08-23","Tier 3","false","Kristenbury",,"2020-07-05","Chicago","Investment Account","Manager","0011U00000Kcp1LQAR",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000Kcp1LQAR-5","6. Greater than 15Y","2019-08-11T02:47:02","5. > 69","2.01908231740307E+019","Income","Neil Symonds (Sample)","2018-10-09","2020-07-06","0051U000005JQyrQAG","2019-08-09","Retired","Allen Advisor","Neil Symonds (Sample) Managed Account5","1. Less than 50k","Managed Account","Female","CA","Active","true","allen.advisor@example.com","Joint",477712,3028,295344,182368,2019,12
"0011U00000Kcp1KQAR","Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2019-08-09","1 - Platinum","2019-06-25","2019-08-23","Tier 3","true","Kristenbury",,"2020-07-05","Chicago","Bank Account","Manager","0011U00000Kcp1LQAR","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000Kcp1LQAR-6","6. Greater than 15Y","2019-08-11T02:47:02","5. > 69","2.01908231740307E+019","Income","Neil Symonds (Sample)","2018-10-09","2020-07-06","0051U000005JQyrQAG","2019-08-09","Retired","Allen Advisor","Neil Symonds (Sample) Cash Management Account6","1. Less than 50k","Cash Management Account","Female","CA","Active","false","allen.advisor@example.com","Individual",599795,4431,391775,208020,2019,12
,"Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2019-08-09","1 - Platinum","2019-06-25","2019-08-23","Tier 3","true","Kristenbury",,"2020-07-05","Chicago","Investment Account","Manager","0011U00000Kcp1LQAR",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000Kcp1LQAR-7","6. Greater than 15Y","2019-08-11T02:47:02","5. > 69","2.01908231740307E+019","Income","Neil Symonds (Sample)","2018-10-09","2020-07-06","0051U000005JQyrQAG","2019-08-09","Retired","Allen Advisor","Neil Symonds (Sample) Brokerage7","1. Less than 50k","Brokerage","Female","CA","Active","false","allen.advisor@example.com","Joint",450837,4374,250758,200079,2019,12
"0011U00000Kcp1KQAR","Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2019-06-08","5 - Standard","2013-02-02","2019-08-23","Tier 2","true","Sanchezport",,"2020-07-05","San Francisco","Investment Account","Manager","0011U00000Kcp1NQAR","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000Kcp1NQAR-8","6. Greater than 15Y","2019-06-20T14:55:13","2. 18-29","2.01908231740307E+019","Balanced Growth","Rachel Adams (Sample)","2019-06-20","2020-07-06","0051U000005L4E9QAK","2019-06-08","Millennials","Brenda Banker","Rachel Adams (Sample) Mutual Fund8","1. Less than 50k","Mutual Fund","Female","NY","Active","false","sunil.dixit@example.com","Joint",471587,2870,344883,126704,2017,64
"0011U00000Kcp1PQAR","Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2019-06-08","5 - Standard","2013-02-02","2019-08-22","Tier 2","false","Sanchezport",,"2020-07-01","San Francisco","Mutual Fund Investment","Manager","0011U00000Kcp1NQAR","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000Kcp1NQAR-9","6. Greater than 15Y","2019-06-20T14:55:13","2. 18-29","2.01908231740307E+019","Balanced Growth","Rachel Adams (Sample)","2019-06-20","2020-07-06","0051U000005L4E9QAK","2019-06-08","Millennials","Brenda Banker","Rachel Adams (Sample) Mutual Fund9","1. Less than 50k","Mutual Fund","Female","NY","Active","true","sunil.dixit@example.com","Trust",572766,2741,380279,192487,2017,64
,"Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2019-06-08","5 - Standard","2013-02-02","2019-08-21","Tier 2","false","Sanchezport",,"2020-07-02","San Francisco","Investment Account","Manager","0011U00000Kcp1NQAR",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000Kcp1NQAR-10","6. Greater than 15Y","2019-06-20T14:55:13","2. 18-29","2.01908231740307E+019","Balanced Growth","Rachel Adams (Sample)","2019-06-20","2020-07-06","0051U000005L4E9QAK","2019-06-08","Millennials","Brenda Banker","Rachel Adams (Sample) Managed Account10","1. Less than 50k","Managed Account","Female","NY","Active","true","sunil.dixit@example.com","Individual",556594,4000,348627,207967,2017,64
