"ANALYTICSDEMO_BATCH_ID_C","LEADSOURCE","PRODUCTINTEREST","PHONE","LastProcessedDate","REFERRER","EMAIL","REFERREDBYCONTACT","ISCONVERTED","OWNERNAME","EXPRESSEDINTEREST","NAME","CONVERTEDDATE","CREATEDDATE","ISREFERRAL","STATUS","RATING","REFERREDBYUSER","ID","OPENPROCESSEDSTATUS","POTENTIALVALUE","ACCOUNTROLLUPLOANAMOUNT","ACCOUNTROLLUPBALANCEAMOUNT"
"20190828160927858660","Conference","Real-Estate","1-(998)919-6683","2019-08-28","Allen Advisor","JohnSteele(Sample)@example.com",,"false","Allen Advisor","Manage Money","John Steele (Sample)",,"2019-05-14","True","Nurturing - Contacted","Hot","Allen Advisor","W_Lead.1","Open",296815,80,140
"20190828160927858660","Conference","Retirement","1-(506)812-6235","2019-08-28","Chelsea Advisor","SarahLoehr(Sample)@example.com",,"false","Brenda Banker","Manage Debt","Sarah Loehr (Sample)",,"2019-08-19","True","Working - Contacted","Warm","Chelsea Advisor","W_Lead.2","Open",156278,80,140
"20190828160927858660","Other","Investments","1-(795)346-0258","2019-08-28","Brenda Banker","DavidAdelson(Sample)@example.com",,"true","Brenda Banker","Day to Day Banking","David Adelson (Sample)","2019-08-14","2019-08-07","True","Converted","Hot","Brenda Banker","W_Lead.3","Open",414944,80,140
"20190828160927858660","Other","Investments","1-(644)622-8594","2019-08-28","Ajay Moore","ManishaJha(Sample)@example.com","Ajay Moore","false","Chelsea Advisor","Property Purchase","Manisha Jha (Sample)",,"2019-08-14","True","Working - Contacted","Hot",,"W_Lead.4","Open",369073,80,140
"20190828160927858660","Customer Referral","Investments","1-(722)706-8648","2019-08-28","Beatrice Spears","RachelAdams(Sample)@example.com","Beatrice Spears","false","Allen Advisor","Manage Debt","Rachel Adams (Sample)",,"2019-08-19","True","New","Hot",,"W_Lead.5","Open",607519,80,140
"20190828160927858660","Other","Investments","1-(232)940-4686","2019-08-28","Allen Advisor","JimmyChan@example.com",,"false","Brenda Banker","Manage Debt","Jimmy Chan",,"2019-08-04","True","Working - Contacted","Hot","Allen Advisor","W_Lead.6","Open",684319,80,140
"20190828160927858660","Customer Referral","Investments","1-(592)680-4016","2019-08-28","Beatrice Spears","AndySmith(Sample)@example.com","Beatrice Spears","false","Chelsea Advisor","Manage Debt","Andy Smith (Sample)",,"2019-08-03","True","Working - Contacted","Warm",,"W_Lead.7","Open",62775,80,140
"20190828160927858660","Conference","Investments","1-(011)452-5462","2019-08-28","Beatrice Spears","NeilSymonds@example.com","Beatrice Spears","false","Chelsea Advisor","Manage Money","Neil Symonds",,"2019-08-10","True","Closed - Not Converted","Hot",,"W_Lead.8","Processed",400603,80,140
"20190828160927858660","Customer Referral","Retirement","1-(147)450-2665","2019-08-28","Mark Garet","AbrahamJohnson@example.com",,"false","Brenda Banker","Manage Money","Abraham Johnson",,"2019-08-14","True","Unqualified","Hot","Mark Garet","W_Lead.9","Open",598355,80,140
"20190828160927858660","Customer Referral","Retirement","1-(585)317-4292","2019-08-28","Mark Garet","JeremyWillis@example.com",,"false","Allen Advisor","Investments","Jeremy Willis",,"2019-08-02","True","Closed - Not Converted","Warm","Mark Garet","W_Lead.10","Processed",295596,80,140
