ACCOUNTNUMBER,AGEBUCKET,AUA,AUM,AUMBUCKET,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,CLIENTCATEGORY,CLIENTCATEGORYCUSTOM,CREATEDDATE,CUSTOMERSEGMENT,DAYSSINCELASTINTERACTION,FINANCIALINTERESTS,HELDAWAY,HOUSEHOLDCOMPUTED,HOUSEHOLDSIZE,HOUSEHOLDSIZETEXT,ID,INVESTMENTEXPERIENCE,INVESTMENTOBJECTIVES,LASTINTERACTION,LASTREVIEW,LEADORCONTACTID,MARKETINGSEGMENT,NAME,NETWORTH,NETWORTHBUCKET,NEXTREVIEW,OWNERCITY,OWNEREMAIL,OWNERID,OWNERNAME,OWNERROLENAME,OWNERSMALLPHOTOURL,OWNERSTATE,PHONE,PRIMARYCONTACTAGE,PRIMARYCONTACTANNUALINCOME,PRIMARYCONTACTEMAIL,PRIMARYCONTACTGENDER,RECORDTYPENAME,RELATIONSHIPSTARTDATE,REVIEWFREQUENCY,RISKTOLERANCE,ROLLUPHOUSEHOLDNAME,SAMPLEACCOUNT,SERVICEMODEL,TOTALAUMJOINTOWNER,TOTALAUMPRIMARYOWNER,TOTALFINACCTSJOINTOWNER,TOTALFINACCTSPRIMARYOWNER,TOTALFINANCIALACCOUNTS,TOTALHELDFINACCTSJOINTOWNER,TOTALHELDFINACCTSPRIMARYOWNER,TOTALNUMBEROFFINACCOUNTSPRIMARYOWNER,WALLETSHARE,YEARSSINCECLIENT,YEARSSINCECLIENTBUCKET,LastProcessedDate
1,3. 30-49,3473922.3,995000.0,2. Between 500K and 2M,USA,61237,IL,Platinum,1 - Platinum,2018-11-26,Mass Affluent,547,Municipal Bonds,3473922.3,,0,0,0011U00000Kcp1JQAR,Inexperienced,Growth,2018-11-25,2018-11-17,0031U00000Mreh2QAB,Millennials,Adams Charitable Trust,4468922.3,3. Between 2M and 5M,2018-12-23,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,553-868-9466,47,244270.0,user-1@fsc-demo.com,Female,Individual,2010-02-10,Annually,None,,true,Tier 1,0.0,995000.0,0.0,4468922.300000001,4468922.300000001,0.0,3473922.3,3.0,0.7773512419314158,8,4. Between 5 and 10 Years,2020-05-25
2,3. 30-49,5570.0,3528096.0,3. Between 2M and 5M,USA,96104,CA,Silver,3 - Silver,2018-11-26,Mass Affluent,547,Technology,5570.0,Adams Household,4,4,0011U00000Kcp1KQAR,Moderately Experienced,Balanced Growth,2018-11-25,2018-11-23,0011U00000KulRbQAJ,Millennials,Adams Household,3533666.0,3. Between 2M and 5M,2018-12-13,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,310-781-2183,36,83488.0,user-2@fsc-demo.com,Female,Household,2010-10-31,Annually,Moderate,Adams Household,true,Tier 1,0.0,3528096.0,0.0,3533666.0000000005,3533666.0000000005,0.0,5570.0,3.0,0.001576266687343965,8,4. Between 5 and 10 Years,2020-05-25
3,4. 50-69,5491193.13,1.1928089E7,6. NA,USA,8323,NJ,Silver,3 - Silver,2018-11-26,Mass Affluent,553,Energy,5491193.13,,0,0,0011U00000Kcp1LQAR,Experienced,Aggressive Growth,2018-11-19,2018-11-18,0031U00000Mreh3QAB,Millennials,Neil Symonds,1.741928213E7,5. More than 10M,2018-12-23,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,549-485-6161,67,140407.0,user-3@fsc-demo.com,Male,Individual,2017-12-25,Quarterly,Conservative,,true,Tier 2,0.0,1.1928089E7,0.0,1.741928213E7,1.741928213E7,0.0,5491193.13,5.0,0.31523647696955925,0,1. Less than 1 year,2020-05-25
4,2. 18-29,3498350.0,6625181.0,4. Between 5M and 10M,USA,96110,CA,Silver,3 - Silver,2018-11-26,Mass Affluent,562,Technology,3498350.0,,0,0,0011U00000Kcp1NQAR,Moderately Inexperienced,Balanced Growth,2018-11-10,2018-11-08,0011U00000KulRbQAJ,Millennials,Rachel Adams,1.0123531E7,5. More than 10M,2018-12-23,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,393-887-1868,22,175599.0,user-4@fsc-demo.com,Female,Person Account,2009-12-03,Annually,Conservative,,true,Tier 2,0.0,6625181.0,0.0,1.0123531E7,1.0123531E7,0.0,3498350.0,3.0,0.34556618634348035,8,4. Between 5 and 10 Years,2020-05-25
5,4. 50-69,7520242.256000001,9994378.0,4. Between 5M and 10M,USA,10451,NY,Silver,3 - Silver,2018-11-26,Long Term Growth,551,Retirement,7520242.256000001,,0,0,0011U00000Kcp1MQAR,Experienced,Growth,2018-11-21,2018-11-07,0031U00000Mreh4QAB,Mass Market,Nigel Adams,1.7514620256E7,5. More than 10M,2018-12-13,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,539-543-7082,59,84614.0,user-5@fsc-demo.com,Male,Person Account,2009-09-16,Quarterly,Aggresive,,true,Tier 2,0.0,9994378.0,0.0,1.7514620256E7,1.7514620256E7,0.0,7520242.256000001,5.0,0.4293694151561056,9,4. Between 5 and 10 Years,2020-05-25
6,3. 30-49,6101271.626,1.2810417E7,6. NA,USA,8218,NJ,Platinum,1 - Platinum,2018-11-26,Long Term Growth,548,Retirement,6101271.626,,0,0,0011U00000Kcp1OQAR,Experienced,Aggressive Growth,2018-11-24,2018-11-02,0031U00000Mreh5QAB,Affluent Professionals,"Smith, Kohl and Company",1.8911688626000002E7,5. More than 10M,2018-12-16,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,456-325-7734,32,187849.0,user-6@fsc-demo.com,Male,Individual,2018-11-02,Quarterly,Conservative,,true,Tier 3,0.0,1.2810417E7,0.0,1.8911688626E7,1.8911688626E7,0.0,6101271.626,5.0,0.3226190821274365,0,1. Less than 1 year,2020-05-25
7,4. 50-69,3161446.0,6634003.0,4. Between 5M and 10M,USA,32420,FL,Silver,3 - Silver,2018-11-26,Mass Affluent,560,College Planning,3161446.0,Symonds Household,2,2,0011U00000Kcp1PQAR,Moderately Experienced,Income,2018-11-12,2018-10-30,0011U00000KulRbQAJ,Mass Market,Symonds Household,9795449.0,4. Between 5M and 10M,2018-12-25,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,453-979-7609,69,212368.0,user-7@fsc-demo.com,Male,Household,2018-02-06,Annually,Moderate,Symonds Household,true,Tier 3,0.0,6634003.0,0.0,9795449.0,9795449.0,0.0,3161446.0,3.0,0.3227464100930953,0,1. Less than 1 year,2020-05-25
8,4. 50-69,119432.0,238311.0,1. Less than 500K,USA,96106,CA,Silver,3 - Silver,2018-11-26,Long Term Growth,555,Technology,119432.0,,0,0,0011U00000Kss4jQAB,Inexperienced,Balanced Growth,2018-11-17,2018-11-07,0031U00000Mreh6QAB,Mass Market,Jinni Boyd,357743.0,1. Less than 500K,2018-12-15,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,495-927-5037,51,129497.0,user-8@fsc-demo.com,Female,Individual,2009-09-19,Monthly,Aggresive,,false,Tier 1,0.0,238311.0,0.0,357743.0,357743.0,0.0,119432.0,3.0,0.3338486008111969,9,4. Between 5 and 10 Years,2020-05-25
11,4. 50-69,241508.0,0.0,6. NA,USA,61234,IL,Platinum,1 - Platinum,2018-11-26,Mass Affluent,550,Energy,241508.0,,0,0,0011U00000KuFXHQA3,Experienced,Income,2018-11-22,2018-11-20,0031U00000Mreh9QAB,Affluent Professionals,Hedley Church,241508.0,1. Less than 500K,2018-12-13,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,251-277-9816,57,139289.0,user-11@fsc-demo.com,Female,Individual,2009-11-26,Monthly,None,,false,Tier 1,0.0,0.0,0.0,241508.0,241508.0,0.0,241508.0,2.0,1.0,9,4. Between 5 and 10 Years,2020-05-25
12,4. 50-69,177242.0,68647.0,1. Less than 500K,USA,32615,FL,Silver,3 - Silver,2018-11-26,Long Term Growth,547,Municipal Bonds,177242.0,,0,0,0011U00000KuFXIQA3,Moderately Experienced,Income,2018-11-25,2018-11-24,0011U00000KulRbQAJ,Mass Market,Wallace Summers,245889.0,1. Less than 500K,2018-12-20,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,290-222-2518,51,166664.0,user-12@fsc-demo.com,Female,Person Account,2016-03-14,Monthly,Moderate,,false,Tier 3,0.0,68647.0,0.0,245889.0,245889.0,0.0,177242.0,2.0,0.7208211835421674,2,2. Between 1 and 3 years,2020-05-25
