ACCOUNTAUM,ACCOUNTID,ACCOUNTINVESTMENTEXPERIENCE,ACCOUNTINVESTMENTOBJECTIVES,ACCOUNTMARKETINGSEGMENT,ACCOUNTNAME,ACCOUNTOWNERNAME,ACCOUNTRECORDTYPENAME,ACCOUNTSERVICEMODEL,ACCOUNTTYPE,ACTIVITYDATE,CREATEDDATE,EVENTSUBTYPE,ID,OWNERCITY,OWNEREMAIL,OWNERID,OWNERNAME,OWNERROLENAME,OWNERSMALLPHOTOURL,OWNERSTATE,PRIORITY,RECORDTYPENAME,REGARDING,STATUS,SUBJECT,TASKSUBTYPE,TYPE,LastProcessedDate
737544.0,0011U00000Kcp1JQAR,Inexperienced,Growth,Millennials,Adams Charitable Trust,Allen Advisor,Individual,Tier 1,Customer,2018-11-22,2018-12-17,Event,Activity-0-0011U00000Kcp1JQAR,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,High,Advisor Task,Onboarding,Open,Discussion,Task,Email,2020-05-25
442580.0,0011U00000Kcp1KQAR,Moderately Experienced,Balanced Growth,Millennials,Adams Household,Chelsea Advisor,Household,Tier 1,Customer,2018-11-28,2018-12-17,Call,Activity-0-0011U00000Kcp1KQAR,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Event,Advisor Event,Prospecting,Event,Call Adams Household,Event,Call,2020-05-25
900720.0,0011U00000Kcp1MQAR,Experienced,Growth,Mass Market,Nigel Adams,Allen Advisor,Person Account,Tier 2,Customer,2018-11-23,2018-12-17,Event,Activity-0-0011U00000Kcp1MQAR,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Normal,Advisor Task,Service,In Progress,Send Birthday Gift,Task,Meeting,2020-05-25
1276867.0,0011U00000Kcp1OQAR,Experienced,Aggressive Growth,Affluent Professionals,"Smith, Kohl and Company",Allen Advisor,Individual,Tier 3,Customer,2018-11-30,2018-12-17,Event,Activity-0-0011U00000Kcp1OQAR,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,High,Advisor Task,Client Retention,Not Started,"Call Smith, Kohl and Company",Call,Call,2020-05-25
449189.0,0011U00000KuFXFQA3,Experienced,Aggressive Growth,Retired,Kristen Beasley,Brenda Banker,Person Account,Tier 3,Customer,2018-12-05,2018-12-17,Call,Activity-0-0011U00000KuFXFQA3,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Event,Advisor Event,Client Retention,Event,Call Kristen Beasley,Event,Call,2020-05-25
416693.0,0011U00000KuWpYQAV,Moderately Inexperienced,Growth,Affluent Professionals,Fredericka Mccullough,Allen Advisor,Person Account,Tier 3,Customer,2018-12-11,2018-12-17,Event,Activity-0-0011U00000KuWpYQAV,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Event,Advisor Event,Prospecting,Event,Quarterly Earnings Summary,Event,Email,2020-05-25
951656.0,0011U00000KuFXJQA3,Moderately Inexperienced,Growth,Mass Market,Zane Cervantes,Allen Advisor,Household,Tier 1,Customer,2018-11-27,2018-12-17,Event,Activity-0-0011U00000KuFXJQA3,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Event,Advisor Event,Service,Event,Quarterly Earnings Summary,Event,Email,2020-05-25
294015.0,0011U00000KuFXKQA3,Experienced,Balanced Growth,Affluent Professionals,Carissa Mckee,Allen Advisor,Person Account,Tier 2,Customer,2018-12-13,2018-12-17,Event,Activity-0-0011U00000KuFXKQA3,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Onboarding,Event,Summit,Event,Other,2020-05-25
243471.0,0011U00000KuFXMQA3,Inexperienced,Growth,Retired,Quinn Cummings,Allen Advisor,Person Account,Tier 1,Customer,2018-12-04,2018-12-17,Event,Activity-0-0011U00000KuFXMQA3,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Normal,Advisor Task,Service,Not Started,Quarterly Earnings Summary,Task,Email,2020-05-25
674236.0,0011U00000KuFXRQA3,Moderately Inexperienced,Growth,Affluent Professionals,Sloane Holland,Chelsea Advisor,Person Account,Tier 1,Customer,2018-12-08,2018-12-17,Event,Activity-0-0011U00000KuFXRQA3,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,High,Advisor Task,Prospecting,Completed,Quarterly Earnings Summary,Task,Meeting,2020-05-25
