CAMPAIGNID,CAMPAIGNISACTIVE,CAMPAIGNNAME,CAMPAIGNSTARTDATE,CAMPAIGNSTATUS,CAMPAIGNTYPE,CONTACTEMAIL,CONTACTMOBILEPHONE,CONTACTNAME,HASRESPONDED,ID,LEADEMAIL,LEADNAME,LEADPHONE,NAME,TYPE,LastProcessedDate
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,true,00v1U000000oHr9QAE,martinyoung@example.com,Martin Young,(2308)-993-2308,Martin Young,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,justinsmith@example.com,(7074)-100-7074,Justin Smith,true,00v1U000000oHrAQAU,,,,Justin Smith,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,racheladamssample@example.com,(6045)-429-6045,Rachel Adams (Sample),true,00v1U000000oCWsQAM,,,,Rachel Adams (Sample),Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,neilsymondssample@example.com,(9136)-241-9136,Neil Symonds (Sample),false,00v1U000000oCWtQAM,,,,Neil Symonds (Sample),Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,nigeladamssample@example.com,(9176)-469-9176,Nigel Adams (Sample),false,00v1U000000oCWuQAM,,,,Nigel Adams (Sample),Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCWvQAM,martinyoung@example.com,Martin Young,(2868)-604-2868,Martin Young,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCWwQAM,justinsmith@example.com,Justin Smith,(9071)-678-9071,Justin Smith,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCWxQAM,jinniboyd@example.com,Jinni Boyd,(9536)-841-9536,Jinni Boyd,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,williehester@example.com,(9751)-719-9751,Willie Hester,false,00v1U000000oCWyQAM,,,,Willie Hester,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,reubenholder@example.com,(7198)-126-7198,Reuben Holder,false,00v1U000000oCWzQAM,,,,Reuben Holder,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,deshawnbaldwin@example.com,(6342)-352-6342,Deshawn Baldwin,false,00v1U000000oCX0QAM,,,,Deshawn Baldwin,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCX1QAM,isaacmolina@example.com,Isaac Molina,(4573)-313-4573,Isaac Molina,Lead and Referral,2020-05-25
