ACCOUNTID,ACCOUNTINVESTMENTOBJECTIVES,ACCOUNTMARKETINGSEGMENT,ACCOUNTNAME,ACCOUNTSERVICEMODEL,ACCOUNTTOTALAUMPRIMARYOWNER,ACCOUNTTOTALFINACCTSPRIMARYOWNER,ACCOUNTTOTALHELDFINACCTSPRIMARYOWNER,BALANCE,CREATEDDATE,FINANCIALACCOUNTTYPE,HELDAWAY,ID,JOINTOWNERID,MANAGED,OWNERCITY,OWNEREMAIL,OWNERID,OWNERNAME,OWNERROLENAME,OWNERSHIP,OWNERSMALLPHOTOURL,OWNERSTATE,RECORDTYPENAME,LastProcessedDate
0011U00000Kcp1JQAR,Growth,Millennials,Adams Charitable Trust,Tier 1,0.0,0.0,0.0,895000.0,2018-11-21,Fixed Annuity,false,a081U000001XWSyQAO,,true,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,Trust,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Investment Account,2020-05-25
0011U00000Kcp1JQAR,Growth,Millennials,Adams Charitable Trust,Tier 1,0.0,0.0,0.0,100000.0,2018-11-24,Cash Management Account,false,a081U000001XWSxQAO,,true,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,Trust,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Bank Account,2020-05-25
0011U00000Kcp1JQAR,Growth,Millennials,Adams Charitable Trust,Tier 1,0.0,0.0,0.0,3473922.3,2018-11-20,Mutual Fund,true,FinAcct-0011U00000Kcp1JQAR-2,,false,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,Trust,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Investment Account,2020-05-25
0011U00000Kcp1KQAR,Balanced Growth,Millennials,Adams Household,Tier 1,0.0,0.0,0.0,3386096.0,2018-11-21,Managed Account,false,FinAcct-0011U00000Kcp1KQAR-0,,true,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,Individual,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Investment Account,2020-05-25
0011U00000Kcp1KQAR,Balanced Growth,Millennials,Adams Household,Tier 1,0.0,0.0,0.0,142000.0,2018-11-24,Mutual Fund,false,a081U000001XWT4QAO,,true,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,Trust,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Mutual Fund Investment,2020-05-25
0011U00000Kcp1KQAR,Balanced Growth,Millennials,Adams Household,Tier 1,0.0,0.0,0.0,5570.0,2018-11-20,Savings,true,a081U000001XWT6QAO,,false,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,Trust,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Savings Account,2020-05-25
0011U00000Kcp1LQAR,Aggressive Growth,Millennials,Neil Symonds,Tier 2,0.0,0.0,0.0,2967251.0,2018-11-24,Mutual Fund,false,FinAcct-0011U00000Kcp1LQAR-0,,true,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,Individual,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Mutual Fund Investment,2020-05-25
0011U00000Kcp1LQAR,Aggressive Growth,Millennials,Neil Symonds,Tier 2,0.0,0.0,0.0,3114796.0,2018-11-23,Brokerage,false,FinAcct-0011U00000Kcp1LQAR-1,,true,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,Individual,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Investment Account,2020-05-25
0011U00000Kcp1LQAR,Aggressive Growth,Millennials,Neil Symonds,Tier 2,0.0,0.0,0.0,2646689.0,2018-11-23,Mutual Fund,false,FinAcct-0011U00000Kcp1LQAR-2,,true,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,Individual,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Mutual Fund Investment,2020-05-25
0011U00000Kcp1LQAR,Aggressive Growth,Millennials,Neil Symonds,Tier 2,0.0,0.0,0.0,3199353.0,2018-11-20,Fixed Annuity,false,FinAcct-0011U00000Kcp1LQAR-3,,true,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,Individual,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Investment Account,2020-05-25
