CITY,QUOTAAMOUNT,SMALLPHOTOURL,STARTDATE,STATE,USER,LastProcessedDate
New York,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,2019-12-01,NY,Mark Garet,2019-09-11
San Francisco,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,2019-12-01,CA,Brenda Banker,2019-09-11
Chicago,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,2019-12-01,IL,Allen Advisor,2019-09-11
Florida,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,2019-12-01,FL,Chelsea Advisor,2019-09-11
New York,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,2019-11-01,NY,Mark Garet,2019-09-11
San Francisco,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,2019-11-01,CA,Brenda Banker,2019-09-11
Chicago,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,2019-11-01,IL,Allen Advisor,2019-09-11
Florida,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,2019-11-01,FL,Chelsea Advisor,2019-09-11
New York,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,2019-10-01,NY,Mark Garet,2019-09-11
San Francisco,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,2019-10-01,CA,Brenda Banker,2019-09-11
Chicago,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,2019-10-01,IL,Allen Advisor,2019-09-11
Florida,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,2019-10-01,FL,Chelsea Advisor,2019-09-11
New York,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,2019-09-01,NY,Mark Garet,2019-09-11
San Francisco,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,2019-09-01,CA,Brenda Banker,2019-09-11
Chicago,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,2019-09-01,IL,Allen Advisor,2019-09-11
Florida,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,2019-09-01,FL,Chelsea Advisor,2019-09-11
New York,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,2019-08-01,NY,Mark Garet,2019-09-11
San Francisco,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,2019-08-01,CA,Brenda Banker,2019-09-11
Chicago,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,2019-08-01,IL,Allen Advisor,2019-09-11
Florida,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,2019-08-01,FL,Chelsea Advisor,2019-09-11
New York,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,2019-07-01,NY,Mark Garet,2019-09-11
San Francisco,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,2019-07-01,CA,Brenda Banker,2019-09-11
Chicago,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,2019-07-01,IL,Allen Advisor,2019-09-11
Florida,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,2019-07-01,FL,Chelsea Advisor,2019-09-11
New York,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,2019-06-01,NY,Mark Garet,2019-09-11
San Francisco,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,2019-06-01,CA,Brenda Banker,2019-09-11
Chicago,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,2019-06-01,IL,Allen Advisor,2019-09-11
Florida,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,2019-06-01,FL,Chelsea Advisor,2019-09-11
New York,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,2019-05-01,NY,Mark Garet,2019-09-11
San Francisco,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,2019-05-01,CA,Brenda Banker,2019-09-11
Chicago,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,2019-05-01,IL,Allen Advisor,2019-09-11
Florida,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,2019-05-01,FL,Chelsea Advisor,2019-09-11
New York,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,2019-04-01,NY,Mark Garet,2019-09-11
San Francisco,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,2019-04-01,CA,Brenda Banker,2019-09-11
Chicago,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,2019-04-01,IL,Allen Advisor,2019-09-11
Florida,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,2019-04-01,FL,Chelsea Advisor,2019-09-11
New York,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,2019-03-01,NY,Mark Garet,2019-09-11
San Francisco,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,2019-03-01,CA,Brenda Banker,2019-09-11
Chicago,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,2019-03-01,IL,Allen Advisor,2019-09-11
Florida,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,2019-03-01,FL,Chelsea Advisor,2019-09-11
New York,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,2019-02-01,NY,Mark Garet,2019-09-11
San Francisco,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,2019-02-01,CA,Brenda Banker,2019-09-11
Chicago,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,2019-02-01,IL,Allen Advisor,2019-09-11
Florida,60000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,2019-02-01,FL,Chelsea Advisor,2019-09-11
New York,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,2019-01-01,NY,Mark Garet,2019-09-11
San Francisco,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,2019-01-01,CA,Brenda Banker,2019-09-11
Chicago,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,2019-01-01,IL,Allen Advisor,2019-09-11
Florida,18000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,2019-01-01,FL,Chelsea Advisor,2019-09-11
New York,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,2018-12-01,NY,Mark Garet,2019-09-11
San Francisco,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,2018-12-01,CA,Brenda Banker,2019-09-11
Chicago,30000,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,2018-12-01,IL,Allen Advisor,2019-09-11
