"LastModifiedDate","Company","Account.Type","Opportunity.Description","Opportunity.IsWon","Opportunity.RecordTypeId","Name","Industry","ConvertedOpportunityId","Opportunity.StageName","Contact.PhotoUrl","Account.CreatedDate","CurrentDate","Status","ConvertedAccountId","IsConverted","Contact.AccountId","Opportunity.Id","Opportunity.IsClosed","LeadSource","Account.BillingCountry","CreatedDate","Account.OwnerId","Country","StatusSortOrder.ApiName","Id","Opportunity.AccountId","ConvertedDate","Rating","Opportunity.ForecastCategoryName","Contact.Id","Account.Industry","ConvertedContactId","Account.Id","OwnerId","Opportunity.ForecastCategory","StatusSortOrder.Id","Account.AccountSource","Opportunity.Name","Opportunity.CloseDate","Account.BillingState","IsUnreadByOwner","Contact.Name","Opportunity.CreatedDate","Opportunity.OwnerId","Account.LastModifiedDate","Account.Name","Opportunity.LeadSource","StatusSortOrder.SortOrder","ChangeDurationField","Account.AnnualRevenue","OpportunityAge","Account.NumberOfEmployees","LeadAge","Opportunity.Amount"
"2020-02-26T19:53:34.000Z","Not Applicable",,,,,"Morgan Williams","N/A",,,,,"2020-07-27T17:25:13.544Z","Approved",,"true",,,,"Reseller",,"2018-08-24T22:12:40.000Z",,"N/A","Approved","00QB0000005d53RMAQ",,"2017-09-07","Cool",,,,,,"005B0000004hsWOIAY",,"01JB000000AL5iTMAT",,,,,"true",,,,,,,8,702.8,,0,,0,
"2018-08-24T22:12:40.000Z","Blue Inc",,,,,"Peter Wheeler","Banking",,,,,"2020-07-27T17:25:13.544Z","Submitted",,"false",,,,"Community",,"2018-08-24T22:12:40.000Z",,"N/A","Submitted","00QB0000005d53SMAQ",,,"Warm",,,,,,"005B0000004hsajIAA",,"01JB000000AL5iSMAT",,,,,"true",,,,,,,7,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Power Management","Small Business",,,,"Brad Owens","N/A",,,,"2018-08-24T22:12:40.000Z","2020-07-27T17:25:13.544Z","Converted","001B000000mBLVjIAO","true","001B000000mBLVjIAO",,,"Data.com","USA","2018-08-24T22:12:40.000Z","005B0000004hsW9IAI","USA","Converted","00QB0000005d53TMAQ",,"2007-11-23","-N/A",,"003B000000DS5rbIAD","Financial Services","003B000000DS5rbIAD","001B000000mBLVjIAO","005B0000004ofP3IAI",,"01JB000000AL5ifMAD","Website",,,"IL","false","Brad Owens",,,"2018-09-20T03:32:21.000Z","Kristyn Deere",,4,702.8,77000000,0,40,0,
"2018-08-24T22:12:40.000Z","ACME Resellers","Mid-Market",,,,"Tammy Reseller","N/A",,,,"2018-08-24T22:12:40.000Z","2020-07-27T17:25:13.544Z","Converted","001B000000mBLV9IAO","true","001B000000mBLV9IAO",,,"Data.com","USA","2018-08-24T22:12:40.000Z","005B0000004hsWIIAY","USA","Converted","00QB0000005d53UMAQ",,"2008-02-04","-N/A",,"003B000000DS5qlIAD","Technology","003B000000DS5qlIAD","001B000000mBLV9IAO","005B0000004ofP3IAI",,"01JB000000AL5ifMAD","Marketing Event",,,"CA","false","Paul Partner",,,"2018-09-20T03:32:21.000Z","Joby Friese",,4,702.8,84000000,0,450,0,
"2018-08-24T22:12:40.000Z","Green Manufacturing",,,,,"Green Don","Insurance",,,,,"2020-07-27T17:25:13.544Z","New",,"false",,,,"Website",,"2018-08-24T22:12:40.000Z",,"USA","New","00QB0000005d53VMAQ",,,"Hot",,,,,,"00GB00000037NZKMA2",,"01JB000000AL5idMAD",,,,,"true",,,,,,,1,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Doster Construction Company Inc.",,,,,"John Stivender","Hospitality",,,,,"2020-07-27T17:25:13.544Z","Unqualified",,"false",,,,"Social Media",,"2018-08-24T22:12:40.000Z",,"USA","Unqualified","00QB0000005d53WMAQ",,,"Warm",,,,,,"00GB00000037NZLMA2",,"01JB000000AL68VMAT",,,,,"true",,,,,,,5,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Safety Sign & Supply Ltd",,,,,"Lea Bolivar","Agriculture",,,,,"2020-07-27T17:25:13.544Z","Contacted",,"false",,,,"Social Media",,"2018-08-24T22:12:40.000Z",,"USA",,"00QB0000005d53XMAQ",,,"Cool",,,,,,"005B0000004ofP3IAI",,,,,,,"false",,,,,,,,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Kingsbury Colony",,,,,"Siobhan Hibbard","Energy",,,,,"2020-07-27T17:25:13.544Z","New",,"false",,,,"Website",,"2018-08-24T22:12:40.000Z",,"USA","New","00QB0000005d53YMAQ",,,"Warm",,,,,,"005B0000004ofP3IAI",,"01JB000000AL5idMAD",,,,,"false",,,,,,,1,702.8,,0,,702,
"2019-03-10T00:23:07.000Z","Kenworth Sales-Missoula",,,,,"Adan Horst","Apparel",,,,,"2020-07-27T17:25:13.544Z","New",,"false",,,,"Community",,"2018-08-24T22:12:40.000Z",,"USA","New","00QB0000005d53ZMAQ",,,"Cool",,,,,,"005B0000004ie0yIAA",,"01JB000000AL5idMAD",,,,,"true",,,,,,,1,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Marias River Electric Co-Op",,,,,"Rick Mui","Banking",,,,,"2020-07-27T17:25:13.544Z","New",,"false",,,,"Cold Call",,"2018-08-24T22:12:40.000Z",,"USA","New","00QB0000005d53aMAA",,,"Hot",,,,,,"00GB00000037NZLMA2",,"01JB000000AL5idMAD",,,,,"false",,,,,,,1,702.8,,0,,702,
