"Opportunity.Competitor_EDD_c__c","LastModifiedDate","Account.Owner.Role.RolePath","Account.Owner.UniqueUserName","Opportunity.IsWon","Opportunity.IsPastDue","Opportunity.RecordTypeId","Owner.Role.ParentRole.Name","Opportunity.Product.Family","Opportunity.RecordType.Name","Owner.Username","Status","IsOverdue","Owner.Role.RolePath","Opportunity.Account.Parent.ParentAccount.BillingState","Account.OwnerId","Id","EventSubtype","Owner.Role.RoleNames","Owner.UniqueUserName","WhatId","Opportunity.EDD_CreatedDate__c","Owner.FullPhotoUrl","CallType","AssignedTo.Name","Opportunity.OpenClosedWonLost","IsClosed","Opportunity.Opportunity.DemoShow__c","Opportunity.Opportunity.EDD_Prescription__c","Account.Industry","Opportunity.DemoShow__c","OwnerId","Owner.UserManagerNames","Opportunity.Account.Type","Opportunity.Name","Owner.Name","Opportunity.CloseDate","Opportunity.Account.Industry","Account.BillingState","Account.Owner.Name","Opportunity.Account.OwnerId","Opportunity.CreatedDate","Opportunity.EDD_Prescription__c","CustomFilter","Opportunity.OwnerId","Opportunity.Opportunity.EDD_Leading_Causes__c","Owner.UserManager.Name","Opportunity.Account.BillingState","Account.Type","AccountId","CallDisposition","Opportunity.Opportunity.Predicted_Close_Date__c","Owner.Role.Hierarchy_RoleNames","Opportunity.Account.Parent.ParentAccount.OwnerId","Opportunity.Opportunity.Name","Opportunity.Opportunity.Competitor_EDD_c__c","Owner.Role.Name","Account.Owner.Role.Roles","Opportunity.StageName","AssignedTo.UniqueUserName","Owner.Role.DeveloperName","Opportunity.Predicted_Close_Date__c","Owner.Role.RoleNamesPath","Account.Owner.UserManager.UniqueUserName","ActivityDate","Priority","Opportunity.Id","Opportunity.IsClosed","Opportunity.Opportunity.Discount_Approved__c","TaskSubtype","CreatedDate","Opportunity.Neglected","Opportunity.Account.AccountSource","Opportunity.AccountId","Account.ShippingState","Owner.UserManager.UniqueUserName","Account.Owner.UserManagerNames","Account.Owner.Role.Name","Opportunity.Account.Parent.AccountParents","Opportunity.ForecastCategoryName","Account.Owner.UserManager.Name","Owner.SmallPhotoUrl","Owner.Role.ParentRoleId","Opportunity.Account.Parent.ParentAccount.ShippingState","Opportunity.Type","Opportunity.Product.Name","Owner.UserRoleId","Opportunity.Account.ShippingState","Opportunity.Account.Parent.ParentAccount.Name","Account.AccountSource","Account.Owner.Role.ParentRoleId","Opportunity.Account.Name","Owner.Role.ParentRole.ForecastManager.UniqueUserName","Opportunity.Discount_Approved__c","Opportunity.EDD_Leading_Causes__c","Subject","Owner.Role.Roles","Opportunity.IsLost","Owner.Role.ParentRole.DeveloperName","Account.Name","Opportunity.LeadSource","Opportunity.Opportunity.EDD_CreatedDate__c","Opportunity.Opportunity.EDD_Outcome__c","DaysOverdue","Opportunity.Opportunity.Close_Date_Difference__c","Opportunity.DaysSinceLastActivity","Account.NumberOfEmployees","Opportunity.EDD_Outcome__c","Opportunity.Opportunity.EDD_Age__c","Opportunity.OpportunityAge","Opportunity.EDD_Age__c","Opportunity.Close_Date_Difference__c","CallDurationInSeconds","Account.AnnualRevenue","Opportunity.DaysPastDue","DurationInMinutes"
"","2020-05-01T08:34:07.000Z","","John Peck",True,False,"012B0000000LBREIA4","RVP East","Car Accessories","Simple","jpeck1547565044062@demo.user","Completed",False,"","AL","005B0000003CnffIAC","00TB0000005HbZTMA0","Task","Admin","John Peck","006B0000003WbYIIA0","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3K/F","Inbound","John Peck","Closed Won",True,True,"-2.984 if you change Interactive Demo to true","Food & Beverage",True,"005B0000003CnffIAC","John Peck","Corporate","Hydranautics 153","John Peck","2019-08-27","Food & Beverage","AL","John Peck","005B0000003CnffIAC","2019-08-13T08:00:00.000Z","-2.984 if you change Interactive Demo to true",True,"005B0000003CnffIAC","+14.534 because Lead Source is Reseller and Region is Southeast
+6.449 because Amount is 61499 to 100000 and Product Name is Motorcycle Parts
-6.074 because Amount is 61499 to 100000 and Lead Source is Reseller
-5.953 because of other factors
from the bas","","AL","Corporate","001B000000WJE9pIAH","Appointment Set","2019-10-31","Admin","005B0000003CnffIAC","Hydranautics 153","","East Sales","","Closed Won","John Peck","EastSales","2019-10-31","John Peck/Andrew Malone/Elliot Shapiro/Admin","","2019-05-30","Normal","006B0000003WbYIIA0",True,"","Task","2019-05-30T19:51:52.000Z",False,"Referral","001B000000WJE9pIAH","","","John Peck","East Sales","001B000000WJE9pIAH","Closed","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3K/T","00EB0000000azEHMAY","","New Business","Interior Accessories","00EB0000000azEDMAY","","Hydranautics","Referral","00EB0000000azEHMAY","Hydranautics","Andrew Malone","","+14.534 because Lead Source is Reseller and Region is Southeast
+6.449 because Amount is 61499 to 100000 and Product Name is Motorcycle Parts
-6.074 because Amount is 61499 to 100000 and Lead Source is Reseller
-5.953 because of other factors
from the bas","Sign Up for KB Training","","No","RVPEast","Hydranautics","Reseller","",79,0,65,333,133,79,0,13,0,65,3380,4095000,0,0
"","2020-07-01T08:37:20.000Z","","Courtney Brown",False,False,"012B0000000LBREIA4","RVP West","Performance & Non-auto","Simple","cbrown1547565044007@demo.user","On Hold",True,"","OR","005B0000003CnfVIAS","00TB0000005HaHdMAK","Task","Admin","Courtney Brown","006B0000003WamOIAS","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2g/F","Inbound","Courtney Brown","Open",False,True,"-4.098 if you change Executive Meeting to true
-1.083 if you change Interactive Demo to true","Food & Beverage",True,"005B0000003CnfVIAS","Courtney Brown","Corporate","Resourcesoft 8","Courtney Brown","2020-08-05","Food & Beverage","OR","Courtney Brown","005B0000003CnfVIAS","2020-02-19T07:00:00.000Z","-4.098 if you change Executive Meeting to true
-1.083 if you change Interactive Demo to true",True,"005B0000003CnfVIAS","+14.534 because Lead Source is Fields Sales and Region is Pacific
+8.637 because Lead Source is Fields Sales and Product Name is Batteries
-7.807 because Lead Source is Fields Sales and Competitor is Challenger Inc.
+10.419 because of other factors
from t","","OR","Corporate","001B000000WJDvcIAH","Call Successful","2020-05-25","Admin","005B0000003CnfVIAS","Resourcesoft 8","","West Sales","","Negotiation","Courtney Brown","WestSales","2020-05-25","Courtney Brown/Tyler Parker/Elliot Shapiro/Admin","","2020-03-06","Normal","006B0000003WamOIAS",False,"","Task","2020-03-06T21:47:05.000Z",False,"Cold Call","001B000000WJDvcIAH","","","Courtney Brown","West Sales","001B000000WJDvcIAH","Pipeline","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2g/T","00EB0000000azEIMAY","","Existing Business","Performance","00EB0000000azEFMAY","","Resourcesoft","Cold Call","00EB0000000azEIMAY","Resourcesoft","Tyler Parker","","+14.534 because Lead Source is Fields Sales and Region is Pacific
+8.637 because Lead Source is Fields Sales and Product Name is Batteries
-7.807 because Lead Source is Fields Sales and Competitor is Challenger Inc.
+10.419 because of other factors
from t","Called Decision Maker - CIO","","No","RVPWest","Resourcesoft","Fields Sales","",95,129,-72,53,53,95,0,145,0,-72,1000,3461000,0,0
"","2020-07-01T08:37:20.000Z","","Courtney Brown",False,False,"012B0000000LBREIA4","RVP West","Performance & Non-auto","Simple","cbrown1547565044007@demo.user","Completed",False,"","OR","005B0000003CnfVIAS","00TB0000005HaHeMAK","Task","Admin","Courtney Brown","006B0000003WamOIAS","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2g/F","Outbound","Courtney Brown","Open",True,True,"-4.098 if you change Executive Meeting to true
-1.083 if you change Interactive Demo to true","Food & Beverage",True,"005B0000003CnfVIAS","Courtney Brown","Corporate","Resourcesoft 8","Courtney Brown","2020-08-05","Food & Beverage","OR","Courtney Brown","005B0000003CnfVIAS","2020-02-19T07:00:00.000Z","-4.098 if you change Executive Meeting to true
-1.083 if you change Interactive Demo to true",True,"005B0000003CnfVIAS","+14.534 because Lead Source is Fields Sales and Region is Pacific
+8.637 because Lead Source is Fields Sales and Product Name is Batteries
-7.807 because Lead Source is Fields Sales and Competitor is Challenger Inc.
+10.419 because of other factors
from t","","OR","Corporate","001B000000WJDvcIAH","Appointment Set","2020-05-25","Admin","005B0000003CnfVIAS","Resourcesoft 8","","West Sales","","Negotiation","Courtney Brown","WestSales","2020-05-25","Courtney Brown/Tyler Parker/Elliot Shapiro/Admin","","2020-03-06","Normal","006B0000003WamOIAS",False,"","Task","2020-03-05T13:44:41.000Z",False,"Cold Call","001B000000WJDvcIAH","","","Courtney Brown","West Sales","001B000000WJDvcIAH","Pipeline","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2g/T","00EB0000000azEIMAY","","Existing Business","Performance","00EB0000000azEFMAY","","Resourcesoft","Cold Call","00EB0000000azEIMAY","Resourcesoft","Tyler Parker","","+14.534 because Lead Source is Fields Sales and Region is Pacific
+8.637 because Lead Source is Fields Sales and Product Name is Batteries
-7.807 because Lead Source is Fields Sales and Competitor is Challenger Inc.
+10.419 because of other factors
from t","Design Social Command Center Requirements and Layout","","No","RVPWest","Resourcesoft","Fields Sales","",95,0,-72,53,53,95,0,145,0,-72,750,3461000,0,0
"","2020-07-01T08:37:20.000Z","","Jordan Wolf",True,False,"012B0000000LBREIA4","RVP West","","Simple","jwolf1547565043998@demo.user","On Hold",True,"","CA","005B0000003CnfQIAS","00TB0000005HaHqMAK","Task","Admin","Jordan Wolf","006B00000049UdYIAU","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3j/F","Internal","Jordan Wolf","Closed Won",False,"","","Agriculture",True,"005B0000003CnfQIAS","Jordan Wolf","Corporate","American Environmental Container Corp. 104","Jordan Wolf","2019-03-16","Agriculture","CA","Jordan Wolf","005B0000003CnfQIAS","2019-01-29T07:00:00.000Z","-6.118 if you change Executive Meeting to true
-5.838 if you change Interactive Demo to true",True,"005B0000003CnfQIAS","","","CA","Corporate","001B000000SS4SnIAL","Call Successful","","Admin","005B0000003CnfQIAS","","","West Sales","","Closed Won","Jordan Wolf","WestSales","2019-05-17","Jordan Wolf/Tyler Parker/Elliot Shapiro/Admin","","2019-02-07","Normal","006B00000049UdYIAU",True,"","Task","2019-02-02T22:24:21.000Z",False,"Cold Call","001B000000SS4SnIAL","","","Jordan Wolf","West Sales","001B000000SS4SnIAL","Closed","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3j/T","00EB0000000azEIMAY","","Existing Business","","00EB0000000azEFMAY","","American Environmental Container Corp.","Cold Call","00EB0000000azEIMAY","American Environmental Container Corp.","Tyler Parker","","+14.534 because Lead Source is Reseller and Region is Pacific
+9.077 because Amount is 19998 to 29998 and Region is Pacific
+7.990 because Sales Stage Count is 1 to 2 and Lead Source is Reseller
+6.852 because of other factors
from the baseline, +70.126","Reserve Venue for Customer Conference","","No","RVPWest","American Environmental Container Corp.","Reseller","",0,522,0,502,166,108,0,45,0,63,2150,5803000,0,0
"","2020-07-01T08:37:20.000Z","","Jordan Wolf",True,False,"012B0000000LBREIA4","RVP West","","Simple","jwolf1547565043998@demo.user","In Progress",True,"","AZ","005B0000003CnfQIAS","00TB0000005HaIEMA0","Task","Admin","Jordan Wolf","006B00000049UdwIAE","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3j/F","Outbound","Jordan Wolf","Closed Won",False,"","","Financial Services",True,"005B0000003CnfQIAS","Jordan Wolf","Corporate","Centerfield Technology Inc 156","Jordan Wolf","2019-04-11","Financial Services","AZ","Jordan Wolf","005B0000003CnfQIAS","2019-03-02T07:00:00.000Z","-3.988 if you change Interactive Demo to true",True,"005B0000003CnfQIAS","","","AZ","Corporate","001B000000SS3P1IAL","No Answer","","Admin","005B0000003CnfQIAS","","","West Sales","","Closed Won","Jordan Wolf","WestSales","2019-05-30","Jordan Wolf/Tyler Parker/Elliot Shapiro/Admin","","2019-02-27","Normal","006B00000049UdwIAE",True,"","Task","2019-02-21T03:50:00.000Z",False,"Partner","001B000000SS3P1IAL","","","Jordan Wolf","West Sales","001B000000SS3P1IAL","Closed","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3j/T","00EB0000000azEIMAY","","New Business","","00EB0000000azEFMAY","","Centerfield Technology Inc","Partner","00EB0000000azEIMAY","Centerfield Technology Inc","Tyler Parker","","+14.534 because Lead Source is Reseller and Region is Northwest
+7.990 because Sales Stage Count is 1 to 2 and Lead Source is Reseller
+6.449 because Amount is 10534 to 19997 and Product Name is RV Shelters
-10.024 because of other factors
from the baseli","Notes From Discussion","","No","RVPWest","Centerfield Technology Inc","Reseller","",0,502,0,486,245,89,0,39,0,49,650,7836000,0,0
"","2020-07-01T08:37:20.000Z","","Rachel Reilly",False,False,"012B0000000LBREIA4","RVP Central","","Simple","rreilly1547565044080@demo.user","Not Started",True,"","IL","005B0000003CnfYIAS","00TB0000005HaIFMA0","Task","Admin","Rachel Reilly","006B0000003hfqTIAQ","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2q/F","Internal","Rachel Reilly","Lost",False,"","","Hospitality",True,"005B0000003CnfYIAS","Rachel Reilly","Corporate","Education Interface 165","Rachel Reilly","2019-11-06","Hospitality","IL","Rachel Reilly","005B0000003CnfYIAS","2019-05-12T08:00:00.000Z","-7.165 if you change Executive Meeting to true
-5.103 if you change Interactive Demo to true",True,"005B0000003CnfYIAS","","","IL","Corporate","001B000000lwNn6IAE","Appointment Set","","Admin","005B0000003CnfYIAS","","","Central Sales","","Closed Lost","Rachel Reilly","CentralSales","2019-08-26","Rachel Reilly/Andrew Barton/Elliot Shapiro/Admin","","2019-07-15","Normal","006B0000003hfqTIAQ",True,"","Task","2019-07-08T15:05:20.000Z",False,"Marketing Event","001B000000lwNn6IAE","","","Rachel Reilly","Central Sales","001B000000lwNn6IAE","Omitted","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2q/T","00EB0000000azELMAY","","Existing Business","","00EB0000000azECMAY","","Education Interface","Marketing Event","00EB0000000azELMAY","Education Interface","Andrew Barton","","+14.534 because Lead Source is Reseller and Region is Midwest
+7.990 because Sales Stage Count is 1 to 2 and Lead Source is Reseller
+6.449 because Amount is 0 to 4998 and Product Name is Car Care
+6.887 because of other factors
from the baseline, +70.126","Sales Presentation","","Yes","RVPCentral","Education Interface","Reseller","",0,364,0,341,60,105,0,177,0,-72,1990,2618000,0,0
"","2020-07-01T08:37:20.000Z","","Amy Shaw",True,False,"012B0000000LBREIA4","RVP Central","","Simple","ashaw1547565044117@demo.user","Open",True,"","IN","005B0000003CnfgIAC","00TB0000005HaIYMA0","Task","Admin","Amy Shaw","006B0000004t2IBIAY","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs4D/F","Inbound","Amy Shaw","Closed Won",False,"","","Electronics",True,"005B0000003CnfgIAC","Amy Shaw","Corporate","Fullspeed Network Services 45","Amy Shaw","2018-08-14","Electronics","IN","Amy Shaw","005B0000003CnfgIAC","2018-07-04T08:00:00.000Z","-6.119 if you change Executive Meeting to true",True,"005B0000003CnfgIAC","","","IN","Corporate","001B000000SS4SyIAL","Call Successful","","Admin","005B0000003CnfgIAC","","","Central Sales","","Closed Won","Amy Shaw","CentralSales","2018-09-28","Amy Shaw/Andrew Barton/Elliot Shapiro/Admin","","2018-06-30","Normal","006B0000004t2IBIAY",True,"","Task","2018-06-19T11:21:54.000Z",False,"Community","001B000000SS4SyIAL","","","Amy Shaw","Central Sales","001B000000SS4SyIAL","Closed","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs4D/T","00EB0000000azELMAY","","Existing Business","","00EB0000000azECMAY","","Fullspeed Network Services","Community","00EB0000000azELMAY","Fullspeed Network Services","Andrew Barton","","+14.534 because Lead Source is Reseller and Region is Midwest
+6.449 because Amount is 10534 to 19997 and Product Name is Car Care
+5.102 because Competitor is Challenger Inc. and Executive Meeting is false
-10.004 because of other factors
from the baseli","Review Meeting Notes","","No","RVPCentral","Fullspeed Network Services","Reseller","",0,744,0,739,95,86,0,40,0,46,3180,6705000,0,0
"","2020-07-01T08:37:20.000Z","","Megan Kaufman",False,False,"012B0000000LBREIA4","RVP West","","Simple","mkaufman1547565043981@demo.user","Completed",False,"","ID","005B0000003CnfRIAS","00TB0000005HaIaMAK","Task","Admin","Megan Kaufman","006B00000049Ue4IAE","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3o/F","Internal","Megan Kaufman","Open",True,"","","Recreation",True,"005B0000003CnfRIAS","Megan Kaufman","Corporate","Gas Equipment Company 78","Megan Kaufman","2020-07-28","Recreation","ID","Megan Kaufman","005B0000003CnfRIAS","2020-06-18T08:00:00.000Z","-4.253 if you change Interactive Demo to true",True,"005B0000003CnfRIAS","","","ID","Corporate","001B000000SS4T0IAL","Call Successful","","Admin","005B0000003CnfRIAS","","","West Sales","","Qualification","Megan Kaufman","WestSales","2020-09-14","Megan Kaufman/Tyler Parker/Elliot Shapiro/Admin","","2020-06-26","Normal","006B00000049Ue4IAE",False,"","Task","2020-06-18T08:00:00.000Z",False,"Cold Call","001B000000SS4T0IAL","","","Megan Kaufman","West Sales","001B000000SS4T0IAL","Pipeline","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3o/T","00EB0000000azEIMAY","","New Business","","00EB0000000azEFMAY","","Gas Equipment Company","Cold Call","00EB0000000azEIMAY","Gas Equipment Company","Tyler Parker","","+14.534 because Lead Source is Reseller and Region is Northwest
+6.449 because Amount is 0 to 4998 and Product Name is Exterior Accessories
+4.462 because Deal Size Category is 1 and Product Name is Exterior Accessories
-7.110 because of other factors
fro","Run Facebook Promotion to Boost Engagement","","No","RVPWest","Gas Equipment Company","Reseller","",0,0,0,25,241,88,0,25,0,49,90,6454000,0,0
"","2020-07-01T08:37:20.000Z","","Megan Kaufman",False,False,"012B0000000LBREIA4","RVP Central","","Simple","aharriso1547565044108@demo.user","In Progress",True,"","ID","005B0000003CnfRIAS","00TB0000005HaIdMAK","Task","Admin","Alicia Harrison","006B00000049Ue5IAE","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs43/F","Internal","Alicia Harrison","Open",False,"","","Recreation",True,"005B0000003CnfZIAS","Alicia Harrison","Corporate","Gas Equipment Company 94","Alicia Harrison","2020-08-13","Recreation","ID","Megan Kaufman","005B0000003CnfRIAS","2020-03-18T07:00:00.000Z","-8.038 if you change Executive Meeting to true
-4.148 if you change Interactive Demo to true",True,"005B0000003CnfZIAS","","","ID","Corporate","001B000000SS4T0IAL","Appointment Set","","Admin","005B0000003CnfRIAS","","","Central Sales","","Proposal/Quote","Alicia Harrison","CentralSales","2020-06-08","Alicia Harrison/Andrew Barton/Elliot Shapiro/Admin","","2020-05-17","Normal","006B00000049Ue5IAE",False,"","Task","2020-05-13T23:15:30.000Z",False,"Cold Call","001B000000SS4T0IAL","","","Megan Kaufman","West Sales","001B000000SS4T0IAL","Best Case","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs43/T","00EB0000000azELMAY","","New Business","","00EB0000000azECMAY","","Gas Equipment Company","Cold Call","00EB0000000azEIMAY","Gas Equipment Company","Andrew Barton","","+14.534 because Lead Source is Fields Sales and Region is Midwest
-7.807 because Lead Source is Fields Sales and Competitor is Challenger Inc.
+6.449 because Amount is 219161 to 1000000 and Product Name is Exterior Accessories
-1.444 because of other fact","Develop Content for Webinar","","No","RVPCentral","Gas Equipment Company","Fields Sales","",0,57,0,46,241,81,0,117,0,-66,2620,6454000,0,0
"","2020-07-01T08:37:20.000Z","","Sheri Nunez",True,False,"012B0000000LBREIA4","RVP Central","Car Accessories","Simple","snunez1547565044126@demo.user","Not Started",True,"","ND","005B0000003CnfTIAS","00TB0000005HaIkMAK","Task","Admin","Sheri Nunez","006B0000003WamuIAC","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2l/F","Outbound","Sheri Nunez","Closed Won",False,True,"-7.959 if you change Executive Meeting to true
-4.031 if you change Interactive Demo to true","Media",True,"005B0000003CnfTIAS","Sheri Nunez","Corporate","Millennium Hotels & Resorts 107","Sheri Nunez","2019-08-19","Media","ND","Sheri Nunez","005B0000003CnfTIAS","2019-07-04T08:00:00.000Z","-7.959 if you change Executive Meeting to true
-4.031 if you change Interactive Demo to true",True,"005B0000003CnfTIAS","+14.534 because Lead Source is Reseller and Region is Midwest
+6.449 because Amount is 10534 to 19997 and Product Name is Motorcycle Parts
+5.102 because Competitor is Challenger Inc. and Executive Meeting is false
-5.887 because of other factors
from the","","ND","Corporate","001B000000SS3P6IAL","Call Successful","2019-10-02","Admin","005B0000003CnfTIAS","Millennium Hotels & Resorts 107","","Central Sales","","Closed Won","Sheri Nunez","CentralSales","2019-10-02","Sheri Nunez/Andrew Barton/Elliot Shapiro/Admin","","2019-06-22","Normal","006B0000003WamuIAC",True,"","Task","2019-06-22T00:16:50.000Z",False,"Referral","001B000000SS3P6IAL","","","Sheri Nunez","Central Sales","001B000000SS3P6IAL","Closed","","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2l/T","00EB0000000azELMAY","","Add-On Business","Interior Accessories","00EB0000000azECMAY","","Millennium Hotels & Resorts","Referral","00EB0000000azELMAY","Millennium Hotels & Resorts","Andrew Barton","","+14.534 because Lead Source is Reseller and Region is Midwest
+6.449 because Amount is 10534 to 19997 and Product Name is Motorcycle Parts
+5.102 because Competitor is Challenger Inc. and Executive Meeting is false
-5.887 because of other factors
from the","Develop Account Plan","","No","RVPCentral","Millennium Hotels & Resorts","Reseller","",90,387,45,346,220,90,0,45,0,45,3460,7361000,0,0
