"Status","Owner","LeadSource","IsConverted","Rating","Amount_Slot","CreatedDate","Slot","Name","LeadActivities","ConvertedOppAmount","LeadNumber"
"Nurturing - Contacted","G M","Other","false","Hot","0","2020-08-08","From 11 to 15","George Parker",14,0,1
"New","Deepu CSEG","Advertisement","false","Cold","0","2020-04-06","From 5 to 10","Manisha Jha (Sample)",10,0,2
"Working","R CSEG","Purchased List","false","Warm","0","2020-09-14","From 5 to 10","Adam Richman (Sample)",10,0,3
"Nurturing","R CSEG","Other","false","Warm","0","2020-07-10","From 11 to 15","Dong Investment 1",13,0,4
"Qualified","G M","Trade Show","false","Hot","0","2020-03-23","From 5 to 10","Sarah Loehr (Sample)",10,0,5
"Converted","Qianwen Dong","Employee Referral","true","Warm","From 25K to 50K","2020-01-16","From 16 to 25","Rachel Adams (Sample)",22,50000,6
"Working  - Contacted","Qianwen Dong","Other","false","Cold","0","2020-05-23","0","David Adelson (Sample)",0,0,7
"Qualified","R CSEG","Advertisement","false","Warm","0","2020-11-29","From 5 to 10","Andy Smith (Sample)",10,0,8
"Nurturing - Contacted","G M","Other","false","Hot","0","2020-02-27","From 16 to 25","Simpson",19,0,9
"Converted","R CSEG","Employee Referral","true","Warm","From 100K to 150K","2020-12-21","From 11 to 15","LloydWright",13,100000,10
"Nurturing","Deepu CSEG","Employee Referral","false","Cold","0","2020-10-30","From 5 to 10","Anderson",6,0,11
"Working  - Contacted","Qianwen Dong","Purchased List","false","Hot","0","2020-06-16","From 16 to 25","John Steele (Sample)",23,0,12
"New","G M","Employee Referral","false","Warm","0","2020-04-02","From 11 to 15","Boyle",15,0,13
"Working","R CSEG","Advertisement","false","Warm","0","2020-05-22","From 5 to 10","West",9,0,14
"Converted","R CSEG","Other","true","Hot","From 5K to 10K","2020-12-03","From 16 to 25","See",18,79800,15
"Converted","R CSEG","Other","true","Cold","From 10K to 25K","2020-06-09","From 5 to 10","Carrey",6,15500,16
"Nurturing - Contacted","G M","Other","false","Warm","0","2020-01-17","From 5 to 10","JFox",8,0,17
"Working  - Contacted","Qianwen Dong","Employee Referral","false","Warm","0","2020-03-16","From 11 to 15","Cyrus",14,0,18
"Working","Deepu CSEG","Advertisement","false","Hot","0","2020-11-03","From 11 to 15","Kardashian",11,0,19
"Qualified","R CSEG","Employee Referral","false","Warm","0","2020-08-17","From 16 to 25","Thatcher",22,0,20
"Qualified","R CSEG","Other","false","Cold","0","2020-10-04","From 5 to 10","Gaga",5,0,21
"Converted","G M","Other","true","Hot","From 25K to 50K","2020-02-03","From 16 to 25","Perry",19,32000,22
"Working  - Contacted","R CSEG","Trade Show","false","Warm","0","2020-07-21","From 5 to 10","Timberlake",8,0,23
"Nurturing - Contacted","Deepu CSEG","Other","false","Warm","0","2020-09-01","From 11 to 15","Leno",14,0,24
"Nurturing","Qianwen Dong","Purchased List","false","Cold","0","2020-08-02","From 5 to 10","Letterman",9,0,25
"Working","R CSEG","Advertisement","false","Hot","0","2020-07-30","From 11 to 15","McPherson",15,0,26
"Converted","G M","Other","true","Warm","From 50K to 100K","2020-03-20","From 11 to 15","Toe",12,63000,27
"Converted","R CSEG","Employee Referral","true","Warm","From 50K to 100K","2020-11-13","From 5 to 10","Fee",5,73000,28
"New","Qianwen Dong","Other","false","Hot","0","2020-05-31","From 5 to 10","Spears",7,0,29
"Working  - Contacted","G M","Advertisement","false","Cold","0","2020-12-08","0","Hilton",0,0,30
"Converted","R CSEG","Employee Referral","true","Warm","From 5K to 10K","2020-06-18","From 11 to 15","Jackman",12,30400,31
"Nurturing","Deepu CSEG","Employee Referral","false","Warm","0","2020-02-26","From 16 to 25","Radcliffe",17,0,32
"Qualified","G M","Purchased List","false","Hot","0","2020-04-28","From 16 to 25","Beckham",24,0,33
"Working","R CSEG","Trade Show","false","Warm","0","2020-01-28","From 5 to 10","Nem",8,0,34
"Converted","Qianwen Dong","Employee Referral","true","Cold","From 10K to 25K","2020-10-25","From 5 to 10","Damon",9,22500,35
"Qualified","R CSEG","Advertisement","false","Warm","0","2020-09-26","From 5 to 10","Nicholson",7,0,36
"New","G M","Other","false","Hot","0","2020-06-15","From 11 to 15","Spacey",11,0,37
"Converted","R CSEG","Other","true","Warm","From 10K to 25K","2020-11-28","From 11 to 15","Minogue",13,24500,38
"Nurturing - Contacted","Deepu CSEG","Employee Referral","false","Cold","0","2020-04-11","From 5 to 10","Federer",10,0,39
"Working  - Contacted","R CSEG","Other","false","Warm","0","2020-12-07","From 11 to 15","Pitt",12,0,40
