"SnapshotTextDate","User.Role.RoleNamesPath","IsAmount","User.Role.ForecastManager.UniqueUserName","User.SmallPhotoUrl","User.UserRoleId","HasAdjustment","User.Role.ParentRole.ForecastManager.UniqueUserName","ForecastingType.MasterLabel","SnapshotDate","User.Role.ParentRole.DeveloperName","User.Role.DeveloperName","ForecastingType.IsAmount","OwnerId","User.Role.ForecastManager.Name","User.Username","User.Role.Name","User.Role.ForecastManager.ForecastEnabled","User.Role.ParentRole.Name","Period.IsForecastPeriod","ForecastingType.DeveloperName","User.Name","User.Role.RoleNames","User.LastName","Period.Type","CustomSnapshotFilter","Period.EndDate","PeriodId","User.UniqueUserName","ForecastingType.IsActive","User.Role.ParentRoleId","ForecastingTypeId","Period.StartDate","User.Role.ParentRole.ForecastManager.Name","User.Role.Roles","HasOwnerAdjustment","User.ForecastEnabled","Id","ForecastingType.IsQuantity","ForecastCategoryName","User.Role.RolePath","AmountWithoutOwnerAdjustment","AmountWithoutManagerAdjustment","AmountWithoutAdjustments","ForecastAmount"
"2020-09-17","Jahnavi Reddy/Dean Pierce/Arya Stark","true",,"https://c.gus.content.force.com/profilephoto/005/T","00EB0000000lg9vMAA","false","Dean Pierce","Opportunity Revenue","2020-09-17","RVP_Central","Central_Sales","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","Central Sales",,"RVP Central","true","OpportunityRevenue","Jahnavi Reddy","Arya Stark","Reddy","Month","true","2020-02-29","026B0000000kC3QIAU","Jahnavi Reddy","true","00EB0000000lg9qMAA","0DbB0000001948lKAA","2020-02-01","Dean Pierce","00EB0000000lg9lMAA","false","true","0G3B0000006lEBFKA2","false","Closed","00EB0000000lg9vMAA/00EB0000000lg9qMAA/00EB0000000lg9lMAA",3037062,3037062,3037062,3037062
"2020-09-17","Jahnavi Reddy/Dean Pierce/Arya Stark","true",,"https://c.gus.content.force.com/profilephoto/005/T","00EB0000000lg9vMAA","false","Dean Pierce","Opportunity Revenue","2020-09-17","RVP_Central","Central_Sales","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","Central Sales",,"RVP Central","true","OpportunityRevenue","Jahnavi Reddy","Arya Stark","Reddy","Month","true","2020-08-31","026B0000000kC3WIAU","Jahnavi Reddy","true","00EB0000000lg9qMAA","0DbB0000001948lKAA","2020-08-01","Dean Pierce","00EB0000000lg9lMAA","false","true","0G3B0000006lEBPKA2","false","Pipeline","00EB0000000lg9vMAA/00EB0000000lg9qMAA/00EB0000000lg9lMAA",1333876,1333876,1333876,1333876
"2020-09-17","Jahnavi Reddy/Dean Pierce/Arya Stark","true",,"https://c.gus.content.force.com/profilephoto/005/T","00EB0000000lg9vMAA","false","Dean Pierce","Opportunity Revenue","2020-09-17","RVP_Central","Central_Sales","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","Central Sales",,"RVP Central","true","OpportunityRevenue","Jahnavi Reddy","Arya Stark","Reddy","Month","true","2020-06-30","026B0000000kC3UIAU","Jahnavi Reddy","true","00EB0000000lg9qMAA","0DbB0000001948lKAA","2020-06-01","Dean Pierce","00EB0000000lg9lMAA","false","true","0G3B0000006lEBVKA2","false","Pipeline","00EB0000000lg9vMAA/00EB0000000lg9qMAA/00EB0000000lg9lMAA",714176,714176,714176,714176
"2020-09-17","Jahnavi Reddy/Dean Pierce/Arya Stark","true",,"https://c.gus.content.force.com/profilephoto/005/T","00EB0000000lg9vMAA","false","Dean Pierce","Opportunity Revenue","2020-09-17","RVP_Central","Central_Sales","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","Central Sales",,"RVP Central","true","OpportunityRevenue","Jahnavi Reddy","Arya Stark","Reddy","Month","true","2020-06-30","026B0000000kC3UIAU","Jahnavi Reddy","true","00EB0000000lg9qMAA","0DbB0000001948lKAA","2020-06-01","Dean Pierce","00EB0000000lg9lMAA","false","true","0G3B0000006lEBUKA2","false","Closed","00EB0000000lg9vMAA/00EB0000000lg9qMAA/00EB0000000lg9lMAA",500000,500000,500000,500000
"2020-09-17","Jahnavi Reddy/Dean Pierce/Arya Stark","true",,"https://c.gus.content.force.com/profilephoto/005/T","00EB0000000lg9vMAA","false","Dean Pierce","Opportunity Revenue","2020-09-17","RVP_Central","Central_Sales","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","Central Sales",,"RVP Central","false","OpportunityRevenue","Jahnavi Reddy","Arya Stark","Reddy","Month","true","2018-11-30","026B0000000kC4OIAU","Jahnavi Reddy","true","00EB0000000lg9qMAA","0DbB0000001948lKAA","2018-11-01","Dean Pierce","00EB0000000lg9lMAA","false","true","0G3B0000006lEAvKAM","false","Closed","00EB0000000lg9vMAA/00EB0000000lg9qMAA/00EB0000000lg9lMAA",471799,471799,471799,471799
"2020-09-17","Jahnavi Reddy/Dean Pierce/Arya Stark","true",,"https://c.gus.content.force.com/profilephoto/005/T","00EB0000000lg9vMAA","false","Dean Pierce","Opportunity Revenue","2020-09-17","RVP_Central","Central_Sales","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","Central Sales",,"RVP Central","true","OpportunityRevenue","Jahnavi Reddy","Arya Stark","Reddy","Month","true","2020-05-31","026B0000000kC3TIAU","Jahnavi Reddy","true","00EB0000000lg9qMAA","0DbB0000001948lKAA","2020-05-01","Dean Pierce","00EB0000000lg9lMAA","false","true","0G3B0000006lEE9KAM","false","Pipeline","00EB0000000lg9vMAA/00EB0000000lg9qMAA/00EB0000000lg9lMAA",2635984,2635984,2635984,2635984
"2020-09-17","Jahnavi Reddy/Dean Pierce/Arya Stark","true",,"https://c.gus.content.force.com/profilephoto/005/T","00EB0000000lg9vMAA","false","Dean Pierce","Opportunity Revenue","2020-09-17","RVP_Central","Central_Sales","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","Central Sales",,"RVP Central","true","OpportunityRevenue","Jahnavi Reddy","Arya Stark","Reddy","Month","true","2019-06-30","026B0000000kC3DIAU","Jahnavi Reddy","true","00EB0000000lg9qMAA","0DbB0000001948lKAA","2019-06-01","Dean Pierce","00EB0000000lg9lMAA","false","true","0G3B0000006lED6KAM","false","Closed","00EB0000000lg9vMAA/00EB0000000lg9qMAA/00EB0000000lg9lMAA",429062,429062,429062,429062
"2020-09-17","Jahnavi Reddy/Dean Pierce/Arya Stark","true",,"https://c.gus.content.force.com/profilephoto/005/T","00EB0000000lg9vMAA","false","Dean Pierce","Opportunity Revenue","2020-09-17","RVP_Central","Central_Sales","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","Central Sales",,"RVP Central","true","OpportunityRevenue","Jahnavi Reddy","Arya Stark","Reddy","Month","true","2020-09-30","026B0000000kC3XIAU","Jahnavi Reddy","true","00EB0000000lg9qMAA","0DbB0000001948lKAA","2020-09-01","Dean Pierce","00EB0000000lg9lMAA","false","true","0G3B0000006lEAqKAM","false","Pipeline","00EB0000000lg9vMAA/00EB0000000lg9qMAA/00EB0000000lg9lMAA",161869,161869,161869,161869
"2020-09-17","Jahnavi Reddy/Dean Pierce/Arya Stark","true",,"https://c.gus.content.force.com/profilephoto/005/T","00EB0000000lg9vMAA","false","Dean Pierce","Opportunity Revenue","2020-09-17","RVP_Central","Central_Sales","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","Central Sales",,"RVP Central","false","OpportunityRevenue","Jahnavi Reddy","Arya Stark","Reddy","Month","true","2018-12-31","026B0000000kC4PIAU","Jahnavi Reddy","true","00EB0000000lg9qMAA","0DbB0000001948lKAA","2018-12-01","Dean Pierce","00EB0000000lg9lMAA","false","true","0G3B0000006lEBKKA2","false","Closed","00EB0000000lg9vMAA/00EB0000000lg9qMAA/00EB0000000lg9lMAA",313899,313899,313899,313899
"2020-09-17","Jahnavi Reddy/Dean Pierce/Arya Stark","true",,"https://c.gus.content.force.com/profilephoto/005/T","00EB0000000lg9vMAA","false","Dean Pierce","Opportunity Revenue","2020-09-17","RVP_Central","Central_Sales","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","Central Sales",,"RVP Central","true","OpportunityRevenue","Jahnavi Reddy","Arya Stark","Reddy","Month","true","2020-07-31","026B0000000kC3VIAU","Jahnavi Reddy","true","00EB0000000lg9qMAA","0DbB0000001948lKAA","2020-07-01","Dean Pierce","00EB0000000lg9lMAA","false","true","0G3B0000006lEFbKAM","false","Pipeline","00EB0000000lg9vMAA/00EB0000000lg9qMAA/00EB0000000lg9lMAA",60445,60445,60445,60445
"2020-09-17","Jahnavi Reddy/Dean Pierce/Arya Stark","true",,"https://c.gus.content.force.com/profilephoto/005/T","00EB0000000lg9vMAA","false","Dean Pierce","Opportunity Revenue","2020-09-17","RVP_Central","Central_Sales","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","Central Sales",,"RVP Central","true","OpportunityRevenue","Jahnavi Reddy","Arya Stark","Reddy","Month","true","2020-01-31","026B0000000kC3PIAU","Jahnavi Reddy","true","00EB0000000lg9qMAA","0DbB0000001948lKAA","2020-01-01","Dean Pierce","00EB0000000lg9lMAA","false","true","0G3B0000006lEB0KAM","false","Closed","00EB0000000lg9vMAA/00EB0000000lg9qMAA/00EB0000000lg9lMAA",496717,496717,496717,496717
"2020-09-17","Jahnavi Reddy/Dean Pierce/Arya Stark","true",,"https://c.gus.content.force.com/profilephoto/005/T","00EB0000000lg9vMAA","false","Dean Pierce","Opportunity Revenue","2020-09-17","RVP_Central","Central_Sales","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","Central Sales",,"RVP Central","true","OpportunityRevenue","Jahnavi Reddy","Arya Stark","Reddy","Month","true","2019-05-31","026B0000000kC3CIAU","Jahnavi Reddy","true","00EB0000000lg9qMAA","0DbB0000001948lKAA","2019-05-01","Dean Pierce","00EB0000000lg9lMAA","false","true","0G3B0000006lEB5KAM","false","Closed","00EB0000000lg9vMAA/00EB0000000lg9qMAA/00EB0000000lg9lMAA",212523,212523,212523,212523
"2020-09-17","Jahnavi Reddy/Dean Pierce/Arya Stark","true",,"https://c.gus.content.force.com/profilephoto/005/T","00EB0000000lg9vMAA","false","Dean Pierce","Opportunity Revenue","2020-09-17","RVP_Central","Central_Sales","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","Central Sales",,"RVP Central","true","OpportunityRevenue","Jahnavi Reddy","Arya Stark","Reddy","Month","true","2019-07-31","026B0000000kC3EIAU","Jahnavi Reddy","true","00EB0000000lg9qMAA","0DbB0000001948lKAA","2019-07-01","Dean Pierce","00EB0000000lg9lMAA","false","true","0G3B0000006lEAlKAM","false","Closed","00EB0000000lg9vMAA/00EB0000000lg9qMAA/00EB0000000lg9lMAA",107028,107028,107028,107028
