"Order_ID","Sub_Category","Category","Ship_Date","Customer_Name","Product_ID","Product_Name","City","Order_Date","Segment","Ship_Mode","Customer_ID","State","Country","Region","Row_ID","Discount","Quantity","Sales","Postal_Code","Profit"
"US-2015-108966","Tables","Furniture","10/18/15","Sean O'Donnell","FUR-TA-10000577","Bretford CR4500 Series Slim Rectangular Table","Fort Lauderdale","10/11/15","Consumer","Standard Class","SO-20335","Florida","United States","South",4,0.45,5,957.5775,33311,-383.031
"US-2015-108966","Storage","Office Supplies","10/18/15","Sean O'Donnell","OFF-ST-10000760","Eldon Fold 'N Roll Cart System","Fort Lauderdale","10/11/15","Consumer","Standard Class","SO-20335","Florida","United States","South",5,0.2,2,22.368,33311,2.5164
"US-2015-118983","Appliances","Office Supplies","11/26/15","Harold Pawlan","OFF-AP-10002311","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","Fort Worth","11/22/15","Home Office","Standard Class","HP-14815","Texas","United States","Central",15,0.8,5,68.81,76106,-123.858
"US-2015-118983","Binders","Office Supplies","11/26/15","Harold Pawlan","OFF-BI-10000756","Storex DuraTech Recycled Plastic Frosted Binders","Fort Worth","11/22/15","Home Office","Standard Class","HP-14815","Texas","United States","Central",16,0.8,3,2.544,76106,-3.816
"CA-2014-105893","Storage","Office Supplies","11/18/14","Pete Kriz","OFF-ST-10004186","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","Madison","11/11/14","Consumer","Standard Class","PK-19075","Wisconsin","United States","Central",17,0,6,665.88,53711,13.3176
"CA-2017-107727","Paper","Office Supplies","10/23/17","Matt Abelman","OFF-PA-10000249","Easy-staple paper","Houston","10/19/17","Home Office","Second Class","MA-17560","Texas","United States","Central",35,0.2,3,29.472,77095,9.9468
"CA-2015-117415","Envelopes","Office Supplies","12/31/15","Steve Nguyen","OFF-EN-10002986","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","Houston","12/27/15","Home Office","Standard Class","SN-20710","Texas","United States","Central",38,0.2,9,113.328,77041,35.415
"CA-2015-117415","Bookcases","Furniture","12/31/15","Steve Nguyen","FUR-BO-10002545","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","Houston","12/27/15","Home Office","Standard Class","SN-20710","Texas","United States","Central",39,0.32,3,532.3992,77041,-46.9764
"CA-2015-117415","Chairs","Furniture","12/31/15","Steve Nguyen","FUR-CH-10004218","Global Fabric Manager's Chair, Dark Gray","Houston","12/27/15","Home Office","Standard Class","SN-20710","Texas","United States","Central",40,0.3,3,212.058,77041,-15.147
"CA-2015-117415","Phones","Technology","12/31/15","Steve Nguyen","TEC-PH-10000486","Plantronics HL10 Handset Lifter","Houston","12/27/15","Home Office","Standard Class","SN-20710","Texas","United States","Central",41,0.2,4,371.168,77041,41.7564
"CA-2014-146703","Storage","Office Supplies","10/25/14","Patrick O'Donnell","OFF-ST-10001713","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","Westland","10/20/14","Consumer","Second Class","PO-18865","Michigan","United States","Central",47,0,4,211.96,48185,8.4784
"CA-2016-105816","Fasteners","Office Supplies","12/17/16","Janet Molinari","OFF-FA-10000304","Advantus Push Pins","New York City","12/11/16","Corporate","Standard Class","JM-15265","New York","United States","East",54,0,7,15.26,10024,6.2566
"CA-2016-105816","Phones","Technology","12/17/16","Janet Molinari","TEC-PH-10002447","AT&T CL83451 4-Handset Telephone","New York City","12/11/16","Corporate","Standard Class","JM-15265","New York","United States","East",55,0,5,1029.95,10024,298.6855
"CA-2015-135545","Accessories","Technology","11/30/15","Kunst Miller","TEC-AC-10004633","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","Los Angeles","11/24/15","Consumer","Standard Class","KM-16720","California","United States","West",63,0,2,13.98,90004,6.1512
"CA-2015-135545","Binders","Office Supplies","11/30/15","Kunst Miller","OFF-BI-10001078","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","Los Angeles","11/24/15","Consumer","Standard Class","KM-16720","California","United States","West",64,0.2,6,25.824,90004,9.3612
"CA-2015-135545","Paper","Office Supplies","11/30/15","Kunst Miller","OFF-PA-10003892","Xerox 1943","Los Angeles","11/24/15","Consumer","Standard Class","KM-16720","California","United States","West",65,0,3,146.73,90004,68.9631
