"date","Case_Type","Photo","Name","States","Car_Type","Education","Opportunity_Name","Patent_Activity","Einstein_Prediction","Categories","Call_Resolution","Conversion","Owner_Name","CompanyLogo","Customer_Type","Mobile_App_Usage","Forecast","Country","Region","Attrition_Details","Factory","Projects","Business_Segment","Segment","Mobility_Breakdown","Recommendations","DummyImage","Tenure","Lead","Awarness","Family_Type","Sentiment","App_Usage_Categories","OpportunityStage","Year","Roles_in_Demand","Job_Role","Stock_Price","Revenue_Target","Percentage_of_Calls","Capacity","Patents_Filed","Production","Profit","Stock_High","Employee_Count","Engagement_Industry","Case_Resolution","Open_Role_Days","Engagement_National","Net_Retention","Case_Handle_Time_in_Minutes","Sentiment_Score","Patents_Awarded","Facebook_Followers","Volume","Revenue","CSAT","Week","Inventory","Margin","Customer_Acquisition_Costs","NPS","Engagement","Revenue_Percentage","Purchases","Stock_Low","Instagram_Followers","Case_Length","Customer_Acquisition_Cost","Drive_Count"
"3/24/2017","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxh/M","Doug Koepp",,"Gasoline","Some College","Durgan LLC","2_Awarded","On Target","Cross Over","First Call","Yes","Marinna Storms","https://randomuser.me/api/portraits/men/53.jpg","Retained","Mostly App","Closed","Botswana","Asia Pacific","Personal","Nanjing","Project N","< 250K","Public Transport","Private Car","Offer co-marketing program","http://dummyimage.com/193x247.bmp/cc0000/ffffff","5 - 10 Years","Networking events","Organic Search","All","Positive","Service Appointments","Stage 1","Year2017","AI Engineering","Sales Representative",14.62,27997.30435,57,2002,15.03,2130,3.477,14.87022,2,0,22.285714,8,-1,59,624,78,5.521859,1064,1176000,24000,67,32017,24000,0.144866,66,61,-1,5,8,14.570426,2032,10,75,12000
"1/6/2019","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxh/M","Doug Koepp",,"Plug in Hybrid","Graduate","Nader-Bailey","3_Filed","At Risk","SUV","UnResolved","Yes","Gavrielle Babcock","https://randomuser.me/api/portraits/men/42.jpg","Converted","Mostly App","Expected to Close","Papua New Guinea","North America","Personal","Cleveland","Project M","> 1MM","Fleet","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/231x243.jpg/5fa2dd/ffffff","3 - 5 Years","Referrals","Organic Search","Married","Positive","Features","Stage 4","Year2019","AI Engineering","Body & paint specialist",12.59,40843.882252,9,625,14.31,2831,12.511,12.974176,13,0,5.428571,31,1,60,383,78,5.977829,1062,3560000,89000,67,12019,89000,0.140573,72,59,0,8,8,12.438896,2033,10,76,89000
"10/14/2016","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxg/M","Sonya Renner",,"Hybrid","Some College","Morissette, Parker and Quigley","3_Filed","On Target","Cars","Third Call or more","No","Marena Hazelby","https://randomuser.me/api/portraits/men/73.jpg","Converted","Others","Closed","China","Europe","Personal","Tychy","Project N","250K to 500K","RideShare","Private Car","Partner with a ride share company","http://dummyimage.com/147x239.bmp/dddddd/000000","> 10 Years","Blog posts","Paid Search","Non-Family","Positive","New Sales Appointments","Stage 1","Year2016","AI Engineering","Manager",14.98,5896.049683,100,4330,17.23,1469,2.205,15.44414,22,0,34,4,0,61,308,76,3.514481,1065,552000,12000,67,102016,12000,0.183715,53,60,0,3,8,14.632156,2033,11,76,6000
"1/21/2018","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxh/M","Doug Koepp",,"Gasoline","Some College","Rempel, Brakus and Wisozk","3_Filed","On Target","Trucks","Second Call","Yes","Katina Addionisio","https://randomuser.me/api/portraits/men/28.jpg","Retained","Mostly App","Forecast","Brazil","Asia Pacific","Growth Prospects","Samutprakarn","Project K","< 250K","Logistics","Private Car","Offer co-marketing program","http://dummyimage.com/173x245.png/dddddd/000000","> 10 Years","Social network","Social Media","All","Negative","Service Appointments","Stage 2","Year2018","AI Engineering","Diesel mechanic",20.41,17245.847959,100,2611,21.34,1652,2.158,20.627096,4,-1,9.428571,11,-1,60,383,77,7.008963,1064,544000,32000,64,12018,32000,0.067445,7,58,0,84,9,19.918549,2032,10,77,16000
"1/13/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Hybrid","Bachelor","Cole Inc","1_Rejected","On Target","Trucks","UnResolved","No","Felizio Zarfati","https://randomuser.me/api/portraits/men/61.jpg","New","Mostly App","Forecast","Peru","South America","Personal","Minas Gerais","Project N","< 250K","Public Transport","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/100x249.bmp/dddddd/000000","5 - 10 Years","Blog posts","Display Advertising","Married","Positive","Service Appointments","Stage 4","Year2019","AI Engineering","Sales Executive",16.1,94265.063171,26,3863,16.86,822,16.457,16.343893,23,-1,4.285714,31,1,60,347,76,4.383492,1062,3649000,89000,67,12019,89000,0.184911,77,59,1,43,7,15.910975,2032,9,75,89000
"12/26/2017","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxc/M","Katrina Quitzon",,"Gasoline","Less than High School","Crist, Schamberger and Jerde","2_Awarded","At Risk","Cross Over","Second Call","Yes","Evangelina Mastrantone","https://randomuser.me/api/portraits/men/13.jpg","New","Mostly App","Forecast","Thailand","Europe","Personal","Tychy","Project K","250K to 500K","Public Transport","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/165x188.jpg/ff4444/ffffff","> 10 Years","Paid campaigns","Paid Search","Non-Family","Positive","Service Appointments","Stage 4","Year2017","Cybersecurity","Manager",17.6,29855.691638,100,2222,17.93,2457,5.217,17.711756,8,-1,9.428571,11,0,61,239,76,5.9208,1063,1248000,32000,70,122017,32000,0.16304,97,61,1,76,9,17.392231,2031,11,76,16000
"5/28/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore","Limousin","Hybrid","High School Grad","Little and Sons","3_Filed","On Target","Cross Over","UnResolved","Yes","Emma Hast","https://randomuser.me/api/portraits/men/60.jpg","Converted","Mostly App","Forecast","France","Europe","Growth Prospects","Tofas","Project K","< 250K","Fleet","Private Car","Offer co-marketing program","http://dummyimage.com/164x149.bmp/ff4444/ffffff","> 10 Years","Social network","Organic Search","All","Negative","Features","Stage 4","Year2019","AI Engineering","Automotive technician",18.21,122413.066985,41,2122,18.05,2140,12.065,18.290779,11,2,2.571429,46,0,60,341,80,4.841244,1064,5289000,129000,67,52019,129000,0.093525,33,59,1,4,7,18.118651,2032,9,75,129000
"7/19/2016","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","Graduate","Hayes, Sauer and Carroll","2_Awarded","At Risk","Cross Over","UnResolved","No","Alfonso Milkins","https://randomuser.me/api/portraits/men/31.jpg","Retained","Mostly App","Forecast","Mongolia","Europe","Compensation","Tychy","Project R","> 500K","Fleet","Bike","Meet 1:1 with top decision maker","http://dummyimage.com/237x180.png/ff4444/ffffff","< 3 Years","Networking events","Email","Non-Family","Positive","Features","Stage 1","Year2016","AI Engineering","Automobile designer",14.27,12039.615839,26,4565,19.08,2687,1.786,14.349513,6,1,39.714286,4,1,59,35,79,4.731975,1065,247000,13000,69,72016,13000,0.137409,27,60,-1,28,8,14.142226,2034,10,75,6500
"4/8/2017","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Hybrid","Some College","Borer Group","3_Filed","At Risk","Cars","Third Call or more","Yes","Ealasaid Charville","https://randomuser.me/api/portraits/men/46.jpg","Converted","Mostly App","Forecast","Finland","Europe","Personal","Tychy","Project N","> 500K","Fleet","Private Car","Partner with a ride share company","http://dummyimage.com/208x133.bmp/dddddd/000000","3 - 5 Years","Blog posts","Email","All","Positive","Service Appointments","Stage 1","Year2017","AI Engineering","Manager",17.07,11823.241136,56,4388,16.6,863,3.16,17.229744,22,0,18.857143,8,1,59,731,78,5.017009,1064,850000,25000,68,42017,25000,0.126411,1,61,1,98,6,16.901782,2032,8,74,12500
"4/27/2019","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros","Braga","Gasoline","Graduate","Berge LLC","1_Rejected","At Risk","Minivans","UnResolved","No","Hadria Silverlock","https://randomuser.me/api/portraits/men/93.jpg","New","Mostly App","Closed","Portugal","Europe","Compensation","Tychy","Project M","250K to 500K","Fleet","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/237x199.png/dddddd/000000","> 10 Years","Third party directories","Paid Search","All","Neutral","Features","Stage 2","Year2019","Cybersecurity","Sales Executive",16.66,146264.58982,22,2338,19.79,2682,11.667,16.764136,8,-1,2.857143,43,-2,61,754,77,4.552122,1064,5658000,123000,66,42019,123000,0.094852,41,60,-1,51,9,16.282735,2033,10,75,123000
