"OWNERID","PRIMARYCONTACTGENDER","ACCOUNTNUMBER","OWNERSTATE","RISKTOLERANCE","INVESTMENTOBJECTIVES","AUMBUCKET","RELATIONSHIPSTARTDATE","RECORDTYPENAME","OWNERROLENAME","OWNERSMALLPHOTOURL","ID","HOUSEHOLDCOMPUTED","REVIEWFREQUENCY","BILLINGSTATE","CLIENTCATEGORYCUSTOM","NEXTREVIEW","OWNERNAME","NAME","LEADORCONTACTID","NETWORTHBUCKET","OWNEREMAIL","ROLLUPHOUSEHOLDNAME","AGEBUCKET","PHONE","SERVICEMODEL","FINANCIALINTERESTS","CREATEDDATE","OWNERCITY","MARKETINGSEGMENT","SAMPLEACCOUNT","INVESTMENTEXPERIENCE","LastProcessedDate","LASTINTERACTION","PRIMARYCONTACTEMAIL","BILLINGPOSTALCODE","CLIENTCATEGORY","LASTREVIEW","BILLINGCOUNTRY","YEARSSINCECLIENTBUCKET","CUSTOMERSEGMENT","HOUSEHOLDSIZETEXT","TOTALHELDFINACCTSPRIMARYOWNER","AUA","HOUSEHOLDSIZE","AUM","YEARSSINCECLIENT","TOTALAUMPRIMARYOWNER","TOTALHELDFINACCTSJOINTOWNER","PRIMARYCONTACTAGE","WALLETSHARE","HELDAWAY","DAYSSINCELASTINTERACTION","TOTALAUMJOINTOWNER","TOTALFINACCTSJOINTOWNER","TOTALNUMBEROFFINACCOUNTSPRIMARYOWNER","PRIMARYCONTACTANNUALINCOME","TOTALFINANCIALACCOUNTS","TOTALFINACCTSPRIMARYOWNER","NETWORTH"
"0051U000005JQyrQAG","Female","1","IL","None","Growth","2. Between 500K and 2M","2010-02-10","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000Kcp1JQAR",,"Annually","IL","1 - Platinum","2018-12-23","Allen Advisor","Adams Charitable Trust","0031U00000Mreh2QAB","3. Between 2M and 5M","allen.advisor@example.com",,"3. 30-49","553-868-9466","Tier 1","Municipal Bonds","2018-11-26","Chicago","Millennials","true","Inexperienced","2020-05-25","2018-11-25","user-1@fsc-demo.com","61237","Platinum","2018-11-17","USA","4. Between 5 and 10 Years","Mass Affluent","0",3473922.3,3473922.3,0,995000,8,995000,0,47,0.78,3473922.3,547,0,0,3,244270,4468922.3,4468922.3,4468922.3
"0051U000005L6eJQAS","Female","2","FL","Moderate","Balanced Growth","3. Between 2M and 5M","2010-10-31","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000Kcp1KQAR","Adams Household","Annually","CA","3 - Silver","2018-12-13","Chelsea Advisor","Adams Household","0011U00000KulRbQAJ","3. Between 2M and 5M","ryan.dobson@example.com","Adams Household","3. 30-49","310-781-2183","Tier 1","Technology","2018-11-26","Florida","Millennials","true","Moderately Experienced","2020-05-25","2018-11-25","user-2@fsc-demo.com","96104","Silver","2018-11-23","USA","4. Between 5 and 10 Years","Mass Affluent","4",5570,5570,4,3528096,8,3528096,0,36,0,5570,547,0,0,3,83488,3533666,3533666,3533666
"0051U000005L6eJQAS","Male","3","FL","Conservative","Aggressive Growth","6. NA","2017-12-25","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000Kcp1LQAR",,"Quarterly","NJ","3 - Silver","2018-12-23","Chelsea Advisor","Neil Symonds","0031U00000Mreh3QAB","5. More than 10M","ryan.dobson@example.com",,"4. 50-69","549-485-6161","Tier 2","Energy","2018-11-26","Florida","Millennials","true","Experienced","2020-05-25","2018-11-19","user-3@fsc-demo.com","8323","Silver","2018-11-18","USA","1. Less than 1 year","Mass Affluent","0",5491193.13,5491193.13,0,11928089,0,11928089,0,67,0.32,5491193.13,553,0,0,5,140407,17419282.13,17419282.13,17419282.13
"0051U000005L4E9QAK","Female","4","CA","Conservative","Balanced Growth","4. Between 5M and 10M","2009-12-03","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000Kcp1NQAR",,"Annually","CA","3 - Silver","2018-12-23","Brenda Banker","Rachel Adams","0011U00000KulRbQAJ","5. More than 10M","sunil.dixit@example.com",,"2. 18-29","393-887-1868","Tier 2","Technology","2018-11-26","San Francisco","Millennials","true","Moderately Inexperienced","2020-05-25","2018-11-10","user-4@fsc-demo.com","96110","Silver","2018-11-08","USA","4. Between 5 and 10 Years","Mass Affluent","0",3498350,3498350,0,6625181,8,6625181,0,22,0.35,3498350,562,0,0,3,175599,10123531,10123531,10123531
"0051U000005JQyrQAG","Male","5","IL","Aggresive","Growth","4. Between 5M and 10M","2009-09-16","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000Kcp1MQAR",,"Quarterly","NY","3 - Silver","2018-12-13","Allen Advisor","Nigel Adams","0031U00000Mreh4QAB","5. More than 10M","allen.advisor@example.com",,"4. 50-69","539-543-7082","Tier 2","Retirement","2018-11-26","Chicago","Mass Market","true","Experienced","2020-05-25","2018-11-21","user-5@fsc-demo.com","10451","Silver","2018-11-07","USA","4. Between 5 and 10 Years","Long Term Growth","0",7520242.26,7520242.26,0,9994378,9,9994378,0,59,0.43,7520242.26,551,0,0,5,84614,17514620.26,17514620.26,17514620.26
"0051U000005JQyrQAG","Male","6","IL","Conservative","Aggressive Growth","6. NA","2018-11-02","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000Kcp1OQAR",,"Quarterly","NJ","1 - Platinum","2018-12-16","Allen Advisor","Smith, Kohl and Company","0031U00000Mreh5QAB","5. More than 10M","allen.advisor@example.com",,"3. 30-49","456-325-7734","Tier 3","Retirement","2018-11-26","Chicago","Affluent Professionals","true","Experienced","2020-05-25","2018-11-24","user-6@fsc-demo.com","8218","Platinum","2018-11-02","USA","1. Less than 1 year","Long Term Growth","0",6101271.63,6101271.63,0,12810417,0,12810417,0,32,0.32,6101271.63,548,0,0,5,187849,18911688.63,18911688.63,18911688.63
"0051U000005JQyrQAG","Male","7","IL","Moderate","Income","4. Between 5M and 10M","2018-02-06","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000Kcp1PQAR","Symonds Household","Annually","FL","3 - Silver","2018-12-25","Allen Advisor","Symonds Household","0011U00000KulRbQAJ","4. Between 5M and 10M","allen.advisor@example.com","Symonds Household","4. 50-69","453-979-7609","Tier 3","College Planning","2018-11-26","Chicago","Mass Market","true","Moderately Experienced","2020-05-25","2018-11-12","user-7@fsc-demo.com","32420","Silver","2018-10-30","USA","1. Less than 1 year","Mass Affluent","2",3161446,3161446,2,6634003,0,6634003,0,69,0.32,3161446,560,0,0,3,212368,9795449,9795449,9795449
"0051U000005JQyrQAG","Female","8","IL","Aggresive","Balanced Growth","1. Less than 500K","2009-09-19","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000Kss4jQAB",,"Monthly","CA","3 - Silver","2018-12-15","Allen Advisor","Jinni Boyd","0031U00000Mreh6QAB","1. Less than 500K","allen.advisor@example.com",,"4. 50-69","495-927-5037","Tier 1","Technology","2018-11-26","Chicago","Mass Market","false","Inexperienced","2020-05-25","2018-11-17","user-8@fsc-demo.com","96106","Silver","2018-11-07","USA","4. Between 5 and 10 Years","Long Term Growth","0",119432,119432,0,238311,9,238311,0,51,0.33,119432,555,0,0,3,129497,357743,357743,357743
"0051U000005JQyrQAG","Female","11","IL","None","Income","6. NA","2009-11-26","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXHQA3",,"Monthly","IL","1 - Platinum","2018-12-13","Allen Advisor","Hedley Church","0031U00000Mreh9QAB","1. Less than 500K","allen.advisor@example.com",,"4. 50-69","251-277-9816","Tier 1","Energy","2018-11-26","Chicago","Affluent Professionals","false","Experienced","2020-05-25","2018-11-22","user-11@fsc-demo.com","61234","Platinum","2018-11-20","USA","4. Between 5 and 10 Years","Mass Affluent","0",241508,241508,0,0,9,0,0,57,1,241508,550,0,0,2,139289,241508,241508,241508
"0051U000005JQyrQAG","Female","12","IL","Moderate","Income","1. Less than 500K","2016-03-14","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXIQA3",,"Monthly","FL","3 - Silver","2018-12-20","Allen Advisor","Wallace Summers","0011U00000KulRbQAJ","1. Less than 500K","allen.advisor@example.com",,"4. 50-69","290-222-2518","Tier 3","Municipal Bonds","2018-11-26","Chicago","Mass Market","false","Moderately Experienced","2020-05-25","2018-11-25","user-12@fsc-demo.com","32615","Silver","2018-11-24","USA","2. Between 1 and 3 years","Long Term Growth","0",177242,177242,0,68647,2,68647,0,51,0.72,177242,547,0,0,2,166664,245889,245889,245889
