"OWNERID","ACCOUNTRECORDTYPENAME","ACCOUNTTYPE","OWNERSTATE","ACTIVITYDATE","PRIORITY","ACCOUNTSERVICEMODEL","CREATEDDATE","OWNERCITY","STATUS","ACCOUNTOWNERNAME","RECORDTYPENAME","OWNERROLENAME","EVENTSUBTYPE","ACCOUNTID","OWNERSMALLPHOTOURL","ID","TYPE","ACCOUNTINVESTMENTOBJECTIVES","REGARDING","TASKSUBTYPE","ACCOUNTNAME","ACCOUNTINVESTMENTEXPERIENCE","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","OWNERNAME","SUBJECT","OWNEREMAIL","ACCOUNTAUM"
"0051U000005JQyrQAG","Individual","Customer","IL","2018-11-22","High","Tier 1","2018-12-17","Chicago","Open","Allen Advisor","Advisor Task","Manager","Event","0011U00000Kcp1JQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000Kcp1JQAR","Email","Growth","Onboarding","Task","Adams Charitable Trust","Inexperienced","2020-05-25","Millennials","Allen Advisor","Discussion","allen.advisor@example.com",737544
"0051U000005L6eJQAS","Household","Customer","FL","2018-11-28","Event","Tier 1","2018-12-17","Florida","Event","Chelsea Advisor","Advisor Event","Manager","Call","0011U00000Kcp1KQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","Activity-0-0011U00000Kcp1KQAR","Call","Balanced Growth","Prospecting","Event","Adams Household","Moderately Experienced","2020-05-25","Millennials","Chelsea Advisor","Call Adams Household","ryan.dobson@example.com",442580
"0051U000005L4E9QAK","Person Account","Customer","CA","2018-11-23","Normal","Tier 2","2018-12-17","San Francisco","In Progress","Allen Advisor","Advisor Task","Manager","Event","0011U00000Kcp1MQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000Kcp1MQAR","Meeting","Growth","Service","Task","Nigel Adams","Experienced","2020-05-25","Mass Market","Brenda Banker","Send Birthday Gift","sunil.dixit@example.com",900720
"0051U000005JQyrQAG","Individual","Customer","IL","2018-11-30","High","Tier 3","2018-12-17","Chicago","Not Started","Allen Advisor","Advisor Task","Manager","Event","0011U00000Kcp1OQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000Kcp1OQAR","Call","Aggressive Growth","Client Retention","Call","Smith, Kohl and Company","Experienced","2020-05-25","Affluent Professionals","Allen Advisor","Call Smith, Kohl and Company","allen.advisor@example.com",1276867
"0051U000005L4E9QAK","Person Account","Customer","CA","2018-12-05","Event","Tier 3","2018-12-17","San Francisco","Event","Brenda Banker","Advisor Event","Manager","Call","0011U00000KuFXFQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuFXFQA3","Call","Aggressive Growth","Client Retention","Event","Kristen Beasley","Experienced","2020-05-25","Retired","Brenda Banker","Call Kristen Beasley","sunil.dixit@example.com",449189
"0051U000005L4E9QAK","Person Account","Customer","CA","2018-12-11","Event","Tier 3","2018-12-17","San Francisco","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuWpYQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuWpYQAV","Email","Growth","Prospecting","Event","Fredericka Mccullough","Moderately Inexperienced","2020-05-25","Affluent Professionals","Brenda Banker","Quarterly Earnings Summary","sunil.dixit@example.com",416693
"0051U000005L6eJQAS","Household","Customer","FL","2018-11-27","Event","Tier 1","2018-12-17","Florida","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFXJQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","Activity-0-0011U00000KuFXJQA3","Email","Growth","Service","Event","Zane Cervantes","Moderately Inexperienced","2020-05-25","Mass Market","Chelsea Advisor","Quarterly Earnings Summary","ryan.dobson@example.com",951656
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-12-13","Event","Tier 2","2018-12-17","Chicago","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFXKQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXKQA3","Other","Balanced Growth","Onboarding","Event","Carissa Mckee","Experienced","2020-05-25","Affluent Professionals","Allen Advisor","Summit","allen.advisor@example.com",294015
"0051U000005L4E9QAK","Person Account","Customer","CA","2018-12-04","Normal","Tier 1","2018-12-17","San Francisco","Not Started","Allen Advisor","Advisor Task","Manager","Event","0011U00000KuFXMQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuFXMQA3","Email","Growth","Service","Task","Quinn Cummings","Inexperienced","2020-05-25","Retired","Brenda Banker","Quarterly Earnings Summary","sunil.dixit@example.com",243471
"0051U000005L4E9QAK","Person Account","Customer","CA","2018-12-08","High","Tier 1","2018-12-17","San Francisco","Completed","Chelsea Advisor","Advisor Task","Manager","Event","0011U00000KuFXRQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuFXRQA3","Meeting","Growth","Prospecting","Task","Sloane Holland","Moderately Inexperienced","2020-05-25","Affluent Professionals","Brenda Banker","Quarterly Earnings Summary","sunil.dixit@example.com",674236
