"HASRESPONDED","CONTACTNAME","CONTACTEMAIL","LastProcessedDate","CAMPAIGNNAME","NAME","LEADEMAIL","CAMPAIGNISACTIVE","CONTACTMOBILEPHONE","LEADNAME","CAMPAIGNSTATUS","ID","LEADPHONE","CAMPAIGNSTARTDATE","CAMPAIGNID","CAMPAIGNTYPE","TYPE"
"true",,,"2020-05-25","Retirement Campaign","Martin Young","martinyoung@example.com","false",,"Martin Young","Aborted","00v1U000000oHr9QAE","(2308)-993-2308","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"true","Justin Smith","justinsmith@example.com","2020-05-25","Retirement Campaign","Justin Smith",,"false","(7074)-100-7074",,"Aborted","00v1U000000oHrAQAU",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"true","Rachel Adams (Sample)","racheladamssample@example.com","2020-05-25","Retirement Campaign","Rachel Adams (Sample)",,"false","(6045)-429-6045",,"Aborted","00v1U000000oCWsQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false","Neil Symonds (Sample)","neilsymondssample@example.com","2020-05-25","Retirement Campaign","Neil Symonds (Sample)",,"false","(9136)-241-9136",,"Aborted","00v1U000000oCWtQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false","Nigel Adams (Sample)","nigeladamssample@example.com","2020-05-25","Retirement Campaign","Nigel Adams (Sample)",,"false","(9176)-469-9176",,"Aborted","00v1U000000oCWuQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false",,,"2020-05-25","Retirement Campaign","Martin Young","martinyoung@example.com","false",,"Martin Young","Aborted","00v1U000000oCWvQAM","(2868)-604-2868","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"false",,,"2020-05-25","Retirement Campaign","Justin Smith","justinsmith@example.com","false",,"Justin Smith","Aborted","00v1U000000oCWwQAM","(9071)-678-9071","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"false",,,"2020-05-25","Retirement Campaign","Jinni Boyd","jinniboyd@example.com","false",,"Jinni Boyd","Aborted","00v1U000000oCWxQAM","(9536)-841-9536","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"false","Willie Hester","williehester@example.com","2020-05-25","Retirement Campaign","Willie Hester",,"false","(9751)-719-9751",,"Aborted","00v1U000000oCWyQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false","Reuben Holder","reubenholder@example.com","2020-05-25","Retirement Campaign","Reuben Holder",,"false","(7198)-126-7198",,"Aborted","00v1U000000oCWzQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false","Deshawn Baldwin","deshawnbaldwin@example.com","2020-05-25","Retirement Campaign","Deshawn Baldwin",,"false","(6342)-352-6342",,"Aborted","00v1U000000oCX0QAM",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false",,,"2020-05-25","Retirement Campaign","Isaac Molina","isaacmolina@example.com","false",,"Isaac Molina","Aborted","00v1U000000oCX1QAM","(4573)-313-4573","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"true",,,"2020-05-25","Retirement Campaign","Karter Garner","kartergarner@example.com","false",,"Karter Garner","Aborted","00v1U000000oCX2QAM","(1102)-537-1102","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"false",,,"2020-05-25","Retirement Campaign","Tyrell Smith","tyrellsmith@example.com","false",,"Tyrell Smith","Aborted","00v1U000000oCX3QAM","(5445)-258-5445","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"false","Guillermo Mccoy","guillermomccoy@example.com","2020-05-25","Retirement Campaign","Guillermo Mccoy",,"false","(7479)-373-7479",,"Aborted","00v1U000000oCX4QAM",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"true","Billy Holder","billyholder@example.com","2020-05-25","Retirement Campaign","Billy Holder",,"false","(5072)-770-5072",,"Aborted","00v1U000000oCX5QAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"true","Keenan Petty","keenanpetty@example.com","2020-05-25","Retirement Campaign","Keenan Petty",,"false","(8012)-687-8012",,"Aborted","00v1U000000oCX6QAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false","Zane Arroyo","zanearroyo@example.com","2020-05-25","Retirement Campaign","Zane Arroyo",,"false","(1415)-482-1415",,"Aborted","00v1U000000oCX7QAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"true","Nathan Henry","nathanhenry@example.com","2020-05-25","Retirement Campaign","Nathan Henry",,"false","(7831)-102-7831",,"Aborted","00v1U000000oCX8QAM",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false","Austin Harvey","austinharvey@example.com","2020-05-25","Retirement Campaign","Austin Harvey",,"false","(1255)-406-1255",,"Aborted","00v1U000000oCX9QAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"true","Kasen Mclean","kasenmclean@example.com","2020-05-25","Retirement Campaign","Kasen Mclean",,"false","(3317)-512-3317",,"Aborted","00v1U000000oCXAQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false","Nigel Gibbs","nigelgibbs@example.com","2020-05-25","Retirement Campaign","Nigel Gibbs",,"false","(9354)-486-9354",,"Aborted","00v1U000000oCXBQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"true","Quinton Harrell","quintonharrell@example.com","2020-05-25","Retirement Campaign","Quinton Harrell",,"false","(1230)-627-1230",,"Aborted","00v1U000000oCXCQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false","Stephen Harrell","stephenharrell@example.com","2020-05-25","Retirement Campaign","Stephen Harrell",,"false","(2495)-859-2495",,"Aborted","00v1U000000oCXDQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false","Sidney Abbott","sidneyabbott@example.com","2020-05-25","Retirement Campaign","Sidney Abbott",,"false","(6925)-686-6925",,"Aborted","00v1U000000oCXEQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false","Alejandro Bates","alejandrobates@example.com","2020-05-25","Retirement Campaign","Alejandro Bates",,"false","(4053)-641-4053",,"Aborted","00v1U000000oCXFQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false","Kameron Porter","kameronporter@example.com","2020-05-25","Retirement Campaign","Kameron Porter",,"false","(1718)-749-1718",,"Aborted","00v1U000000oCXGQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"true","Emilio Murillo","emiliomurillo@example.com","2020-05-25","Retirement Campaign","Emilio Murillo",,"false","(2561)-233-2561",,"Aborted","00v1U000000oCXHQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"true","Andreas Roy","andreasroy@example.com","2020-05-25","Retirement Campaign","Andreas Roy",,"false","(3851)-983-3851",,"Aborted","00v1U000000oCXIQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"true","Agustin Hodges","agustinhodges@example.com","2020-05-25","Retirement Campaign","Agustin Hodges",,"false","(1013)-827-1013",,"Aborted","00v1U000000oCXJQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
