"OWNERID","LEADOWNERCITY","LEADOWNERSTATE","OWNERSTATE","ACTIVITYDATE","LEADOWNERNAME","LastProcessedDate","LEADID","OWNERNAME","OWNERCITY","LEADCREATEDDATE","LEADOWNERID","TOUCHES"
"0051U000005JQyrQAG","Chicago","IL","IL","2020-05-24","Allen Advisor","2020-05-25","00Q1U000006Mv0DUAS","Allen Advisor","Chicago","2020-02-09","0051U000005JQyrQAG",9
"0051U000005JQyrQAG","Chicago","IL","IL","2020-08-11","Allen Advisor","2020-05-25","00Q1U000006Mv0EUAS","Allen Advisor","Chicago","2020-05-16","0051U000005JQyrQAG",3
"0051U000005JQyrQAG","Chicago","IL","IL","2020-05-22","Allen Advisor","2020-05-25","00Q1U000006Mv0GUAS","Allen Advisor","Chicago","2020-05-04","0051U000005JQyrQAG",6
"0051U000005KhW6QAK","Chicago","IL","NY","2020-05-24","Allen Advisor","2020-05-25","00Q1U000006Mv0JUAS","Mark Garet","New York","2020-05-11","0051U000005JQyrQAG",7
"0051U000005JQyrQAG","Chicago","IL","IL","2020-08-23","Allen Advisor","2020-05-25","00Q1U000006Mv0KUAS","Allen Advisor","Chicago","2020-05-16","0051U000005JQyrQAG",7
"0051U000005JQyrQAG","Florida","FL","IL","2020-07-28","Chelsea Advisor","2020-05-25","00Q1U000006D5JwUAK","Allen Advisor","Chicago","2020-05-01","0051U000005L6eJQAS",5
"0051U000005JQyrQAG","San Francisco","CA","IL","2020-08-18","Brenda Banker","2020-05-25","00Q1U000006Mv0FUAS","Allen Advisor","Chicago","2020-04-30","0051U000005L4E9QAK",5
"0051U000005JQyrQAG","San Francisco","CA","IL","2020-08-29","Brenda Banker","2020-05-25","00Q1U000006Mv0HUAS","Allen Advisor","Chicago","2020-05-07","0051U000005L4E9QAK",4
"0051U000005JQyrQAG","Florida","FL","IL","2020-05-24","Chelsea Advisor","2020-05-25","00Q1U000006Mv0IUAS","Allen Advisor","Chicago","2020-05-11","0051U000005L6eJQAS",10
"0051U000005L4E9QAK","Florida","FL","CA","2020-07-24","Chelsea Advisor","2020-05-25","00Q1U000006DmD3UAK","Brenda Banker","San Francisco","2020-04-29","0051U000005L6eJQAS",10
"0051U000005L6eJQAS","San Francisco","CA","FL","2020-06-10","Brenda Banker","2020-05-25","00Q1U000006Mv0FUAS","Chelsea Advisor","Florida","2020-05-08","0051U000005L4E9QAK",3
"0051U000005JQyrQAG","Chicago","IL","IL","2020-05-18","Allen Advisor","2020-05-25","00Q1U000006DmD4UAK","Allen Advisor","Chicago","2020-05-09","0051U000005JQyrQAG",7
"0051U000005KhW6QAK","Chicago","IL","NY","2020-03-03","Allen Advisor","2020-05-25","00Q1U000006Mv0FUAS","Mark Garet","New York","2020-02-18","0051U000005JQyrQAG",7
"0051U000005L6eJQAS","Chicago","IL","FL","2020-08-20","Allen Advisor","2020-05-25","00Q1U000006DmD5UAK","Chelsea Advisor","Florida","2020-05-25","0051U000005JQyrQAG",7
"0051U000005L6eJQAS","Florida","FL","FL","2020-05-28","Chelsea Advisor","2020-05-25","00Q1U000006DmD6UAK","Chelsea Advisor","Florida","2020-05-04","0051U000005L6eJQAS",6
"0051U000005L4E9QAK","Chicago","IL","CA","2020-07-18","Allen Advisor","2020-05-25","00Q1U000006DmD7UAK","Brenda Banker","San Francisco","2020-05-10","0051U000005JQyrQAG",7
"0051U000005JQyrQAG","Florida","FL","IL","2020-08-27","Chelsea Advisor","2020-05-25","00Q1U000006DmD8UAK","Allen Advisor","Chicago","2020-05-06","0051U000005L6eJQAS",8
"0051U000005L6eJQAS","New York","NY","FL","2020-08-08","Mark Garet","2020-05-25","00Q1U000006DmD9UAK","Chelsea Advisor","Florida","2020-05-02","0051U000005KhW6QAK",10
"0051U000005KhW6QAK","New York","NY","NY","2020-06-30","Mark Garet","2020-05-25","00Q1U000006DmDAUA0","Mark Garet","New York","2020-05-06","0051U000005KhW6QAK",10
"0051U000005KhW6QAK","Florida","FL","NY","2020-06-28","Chelsea Advisor","2020-05-25","00Q1U000006DmDBUA0","Mark Garet","New York","2020-05-16","0051U000005L6eJQAS",7
"0051U000005L4E9QAK","New York","NY","CA","2020-07-20","Mark Garet","2020-05-25","00Q1U000006DmDCUA0","Brenda Banker","San Francisco","2020-03-15","0051U000005KhW6QAK",4
"0051U000005L6eJQAS","San Francisco","CA","FL","2020-06-26","Brenda Banker","2020-05-25","00Q1U000006DmDDUA0","Chelsea Advisor","Florida","2020-05-12","0051U000005L4E9QAK",6
"0051U000005L4E9QAK","Chicago","IL","CA","2020-06-27","Allen Advisor","2020-05-25","00Q1U000006Mv0FUAS","Brenda Banker","San Francisco","2020-05-07","0051U000005JQyrQAG",9
"0051U000005JQyrQAG","San Francisco","CA","IL","2020-07-16","Brenda Banker","2020-05-25","00Q1U000006DmDEUA0","Allen Advisor","Chicago","2020-05-09","0051U000005L4E9QAK",3
"0051U000005L6eJQAS","Chicago","IL","FL","2020-05-22","Allen Advisor","2020-05-25","00Q1U000006DmDFUA0","Chelsea Advisor","Florida","2020-04-01","0051U000005JQyrQAG",6
"0051U000005JQyrQAG","Chicago","IL","IL","2020-05-27","Allen Advisor","2020-05-25","00Q1U000006Mv0FUAS","Allen Advisor","Chicago","2020-05-01","0051U000005JQyrQAG",3
"0051U000005L6eJQAS","New York","NY","FL","2020-07-02","Mark Garet","2020-05-25","00Q1U000006DmDGUA0","Chelsea Advisor","Florida","2020-05-07","0051U000005KhW6QAK",4
"0051U000005JQyrQAG","San Francisco","CA","IL","2020-07-26","Brenda Banker","2020-05-25","00Q1U000006DmDHUA0","Allen Advisor","Chicago","2020-04-20","0051U000005L4E9QAK",8
"0051U000005L6eJQAS","Chicago","IL","FL","2020-06-06","Allen Advisor","2020-05-25","00Q1U000006Mv0FUAS","Chelsea Advisor","Florida","2020-05-18","0051U000005JQyrQAG",6
"0051U000005L6eJQAS","Chicago","IL","FL","2020-06-25","Allen Advisor","2020-05-25","00Q1U000006DmDIUA0","Chelsea Advisor","Florida","2020-05-10","0051U000005JQyrQAG",10
"0051U000005L4E9QAK","Florida","FL","CA","2020-03-25","Chelsea Advisor","2020-05-25","00Q1U000006DmDJUA0","Brenda Banker","San Francisco","2020-02-15","0051U000005L6eJQAS",4
"0051U000005JQyrQAG","New York","NY","IL","2020-06-06","Mark Garet","2020-05-25","00Q1U000006DmDKUA0","Allen Advisor","Chicago","2020-05-09","0051U000005KhW6QAK",7
"0051U000005KhW6QAK","San Francisco","CA","NY","2020-07-29","Brenda Banker","2020-05-25","00Q1U000006DmDLUA0","Mark Garet","New York","2020-04-18","0051U000005L4E9QAK",7
"0051U000005JQyrQAG","San Francisco","CA","IL","2020-06-12","Brenda Banker","2020-05-25","00Q1U000006DmDMUA0","Allen Advisor","Chicago","2020-05-21","0051U000005L4E9QAK",5
"0051U000005L4E9QAK","San Francisco","CA","CA","2020-06-14","Brenda Banker","2020-05-25","00Q1U000006DmDNUA0","Brenda Banker","San Francisco","2020-04-26","0051U000005L4E9QAK",3
"0051U000005JQyrQAG","New York","NY","IL","2020-05-07","Mark Garet","2020-05-25","00Q1U000006DmDOUA0","Allen Advisor","Chicago","2020-04-17","0051U000005KhW6QAK",7
"0051U000005JQyrQAG","Chicago","IL","IL","2020-07-30","Allen Advisor","2020-05-25","00Q1U000006DmDPUA0","Allen Advisor","Chicago","2020-04-27","0051U000005JQyrQAG",9
"0051U000005JQyrQAG","Chicago","IL","IL","2020-08-01","Allen Advisor","2020-05-25","00Q1U000006DmDQUA0","Allen Advisor","Chicago","2020-04-23","0051U000005JQyrQAG",6
"0051U000005KhW6QAK","San Francisco","CA","NY","2020-07-31","Brenda Banker","2020-05-25","00Q1U000006DmDRUA0","Mark Garet","New York","2020-04-29","0051U000005L4E9QAK",5
"0051U000005L4E9QAK","New York","NY","CA","2020-07-14","Mark Garet","2020-05-25","00Q1U000006DmDSUA0","Brenda Banker","San Francisco","2020-05-25","0051U000005KhW6QAK",3
"0051U000005L6eJQAS","San Francisco","CA","FL","2020-04-04","Brenda Banker","2020-05-25","00Q1U000006DmDTUA0","Chelsea Advisor","Florida","2020-02-28","0051U000005L4E9QAK",7
