SnapshotDate,SnapshotTextDate,Id,CreatedDate,AccountId,AccountName,AccountMarketingSegment,AccountInvestmentObjectives,AccountServiceModel,AccountOwnerName,Name,AchievedPercentage,AchievedPercentageRange,ActualValue,TargetValue,TargetDate,Type,YearsUntilTarget,LastProcessedDate
2018-12-17,2018-12-17,a091U000000YJGLQA4,2018-11-26,0011U00000Kcp1LQAR,Neil Symonds,Millennials,Aggressive Growth,Tier 2,Chelsea Advisor,Retirement Goals,98.51851851851852,5. 76-99%,532000,540000,2019-12-07,Retirement,0,2020-05-25
2018-12-17,2018-12-17,a091U000000YJGJQA4,2018-11-26,0011U00000Kcp1NQAR,Rachel Adams,Millennials,Balanced Growth,Tier 2,Brenda Banker,Laura's Wedding Fund,67.0,4. 51-75%,67000,100000,2021-03-19,Other,0,2020-05-25
2018-12-17,2018-12-17,a091U000005IYW5QAO,2018-11-26,0011U00000Kcp1NQAR,Rachel Adams,Millennials,Balanced Growth,Tier 2,Brenda Banker,Retirement Fund 2050,15.0,2. <=25%,150000,1000000,2050-01-23,Retirement,29,2020-05-25
2018-12-17,2018-12-17,a091U000000YJGIQA4,2018-11-26,0011U00000Kcp1NQAR,Rachel Adams,Millennials,Balanced Growth,Tier 2,Brenda Banker,Tahoe Vacation Home,62.22222222222222,4. 51-75%,280000,450000,2022-03-20,Home Purchase,1,2020-05-25
2018-12-17,2018-12-17,a091U000000YJGKQA4,2018-11-26,0011U00000Kcp1MQAR,Nigel Adams,Mass Market,Growth,Tier 2,Allen Advisor,Education Savings for Matt,25.0,2. <=25%,75000,300000,2022-03-20,Education,1,2020-05-25
2018-12-17,2018-12-17,a091U000005IT9DQAW,2018-11-26,0011U00000KuWpYQAV,Fredericka Mccullough,Affluent Professionals,Growth,Tier 3,Allen Advisor,Home Purchase,18.5,2. <=25%,37000,200000,2021-10-26,Home Purchase,1,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXHQA3,Hedley Church,Affluent Professionals,Income,Tier 1,Allen Advisor,Hedley Church Vacation Home,16.903140164951147,2. <=25%,15535,91906,2020-04-26,Home Purchase,0,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1bQAG,2018-11-26,0011U00000KuFXHQA3,Hedley Church,Affluent Professionals,Income,Tier 1,Allen Advisor,Hedley Church Retirement,21.661998807437254,2. <=25%,59942,276715,2031-11-23,Retirement,11,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1gQAG,2018-11-26,0011U00000KuFXJQA3,Zane Cervantes,Mass Market,Growth,Tier 1,Allen Advisor,Zane Cervantes Other,15.973864826088644,2. <=25%,8239,51578,2021-02-17,Other,0,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1WQAW,2018-11-26,0011U00000KuFXJQA3,Zane Cervantes,Mass Market,Growth,Tier 1,Allen Advisor,Zane Cervantes Education,28.30915872358061,3. 26-50%,61479,217170,2023-05-12,Education,2,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1bQAG,2018-11-26,0011U00000KuFXNQA3,Hasad Madden,Affluent Professionals,Income,Tier 3,Allen Advisor,Hasad Madden Retirement,52.45280893814479,4. 51-75%,232859,443940,2053-11-17,Retirement,33,2020-05-25
