"LEADSOURCE","OWNERID","OWNERSTATE","FORECASTCATEGORY","STAGENAME","CREATEDDATE","OWNERCITY","RECORDTYPENAME","ISCLOSED","ACCOUNTID","OWNERSMALLPHOTOURL","CLOSEDATE","ID","OPPORTUNITYOWNER","STAGE","ACCOUNTNAME","ISWON","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","ACTIVITYID","ACCOUNTCLIENTCATEGORY","ACCOUNTINDUSTRY","OPPORTUNITYNAME","EXPECTEDREVENUE","STAGESORTORDER","AMOUNT","DAYSSINCELASTACTIVITY","TIMEINSTAGEDURATIONSECONDS","PROBABILITY","OPPORTUNITYAGE"
"Fields Sales","0051U000005L6eJQAS","FL","Closed","Closed Won","2019-12-07","Florida","Simple","true","001B000000SS4dWIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-02-01","006B00000049UxLIAU","Chelsea Advisor","Closed Won","HP - Opsware","true","2020-05-25","Retired","Activity 81","Platinum","Food & Beverage","HP - Opsware - 59.5k",59500,8,59500,377,22377114,100,213
"Fields Sales","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-09-21","Chicago","Simple","true","001B000000SS4zbIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-06-11","006B00000049VPjIAM","Allen Advisor","Closed Won","hereUare Communications","true","2020-05-25","High Net Worth Families","Activity 401","Platinum","Construction","hereUare Communications - 35k",35000,8,35000,613,50868881,100,290
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-12-14","Chicago","Simple","true","001B000000SS4nEIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2018-09-05","006B0000004t2RGIAY","Allen Advisor","Closed Lost","Trinity Management Consulting","false","2020-05-25","Retired","Activity 732","Gold","Agriculture","Trinity Management Consulting - 62.5k",62500,9,62500,888,41714658,0,206
"Fields Sales","0051U000005L4E9QAK","CA","Closed","Closed Won","2019-12-19","San Francisco","Simple","true","001B000000SS4qaIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2018-08-20","006B0000004t2TJIAY","Brenda Banker","Closed Won","Holy Family Hospital","true","2020-05-25","Mass Market","Activity 745","Silver","Consulting","Holy Family Hospital - 51.5k",51500,8,51500,900,37057041,100,201
"Reseller","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-11-17","Chicago","Simple","true","001B000000WJEFdIAP","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-05-03","006B00000049VRmIAM","Allen Advisor","Closed Won","Chapter 2 e  services","true","2020-05-25","Affluent Professionals","Activity 29","Silver","Banking","Chapter 2 e  services - 100k",100000,8,100000,284,57246298,100,233
"Fields Sales","0051U000005JQyrQAG","IL","Pipeline","Proposal/Quote","2019-08-11","Chicago","Channel (Partner)","false","001B000000SS5yrIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2020-08-09","006B00000049UilIAE","Allen Advisor","Proposal/Quote","Bridgehead Group Ltd Inc","false","2020-05-25","Mass Market","Activity 280","Platinum","Shipping","Bridgehead Group Ltd Inc - 74.5k",74500,5,74500,250,55277954,75,331
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-12-11","Chicago","Simple","true","001B000000WJE8HIAX","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-10-22","006B00000049V57IAE","Allen Advisor","Closed Lost","W.L. Gore & Associates","false","2020-05-25","Affluent Professionals","Activity 314","Silver","Other","W.L. Gore & Associates - 52.5k",52500,9,52500,475,40145768,0,209
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-08-09","Chicago","Channel (Partner)","true","001B000000WJE4vIAH","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-07-25","006B00000049Vb9IAE","Allen Advisor","Closed Lost","Invision.com","false","2020-05-25","Millennials","Activity 369","Silver","Engineering","Invision.com - 67.5k",67500,9,67500,675,26560145,0,333
"Reseller","0051U000005KhW6QAK","NY","Omitted","Closed Lost","2019-08-29","New York","Channel (Partner)","true","001B000000SS4IGIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-04-18","006B0000003n2zkIAA","Mark Garet","Closed Lost","Axis Technologies","false","2020-05-25","Mass Market","Activity 430","Silver","Machinery","Axis Technologies - 49.5k",49500,9,49500,722,28899194,0,313
"Fields Sales","0051U000005JQyrQAG","IL","Best Case","Discovery","2019-10-18","Chicago","Channel (Partner)","false","001B000000SS4AHIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-10-07","006B00000049VKXIA2","Allen Advisor","Discovery","DoxSys","false","2020-05-25","Affluent Professionals","Activity 169","Platinum","Communications","DoxSys - 100k",100000,0,100000,232,5471581,0,263
"Reseller","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-10-10","Chicago","Channel (Partner)","true","001B000000lwNrRIAU","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-03-07","006B0000003WbJUIA0","Allen Advisor","Closed Won","Towne Park.","true","2020-05-25","Mass Market","Activity 500","Gold","Chemicals","Towne Park. - 40k",40000,8,40000,764,61840131,100,271
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-12-12","Chicago","Simple","true","001B000000SS4daIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-01-24","006B00000049UxWIAU","Allen Advisor","Closed Lost","Crdentia","false","2020-05-25","Affluent Professionals","Activity 253","Gold","Not For Profit","Crdentia - 67k",67000,9,67000,382,36247215,0,208
"Telesales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-11-03","Chicago","Simple","true","001B000000SS4alIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2020-04-12","006B0000003n2FSIAY","Allen Advisor","Closed Lost","800.com Inc","false","2020-05-25","Millennials","Activity 471","Silver","Insurance","800.com Inc - 22.5k",22500,9,22500,329,49138064,0,247
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-07-11","Chicago","Simple","true","001B000000bwMRlIAM","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-10-28","006B00000049Ui6IAE","Allen Advisor","Closed Lost","Array","false","2020-05-25","Retired","Activity 312","Platinum","Recreation","Array - 51.5k",51500,9,51500,620,6759289,0,362
"Other","0051U000005L4E9QAK","CA","Omitted","Closed Lost","2019-06-25","San Francisco","Simple","true","001B000000WJEFQIA5","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-02-14","006B0000004t2XfIAI","Brenda Banker","Closed Lost","Fidelity National Title Insurance Company","false","2020-05-25","High Net Worth Families","Activity 628","Gold","Telecommunications","Fidelity National Title Insurance Company - 185k",185000,9,185000,819,2601762,0,378
"Fields Sales","0051U000005L4E9QAK","CA","Omitted","Closed Lost","2019-12-19","San Francisco","Simple","true","001B000000bwMZLIA2","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2020-01-13","006B0000003hgc2IAA","Brenda Banker","Closed Lost","Alodus Corporation","false","2020-05-25","Millennials","Activity 547","Platinum","Shipping","Alodus Corporation - 75k",75000,9,75000,388,16183067,0,201
"Reseller","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-09-11","Chicago","Simple","true","001B000000SS542IAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-02-06","006B0000004t2ZHIAY","Allen Advisor","Closed Lost","Principal Global Investors","false","2020-05-25","Mass Market","Activity 564","Gold","Healthcare & Life Sciences","Principal Global Investors - 65k",65000,9,65000,797,52551241,0,300
"Fields Sales","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-07-05","Chicago","Simple","true","001B000000SS49dIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-03-05","006B0000003WbixIAC","Allen Advisor","Closed Won","SevenAnswers","true","2020-05-25","Mass Market","Activity 90","Platinum","Entertainment","SevenAnswers - 25k",25000,8,25000,494,51040851,100,368
"Fields Sales","0051U000005L4E9QAK","CA","Omitted","Closed Lost","2019-09-03","San Francisco","Channel (Partner)","true","001B000000WJEDeIAP","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2018-10-19","006B0000003X122IAC","Brenda Banker","Closed Lost","The Walsh Group Ltd","false","2020-05-25","Affluent Professionals","Activity 606","Silver","Other","The Walsh Group Ltd - 57.5k",57500,9,57500,846,51988798,0,308
"Fields Sales","0051U000005L6eJQAS","FL","Closed","Closed Won","2019-12-02","Florida","Simple","true","001B000000SS3yZIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-20","006B0000003hgaOIAQ","Chelsea Advisor","Closed Won","ACE Cash Express","true","2020-05-25","Mass Market","Activity 345","Silver","Biotechnology","ACE Cash Express - 44k",44000,8,44000,549,13823190,100,218
