"CITY","STARTDATE","SMALLPHOTOURL","LastProcessedDate","STATE","USER","QUOTAAMOUNT"
"New York","2019-12-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",30000
"San Francisco","2019-12-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",30000
"Chicago","2019-12-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",30000
"Florida","2019-12-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",30000
"New York","2019-11-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",60000
"San Francisco","2019-11-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",60000
"Chicago","2019-11-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",60000
"Florida","2019-11-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",60000
"New York","2019-10-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",18000
"San Francisco","2019-10-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",18000
"Chicago","2019-10-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",18000
"Florida","2019-10-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",18000
"New York","2019-09-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",30000
"San Francisco","2019-09-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",30000
"Chicago","2019-09-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",30000
"Florida","2019-09-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",30000
"New York","2019-08-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",60000
"San Francisco","2019-08-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",60000
"Chicago","2019-08-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",60000
"Florida","2019-08-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",60000
"New York","2019-07-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",18000
"San Francisco","2019-07-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",18000
"Chicago","2019-07-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",18000
