"LastModifiedDate","ProductFamily","IsLost","ProductName","ForecastCategory","ID_Policy_BROKER_ID","Agent.AGENCY_NAME","CloseDate","Name","AccountAccountSource","Stage","Agent.AGENT_GENDER","Agent.AGENT_NAME","CreatedByID","LeadSource","OwnerID","SfOppId","CreatedDate","AccountIndustry","SfAccId","AccountName","OwnerName","Product_Insurance_PRODUCT_TYPE","OpenClosedWonLost","AccountOwnerId","HasLineItem","AccountBillingState","Agent.REGION","AccountOwnerName","PastDue","Neglected","OpptyName","Product_Insurance_PRODUCT_NAME","StageName","RecordTypeName","LastProcessedDate","AccountType","CustomFilter","Pushed","OpportunityID","Agent.SALES_MANAGER","Closed","Won","LastActivityDate","OpportunityType","AccountAnnualRevenue","StageIsPulled","DaysPastDue","AccountNumberOfEmployees","StageDefaultProbability","OpportunityAge","Time_In_Current_Stage_Duration_Seconds","DaysSinceLastActivity","Amount","PredictedCloseRate","StageIsPushed","StageSortOrder"
"2019-09-10 23:58:09",,"No","Construction","Pipeline","BROKER_159","Vaughn and Apperson","2019-09-27 00:00:00","Missoula & Sons Inc. - New Business - 39K","Data.com","Awareness","Female","Verdie Porter","0056A000001ogOpQAI","Cold Call","0056A000001ogOpQAI","0063i000003Rz0oAAC","2017-06-26 07:00:00","Financial Services","0013i000006dQyuAAE","Missoula & Sons Inc.","Kevin Akermanis","Construction","Open","0056A000001ogPHQAY","true","IL","Midwest","Sarah Connor","false","false","Missoula & Sons Inc. - New Business - 39K","Construction","Awareness","Simple Opportunity","2019-10-07 14:44:50","Mid-Market","true","true","0066A00000684xkQAA","James Coleman","false","false","1970-01-15 00:00:00","New Business",7600000,2,0,235,30,808,604031,1,39000,58,95,10
"2019-09-10 23:58:09",,"No","Boat Insurance","Pipeline","BROKER_174","Morris Agency","2020-02-09 00:00:00","Silodyne Company - Services - 6K","Data.com","Awareness","Female","Angela Markham","0056A000001ogOpQAI","Marketing Event","0056A000001ogOpQAI","0063i000003Rz0oAAC","2017-12-23 08:00:00","Healthcare & Life Sciences","0013i000006dQyuAAE","Silodyne Company","Kevin Akermanis","Marine Insurance","Open","0056A000001ogOpQAI","true","NY","Midwest","Kevin Akermanis","false","false","Silodyne Company - Services - 6K","Boat Insurance","Awareness","Simple Opportunity","2019-10-07 14:44:50","Mid-Market","true","true","0066A00000684xlQAA","Jennifer Jackson","false","false","1970-01-15 00:00:00","Services",1976400000,2,0,140,30,628,604031,1,6000,58,95,10
"2019-09-10 23:58:22",,"No","Construction","Pipeline","BROKER_178","Morris Agency","2019-09-17 00:00:00","Tech Labs - Add-On Business - 3K","Marketing Event","Awareness","Male","Christopher Seward","0056A000001ogOpQAI","Data.com","0056A000001ogPMQAY","0063i000003Rz0oAAC","2017-06-07 07:00:00","Technology","0013i000006dQyuAAE","Tech Labs","Barry Brown","Construction","Open","0056A000001ogOpQAI","false","CA","Midwest","Kevin Akermanis","false","false","Tech Labs - Add-On Business - 3K","Construction","Awareness","Simple Opportunity","2019-10-07 14:44:50","Enterprise","true","true","0066A00000684y2QAA","James Coleman","false","false","1970-01-15 00:00:00","Add-On Business",2400000,1,0,1750,30,827,604017,1,84300,58,60,10
"2019-09-10 23:58:09",,"No","Construction","Pipeline","BROKER_90","Scorsese and Sons","2020-03-27 00:00:00","Datanet, Inc. - Services - 15K","Marketing Event","Awareness","Female","Julie Jaramillo","0056A000001ogOpQAI","Data.com","0056A000001ogPJQAY","0063i000003Rz0oAAC","2018-01-29 08:00:00","Communications","0013i000006dQyuAAE","Datanet, Inc.","Wendy West","Construction","Open","0056A000001ogPJQAY","true","NY","Midwest","Wendy West","false","false","Datanet, Inc. - Services - 15K","Construction","Awareness","Simple Opportunity","2019-10-07 14:44:50","Enterprise","true","true","0066A00000684y6QAA","James Coleman","false","false","1970-01-15 00:00:00","Services",210000000,1,0,2400,30,591,604030,1,15000,58,96,10
"2019-09-10 23:58:22",,"No","Construction","Pipeline","BROKER_186","ARE Agency","2019-09-05 00:00:00","Aims Social, Inc. - New Business - 99K","Website","Awareness","Male","Walter Brown","0056A000001ogOpQAI","Cold Call","0056A000001ogOpQAI","0063i000003Rz0oAAC","2017-06-08 07:00:00","Financial Services","0013i000006dQyuAAE","Aims Social, Inc.","Kevin Akermanis","Construction","Open","0056A000001ogPGQAY","false","IL","Midwest","Kasey Central","true","false","Aims Social, Inc. - New Business - 99K","Construction","Awareness","Simple Opportunity","2019-10-07 14:44:50","Small Business","true","true","0066A00000684y9QAA","James Coleman","false","false","1970-01-15 00:00:00","New Business",77000000,4,7,40,30,826,604017,1,99000,58,97,10
"2019-09-10 23:58:09",,"No","Construction","Pipeline","BROKER_213","Zavesky Agency","2019-10-25 00:00:00","Goodman Imports - Add-On Business - 12K","Marketing Event","Awareness","Male","Bobby Norris","0056A000001ogOpQAI","Referral","0056A000001ogPIQAY","0063i000003Rz0oAAC","2017-08-11 07:00:00","Retail","0013i000006dQyuAAE","Goodman Imports","Paul Partner","Construction","Open","0056A000001ogPIQAY","true","NJ","Midwest","Paul Partner","false","false","Goodman Imports - Add-On Business - 12K","Construction","Awareness","Simple Opportunity","2019-10-07 14:44:50","Small Business","true","true","0066A00000684yCQAQ","Justin Chen","false","false","1970-01-15 00:00:00","Add-On Business",83000000,3,0,40,30,762,604030,1,28997,58,95,10
"2019-09-10 23:58:22",,"No","Construction","Pipeline","BROKER_194","ARE Agency","2019-10-14 00:00:00","Anaco Limited - Add-On Business - 20K","Marketing Event","Awareness","Female","Gwendolyn Cuevas","0056A000001ogOpQAI","Marketing Event","0056A000001ogPEQAY","0063i000003Rz0oAAC","2017-09-02 07:00:00","Retail","0013i000006dQyuAAE","Anaco Limited","Bill West","Construction","Open","0056A000001ogPEQAY","false","OR","Midwest","Bill West","false","false","Anaco Limited - Add-On Business - 20K","Construction","Awareness","Simple Opportunity","2019-10-07 14:44:50","Enterprise","true","true","0066A00000684yLQAQ","James Coleman","false","false","1970-01-15 00:00:00","Add-On Business",510000000,1,0,1700,30,740,604017,1,20000,58,62,10
"2019-09-10 23:58:22",,"No","Construction","Pipeline","BROKER_106","Nirel Agency","2019-10-14 00:00:00","Southern Solutions - New Business - 75K","Website","Awareness","Female","Gloria Collier","0056A000001ogOpQAI","Marketing Event","0056A000001ogPEQAY","0063i000003Rz0oAAC","2017-09-16 07:00:00","Technology","0013i000006dQyuAAE","Southern Solutions","Bill West","Construction","Open","0056A000001ogPEQAY","false","CA","Midwest","Bill West","false","false","Southern Solutions - New Business - 75K","Construction","Awareness","Simple Opportunity","2019-10-07 14:44:50","Mid-Market","true","true","0066A00000684yMQAQ","James Coleman","false","false","1970-01-15 00:00:00","New Business",1600000,1,0,145,30,726,604017,1,75000,58,62,10
"2019-09-10 23:58:22",,"No","Construction","Pipeline","BROKER_106","Nirel Agency","2019-08-31 00:00:00","Southern Solutions - Add-On Business - 125K","Website","Awareness","Female","Gloria Collier","0056A000001ogOpQAI","Referral","0056A000001ogPEQAY","0063i000003Rz0oAAC","2017-06-25 07:00:00","Technology","0013i000006dQyuAAE","Southern Solutions","Bill West","Construction","Open","0056A000001ogPEQAY","false","CA","Midwest","Bill West","true","false","Southern Solutions - Add-On Business - 125K","Construction","Awareness","Simple Opportunity","2019-10-07 14:44:50","Mid-Market","true","true","0066A00000684yPQAQ","James Coleman","false","false","1970-01-15 00:00:00","Add-On Business",1600000,2,12,145,30,809,604017,1,124600,58,38,10
"2019-09-10 23:58:09",,"No","Construction","Pipeline","BROKER_171","Morris Agency","2020-01-10 00:00:00","Red Studio Designs - Services - 5K","Marketing Event","Awareness","Female","Mao Sims","0056A000001ogOpQAI","Cold Call","0056A000001ogPLQAY","0063i000003Rz0oAAC","2017-10-12 07:00:00","Communications","0013i000006dQyuAAE","Red Studio Designs","Jamie Green","Construction","Open","0056A000001ogOpQAI","true","CA","Midwest","Kevin Akermanis","false","false","Red Studio Designs - Services - 5K","Construction","Awareness","Simple Opportunity","2019-10-07 14:44:50","Mid-Market","true","true","0066A00000684yQQAQ","James Coleman","false","false","1970-01-15 00:00:00","Services",24000000,2,0,310,30,700,604030,1,5000,58,95,10
