"Business_Area__c","success_Rewarded_Object_Id__c","LastModifiedDate","success_Reward_Status__c","success_Time_Limit_Date_Time__c","success_Badge_Name__c","LastReferencedDate","In_Progress_Status__c","User__c","success_Reward_Expiry__c","Name","success_Automatically_Awarded__c","Achievement_Name__c","success_Claimed_Status__c","success_Reward_Source__c","User_Title__c","success_Competition_Only__c","Manager__c","success_Started_Date_Time__c","Day__c","IsDeleted","success_Identifier__c","success_Last_Updated_Date_Time__c","LastViewedDate","CurrencyIsoCode","success_Reward_Type__c","Hour__c","SystemModstamp","Year__c","CreatedDate","success_Hidden__c","success_Message__c","Id","success_Level_Up__c","Days_Since_Awarded__c","success_Count__c","success_Number_of_occurrences__c","In_Progress_Attainment__c","success_Experience__c","In_Progress_Time__c","Reward_Count__c"
"User","00558000001TqZtAAK","2016/08/04","Awarded",,"Spix’s Macaw",,"Awarded","Tom Abbott","2015/10/01","R-0602","true","Spix’s Macaw","Claimed","<a href=""/00558000001TqZtAAK"" target=""_parent"">Link to Record</a>","Account Manager","false","Lucy Steadman","2015/09/24","4. Thursday","false","00524000001PZJaAAO-a0W24000001RZ85EAG","2015/09/24",,"EUR","Standard","23:00","2016/08/04","2015","2016/08/04","false","Often identified as a blue macaw, the Spix’s macaw is native to Brazil and only 93 are accounted for, all in captivity","a0l580000011P3DAAU","true",13,0,1,100,0,0,1
"User","00558000001TqajAAC","2016/08/04","Awarded",,"Spix’s Macaw",,"Awarded","Max Knowles","2015/09/30","R-0517","true","Spix’s Macaw","Claimed","<a href=""/00558000001TqajAAC"" target=""_parent"">Link to Record</a>","Programme Manager","false","Claire Mitchell","2015/09/23","3. Wednesday","false","00524000001CiwrAAC-a0W24000001RZ85EAG","2015/09/23",,"GBP","Standard","23:00","2016/08/04","2015","2016/08/04","false","Often identified as a blue macaw, the Spix’s macaw is native to Brazil and only 93 are accounted for, all in captivity","a0l580000011P30AAE","true",13,0,1,100,0,0,1
"User","00558000001TqZsAAK","2016/08/04","Awarded",,"Spix’s Macaw",,"Awarded","Lucy Steadman","2015/09/30","R-0463","true","Spix’s Macaw","Claimed","<a href=""/00558000001TqZsAAK"" target=""_parent"">Link to Record</a>","Programme Manager","false","Claire Mitchell","2015/09/23","3. Wednesday","false","00524000001PZJKAA4-a0W24000001RZ85EAG","2015/09/23",,"GBP","Standard","22:00","2016/08/04","2015","2016/08/04","false","Often identified as a blue macaw, the Spix’s macaw is native to Brazil and only 93 are accounted for, all in captivity","a0l580000011P2wAAE","true",13,0,1,100,0,0,1
"User","00558000001TqZoAAK","2016/08/04","Awarded",,"Spix’s Macaw",,"Awarded","Alex Higgins","2015/09/30","R-0222","true","Spix’s Macaw","Claimed","<a href=""/00558000001TqZoAAK"" target=""_parent"">Link to Record</a>","Account Manager","false","Lucy Steadman","2015/09/23","3. Wednesday","false","00524000001DHqMAAW-a0W24000001RZ85EAG","2015/09/23",,"GBP","Standard","22:00","2016/08/04","2015","2016/08/04","false","Often identified as a blue macaw, the Spix’s macaw is native to Brazil and only 93 are accounted for, all in captivity","a0l580000011P2NAAU","true",13,0,1,100,0,0,1
"User","00558000001TqaNAAS","2016/08/04","Awarded",,"Spix’s Macaw",,"Awarded","Kate Anderson","2015/09/30","R-0219","true","Spix’s Macaw","Claimed","<a href=""/00558000001TqaNAAS"" target=""_parent"">Link to Record</a>","Account Manager","false","Max Knowles","2015/09/23","3. Wednesday","false","00524000001CvjcAAC-a0W24000001RZ85EAG","2015/09/23",,"GBP","Standard","22:00","2016/08/04","2015","2016/08/04","false","Often identified as a blue macaw, the Spix’s macaw is native to Brazil and only 93 are accounted for, all in captivity","a0l580000011P2KAAU","true",13,0,1,100,0,0,1
"User","00558000001TqZrAAK","2016/08/04","Awarded",,"Spix’s Macaw",,"Awarded","Jamie Schofield","2015/09/30","R-0208","true","Spix’s Macaw","Claimed","<a href=""/00558000001TqZrAAK"" target=""_parent"">Link to Record</a>","Account Manager","false","Max Knowles","2015/09/23","3. Wednesday","false","00524000001PZJNAA4-a0W24000001RZ85EAG","2015/09/23",,"EUR","Standard","19:00","2016/08/04","2015","2016/08/04","false","Often identified as a blue macaw, the Spix’s macaw is native to Brazil and only 93 are accounted for, all in captivity","a0l580000011P29AAE","true",13,0,1,100,0,0,1
"User","00558000001TqZeAAK","2016/08/04","Awarded",,"Spix’s Macaw",,"Awarded","Julia Bray","2015/09/30","R-0205","true","Spix’s Macaw","Claimed","<a href=""/00558000001TqZeAAK"" target=""_parent"">Link to Record</a>","Programme Manager","false","Claire Mitchell","2015/09/23","3. Wednesday","false","00524000001PZJSAA4-a0W24000001RZ85EAG","2015/09/23",,"EUR","Standard","18:00","2016/08/04","2015","2016/08/04","false","Often identified as a blue macaw, the Spix’s macaw is native to Brazil and only 93 are accounted for, all in captivity","a0l580000011P26AAE","true",13,0,1,100,0,0,1
"User","00558000001TqZoAAK","2016/08/04","Awarded",,"Javan Rhinoceros",,"Awarded","Alex Higgins","2015/10/27","R-0685","true","Javan Rhinoceros","Claimed","<a href=""/00558000001TqZoAAK"" target=""_parent"">Link to Record</a>","Account Manager","false","Lucy Steadman","2015/10/20","2. Tuesday","false","00524000001DHqMAAW-a0W24000001RZ8PEAW","2015/10/20",,"EUR","Standard","00:00","2016/08/04","2015","2016/08/04","false","Poached for their horns they are often used as ingredients in formulating Chinese medicine and each kilogram (of their horn) costs over $30,000 on the black market. There are only 72 of them known to exist in the wild.","a0l580000011P3uAAE","true",13,0,1,100,0,0,1
"User","00558000001TqZsAAK","2016/08/04","Awarded",,"Javan Rhinoceros",,"Awarded","Lucy Steadman","2015/10/02","R-0610","true","Javan Rhinoceros","Claimed","<a href=""/00558000001TqZsAAK"" target=""_parent"">Link to Record</a>","Programme Manager","false","Claire Mitchell","2015/09/25","5. Friday","false","00524000001PZJKAA4-a0W24000001RZ8PEAW","2015/09/25",,"EUR","Standard","08:00","2016/08/04","2015","2016/08/04","false","Poached for their horns they are often used as ingredients in formulating Chinese medicine and each kilogram (of their horn) costs over $30,000 on the black market. There are only 72 of them known to exist in the wild.","a0l580000011P3JAAU","true",13,0,1,100,0,0,1
"User","00558000001TqZeAAK","2016/08/04","Awarded",,"Javan Rhinoceros",,"Awarded","Julia Bray","2015/09/30","R-0206","true","Javan Rhinoceros","Claimed","<a href=""/00558000001TqZeAAK"" target=""_parent"">Link to Record</a>","Programme Manager","false","Claire Mitchell","2015/09/23","3. Wednesday","false","00524000001PZJSAA4-a0W24000001RZ8PEAW","2015/09/23",,"EUR","Standard","18:00","2016/08/04","2015","2016/08/04","false","Poached for their horns they are often used as ingredients in formulating Chinese medicine and each kilogram (of their horn) costs over $30,000 on the black market. There are only 72 of them known to exist in the wild.","a0l580000011P27AAE","true",13,0,1,100,0,0,1
