"LastModifiedDate","VisitorId","PlannedVisitEndTime","RetailStore_Id","RetailStore_Account_Industry","Visitor_UserType","Name","RetailStore_PrimaryContact_Description","Visitor_FullPhotoUrl","RetailStore_RetailStoreGroup_Name","Visitor_Role_Roles","CreatedById","RetailStore_Account_AccountSource","Visitor_Role_RolePath","RetailStore_AccountId","RetailStore_Location_Address_City","RetailStore_Location_Address_PostalCode","StatusRemarks","RetailStore_RetailStoreGroup_Description","RetailStore_Description","Status","ActualVisitEndTime","PlaceId","IsDeleted","ActualVisitStartTime","ActualVisitStartTime_YearMonthDay","RetailStore_RetailLocationGroupId","RetailStore_Location_Address_State","RetailStore_PrimaryContact_Department","Visitor_UniqueUserName","PlannedVisitStartTime","Visitor_Name","RetailStore_Name","RetailStore_Priority","CreatedDate","RetailStore_PrimaryContact_MobilePhone","RetailStore_PrimaryContact_Name","Id","RetailStore_Account_Name","AF_ID","InstructionDescription","RetailStore_StoreType","Visit_digest_node_start_time","VisitPriority","Visitor_Role_Name","OwnerId","RetailStore_PrimaryContactId","Visitor_SmallPhotoUrl","Visitor_Role_DeveloperName","RetailStore_Location_Name","Visitor_Username","RetailStore_PrimaryContact_Email","RetailStore_Account_Type","RetailStore_Location_Address_Country","SystemModstamp","RetailStore_Location_Address_Name","RetailStore_DeliveryMethod","RetailStore_Account_Phone","LastModifiedById","RetailStore_PrimaryContact_Phone","ActualVisitDuration","RetailStore_DeliveryFrequency","RetailStore_Account_AnnualRevenue","RetailStore_Location_LocationLevel","PlannedVisitDuration"
"2019-12-25 08:17:55","005B0000006PwWHIA0","2019-05-07 02:33:32","0YQB0000000L0BvOAK","Manufacturing","Standard","00000001",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bnzz/F","Northeast",,"005B0000006NoPnIAK",,,"001B000001AQUOwIAP","New Orleans","70116",,"Description of Dmart Location Group 3",,"Completed","2019-05-07 02:33:32","0YQB0000000L0BvOAK","false","2019-05-07 02:09:32","2019-05-07","0Y2B0000000L08uKAC","LA",,"Chantelle Rep","2019-05-07 02:09:32","Chantelle Rep","Fare Merchants - Brooklyn","Low","2019-12-25 07:09:04",,"Bette Nicka","0Z5B0000000L1qtKAC","NTO Account","0YQB0000000PAsIOAW","Please complete the visit and collect all the KPIs","Regular","2020-01-30 11:26:55","High",,"005B0000006NoPnIAK","003B000000H1QcZIAV","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bnzz/T",,"Dmart Location 1","chantellerep@salesforce.com","bette_nicka@cox.net",,"Orleans","2019-12-25 08:17:55","A00000001","Van",,"005B0000006NoPnIAK","610-545-3615",24,5,0,1,24
"2019-12-25 08:17:56","005B0000006PwWIIA0","2019-11-06 04:57:10","0YQB0000000L0BwOAK","Manufacturing","Standard","00000002",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0i/F","Midwest",,"005B0000006NoPnIAK",,,"001B000001AQUOwIAP","Sioux Falls","57105",,"Description of Dmart Location Group 2",,"Completed","2019-11-06 04:57:10","0YQB0000000L0BwOAK","false","2019-11-06 04:13:07","2019-11-06","0Y2B0000000L08tKAC","SD",,"Wendy West","2019-11-06 04:13:07","Wendy West","Fare Merchants - Gold Coast","High","2019-12-25 07:09:04",,"Mattie Poquette","0Z5B0000000L1quKAC","NTO Account","0YQB0000000PAsIOAW","Please complete the visit and collect all the KPIs","Regular","2020-01-30 11:26:55","Medium",,"005B0000006NoPnIAK","003B000000H1QcUIAV","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0i/T",,"Dmart Location 2","wendywest@salesforce.com","mattie@aol.com",,"Minnehaha","2019-12-25 08:17:56","A00000009","Truck",,"005B0000006NoPnIAK","602-277-4385",44,2,0,1,44
"2019-12-25 08:17:56","005B0000006PwWJIA0","2020-04-11 16:24:19","0YQB0000000L0BxOAK","Food & Beverage","Standard","00000003",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0Y/F","West",,"005B0000006NoPnIAK",,,"001B000001AQUOxIAP","Baltimore","21224",,"Description of Dmart Location Group 5",,"Completed","2020-04-11 16:24:19","0YQB0000000L0BxOAK","false","2020-04-11 15:24:55","2020-04-11","0Y2B0000000L08wKAC","MD",,"Vince West","2020-04-11 15:24:55","Vince West","NTO Store - Berkeley","Medium","2019-12-25 07:09:04",,"Cammy Albares","0Z5B0000000L1qvKAC","Rondel Account","0YQB0000000PAsIOAW","Please complete the visit and collect all the KPIs","Regular","2020-01-30 11:26:55","Low",,"005B0000006NoPnIAK","003B000000H1QcTIAV","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0Y/T",,"Dmart Location 3","vincewest@salesforce.com","calbares@gmail.com",,"Baltimore City","2019-12-25 08:17:56","A00000010","Truck",,"005B0000006NoPnIAK","956-537-6195",59,10,0,1,59
"2019-12-25 08:17:56","005B0000006PwWKIA0","2019-10-05 22:04:46","0YQB0000000L0ByOAK",,"Standard","00000004",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo04/F","Bay Area",,"005B0000006NoPnIAK",,,"001B000001AR2BGIA1","Kulpsville","19443",,"Description of Dmart Location Group 1",,"Completed","2019-10-05 22:04:46","0YQB0000000L0ByOAK","false","2019-10-05 21:33:32","2019-10-05","0Y2B0000000L08sKAC","PA",,"Cindy Central","2019-10-05 21:33:32","Cindy Central","NTO Store - Presidio","Low","2019-12-25 07:09:04",,"Yuki Whobrey","0Z5B0000000L1qwKAC","Gabe Hotkins","0YQB0000000PAsIOAW","Please complete the visit and collect all the KPIs","Regular","2020-01-30 11:26:55","High",,"005B0000006NoPnIAK","003B000000H1QcXIAV","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo04/T",,"Dmart Location 4","cindycentral@salesforce.com","yuki_whobrey@aol.com",,"Montgomery","2019-12-25 08:17:56","A00000011","Van",,"005B0000006NoPnIAK","313-288-7937",31,3,0,1,31
"2019-12-25 08:17:56","005B0000006PwWLIA0","2019-08-24 23:07:51","0YQB0000000L0BzOAK","Transportation","Standard","00000005",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0T/F","South",,"005B0000006NoPnIAK",,,"001B000001AQUOyIAP","Middle Island","11953",,"Description of Dmart Location Group 4",,"Completed","2019-08-24 23:07:51","0YQB0000000L0BzOAK","false","2019-08-24 22:51:53","2019-08-24","0Y2B0000000L08vKAC","NY",,"Vanessa Central","2019-08-24 22:51:53","Vanessa Central","Nutrition Stop - Gainesville","Low","2019-12-25 07:09:04",,"Leota Dilliard","0Z5B0000000L1qxKAC","Alpine Nutrition Account","0YQB0000000PAsIOAW","Please complete the visit and collect all the KPIs","Regular","2020-01-30 11:26:55","Medium",,"005B0000006NoPnIAK","003B000000H1QcMIAV","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0T/T",,"Dmart Location 5","vanessacentral@salesforce.com","leota@hotmail.com",,"Suffolk","2019-12-25 08:17:56","A00000012","Van",,"005B0000006NoPnIAK","408-752-3500",15,7,0,1,15
"2019-12-25 08:17:55","005B0000006PwWMIA0","2018-07-18 23:09:15","0YQB0000000L0C0OAK","Manufacturing","Standard","00000006",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0E/F","Northeast",,"005B0000006NoPnIAK",,,"001B000001AQUOwIAP","Los Angeles","90034",,"Description of Dmart Location Group 3",,"Completed","2018-07-18 23:09:15","0YQB0000000L0C0OAK","false","2018-07-18 22:31:37","2018-07-18","0Y2B0000000L08uKAC","CA",,"Kasey Central","2018-07-18 22:31:37","Kasey Central","Rondel Store - San Francisco Central","High","2019-12-25 07:09:04",,"James Butt","0Z5B0000000L1qyKAC","NTO Account","0YQB0000000PAsIOAW","Please complete the visit and collect all the KPIs","Regular","2020-01-30 11:26:55","Low",,"005B0000006NoPnIAK","003B000000H1QcFIAV","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0E/T",,"Dmart Location 6","kaseycentral@salesforce.com","jbutt@gmail.com",,"Los Angeles","2019-12-25 08:17:55","A00000013","Van",,"005B0000006NoPnIAK","504-621-8927",37,1,0,1,37
"2019-12-25 08:17:55","005B0000006PwWNIA0","2019-10-14 01:11:25","0YQB0000000L0C1OAK","Food & Beverage","Standard","00000007",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0O/F","Midwest",,"005B0000006NoPnIAK",,,"001B000001AQUOxIAP","Chagrin Falls","44023",,"Description of Dmart Location Group 2",,"Completed","2019-10-14 01:11:25","0YQB0000000L0C1OAK","false","2019-10-14 00:10:20","2019-10-14","0Y2B0000000L08tKAC","OH",,"Valerie East","2019-10-14 00:10:20","Valerie East","Rondel Store - Austin East","Medium","2019-12-25 07:09:04",,"Fletcher Flosi","0Z5B0000000L1qzKAC","Rondel Account","0YQB0000000PAsIOAW","Please complete the visit and collect all the KPIs","Regular","2020-01-30 11:26:55","High",,"005B0000006NoPnIAK","003B000000H1QcYIAV","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0O/T",,"Dmart Location 7","valerieeast@salesforce.com","fletcher.flosi@yahoo.com",,"Geauga","2019-12-25 08:17:55","A00000014","Van",,"005B0000006NoPnIAK","815-828-2147",61,3,0,1,61
"2019-12-25 08:17:55","005B0000006PwWOIA0","2019-07-31 11:42:08","0YQB0000000L0C2OAK","Food & Beverage","Standard","00000008",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0J/F","West",,"005B0000006NoPnIAK",,,"001B000001AQUOxIAP","Laredo","78045",,"Description of Dmart Location Group 5",,"Completed","2019-07-31 11:42:08","0YQB0000000L0C2OAK","false","2019-07-31 11:18:41","2019-07-31","0Y2B0000000L08wKAC","TX",,"Ricky East","2019-07-31 11:18:41","Ricky East","Rondel Store - Chicago Streeterville","Low","2019-12-25 07:09:04",,"Alisha Slusarski","0Z5B0000000L1r0KAC","Rondel Account","0YQB0000000PAsIOAW","Please complete the visit and collect all the KPIs","Regular","2020-01-30 11:26:55","Medium",,"005B0000006NoPnIAK","003B000000H1QcdIAF","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0J/T",,"Dmart Location 8","rickyeast@salesforce.com","alisha@slusarski.com",,"Webb","2019-12-25 08:17:55","A00000015","Van",,"005B0000006NoPnIAK","732-658-3154",23,5,0,1,23
"2019-12-25 08:17:55","005B0000006PwWYIA0","2019-03-20 15:13:13","0YQB0000000L0C3OAK","Construction","Standard","00000009",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bnzu/F","Bay Area",,"005B0000006NoPnIAK",,,"001B000001AQUOuIAP","Phoenix","85013",,"Description of Dmart Location Group 1",,"Completed","2019-03-20 15:13:13","0YQB0000000L0C3OAK","false","2019-03-20 14:55:31","2019-03-20","0Y2B0000000L08sKAC","AZ",,"Bill East","2019-03-20 14:55:31","Bill East","Rondel Store - Chicago South Loop","Low","2019-12-25 07:09:04",,"Maryann Royster","0Z5B0000000L1r1KAC","Nutrition Stop Account","0YQB0000000PAsIOAW","Please complete the visit and collect all the KPIs","Regular","2020-01-30 11:26:55","Low",,"005B0000006NoPnIAK","003B000000H1QccIAF","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bnzu/T",,"Dmart Location 9","billeast@salesforce.com","mroyster@royster.com",,"Maricopa","2019-12-25 08:17:55","A00000016","Van",,"005B0000006NoPnIAK","518-966-7987",17,5,0,1,17
"2019-12-25 08:17:55","005B0000006PwWZIA0","2019-05-05 19:26:19","0YQB0000000L0C4OAK","Construction","Standard","00000010",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo09/F","South",,"005B0000006NoPnIAK",,,"001B000001AQUOuIAP","Mc Minnville","37110",,"Description of Dmart Location Group 4",,"Completed","2019-05-05 19:26:19","0YQB0000000L0C4OAK","false","2019-05-05 18:20:15","2019-05-05","0Y2B0000000L08vKAC","TN",,"Ely West","2019-05-05 18:20:15","Ely West","Rondel Store - Evanston","High","2019-12-25 07:09:04",,"Graciela Ruta","0Z5B0000000L1r2KAC","Nutrition Stop Account","0YQB0000000PAsIOAW","Please complete the visit and collect all the KPIs","Regular","2020-01-30 11:26:55","High",,"005B0000006NoPnIAK","003B000000H1QcSIAV","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo09/T",,"Dmart Location 10","elywest@salesforce.com","gruta@cox.net",,"Warren","2019-12-25 08:17:55","A00000017","Truck",,"005B0000006NoPnIAK","440-780-8425",66,2,0,1,66
