"Last_Activity_Date__c","Shake_Recipies__c","Training__c","Activity__c","Created_Date__c","Gender__c","isParent__c","Product_Ordered__c","Sponsors__c","Name","Customer_ID__c","Lead_Status__c","Last_Order_Date__c","Events__c","Email_Frequency__c","Sponsor_Level__c","State__c","Age__c","Club_Visits__c","Order_Amount__c","Order_Score__c","Conversion_Score__c"
"2017-03-12T06:46:23.707+00:00","Pumpkin Spice","Meal Replacements","Website Visit","2016-05-03T12:02:03.166+00:00","F","Yes","Roasted Soy Nuts","Sherrie Hernandez","Ms. Zelma Hermann","95394-5758","Lead","2017-06-11T04:23:22.602+00:00","STS HOM","2x/Month","Global Expansion Team","Pennsylvania",26,17,23,81,49
"2017-03-12T07:17:09.573+00:00","Chocolate","Meal Replacements","Buying Product","2016-08-01T22:00:06.880+00:00","F","Yes","Herbal Tea Concentrate","Stephanie Curran","Emmitt Heaney","89149-4412","Customer","2017-07-07T23:36:35.186+00:00","STS","3x/Month","Distributor","Mississippi",46,4,33,21,73
"2017-03-12T07:48:04.630+00:00","Vanilla","Meal Replacements","Website Visit","2016-12-31T22:52:31.814+00:00","F","No","Formula 1 Healthy Meal Nutritional Shake Mix","Lauren Boyle","Miss Andre Collier","12099-8259","Customer","2017-05-29T05:25:16.394+00:00","Leadership Development Weekend","2x/Month","Presidents Team - 30k President","Delaware",37,7,49,74,62
"2017-03-12T07:48:20.772+00:00","Cookies 'n Cream","Meal Replacements","Website Visit","2016-08-09T21:57:44.810+00:00","M","Yes","Cell-U-Loss","Anne Frost","Kali Harvey","88686-4689","Customer","2017-06-15T19:34:31.536+00:00","Extravaganza","1x/Month","Herbalife Advantage Plan Distributor (HAP)","Rhode Island",60,20,19,34,17
"2017-03-12T07:49:54.314+00:00","Pumpkin Spice","Meal Replacements","Buying Product","2016-03-10T18:51:47.071+00:00","F","Yes","Total Control","Mark Metz","Rupert Wiegand","60628-8949","Lead","2017-05-04T13:12:07.602+00:00","Extravaganza","1x/Month","Success Builder","Maryland",21,9,51,52,78
"2017-03-12T08:16:29.278+00:00","Cookies 'n Cream","The Social Revolution","Buying Product","2017-03-17T17:23:13.525+00:00","F","Yes","Formula 1 Healthy Meal Nutritional Shake Mix","Jim Albose","Itzel Grimes","11778-5234","Customer","2017-08-23T16:30:25.938+00:00","Leadership Development Weekend","2x/Month","Active Supervisor","New Jersey",27,19,47,25,82
"2017-03-12T08:19:41.425+00:00","Vanilla","Advertising 101","Website Visit","2017-06-02T19:00:02.957+00:00","M","Yes","Thermo Bond","Lauren Boyle","Priscilla Rath","94315-7579","Customer","2017-04-09T13:43:04.854+00:00","Leadership Development Weekend","3x/Month","Presidents Team - 30k President","Maryland",52,17,20,91,33
"2017-03-12T08:40:45.412+00:00","Chocolate","Health Evaluations & Nutrition Programs","Open Emails","2016-06-04T20:00:30.321+00:00","F","No","Protien Bar Deluxe","Jim Albose","Enrique Larkin","55912","Lead","2017-08-13T11:44:53.023+00:00","Leadership Development Weekend","3x/Month","Active Supervisor","Washington",37,21,33,81,16
"2017-03-12T09:04:03.585+00:00","Pumpkin Spice","The Social Revolution","Buying Product","2016-07-19T08:05:10.474+00:00","F","Yes","Cell-U-Loss","Lisa Jones","Bettye Yost","52737-9781","Customer","2017-08-13T19:51:09.510+00:00","STS","3x/Month","Senior Consultant","Louisiana",60,21,44,89,71
"2017-03-12T09:49:29.500+00:00","Cookies 'n Cream","Hosting a HOM","Open Emails","2017-02-03T00:58:43.089+00:00","M","No","Formula 2 Multivitamin Complex","Sherrie Hernandez","Watson Funk","39586","Customer","2017-05-30T06:32:38.533+00:00","Extravaganza","2x/Month","Global Expansion Team","Mississippi",45,13,48,50,37
"2017-03-12T10:08:06.458+00:00","Pumpkin Spice","Hosting a HOM","Open Emails","2016-11-05T19:08:26.743+00:00","F","Yes","Formula 2 Multivitamin Complex","Lauren Boyle","Nikolas Gaylord","44375","Lead","2017-09-11T05:15:28.727+00:00","STS HOM","2x/Month","Presidents Team - 30k President","Arkansas",61,6,21,85,40
"2017-03-12T10:29:58.081+00:00","Wild Berry and Pina Colada","Health Evaluations & Nutrition Programs","Open Emails","2016-12-04T15:34:26.198+00:00","F","Yes","Thermo Bond","Stephanie Curran","Rhiannon Kassulke PhD","98374-7224","Lead","2017-06-11T07:32:15.013+00:00","Leadership Development Weekend","1x/Month","Distributor","Massachusetts",42,16,44,9,42
"2017-03-12T10:44:08.774+00:00","Pumpkin Spice","Meal Replacements","Open Emails","2016-07-26T08:32:20.124+00:00","F","Yes","Herbal Aloe Concentrate","Anne Frost","Wilson Emard","82887-9668","Lead","2017-04-17T20:04:00.607+00:00","STS","2x/Month","Herbalife Advantage Plan Distributor (HAP)","South Dakota",21,11,20,57,59
"2017-03-12T10:50:43.577+00:00","Pumpkin Spice","The Social Revolution","Website Visit","2016-03-10T07:20:46.485+00:00","M","No","Formula 1 Express Meal Bar","Stephanie Curran","Logan Zieme","34691-8036","Lead","2017-06-09T18:11:08.997+00:00","Extravaganza","2x/Month","Distributor","North Carolina",46,20,20,32,23
"2017-03-12T10:59:02.327+00:00","Chocolate","Advertising 101","Website Visit","2016-04-29T13:57:15.667+00:00","F","Yes","Total Control","Dawn Distributor","Tito Wehner","17936-3597","Lead","2017-08-19T06:11:16.335+00:00","STS HOM","3x/Month","Active World Team","Florida",60,0,22,14,69
"2017-03-12T11:05:53.474+00:00","Wild Berry and Pina Colada","Advertising 101","Buying Product","2017-04-18T13:17:11.876+00:00","F","No","Personalized Protein Powder","Mark Metz","Brandy Jast Sr.","45780","Customer","2017-05-28T08:27:41.932+00:00","STS","2x/Month","Success Builder","New York",27,15,39,88,14
"2017-03-12T11:25:31.008+00:00","Wild Berry and Pina Colada","Health Evaluations & Nutrition Programs","Website Visit","2017-02-22T07:09:43.062+00:00","F","Yes","Cell-U-Loss","Tim Carter","Ms. Kody Gaylord","66569","Customer","2017-07-01T10:24:43.674+00:00","Leadership Development Weekend","2x/Month","Presidents Team - 50k President","Vermont",21,20,36,83,39
"2017-03-12T11:33:50.838+00:00","Cafe Latte","The Social Revolution","Website Visit","2016-01-21T05:37:17.990+00:00","F","Yes","Formula 1 Express Meal Bar","Jamie Wu","Alex Tillman V","86127","Customer","2017-05-08T04:28:28.509+00:00","STS","2x/Month","Supervisor","New Hampshire",51,1,34,76,86
"2017-03-12T11:34:27.408+00:00","Pumpkin Spice","Hosting a HOM","Website Visit","2016-08-30T05:24:22.220+00:00","F","No","Formula 1 Healthy Meal Nutritional Shake Mix","Lauren Boyle","Nickolas Hammes","52729-3386","Customer","2017-04-07T11:01:48.727+00:00","STS HOM","1x/Month","Presidents Team - 30k President","Delaware",54,18,33,79,33
"2017-03-12T12:06:58.321+00:00","Vanilla","Meal Replacements","Website Visit","2016-08-03T05:07:32.666+00:00","F","Yes","Formula 1 Healthy Meal Nutritional Shake Mix","Dawn Distributor","Aurore Satterfield","91936","Customer","2017-07-22T10:13:02.112+00:00","STS","2x/Month","Active World Team","Mississippi",32,13,19,45,81
"2017-03-12T12:24:47.151+00:00","Cafe Latte","Health Evaluations & Nutrition Programs","Website Visit","2015-11-04T09:54:55.083+00:00","F","Yes","Formula 1 Healthy Meal Nutritional Shake Mix","Anne Frost","Maggie Schumm","17901","Lead","2017-07-21T06:37:36.189+00:00","Extravaganza","1x/Month","Herbalife Advantage Plan Distributor (HAP)","New Jersey",33,19,24,88,34
"2017-03-12T12:55:50.240+00:00","Cafe Latte","Hosting a HOM","Buying Product","2017-04-11T15:06:37.602+00:00","F","Yes","Male Factor 1000","Jim Albose","Jeremie Durgan","26325","Customer","2017-08-25T11:07:12.754+00:00","Leadership Development Weekend","3x/Month","Active Supervisor","Montana",44,22,40,66,11
"2017-03-12T13:08:42.569+00:00","Wild Berry and Pina Colada","The Social Revolution","Buying Product","2016-05-12T15:55:00.926+00:00","F","Yes","Herbal Tea Concentrate","Stephanie Curran","Tobin Schaefer IV","98910","Lead","2017-07-17T18:10:00.831+00:00","Extravaganza","3x/Month","Distributor","Montana",43,8,20,73,43
"2017-03-12T13:10:23.428+00:00","Wild Berry and Pina Colada","Advertising 101","Open Emails","2016-02-27T09:11:36.043+00:00","F","Yes","Formula 1 Express Meal Bar","Tim Carter","Else Halvorson MD","17190-3727","Lead","2017-04-03T20:35:35.382+00:00","STS HOM","2x/Month","Presidents Team - 50k President","Idaho",49,22,24,64,66
"2017-03-12T13:30:41.141+00:00","Wild Berry and Pina Colada","Advertising 101","Open Emails","2017-07-15T18:23:29.355+00:00","F","Yes","Herbal Tea Concentrate","Anne Frost","Torey Lockman","18694-9578","Customer","2017-05-05T13:11:11.267+00:00","STS HOM","1x/Month","Herbalife Advantage Plan Distributor (HAP)","Colorado",41,9,37,65,46
"2017-03-12T13:33:02.904+00:00","Pumpkin Spice","Health Evaluations & Nutrition Programs","Open Emails","2015-09-21T11:33:45.391+00:00","F","No","Roasted Soy Nuts","Stephanie Curran","Cristobal Nicolas","63667-3447","Lead","2017-04-16T23:58:25.222+00:00","STS HOM","3x/Month","Distributor","North Dakota",39,21,21,54,20
"2017-03-12T13:48:46.816+00:00","Pumpkin Spice","Meal Replacements","Open Emails","2016-11-20T11:49:36.551+00:00","M","No","Herbal Aloe Powder","Anne Frost","Floyd Friesen","42760","Customer","2017-05-16T21:01:42.071+00:00","Extravaganza","2x/Month","Herbalife Advantage Plan Distributor (HAP)","Delaware",56,1,20,90,26
"2017-03-12T15:07:27.965+00:00","Wild Berry and Pina Colada","Health Evaluations & Nutrition Programs","Website Visit","2016-06-23T22:32:09.771+00:00","M","No","Male Factor 1000","Mark Metz","Mrs. Kelton Herman","69211-7798","Lead","2017-06-27T09:10:54.472+00:00","STS","1x/Month","Success Builder","Nevada",43,14,35,77,12
"2017-03-12T15:43:38.213+00:00","Cookies 'n Cream","Hosting a HOM","Buying Product","2016-11-11T08:30:51.931+00:00","M","Yes","Cell-U-Loss","Anne Frost","Logan Purdy","11718","Customer","2017-07-30T21:47:35.135+00:00","Extravaganza","2x/Month","Herbalife Advantage Plan Distributor (HAP)","Pennsylvania",47,16,55,82,39
"2017-03-12T15:59:18.041+00:00","Cookies 'n Cream","Meal Replacements","Website Visit","2016-11-22T04:26:17.559+00:00","F","No","Personalized Protein Powder","Dawn Distributor","Mackenzie Wisozk","95335-6102","Customer","2017-06-29T10:33:51.433+00:00","Leadership Development Weekend","3x/Month","Active World Team","Maine",23,16,25,65,56
"2017-03-12T16:17:15.498+00:00","Cafe Latte","Hosting a HOM","Buying Product","2016-12-26T22:50:44.023+00:00","M","Yes","Male Factor 1000","Stephanie Curran","Jasmin Schinner","50916","Customer","2017-07-23T03:37:44.865+00:00","Leadership Development Weekend","1x/Month","Distributor","Washington",18,0,49,53,77
"2017-03-12T17:03:22.480+00:00","Wild Berry and Pina Colada","Meal Replacements","Open Emails","2016-10-26T22:35:46.611+00:00","F","No","Cell-U-Loss","Anne Frost","Tatum Yost","80391-0813","Customer","2017-04-09T14:18:11.188+00:00","Leadership Development Weekend","1x/Month","Herbalife Advantage Plan Distributor (HAP)","Idaho",36,15,26,7,45
"2017-03-12T18:18:59.367+00:00","Pumpkin Spice","The Social Revolution","Open Emails","2016-08-03T17:34:05.510+00:00","F","No","Protien Bar Deluxe","Stephanie Curran","Bethany Champlin PhD","14042","Lead","2017-07-18T18:48:04.790+00:00","STS","3x/Month","Distributor","Texas",40,10,26,57,59
"2017-03-12T20:17:55.156+00:00","Cookies 'n Cream","Advertising 101","Open Emails","2016-04-02T13:46:43.539+00:00","F","Yes","Thermo Bond","Lauren Boyle","Mrs. Wilber Bailey","40423-2362","Lead","2017-05-11T02:25:47.709+00:00","STS HOM","2x/Month","Presidents Team - 30k President","New Mexico",33,7,47,65,82
"2017-03-12T23:05:42.375+00:00","Pumpkin Spice","The Social Revolution","Open Emails","2017-04-18T10:33:53.365+00:00","F","No","Herbal Tea Concentrate","Tim Carter","Reba Gislason","66143","Customer","2017-07-26T08:59:18.733+00:00","STS HOM","2x/Month","Presidents Team - 50k President","Indiana",35,9,45,64,55
"2017-03-12T23:16:11.192+00:00","Cafe Latte","Health Evaluations & Nutrition Programs","Website Visit","2015-09-27T02:37:14.086+00:00","M","Yes","Thermo Bond","Jim Albose","Davion Stehr","11847","Customer","2017-08-14T10:27:21.714+00:00","Extravaganza","1x/Month","Active Supervisor","Kentucky",38,22,36,14,9
"2017-03-12T23:32:16.610+00:00","Wild Berry and Pina Colada","Hosting a HOM","Website Visit","2015-12-09T19:16:15.931+00:00","F","No","Protien Bar Deluxe","Sherrie Hernandez","Kari Dibbert","42710-6713","Customer","2017-03-15T14:23:07.647+00:00","STS","1x/Month","Global Expansion Team","Oklahoma",50,4,28,78,55
"2017-03-12T23:39:49.767+00:00","Cookies 'n Cream","Advertising 101","Open Emails","2015-09-15T06:04:59.254+00:00","F","No","Formula 1 Healthy Meal Nutritional Shake Mix","James Chan","Evangeline Wehner","86494-6807","Customer","2017-08-08T21:02:29.980+00:00","Extravaganza","2x/Month","World Team","Oklahoma",39,12,35,33,9
"2017-03-12T23:52:45.939+00:00","Cafe Latte","The Social Revolution","Buying Product","2016-03-14T01:29:53.074+00:00","F","Yes","Formula 2 Multivitamin Complex","Stephanie Curran","Anabel Yundt","46117-4254","Customer","2017-05-25T04:09:43.803+00:00","Leadership Development Weekend","1x/Month","Distributor","Hawaii",35,20,41,64,54
"2017-03-13T00:00:56.430+00:00","Chocolate","The Social Revolution","Buying Product","2017-02-03T04:03:12.850+00:00","F","Yes","Male Factor 1000","Anne Frost","Miss Jason Greenholt","78418-3211","Lead","2017-04-18T05:02:17.775+00:00","Extravaganza","2x/Month","Herbalife Advantage Plan Distributor (HAP)","Maine",38,21,28,82,87
"2017-03-13T00:07:14.282+00:00","Chocolate","The Social Revolution","Website Visit","2017-05-16T19:04:13.330+00:00","F","No","Herbal Tea Concentrate","Anne Frost","Ms. Arely Ritchie","86975-7879","Lead","2017-04-07T00:36:49.785+00:00","Extravaganza","1x/Month","Herbalife Advantage Plan Distributor (HAP)","Indiana",40,2,33,10,79
"2017-03-13T00:46:57.997+00:00","Wild Berry and Pina Colada","Meal Replacements","Website Visit","2015-12-25T23:39:25.003+00:00","M","Yes","Formula 2 Multivitamin Complex","Jamie Wu","Abbigail Howe","53885","Customer","2017-05-18T15:37:04.560+00:00","STS","2x/Month","Supervisor","Utah",40,2,25,19,88
"2017-03-13T01:18:26.345+00:00","Pumpkin Spice","The Social Revolution","Open Emails","2017-02-16T07:26:23.397+00:00","F","No","Roasted Soy Nuts","Tim Carter","Toby Schamberger","26860-1220","Lead","2017-04-25T10:06:20.114+00:00","STS HOM","3x/Month","Presidents Team - 50k President","Florida",23,0,47,32,20
"2017-03-13T01:41:03.078+00:00","Chocolate","Health Evaluations & Nutrition Programs","Buying Product","2017-05-12T10:29:02.417+00:00","M","No","Formula 2 Multivitamin Complex","Stephanie Curran","Malika VonRueden","81294","Lead","2017-06-27T15:07:22.588+00:00","STS HOM","2x/Month","Distributor","Michigan",54,5,53,89,74
"2017-03-13T02:00:05.905+00:00","Wild Berry and Pina Colada","Health Evaluations & Nutrition Programs","Buying Product","2015-11-27T22:52:55.961+00:00","F","Yes","Total Control","Stephanie Curran","Janick Moore","89982-1548","Lead","2017-05-24T11:14:58.333+00:00","STS","2x/Month","Distributor","Delaware",57,9,37,30,90
"2017-03-13T02:36:36.053+00:00","Chocolate","Health Evaluations & Nutrition Programs","Website Visit","2016-10-29T11:03:55.023+00:00","M","Yes","Thermo Bond","Mary Johnson","Kade Kris PhD","61603-4851","Customer","2017-03-17T08:11:21.747+00:00","STS HOM","1x/Month","Millionaire Team","Kansas",20,11,20,27,39
"2017-03-13T03:05:04.600+00:00","Wild Berry and Pina Colada","Meal Replacements","Website Visit","2016-12-31T21:30:02.837+00:00","F","Yes","Roasted Soy Nuts","Sherrie Hernandez","Melvina Pollich","85534-4655","Lead","2017-04-21T21:18:19.225+00:00","STS","3x/Month","Global Expansion Team","Washington",29,22,30,30,28
"2017-03-13T03:58:51.694+00:00","Cookies 'n Cream","Health Evaluations & Nutrition Programs","Website Visit","2015-12-12T09:06:27.567+00:00","F","No","Total Control","Jim Albose","Alison Considine","16543-2616","Customer","2017-04-03T00:55:11.453+00:00","STS","2x/Month","Active Supervisor","Massachusetts",54,0,40,51,41
