"Activity_Type","Consultant","Activity_Count"
"Email","Mary Adams",4
"Email","John Colgate",20
"Email","Diane Seavers",21
"Email","Kathy Fevers",26
"Email","Lisa Johns",30
"Email","Tommy Rampert",10
"Email","Kerry Derans",10
"Email","Vicki Morris",13
"Email","Kim Daniels",12
"Email","Betty Roberts",11
"Party","Mary Adams",1
"Party","John Colgate",0
"Party","Diane Seavers",2
"Party","Kathy Fevers",0
"Party","Lisa Johns",0
"Party","Tommy Rampert",1
"Party","Kerry Derans",1
"Party","Vicki Morris",0
"Party","Kim Daniels",1
"Party","Betty Roberts",1
"Phone","Mary Adams",3
"Phone","John Colgate",5
"Phone","Diane Seavers",3
"Phone","Kathy Fevers",3
"Phone","Lisa Johns",1
"Phone","Tommy Rampert",3
"Phone","Kerry Derans",2
"Phone","Vicki Morris",1
"Phone","Kim Daniels",5
"Phone","Betty Roberts",5
"SMS","Mary Adams",12
"SMS","John Colgate",4
"SMS","Diane Seavers",7
"SMS","Kathy Fevers",8
"SMS","Lisa Johns",7
"SMS","Tommy Rampert",8
"SMS","Kerry Derans",12
"SMS","Vicki Morris",6
"SMS","Kim Daniels",6
"SMS","Betty Roberts",8
