"OWNERUNIQUEUSERNAME","ISHIGHPRIORITY","OWNERID","ACCOUNTRECORDTYPENAME","ACCOUNTTYPE","OWNERSTATE","ACTIVITYDATE","PRIORITY","CREATEDDATE","OWNERCITY","STATUS","DESCRIPTION","OWNERROLENAME","EVENTSUBTYPE","ACCOUNTID","OWNERSMALLPHOTOURL","DUEDATE","TYPE","ANALYTICSDEMO_BATCH_ID_C","ACCOUNTINVESTMENTOBJECTIVES","REGARDING","TASKSUBTYPE","ACCOUNTNAME","ACCOUNTINVESTMENTEXPERIENCE","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","OWNERNAME","ACCOUNTBALANCEBUCKET","CALLTYPE","SUBJECT","OWNEREMAIL"
"Mark Garet","true","0051U000005JQyrQAG","Person Account","Customer","IL","2019-08-08","High","2018-08-09","Chicago","Completed","-","Manager","Call","0011U00000Kcp1JQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-08","Meeting","20190829135125753975","Income","Onboarding","Call","Adams Charitable Trust (Sample)","Moderately Inexperienced","2019-08-29","Retired","Allen Advisor","1. Less than 50k","Event","Sync Up","allen.advisor@example.com"
"Chelsea Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2019-08-17","High","2019-02-27","Florida","Completed","-","Manager","Call","0011U00000Kcp1KQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-17","Other","20190829135125753975","Balanced Growth","Service","Call","Adams Household (Sample)","Moderately Experienced","2019-08-29","Mass Market","Chelsea Advisor","1. Less than 50k","Event","Evaluate Refinancing Loan","ryan.dobson@example.com"
"Mark Garet","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-25","High","2019-08-01","Florida","Completed","-","Manager","Call","0011U00000Kcp1LQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-25","Email","20190829135125753975","Aggressive Growth","Service","Call","Neil Symonds (Sample)","Moderately Experienced","2019-08-29","Retired","Chelsea Advisor","1. Less than 50k","Event","Quarterly Earnings Summary","ryan.dobson@example.com"
"Allen Advisor","true","0051U000005KhW6QAK","Individual","Customer","NY","2019-08-24","High","2019-08-24","New York","Completed","-","Manager","Call","0011U00000Kcp1NQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-24","Other","20190829135125753975","Aggressive Growth","Onboarding","Call","Rachel Adams (Sample)","Moderately Experienced","2019-08-29","Millennials","Mark Garet","1. Less than 50k","Event","Sync Up","mark.garet@example.com"
"Mark Garet","true","0051U000005JQyrQAG","Person Account","Customer","IL","2019-08-10","High","2018-12-13","Chicago","Completed","-","Manager","Call","0011U00000Kcp1MQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-10","Call","20190829135125753975","Aggressive Growth","Client Retention","Call","Nigel Adams (Sample)","Inexperienced","2019-08-29","Retired","Allen Advisor","1. Less than 50k","Event","Sync Up","allen.advisor@example.com"
"Chelsea Advisor","true","0051U000005KhW6QAK","Household","Customer","NY","2019-08-20","High","2019-08-15","New York","Completed","-","Manager","Call","0011U00000Kcp1OQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-20","Meeting","20190829135125753975","Income","Service","Call","Smith, Kohl and Company (Sample)","Experienced","2019-08-29","Millennials","Mark Garet","2. Between 50k and 250k","Event","Quarterly Earnings Summary","mark.garet@example.com"
"Mark Garet","true","0051U000005KhW6QAK","Household","Customer","NY","2019-08-20","High","2019-08-14","New York","Completed","-","Manager","Call","0011U00000Kcp1PQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-20","Email","20190829135125753975","Growth","Onboarding","Call","Symonds Household (Sample)","Experienced","2019-08-29","High Net Worth Families","Mark Garet","2. Between 50k and 250k","Event","Lunch Meeting","mark.garet@example.com"
"Chelsea Advisor","true","0051U000005KhW6QAK","Individual","Customer","NY","2019-08-10","High","2019-08-10","New York","Completed","-","Manager","Call","0011U00000Kss4jQAB","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-10","Other","20190829135125753975","Income","Client Retention","Call","Jinni Boyd","Experienced","2019-08-29","Mass Market","Mark Garet","1. Less than 50k","Event","Discussion","mark.garet@example.com"
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-17","High","2019-01-03","San Francisco","Completed","-","Manager","Call","0011U00000KuFXFQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-17","Call","20190829135125753975","Income","Onboarding","Call","Kristen Beasley","Experienced","2019-08-29","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Quarterly Earnings Summary","sunil.dixit@example.com"
"Chelsea Advisor","true","0051U000005L4E9QAK","Individual","Customer","CA","2019-07-31","High","2019-02-16","San Francisco","Completed","-","Manager","Call","0011U00000KuWpYQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-07-31","Call","20190829135125753975","Income","Service","Call","Fredericka Mccullough","Experienced","2019-08-29","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Discussion","sunil.dixit@example.com"
"Mark Garet","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-01","High","2018-05-09","Florida","Completed","-","Manager","Call","0011U00000KuFXJQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-01","Other","20190829135125753975","Balanced Growth","Prospecting","Call","Zane Cervantes","Moderately Inexperienced","2019-08-29","Millennials","Chelsea Advisor","2. Between 50k and 250k","Event","Lunch Meeting","ryan.dobson@example.com"
"Chelsea Advisor","true","0051U000005JQyrQAG","Person Account","Customer","IL","2019-08-22","High","2018-10-14","Chicago","Completed","-","Manager","Call","0011U00000KuFXKQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-22","Email","20190829135125753975","Balanced Growth","Service","Call","Carissa Mckee","Moderately Experienced","2019-08-29","Retired","Allen Advisor","1. Less than 50k","Event","Discussion","allen.advisor@example.com"
"Brenda Banker","true","0051U000005L6eJQAS","Individual","Customer","FL","2019-08-22","High","2019-03-20","Florida","Completed","-","Manager","Call","0011U00000KuFXLQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-22","Email","20190829135125753975","Growth","Client Retention","Call","Akeem Head","Moderately Inexperienced","2019-08-29","Millennials","Chelsea Advisor","1. Less than 50k","Event","Quarterly Earnings Summary","ryan.dobson@example.com"
"Brenda Banker","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-25","High","2018-04-05","Florida","Completed","-","Manager","Call","0011U00000KuFXMQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-25","Meeting","20190829135125753975","Balanced Growth","Service","Call","Quinn Cummings","Experienced","2019-08-29","Retired","Chelsea Advisor","1. Less than 50k","Event","Sync Up","ryan.dobson@example.com"
"Chelsea Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-14","High","2018-10-05","Florida","Completed","-","Manager","Call","0011U00000KuFXNQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-14","Other","20190829135125753975","Income","Onboarding","Call","Hasad Madden","Experienced","2019-08-29","Affluent Professionals","Chelsea Advisor","2. Between 50k and 250k","Event","Lunch Meeting","ryan.dobson@example.com"
"Mark Garet","true","0051U000005L6eJQAS","Household","Customer","FL","2019-08-18","High","2019-01-05","Florida","Completed","-","Manager","Call","0011U00000KuFXOQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-18","Email","20190829135125753975","Growth","Onboarding","Call","Alfreda Pierce","Experienced","2019-08-29","High Net Worth Families","Chelsea Advisor","1. Less than 50k","Event","Lunch Meeting","ryan.dobson@example.com"
"Allen Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-20","High","2019-02-04","San Francisco","Completed","-","Manager","Call","0011U00000KuFXPQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-20","Call","20190829135125753975","Income","Prospecting","Call","Erich Grimes","Experienced","2019-08-29","Affluent Professionals","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com"
"Brenda Banker","true","0051U000005L6eJQAS","Household","Customer","FL","2019-08-24","High","2018-07-06","Florida","Completed","-","Manager","Call","0011U00000KuFXSQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-24","Email","20190829135125753975","Aggressive Growth","Prospecting","Call","Zeph Mcmahon","Experienced","2019-08-29","Millennials","Chelsea Advisor","1. Less than 50k","Event","Summit","ryan.dobson@example.com"
