"AccountId","AssignedResource.User.Id","ServiceResourceSkill.SkillId","ParentRecordId.WorkTypeId","WorkType.Name","AssignedResource.User.User.Name","ServiceTerritoryId.State","ServiceTerritoryId","ParentRecordId.CaseId","ServiceResourceSkill.Skill.Description","ArrivalWindowStartTime","ServiceTerritoryId.OperatingHoursId","Status","ServiceTerritoryId.City","ParentRecordId","ServiceResourceSkill.Skill.DeveloperName","EarliestStartTime","AppointmentType","AssignedResource.User.User.Username","ParentRecordId.AccountId","AssignedResource.User.Description","ActualEndTime","CreatedDate","Id","ParentRecordId.Priority","ServiceTerritoryId.Name","SchedStartTime","AssignedResource.User.User.Email","ParentRecordId.CreatedDate","AppointmentNumber","WorkTypeId","StatusCategory","ServiceResourceSkill.Skill.MasterLabel","ServiceResourceSkill.Skill.Language","ParentRecordType","ServiceResourceSkill.SkillNumber","DueDate","DurationType","AssignedResource.User.User.SmallPhotoUrl","AssignedResource.ServiceResourceId","ParentRecordId.Status","ParentRecordId.WorkOrderNumber","SchedEndTime","ActualStartTime","AssignedResource.User.User.Id","ArrivalWindowEndTime","WorkType.Id","Account.Name","ServiceTerritoryId.Country","ParentRecordId.Id","ServiceTerritoryId.Id","ServiceResourceSkill.SkillLevel","Duration","ActualDuration","DurationInMinutes"
"001B000001KFsooIAD",,,,,,,,,,,,"Completed",,"001B000001KFsooIAD",,"2020-01-22T20:00:00.000Z",,,,,,"2020-04-07T22:30:58.000Z","08pB0000000HxpJIAS",,,,,,"SA-0001",,"Completed",,,"Account",,"2020-01-24T20:00:00.000Z","Hours",,,,,,,,,,"Aaron Thompson",,,,,,,
"001B000001KFtrKIAT","0HnB0000000GwLJKA0","0C5B0000000KzHVKA0",,,"Melody Hobson",,,,"COVID Test 3",,,"Completed",,"001B000001KFtrKIAT","COVID_Test_3","2020-01-22T20:00:00.000Z",,"demo.zxqeyden1m5x.n2d7vmxwbiqa@gs0.org",,,,"2020-04-07T22:30:58.000Z","08pB0000000HxpKIAS",,,,"rvivek@example.com",,"SA-0002",,"Completed","COVID Test 3","en_US","Account","SRS-07","2020-01-24T20:00:00.000Z","Hours","https://c.gus.content.force.com/profilephoto/005/T","0HnB0000000GwLJKA0",,,,,"005B0000006itXpIAI",,,"Kiara Shah",,,,,,,
"001B000001KFtrMIAT","0HnB0000000GwLKKA0","0C5B0000000KzHVKA0",,,"Susan Kaplan",,,,"COVID Test 3",,,"Completed",,"001B000001KFtrMIAT","COVID_Test_3","2020-01-21T20:00:00.000Z",,"susan.mwhxhfdr1vyd.hi9dfyxnbgnz.bt7sto1hdk9u@gs0.org",,,,"2020-04-07T22:30:58.000Z","08pB0000000HxpLIAS",,,,"dgurram@example.com",,"SA-0003",,"Completed","COVID Test 3","en_US","Account","SRS-05","2020-01-22T20:00:00.000Z","Hours","https://c.gus.content.force.com/profilephoto/005/T","0HnB0000000GwLKKA0",,,,,"005B0000006itXmIAI",,,"Sahil Bansod",,,,,,,
"001B000001KFsw3IAD","0HnB0000000GwLLKA0","0C5B0000000KzHVKA0",,,"Gillian Yu",,,,"COVID Test 3",,,"Completed",,"001B000001KFsw3IAD","COVID_Test_3","2020-01-22T01:30:00.000Z",,"gillian.bdyy3x7yojcx.nggowzthpkwl.gaskqorc0pit@gs0.org",,,,"2020-04-07T22:30:58.000Z","08pB0000000HxpMIAS",,,,"dgurram@example.com",,"SA-0004",,"Completed","COVID Test 3","en_US","Account","SRS-01","2020-01-24T20:00:00.000Z","Hours","https://c.gus.content.force.com/profilephoto/005/T","0HnB0000000GwLLKA0",,,,,"005B0000006itXrIAI",,,"Aaliyah Aguilar",,,,,,,
"001B000001KFtJZIA1","0HnB0000000GwLLKA0","0C5B0000000KzHVKA0",,,"Gillian Yu",,,,"COVID Test 3",,,"Cannot Complete",,"001B000001KFtJZIA1","COVID_Test_3","2020-01-22T20:00:00.000Z",,"gillian.bdyy3x7yojcx.nggowzthpkwl.gaskqorc0pit@gs0.org",,,,"2020-04-07T22:30:58.000Z","08pB0000000HxpNIAS",,,,"dgurram@example.com",,"SA-0005",,"CannotComplete","COVID Test 3","en_US","Account","SRS-01","2020-01-28T20:00:00.000Z","Hours","https://c.gus.content.force.com/profilephoto/005/T","0HnB0000000GwLLKA0",,,,,"005B0000006itXrIAI",,,"Aaron Jason",,,,,,,
"001B000001KFszpIAD","0HnB0000000GwLLKA0","0C5B0000000KzHVKA0",,,"Gillian Yu",,,,"COVID Test 3",,,"Scheduled",,"001B000001KFszpIAD","COVID_Test_3","2020-01-23T20:00:00.000Z",,"gillian.bdyy3x7yojcx.nggowzthpkwl.gaskqorc0pit@gs0.org",,,,"2020-04-07T22:30:58.000Z","08pB0000000HxpOIAS",,,,"dgurram@example.com",,"SA-0006",,"Scheduled","COVID Test 3","en_US","Account","SRS-01","2020-01-30T20:00:00.000Z","Hours","https://c.gus.content.force.com/profilephoto/005/T","0HnB0000000GwLLKA0",,,,,"005B0000006itXrIAI",,,"Sidney Abbott",,,,,,,
"001B000001KFtrMIAT","0HnB0000000GwLJKA0","0C5B0000000KzHVKA0",,,"Melody Hobson",,,,"COVID Test 3",,,"Completed",,"001B000001KFtrMIAT","COVID_Test_3","2020-02-03T20:00:00.000Z",,"demo.zxqeyden1m5x.n2d7vmxwbiqa@gs0.org",,,"2020-02-03T21:07:00.000Z","2020-04-07T22:30:58.000Z","08pB0000000HxpPIAS",,,"2020-02-03T20:30:00.000Z","rvivek@example.com",,"SA-0007",,"Completed","COVID Test 3","en_US","Account","SRS-07","2020-02-03T21:30:00.000Z","Minutes","https://c.gus.content.force.com/profilephoto/005/T","0HnB0000000GwLJKA0",,,"2020-02-03T21:00:00.000Z","2020-02-03T20:30:00.000Z","005B0000006itXpIAI",,,"Sahil Bansod",,,,,30,37,30
"001B000001KFtrKIAT","0HnB0000000GwLMKA0","0C5B0000000KzHTKA0",,"Swab Test","Suzy Orman","CA","0HhB0000000Gw1jKAC",,"COVID Test 1","2020-01-31T17:30:00.000Z","0OHB0000000PPpbOAG","Completed","Palo Alto","001B000001KFtrKIAT","COVID_Test_1","2020-01-29T21:08:47.000Z","In-person","suzy.2tvqs8v4z0td.pnhi8k4tthke.emttqxtvdbmv@gs0.org",,,"2020-01-31T20:08:00.000Z","2020-04-07T22:30:58.000Z","08pB0000000HxpQIAS",,"Palo Alto Medical Foundation","2020-01-31T17:30:00.000Z","dgurram@example.com",,"SA-0008","08qB0000000HIG6IAO","Completed","COVID Test 1","en_US","Account","SRS-26","2020-02-05T21:08:47.000Z","Minutes","https://c.gus.content.force.com/profilephoto/729B0000000YonQ/T","0HnB0000000GwLMKA0",,,"2020-01-31T19:30:00.000Z","2020-01-31T18:12:00.000Z","005B0000006itXlIAI","2020-01-31T19:30:00.000Z","08qB0000000HIG6IAO","Kiara Shah",,,"0HhB0000000Gw1jKAC",,120,116,120
"001B000001KFtrKIAT","0HnB0000000GwLLKA0","0C5B0000000KzHVKA0",,"Swab Test","Gillian Yu","CA","0HhB0000000Gw1jKAC",,"COVID Test 3","2020-02-01T17:00:00.000Z","0OHB0000000PPpbOAG","Scheduled","Palo Alto","001B000001KFtrKIAT","COVID_Test_3","2020-01-30T22:21:34.000Z","In-person","gillian.bdyy3x7yojcx.nggowzthpkwl.gaskqorc0pit@gs0.org",,,,"2020-04-07T22:30:58.000Z","08pB0000000HxpRIAS",,"Palo Alto Medical Foundation","2020-02-01T17:00:00.000Z","dgurram@example.com",,"SA-0009","08qB0000000HIG6IAO","Scheduled","COVID Test 3","en_US","Account","SRS-01","2020-02-06T22:21:34.000Z","Hours","https://c.gus.content.force.com/profilephoto/005/T","0HnB0000000GwLLKA0",,,"2020-02-01T19:00:00.000Z",,"005B0000006itXrIAI","2020-02-01T19:00:00.000Z","08qB0000000HIG6IAO","Kiara Shah",,,"0HhB0000000Gw1jKAC",,,,
"001B000001KFsofIAD","0HnB0000000GwLMKA0","0C5B0000000KzHTKA0",,"Blood Draw","Suzy Orman","CA","0HhB0000000Gw1jKAC",,"COVID Test 1","2020-02-06T16:00:00.000Z","0OHB0000000PPpbOAG","Scheduled","Palo Alto","001B000001KFsofIAD","COVID_Test_1","2020-02-04T19:26:15.000Z","Phone","suzy.2tvqs8v4z0td.pnhi8k4tthke.emttqxtvdbmv@gs0.org",,,,"2020-04-07T22:30:58.000Z","08pB0000000HxpSIAS",,"Palo Alto Medical Foundation","2020-02-06T16:00:00.000Z","dgurram@example.com",,"SA-0010","08qB0000000HIG7IAO","Scheduled","COVID Test 1","en_US","Account","SRS-26","2020-02-11T19:26:15.000Z","Hours","https://c.gus.content.force.com/profilephoto/729B0000000YonQ/T","0HnB0000000GwLMKA0",,,"2020-02-06T18:00:00.000Z",,"005B0000006itXlIAI","2020-02-06T18:00:00.000Z","08qB0000000HIG7IAO","Aaron Finch",,,"0HhB0000000Gw1jKAC",,,,
