"ResourceAbsence_User_Email","ResourceAbsence_Description","ResourceAbsence_User_Username","Start","ResourceAbsence_User_Id","ResourceAbsence_User_Name","City","Type","ResourceId","State","CreatedDate","Country","End","Id","AbsenceMinutes"
"james@example.com","Field Service Lightning User","james.clifton.rn02fiqpyqkf.yoa7vwhqfhdh@summer20-sd.sdo","2021-02-05","0052X00000AcWfEQAV","James Clifton",,"Vacation","0Hn2X000000cXJkSAM",,"2020-09-15",,"2021-02-05","0Hw7R000000sXztSAE",40
"melissa@example.com","Field Service Lightning User","mwood.fnyz6gf3zfmp.dwllsqauhrix@summer20-sd.sdo","2021-02-01","0052X00000AcWfKQAV","Melissa Wood",,"Vacation","0Hn2X000000cXJqSAM",,"2020-09-15",,"2021-02-01","0Hw7R000000sXzuSAE",40
"pam@example.com","Field Service Lightning User","plawison.0nwem4skv0nl.3k0ck5fkxkzl@summer20-sd.sdo","2021-02-02","0052X00000AcWfLQAV","Pam Lawison",,"Vacation","0Hn2X000000cXJrSAM",,"2020-09-15",,"2021-02-02","0Hw7R000000sXzvSAE",40
"pam@example.com","Field Service Lightning User","plawison.0nwem4skv0nl.3k0ck5fkxkzl@summer20-sd.sdo","2021-02-03","0052X00000AcWfLQAV","Pam Lawison",,"Vacation","0Hn2X000000cXJrSAM",,"2020-09-15",,"2021-02-03","0Hw7R000000sXzwSAE",40
"pam@example.com","Field Service Lightning User","plawison.0nwem4skv0nl.3k0ck5fkxkzl@summer20-sd.sdo","2021-02-01","0052X00000AcWfLQAV","Pam Lawison",,"Vacation","0Hn2X000000cXJrSAM",,"2020-09-15",,"2021-02-01","0Hw7R000000sXzxSAE",40
"pam@example.com","Field Service Lightning User","plawison.0nwem4skv0nl.3k0ck5fkxkzl@summer20-sd.sdo","2021-02-04","0052X00000AcWfLQAV","Pam Lawison",,"Vacation","0Hn2X000000cXJrSAM",,"2020-09-15",,"2021-02-04","0Hw7R000000sXzySAE",40
"paul@example.com","Field Service Lightning User","pmorrison.uktxnke4gyfy.ffg7sh3fmbtl@summer20-sd.sdo","2021-02-02","0052X00000AcWfMQAV","Paul Morrison",,"Vacation","0Hn2X000000cXJsSAM",,"2020-09-15",,"2021-02-02","0Hw7R000000sXzzSAE",40
"paul@example.com","Field Service Lightning User","pmorrison.uktxnke4gyfy.ffg7sh3fmbtl@summer20-sd.sdo","2021-02-01","0052X00000AcWfMQAV","Paul Morrison",,"Vacation","0Hn2X000000cXJsSAM",,"2020-09-15",,"2021-02-01","0Hw7R000000sY00SAE",40
"sdhaese@salesforce.com","Field Service Lightning User","areed@summer20-sd.sdo","2021-02-02","0052X00000AcWf7QAF","Alan Reed",,"Vacation","0Hn2X000000cXJaSAM",,"2020-09-15",,"2021-02-02","0Hw7R000000sY01SAE",40
"sdhaese@salesforce.com","Field Service Lightning User","areed@summer20-sd.sdo","2021-02-03","0052X00000AcWf7QAF","Alan Reed",,"Vacation","0Hn2X000000cXJaSAM",,"2020-09-15",,"2021-02-03","0Hw7R000000sY02SAE",40
"alexander@example.com","Field Service Lightning User","araneri.9kbstb8d1vbh.cgg2gn66guqs@summer20-sd.sdo","2021-02-03","0052X00000AcWfCQAV","Alexander Raneri",,"Vacation","0Hn2X000000cXJbSAM",,"2020-09-15",,"2021-02-03","0Hw7R000000sY03SAE",40
"alexander@example.com","Field Service Lightning User","araneri.9kbstb8d1vbh.cgg2gn66guqs@summer20-sd.sdo","2021-02-04","0052X00000AcWfCQAV","Alexander Raneri",,"Vacation","0Hn2X000000cXJbSAM",,"2020-09-15",,"2021-02-04","0Hw7R000000sY04SAE",40
"alexander@example.com","Field Service Lightning User","araneri.9kbstb8d1vbh.cgg2gn66guqs@summer20-sd.sdo","2021-02-02","0052X00000AcWfCQAV","Alexander Raneri",,"Vacation","0Hn2X000000cXJbSAM",,"2020-09-15",,"2021-02-02","0Hw7R000000sY05SAE",40
"harry@example.com","Field Service Lightning User","hlong.hqfhv5v1y42y.b6k7b4zwic9w@summer20-sd.sdo","2021-02-04","0052X00000AcWfAQAV","Harry Long",,"Vacation","0Hn2X000000cXJdSAM",,"2020-09-15",,"2021-02-04","0Hw7R000000sY08SAE",40
"jane@example.com","Field Service Lightning User","jaustin.lmoenp9rdius.bdhhet6tx1sm@summer20-sd.sdo","2021-02-04","0052X00000AcWf8QAF","Jane Austin",,"Vacation","0Hn2X000000cXJeSAM",,"2020-09-15",,"2021-02-04","0Hw7R000000sY09SAE",40
"jane@example.com","Field Service Lightning User","jaustin.lmoenp9rdius.bdhhet6tx1sm@summer20-sd.sdo","2021-02-02","0052X00000AcWf8QAF","Jane Austin",,"Vacation","0Hn2X000000cXJeSAM",,"2020-09-15",,"2021-02-02","0Hw7R000000sY0ASAU",40
"jane@example.com","Field Service Lightning User","jaustin.lmoenp9rdius.bdhhet6tx1sm@summer20-sd.sdo","2021-02-03","0052X00000AcWf8QAF","Jane Austin",,"Vacation","0Hn2X000000cXJeSAM",,"2020-09-15",,"2021-02-03","0Hw7R000000sY0BSAU",40
"louise@example.com","Field Service Lightning User","lmartin.dbn8dlntwgyg.kdxjufnirunn@summer20-sd.sdo","2021-02-03","0052X00000AcWf5QAF","Louise Martin",,"Vacation","0Hn2X000000cXJfSAM",,"2020-09-15",,"2021-02-03","0Hw7R000000sY0CSAU",40
"louise@example.com","Field Service Lightning User","lmartin.dbn8dlntwgyg.kdxjufnirunn@summer20-sd.sdo","2021-02-02","0052X00000AcWf5QAF","Louise Martin",,"Vacation","0Hn2X000000cXJfSAM",,"2020-09-15",,"2021-02-02","0Hw7R000000sY0DSAU",40
"matthew@example.com","Field Service Lightning User","mparker.9l8oeoib8xer.tp3gioocijgm@summer20-sd.sdo","2021-02-03","0052X00000AcWfBQAV","Matthew Parker",,"Vacation","0Hn2X000000cXJgSAM",,"2020-09-15",,"2021-02-03","0Hw7R000000sY0ESAU",40
"matthew@example.com","Field Service Lightning User","mparker.9l8oeoib8xer.tp3gioocijgm@summer20-sd.sdo","2021-02-04","0052X00000AcWfBQAV","Matthew Parker",,"Vacation","0Hn2X000000cXJgSAM",,"2020-09-15",,"2021-02-04","0Hw7R000000sY0FSAU",40
"ralph@example.com","Field Service Lightning User","rclark.wb8wmuppcmjy.4g8fglbhrqpy@summer20-sd.sdo","2021-02-04","0052X00000AcWf6QAF","Ralph Clark",,"Vacation","0Hn2X000000cXJhSAM",,"2020-09-15",,"2021-02-04","0Hw7R000000sY0GSAU",40
"andy@example.com","Field Service Lightning User","ajames.ric4supwvrzg.xvpkustsnfzu@summer20-sd.sdo","2021-02-05","0052X00000AcWfDQAV","Andy James",,"Vacation","0Hn2X000000cXJjSAM",,"2020-09-15",,"2021-02-05","0Hw7R000000sY0HSAU",40
"andy@example.com","Field Service Lightning User","ajames.ric4supwvrzg.xvpkustsnfzu@summer20-sd.sdo","2021-02-04","0052X00000AcWfDQAV","Andy James",,"Vacation","0Hn2X000000cXJjSAM",,"2020-09-15",,"2021-02-04","0Hw7R000000sY0ISAU",40
"jim@example.com","Field Service Lightning User","jmatthews.w5pyuqsbozvs.a61r6sbxxtgg@summer20-sd.sdo","2021-02-04","0052X00000AcWfGQAV","Jim Matthews",,"Vacation","0Hn2X000000cXJmSAM",,"2020-09-15",,"2021-02-04","0Hw7R000000sY0JSAU",40
"jim@example.com","Field Service Lightning User","jmatthews.w5pyuqsbozvs.a61r6sbxxtgg@summer20-sd.sdo","2021-02-05","0052X00000AcWfGQAV","Jim Matthews",,"Vacation","0Hn2X000000cXJmSAM",,"2020-09-15",,"2021-02-05","0Hw7R000000sY0KSAU",40
"calbanese@example.com","Field Service Lightning User","lsmith.x5fzy5qfinkn.qwfn1agwfk37@summer20-sd.sdo","2021-02-02","0052X00000AcWfIQAV","Lamar Smith",,"Vacation","0Hn2X000000cXJnSAM",,"2020-09-15",,"2021-02-02","0Hw7R000000sY0LSAU",40
"calbanese@example.com","Field Service Lightning User","lsmith.x5fzy5qfinkn.qwfn1agwfk37@summer20-sd.sdo","2021-02-03","0052X00000AcWfIQAV","Lamar Smith",,"Vacation","0Hn2X000000cXJnSAM",,"2020-09-15",,"2021-02-03","0Hw7R000000sY0MSAU",40
"martino@example.com","Field Service Lightning User","mcastanon.esazdwfzrwqk.dbihbcnaeeqk@summer20-sd.sdo","2021-02-04","0052X00000AcWfNQAV","Martino Castanon",,"Vacation","0Hn2X000000cXJoSAM",,"2020-09-15",,"2021-02-04","0Hw7R000000sY0NSAU",40
"martino@example.com","Field Service Lightning User","mcastanon.esazdwfzrwqk.dbihbcnaeeqk@summer20-sd.sdo","2021-02-05","0052X00000AcWfNQAV","Martino Castanon",,"Vacation","0Hn2X000000cXJoSAM",,"2020-09-15",,"2021-02-05","0Hw7R000000sY0OSAU",40
"mary@example.com","Field Service Lightning User","madams.ud4zdgivzlsz.ycfb3qhpksa3@summer20-sd.sdo","2021-02-05","0052X00000AcWfJQAV","Mary Adams",,"Vacation","0Hn2X000000cXJpSAM",,"2020-09-15",,"2021-02-05","0Hw7R000000sY0PSAU",40
"mary@example.com","Field Service Lightning User","madams.ud4zdgivzlsz.ycfb3qhpksa3@summer20-sd.sdo","2021-02-04","0052X00000AcWfJQAV","Mary Adams",,"Vacation","0Hn2X000000cXJpSAM",,"2020-09-15",,"2021-02-04","0Hw7R000000sY0QSAU",40
"melissa@example.com","Field Service Lightning User","mwood.fnyz6gf3zfmp.dwllsqauhrix@summer20-sd.sdo","2021-02-04","0052X00000AcWfKQAV","Melissa Wood",,"Vacation","0Hn2X000000cXJqSAM",,"2020-09-15",,"2021-02-04","0Hw7R000000sY0RSAU",40
"melissa@example.com","Field Service Lightning User","mwood.fnyz6gf3zfmp.dwllsqauhrix@summer20-sd.sdo","2021-02-05","0052X00000AcWfKQAV","Melissa Wood",,"Vacation","0Hn2X000000cXJqSAM",,"2020-09-15",,"2021-02-05","0Hw7R000000sY0SSAU",40
"pam@example.com","Field Service Lightning User","plawison.0nwem4skv0nl.3k0ck5fkxkzl@summer20-sd.sdo","2021-02-05","0052X00000AcWfLQAV","Pam Lawison",,"Vacation","0Hn2X000000cXJrSAM",,"2020-09-15",,"2021-02-05","0Hw7R000000sY0TSAU",40
"paul@example.com","Field Service Lightning User","pmorrison.uktxnke4gyfy.ffg7sh3fmbtl@summer20-sd.sdo","2021-02-04","0052X00000AcWfMQAV","Paul Morrison",,"Vacation","0Hn2X000000cXJsSAM",,"2020-09-15",,"2021-02-04","0Hw7R000000sY0USAU",40
"paul@example.com","Field Service Lightning User","pmorrison.uktxnke4gyfy.ffg7sh3fmbtl@summer20-sd.sdo","2021-02-05","0052X00000AcWfMQAV","Paul Morrison",,"Vacation","0Hn2X000000cXJsSAM",,"2020-09-15",,"2021-02-05","0Hw7R000000sY0VSAU",40
"paul@example.com","Field Service Lightning User","pmorrison.uktxnke4gyfy.ffg7sh3fmbtl@summer20-sd.sdo","2021-02-03","0052X00000AcWfMQAV","Paul Morrison",,"Vacation","0Hn2X000000cXJsSAM",,"2020-09-15",,"2021-02-03","0Hw7R000000sY0WSAU",40
"sdhaese@salesforce.com","Field Service Lightning User","areed@summer20-sd.sdo","2021-02-05","0052X00000AcWf7QAF","Alan Reed",,"Vacation","0Hn2X000000cXJaSAM",,"2020-09-15",,"2021-02-05","0Hw7R000000sY0XSAU",40
"sdhaese@salesforce.com","Field Service Lightning User","areed@summer20-sd.sdo","2021-02-06","0052X00000AcWf7QAF","Alan Reed",,"Vacation","0Hn2X000000cXJaSAM",,"2020-09-15",,"2021-02-06","0Hw7R000000sY0YSAU",40
"james@example.com","Field Service Lightning User","james.clifton.rn02fiqpyqkf.yoa7vwhqfhdh@summer20-sd.sdo","2021-02-06","0052X00000AcWfEQAV","James Clifton",,"Vacation","0Hn2X000000cXJkSAM",,"2020-09-15",,"2021-02-06","0Hw7R000000sY0ZSAU",40
