"CapacityNumber","TimePeriod","ServiceResourceId","EndDate","ServiceResourceCapacity.User.Id","ServiceResourceCapacity.User.Name","ServiceResourceCapacity.Description","StartDate","ServiceResourceCapacity.User.Email","ServiceResourceCapacity.User.Username","Id","CapacityInWorkItems","CapacityInHours","per_day_capacity"
"SRC-42","Day","0Hn2X000000cXJtSAM","2020-09-28","0052X00000AcWa5QAF","Sean Silver","Field Service Lightning User","2020-09-28","ssilver@example.com","ssilver.eijonptuzouo.evtocgqdnjea@summer20-sd.sdo","0Hy2X000000HG10SAG",10,,0
"SRC-43","Day","0Hn2X000000cXJtSAM","2020-09-29","0052X00000AcWa5QAF","Sean Silver","Field Service Lightning User","2020-09-29","ssilver@example.com","ssilver.eijonptuzouo.evtocgqdnjea@summer20-sd.sdo","0Hy2X000000HG11SAG",10,,0
"SRC-44","Day","0Hn2X000000cXJtSAM","2020-09-30","0052X00000AcWa5QAF","Sean Silver","Field Service Lightning User","2020-09-30","ssilver@example.com","ssilver.eijonptuzouo.evtocgqdnjea@summer20-sd.sdo","0Hy2X000000HG12SAG",10,,0
"SRC-45","Day","0Hn2X000000cXJtSAM","2020-10-01","0052X00000AcWa5QAF","Sean Silver","Field Service Lightning User","2020-10-01","ssilver@example.com","ssilver.eijonptuzouo.evtocgqdnjea@summer20-sd.sdo","0Hy2X000000HG13SAG",10,,0
"SRC-46","Day","0Hn2X000000cXJtSAM","2020-10-02","0052X00000AcWa5QAF","Sean Silver","Field Service Lightning User","2020-10-02","ssilver@example.com","ssilver.eijonptuzouo.evtocgqdnjea@summer20-sd.sdo","0Hy2X000000HG14SAG",10,,0
"SRC-47","Day","0Hn2X000000cXJtSAM","2020-10-03","0052X00000AcWa5QAF","Sean Silver","Field Service Lightning User","2020-10-03","ssilver@example.com","ssilver.eijonptuzouo.evtocgqdnjea@summer20-sd.sdo","0Hy2X000000HG15SAG",10,,0
"SRC-48","Day","0Hn2X000000cXJtSAM","2020-10-04","0052X00000AcWa5QAF","Sean Silver","Field Service Lightning User","2020-10-04","ssilver@example.com","ssilver.eijonptuzouo.evtocgqdnjea@summer20-sd.sdo","0Hy2X000000HG16SAG",10,,0
"SRC-49","Day","0Hn2X000000cXJtSAM","2020-10-05","0052X00000AcWa5QAF","Sean Silver","Field Service Lightning User","2020-10-05","ssilver@example.com","ssilver.eijonptuzouo.evtocgqdnjea@summer20-sd.sdo","0Hy2X000000HG17SAG",10,,0
"SRC-50","Day","0Hn2X000000cXJtSAM","2020-10-06","0052X00000AcWa5QAF","Sean Silver","Field Service Lightning User","2020-10-06","ssilver@example.com","ssilver.eijonptuzouo.evtocgqdnjea@summer20-sd.sdo","0Hy2X000000HG18SAG",10,,0
"SRC-02","Day","0Hn2X000000cXJiSAM","2020-09-28","0052X00000AcWbLQAV","Acme Dispatcher","Field Service Lightning User","2020-09-28","acme.dispatcher@example.com","adispatcher.xemwwl1fo7f6.9ryq6ewejtwx@summer20-sd.sdo","0Hy2X000000HG19SAG",,15,15
"SRC-03","Day","0Hn2X000000cXJiSAM","2020-09-29","0052X00000AcWbLQAV","Acme Dispatcher","Field Service Lightning User","2020-09-29","acme.dispatcher@example.com","adispatcher.xemwwl1fo7f6.9ryq6ewejtwx@summer20-sd.sdo","0Hy2X000000HG1ASAW",,20,20
"SRC-04","Day","0Hn2X000000cXJiSAM","2020-09-30","0052X00000AcWbLQAV","Acme Dispatcher","Field Service Lightning User","2020-09-30","acme.dispatcher@example.com","adispatcher.xemwwl1fo7f6.9ryq6ewejtwx@summer20-sd.sdo","0Hy2X000000HG1BSAW",,20,20
"SRC-05","Day","0Hn2X000000cXJiSAM","2020-10-01","0052X00000AcWbLQAV","Acme Dispatcher","Field Service Lightning User","2020-10-01","acme.dispatcher@example.com","adispatcher.xemwwl1fo7f6.9ryq6ewejtwx@summer20-sd.sdo","0Hy2X000000HG1CSAW",,20,20
"SRC-06","Day","0Hn2X000000cXJiSAM","2020-10-02","0052X00000AcWbLQAV","Acme Dispatcher","Field Service Lightning User","2020-10-02","acme.dispatcher@example.com","adispatcher.xemwwl1fo7f6.9ryq6ewejtwx@summer20-sd.sdo","0Hy2X000000HG1DSAW",,20,20
"SRC-07","Day","0Hn2X000000cXJiSAM","2020-10-03","0052X00000AcWbLQAV","Acme Dispatcher","Field Service Lightning User","2020-10-03","acme.dispatcher@example.com","adispatcher.xemwwl1fo7f6.9ryq6ewejtwx@summer20-sd.sdo","0Hy2X000000HG1ESAW",,20,20
"SRC-08","Day","0Hn2X000000cXJiSAM","2020-10-04","0052X00000AcWbLQAV","Acme Dispatcher","Field Service Lightning User","2020-10-04","acme.dispatcher@example.com","adispatcher.xemwwl1fo7f6.9ryq6ewejtwx@summer20-sd.sdo","0Hy2X000000HG1FSAW",,20,20
"SRC-09","Day","0Hn2X000000cXJiSAM","2020-10-05","0052X00000AcWbLQAV","Acme Dispatcher","Field Service Lightning User","2020-10-05","acme.dispatcher@example.com","adispatcher.xemwwl1fo7f6.9ryq6ewejtwx@summer20-sd.sdo","0Hy2X000000HG1GSAW",,20,20
"SRC-10","Day","0Hn2X000000cXJiSAM","2020-10-06","0052X00000AcWbLQAV","Acme Dispatcher","Field Service Lightning User","2020-10-06","acme.dispatcher@example.com","adispatcher.xemwwl1fo7f6.9ryq6ewejtwx@summer20-sd.sdo","0Hy2X000000HG1HSAW",,20,20
"SRC-11","Day","0Hn2X000000cXJiSAM","2020-10-07","0052X00000AcWbLQAV","Acme Dispatcher","Field Service Lightning User","2020-10-07","acme.dispatcher@example.com","adispatcher.xemwwl1fo7f6.9ryq6ewejtwx@summer20-sd.sdo","0Hy2X000000HG1ISAW",,20,20
