"IsDeleted","ServiceResource.User.Id","ServiceResource.User.SmallPhotoUrl","EffectiveEndDate","Skill.DeveloperName","ServiceResourceId","ServiceResource.IsCapacityBased","Skill.Language","ServiceResource.RelatedRecordId","Skill.IsDeleted","Skill.Description","ServiceResource.User.Name","ServiceResource.Description","ServiceResource.User.Email","ServiceResource.User.Username","SkillId","Id","EffectiveStartDate","SkillNumber","Skill.MasterLabel","SkillLevel"
"false","0052X00000AcWbUQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyD/T",,"Electrical_Failures","0Hn2X000000cXK3SAM","false","en_US","0052X00000AcWbUQAV","false","LS Skill","Prakash Das","Lightning Scheduler User","pdas@example.com","pdas.vyvb2u19jijy.lf8i59noeucl@summer20-sd.sdo","0C52X000000TTTwSAO","0Hv2X000000YEdKSAW","2016-02-08T20:00:00.000Z","SRS-163","Electrical Failures",1
"false","0052X00000AcWbUQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyD/T",,"Hydraulic_Failures","0Hn2X000000cXK3SAM","false","en_US","0052X00000AcWbUQAV","false","LS Skill","Prakash Das","Lightning Scheduler User","pdas@example.com","pdas.vyvb2u19jijy.lf8i59noeucl@summer20-sd.sdo","0C52X000000TTTySAO","0Hv2X000000YEdLSAW","2016-02-08T20:00:00.000Z","SRS-164","Hydraulic Failures",1
"false","0052X00000AcWbUQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyD/T",,"Saftey_Training","0Hn2X000000cXK3SAM","false","en_US","0052X00000AcWbUQAV","false","LS Skill","Prakash Das","Lightning Scheduler User","pdas@example.com","pdas.vyvb2u19jijy.lf8i59noeucl@summer20-sd.sdo","0C52X000000TTTrSAO","0Hv2X000000YEdMSAW","2016-02-08T20:00:00.000Z","SRS-165","Saftey Training",1
"false","0052X00000AcWbUQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyD/T",,"Mechanical_Failures","0Hn2X000000cXK3SAM","false","en_US","0052X00000AcWbUQAV","false","LS Skill","Prakash Das","Lightning Scheduler User","pdas@example.com","pdas.vyvb2u19jijy.lf8i59noeucl@summer20-sd.sdo","0C52X000000TTTxSAO","0Hv2X000000YEdNSAW","2016-02-08T20:00:00.000Z","SRS-166","Mechanical Failures",1
"false","0052X00000AcWbVQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyE/T",,"Saftey_Training","0Hn2X000000cXK7SAM","false","en_US","0052X00000AcWbVQAV","false","LS Skill","Deanna Marsh","Lightning Scheduler User","dmarsh@example.com","dmarsh.1ere9zerquct.bhprqj6pvxat@summer20-sd.sdo","0C52X000000TTTrSAO","0Hv2X000000YEdOSAW","2016-02-08T20:00:00.000Z","SRS-167","Saftey Training",1
"false","0052X00000AcWbVQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyE/T",,"Turbine_Basic_Usage","0Hn2X000000cXK7SAM","false","en_US","0052X00000AcWbVQAV","false","LS Skill","Deanna Marsh","Lightning Scheduler User","dmarsh@example.com","dmarsh.1ere9zerquct.bhprqj6pvxat@summer20-sd.sdo","0C52X000000TTTsSAO","0Hv2X000000YEdPSAW","2016-02-08T20:00:00.000Z","SRS-168","Turbine Basic Usage",8
"false","0052X00000AcWbVQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyE/T",,"Turbine_Advanced_Usage","0Hn2X000000cXK7SAM","false","en_US","0052X00000AcWbVQAV","false","LS Skill","Deanna Marsh","Lightning Scheduler User","dmarsh@example.com","dmarsh.1ere9zerquct.bhprqj6pvxat@summer20-sd.sdo","0C52X000000TTTtSAO","0Hv2X000000YEdQSAW","2016-02-08T20:00:00.000Z","SRS-169","Turbine Advanced Usage",1
"false","0052X00000AcWbWQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyF/T",,"Saftey_Training","0Hn2X000000cXK2SAM","false","en_US","0052X00000AcWbWQAV","false","LS Skill","Andre McGee","Lightning Scheduler User","amcgee@example.com","amcgee.b4xfzyyrtwn9.dmtnly9igvot@summer20-sd.sdo","0C52X000000TTTrSAO","0Hv2X000000YEdRSAW","2016-02-08T20:00:00.000Z","SRS-170","Saftey Training",1
"false","0052X00000AcWbWQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyF/T",,"Turbine_Basic_Usage","0Hn2X000000cXK2SAM","false","en_US","0052X00000AcWbWQAV","false","LS Skill","Andre McGee","Lightning Scheduler User","amcgee@example.com","amcgee.b4xfzyyrtwn9.dmtnly9igvot@summer20-sd.sdo","0C52X000000TTTsSAO","0Hv2X000000YEdSSAW","2016-02-08T20:00:00.000Z","SRS-171","Turbine Basic Usage",1
"false","0052X00000AcWbWQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyF/T",,"Turbine_Advanced_Usage","0Hn2X000000cXK2SAM","false","en_US","0052X00000AcWbWQAV","false","LS Skill","Andre McGee","Lightning Scheduler User","amcgee@example.com","amcgee.b4xfzyyrtwn9.dmtnly9igvot@summer20-sd.sdo","0C52X000000TTTtSAO","0Hv2X000000YEdTSAW","2016-02-08T20:00:00.000Z","SRS-172","Turbine Advanced Usage",5
