"IsDeleted","Skill_Description","EffectiveEndDate","ServiceResource_User_Email","ServiceResource_IsCapacityBased","ServiceResourceId","ServiceResource_Description","ServiceResource_User_Username","Skill_MasterLabel","Skill_IsDeleted","ServiceResource_RelatedRecordId","ServiceResource_User_SmallPhotoUrl","Skill_DeveloperName","Skill_Language","ServiceResource_User_Name","ServiceResource_User_Id","SkillId","Id","EffectiveStartDate","SkillNumber","SkillLevel"
"false","LS Skill",,"pdas@example.com","false","0Hn2X000000cXK3SAM","Lightning Scheduler User","pdas.vyvb2u19jijy.lf8i59noeucl@summer20-sd.sdo","Electrical Failures","false","0052X00000AcWbUQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyD/T","Electrical_Failures","en_US","Prakash Das","0052X00000AcWbUQAV","0C52X000000TTTwSAO","0Hv2X000000YEdKSAW","2016-02-08 12:00:00","SRS-163",1
"false","LS Skill",,"pdas@example.com","false","0Hn2X000000cXK3SAM","Lightning Scheduler User","pdas.vyvb2u19jijy.lf8i59noeucl@summer20-sd.sdo","Hydraulic Failures","false","0052X00000AcWbUQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyD/T","Hydraulic_Failures","en_US","Prakash Das","0052X00000AcWbUQAV","0C52X000000TTTySAO","0Hv2X000000YEdLSAW","2016-02-08 12:00:00","SRS-164",1
"false","LS Skill",,"pdas@example.com","false","0Hn2X000000cXK3SAM","Lightning Scheduler User","pdas.vyvb2u19jijy.lf8i59noeucl@summer20-sd.sdo","Saftey Training","false","0052X00000AcWbUQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyD/T","Saftey_Training","en_US","Prakash Das","0052X00000AcWbUQAV","0C52X000000TTTrSAO","0Hv2X000000YEdMSAW","2016-02-08 12:00:00","SRS-165",1
"false","LS Skill",,"pdas@example.com","false","0Hn2X000000cXK3SAM","Lightning Scheduler User","pdas.vyvb2u19jijy.lf8i59noeucl@summer20-sd.sdo","Mechanical Failures","false","0052X00000AcWbUQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyD/T","Mechanical_Failures","en_US","Prakash Das","0052X00000AcWbUQAV","0C52X000000TTTxSAO","0Hv2X000000YEdNSAW","2016-02-08 12:00:00","SRS-166",1
"false","LS Skill",,"dmarsh@example.com","false","0Hn2X000000cXK7SAM","Lightning Scheduler User","dmarsh.1ere9zerquct.bhprqj6pvxat@summer20-sd.sdo","Saftey Training","false","0052X00000AcWbVQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyE/T","Saftey_Training","en_US","Deanna Marsh","0052X00000AcWbVQAV","0C52X000000TTTrSAO","0Hv2X000000YEdOSAW","2016-02-08 12:00:00","SRS-167",1
"false","LS Skill",,"dmarsh@example.com","false","0Hn2X000000cXK7SAM","Lightning Scheduler User","dmarsh.1ere9zerquct.bhprqj6pvxat@summer20-sd.sdo","Turbine Basic Usage","false","0052X00000AcWbVQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyE/T","Turbine_Basic_Usage","en_US","Deanna Marsh","0052X00000AcWbVQAV","0C52X000000TTTsSAO","0Hv2X000000YEdPSAW","2016-02-08 12:00:00","SRS-168",8
"false","LS Skill",,"dmarsh@example.com","false","0Hn2X000000cXK7SAM","Lightning Scheduler User","dmarsh.1ere9zerquct.bhprqj6pvxat@summer20-sd.sdo","Turbine Advanced Usage","false","0052X00000AcWbVQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyE/T","Turbine_Advanced_Usage","en_US","Deanna Marsh","0052X00000AcWbVQAV","0C52X000000TTTtSAO","0Hv2X000000YEdQSAW","2016-02-08 12:00:00","SRS-169",1
"false","LS Skill",,"amcgee@example.com","false","0Hn2X000000cXK2SAM","Lightning Scheduler User","amcgee.b4xfzyyrtwn9.dmtnly9igvot@summer20-sd.sdo","Saftey Training","false","0052X00000AcWbWQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyF/T","Saftey_Training","en_US","Andre McGee","0052X00000AcWbWQAV","0C52X000000TTTrSAO","0Hv2X000000YEdRSAW","2016-02-08 12:00:00","SRS-170",1
"false","LS Skill",,"amcgee@example.com","false","0Hn2X000000cXK2SAM","Lightning Scheduler User","amcgee.b4xfzyyrtwn9.dmtnly9igvot@summer20-sd.sdo","Turbine Basic Usage","false","0052X00000AcWbWQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyF/T","Turbine_Basic_Usage","en_US","Andre McGee","0052X00000AcWbWQAV","0C52X000000TTTsSAO","0Hv2X000000YEdSSAW","2016-02-08 12:00:00","SRS-171",1
"false","LS Skill",,"amcgee@example.com","false","0Hn2X000000cXK2SAM","Lightning Scheduler User","amcgee.b4xfzyyrtwn9.dmtnly9igvot@summer20-sd.sdo","Turbine Advanced Usage","false","0052X00000AcWbWQAV","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyF/T","Turbine_Advanced_Usage","en_US","Andre McGee","0052X00000AcWbWQAV","0C52X000000TTTtSAO","0Hv2X000000YEdTSAW","2016-02-08 12:00:00","SRS-172",5
