"ServiceResource.User.Id","PostalCode","OperatingHoursId","ServiceResource.User.Name","MemberNumber","ServiceTerritory.City","ServiceTerritoryId","OperatingHours.Id","ServiceTerritory.Country","OperatingHours.Name","EffectiveEndDate","ServiceTerritory.Name","ServiceResource.Id","ServiceResourceId","City","OperatingHours.TimeZone","ServiceTerritory.Id","TerritoryType","State","Country","ServiceResource.Description","ServiceResource.User.Email","ServiceResource.User.Username","Id","EffectiveStartDate","ServiceTerritory.State"
"0052X00000AcWbgQAF",,,"Zachary Garcia","STM-0029",,"0Hh2X000000cTyESAU",,,,,,"0Hn2X000000cXK9SAM","0Hn2X000000cXK9SAM",,,,"P",,,"Lightning Scheduler User","zgarcia@example.com","zgarcia.lhgs5u9z5xnu.1vywg6zgthmj@summer20-sd.sdo","0Hu2X000000cU5ZSAU","2016-02-08T20:00:00.000Z",
"0052X00000AcWbhQAF",,,"Keith Dorsey","STM-0030",,"0Hh2X000000cTyESAU",,,,,,"0Hn2X000000cXK8SAM","0Hn2X000000cXK8SAM",,,,"P",,,"Lightning Scheduler User","kdorsey@example.com","kdorsey.ugf7l3mfjncw.p5azhbmu3941@summer20-sd.sdo","0Hu2X000000cU5aSAE","2016-02-08T20:00:00.000Z",
"0052X00000AcWbVQAV",,,"Deanna Marsh","STM-0031",,"0Hh2X000000cTyESAU",,,,,,"0Hn2X000000cXK7SAM","0Hn2X000000cXK7SAM",,,,"P",,,"Lightning Scheduler User","dmarsh@example.com","dmarsh.1ere9zerquct.bhprqj6pvxat@summer20-sd.sdo","0Hu2X000000cU5bSAE","2016-02-08T20:00:00.000Z",
"0052X00000AcWbZQAV",,,"Lisa Hartman","STM-0032",,"0Hh2X000000cTyESAU",,,,,,"0Hn2X000000cXKASA2","0Hn2X000000cXKASA2",,,,"P",,,"Lightning Scheduler User","lhartman@example.com","lhartman.ulvyvnxhbvey.qh0ggpolb61b@summer20-sd.sdo","0Hu2X000000cU5cSAE","2016-02-08T20:00:00.000Z",
"0052X00000AcWbfQAF",,,"Anita Gonzalez","STM-0033",,"0Hh2X000000cTyCSAU",,,,,,"0Hn2X000000cXJwSAM","0Hn2X000000cXJwSAM",,,,"S",,,"Lightning Scheduler User","agonzale@example.com","agonzale.zysykqqnmut6.exiejicw5f23@summer20-sd.sdo","0Hu2X000000cU5dSAE","2016-12-11T13:41:00.000Z",
"0052X00000AcWbdQAF",,,"Carrie Olson","STM-0034",,"0Hh2X000000cTyCSAU",,,,,,"0Hn2X000000cXK1SAM","0Hn2X000000cXK1SAM",,,,"P",,,"Lightning Scheduler User","colson@example.com","colson.t3axcg3okv1m.wdgb9ewxbw1z@summer20-sd.sdo","0Hu2X000000cU5eSAE","2016-12-11T13:41:00.000Z",
"0052X00000AcWbUQAV",,,"Prakash Das","STM-0035",,"0Hh2X000000cTyCSAU",,,,,,"0Hn2X000000cXK3SAM","0Hn2X000000cXK3SAM",,,,"P",,,"Lightning Scheduler User","pdas@example.com","pdas.vyvb2u19jijy.lf8i59noeucl@summer20-sd.sdo","0Hu2X000000cU5fSAE","2016-12-11T13:41:00.000Z",
"0052X00000AcWbWQAV",,,"Andre McGee","STM-0036",,"0Hh2X000000cTyCSAU",,,,,,"0Hn2X000000cXK2SAM","0Hn2X000000cXK2SAM",,,,"P",,,"Lightning Scheduler User","amcgee@example.com","amcgee.b4xfzyyrtwn9.dmtnly9igvot@summer20-sd.sdo","0Hu2X000000cU5gSAE","2016-02-08T20:00:00.000Z",
"0052X00000AcWbXQAV",,,"Paula Wright","STM-0037",,"0Hh2X000000cTyDSAU",,,,,,"0Hn2X000000cXK4SAM","0Hn2X000000cXK4SAM",,,,"P",,,"Lightning Scheduler User","pwright@example.com","pwright.ppy5zy0iibnj.wppaetw6vxci@summer20-sd.sdo","0Hu2X000000cU5hSAE","2016-11-19T17:08:00.000Z",
"0052X00000AcWbYQAV",,,"Janet Martinez","STM-0038",,"0Hh2X000000cTyDSAU",,,,,,"0Hn2X000000cXK5SAM","0Hn2X000000cXK5SAM",,,,"P",,,"Lightning Scheduler User","jmartine@example.com","jmartine.b9vaob2ookfg.l7zo5ducu2zg@summer20-sd.sdo","0Hu2X000000cU5iSAE","2016-11-19T17:08:00.000Z",
"0052X00000AcWbiQAF",,,"James Harrington","STM-0039",,"0Hh2X000000cTyDSAU",,,,,,"0Hn2X000000cXK6SAM","0Hn2X000000cXK6SAM",,,,"P",,,"Lightning Scheduler User","jharring@example.com","jharring.cevzuyetmmr9.utw11fmbtbjl@summer20-sd.sdo","0Hu2X000000cU5jSAE","2016-11-19T17:08:00.000Z",
"0052X00000AcWbdQAF",,,"Carrie Olson","STM-0040",,"0Hh2X000000cTyDSAU",,,,,,"0Hn2X000000cXK1SAM","0Hn2X000000cXK1SAM",,,,"S",,,"Lightning Scheduler User","colson@example.com","colson.t3axcg3okv1m.wdgb9ewxbw1z@summer20-sd.sdo","0Hu2X000000cU5kSAE","2016-11-19T17:08:00.000Z",
"0052X00000AcWbaQAF",,,"Connie Ruiz","STM-0041",,"0Hh2X000000cTyASAU",,,,,,"0Hn2X000000cXK0SAM","0Hn2X000000cXK0SAM",,,,"P",,,"Lightning Scheduler User","cruiz@example.com","cruiz.mrsttdjzuwoc.5dlq8lhnoyu0@summer20-sd.sdo","0Hu2X000000cU5lSAE","2016-12-12T20:00:00.000Z",
"0052X00000AcWbbQAF",,,"Mark Mayo","STM-0042",,"0Hh2X000000cTyASAU",,,,,,"0Hn2X000000cXJxSAM","0Hn2X000000cXJxSAM",,,,"P",,,"Lightning Scheduler User","mmayo@example.com","mmayo.bmycdiailc3w.h0vrux3pkheg@summer20-sd.sdo","0Hu2X000000cU5mSAE","2016-11-19T16:44:00.000Z",
"0052X00000AcWbcQAF",,,"Tina Le","STM-0043",,"0Hh2X000000cTyASAU",,,,,,"0Hn2X000000cXJzSAM","0Hn2X000000cXJzSAM",,,,"P",,,"Lightning Scheduler User","tle@example.com","tle.pxe9qgogv94c.mymed20xebzu@summer20-sd.sdo","0Hu2X000000cU5nSAE","2016-11-19T16:44:00.000Z",
"0052X00000AcWbeQAF",,,"Russell Perez","STM-0044",,"0Hh2X000000cTyASAU",,,,,,"0Hn2X000000cXJySAM","0Hn2X000000cXJySAM",,,,"P",,,"Lightning Scheduler User","rperez@example.com","rperez.ecx2tvfxbg6k.mitonfrqyn54@summer20-sd.sdo","0Hu2X000000cU5oSAE","2016-11-19T16:44:00.000Z",
"0052X00000AcWbfQAF",,,"Anita Gonzalez","STM-0045",,"0Hh2X000000cTyASAU",,,,,,"0Hn2X000000cXJwSAM","0Hn2X000000cXJwSAM",,,,"P",,,"Lightning Scheduler User","agonzale@example.com","agonzale.zysykqqnmut6.exiejicw5f23@summer20-sd.sdo","0Hu2X000000cU5pSAE","2016-11-19T16:44:00.000Z",
"0052X00000AcWbLQAV",,,"Acme Dispatcher","STM-0024",,"0Hh2X000000cTyGSAU",,,,,,"0Hn2X000000cXJiSAM","0Hn2X000000cXJiSAM",,,,"S",,,"Field Service Lightning User","acme.dispatcher@example.com","adispatcher.xemwwl1fo7f6.9ryq6ewejtwx@summer20-sd.sdo","0Hu2X000000cU5qSAE","2016-12-11T13:41:00.000Z",
"0052X00000AcWbMQAV",,,"Xavier Acme","STM-0025",,"0Hh2X000000cTyGSAU",,,,,,"0Hn2X000000cXJXSA2","0Hn2X000000cXJXSA2",,,,"P",,,"Field Service Lightning User","xavier.acme@example.com","xacme.5bcjxzejn6jg.fnbfyu2cajac@summer20-sd.sdo","0Hu2X000000cU5rSAE","2016-12-11T13:41:00.000Z",
"0052X00000AcWbNQAV",,,"Yvette Acme","STM-0026",,"0Hh2X000000cTyGSAU",,,,,,"0Hn2X000000cXJYSA2","0Hn2X000000cXJYSA2",,,,"P",,,"Field Service Lightning User","yvette.acme@example.com","yacme.oze9gpstgais.q6hrsonkeajz@summer20-sd.sdo","0Hu2X000000cU5sSAE","2016-12-11T13:41:00.000Z",
"0052X00000AcWbOQAV",,,"Zach Acme","STM-0027",,"0Hh2X000000cTyGSAU",,,,,,"0Hn2X000000cXJZSA2","0Hn2X000000cXJZSA2",,,,"P",,,"Field Service Lightning User","zach.acme@example.com","zacme.sbcwndsyi8l0.4xsdxkrtomxb@summer20-sd.sdo","0Hu2X000000cU5tSAE","2016-12-11T13:41:00.000Z",
"0052X00000AcWf7QAF",,,"Alan Reed","STM-0001","San Francisco","0Hh2X000000cTy9SAE",,"United States",,,"Acme Partners Territory","0Hn2X000000cXJaSAM","0Hn2X000000cXJaSAM",,,"0Hh2X000000cTyGSAU","P",,,"Field Service Lightning User","sdhaese@salesforce.com","areed@summer20-sd.sdo","0Hu2X000000cU5uSAE","2016-11-19T16:44:00.000Z","CA"
"0052X00000AcWfCQAV",,,"Alexander Raneri","STM-0002","San Francisco","0Hh2X000000cTy9SAE",,"United States",,,"Acme Partners Territory","0Hn2X000000cXJbSAM","0Hn2X000000cXJbSAM",,,"0Hh2X000000cTyGSAU","P",,,"Field Service Lightning User","alexander@example.com","araneri.9kbstb8d1vbh.cgg2gn66guqs@summer20-sd.sdo","0Hu2X000000cU5vSAE","2016-11-19T16:44:00.000Z","CA"
"0052X00000AcWf9QAF",,,"Gloria Barnes","STM-0003","San Francisco","0Hh2X000000cTy9SAE",,"United States",,,"Acme Partners Territory","0Hn2X000000cXJcSAM","0Hn2X000000cXJcSAM",,,"0Hh2X000000cTyGSAU","P",,,"Field Service Lightning User","gloria@example.com","gbarnes.ia8mwmert8cl.zgovalc3bhpe@summer20-sd.sdo","0Hu2X000000cU5wSAE","2016-11-19T16:44:00.000Z","CA"
"0052X00000AcWfAQAV",,,"Harry Long","STM-0004","San Francisco","0Hh2X000000cTy9SAE",,"United States",,,"Acme Partners Territory","0Hn2X000000cXJdSAM","0Hn2X000000cXJdSAM",,,"0Hh2X000000cTyGSAU","P",,,"Field Service Lightning User","harry@example.com","hlong.hqfhv5v1y42y.b6k7b4zwic9w@summer20-sd.sdo","0Hu2X000000cU5xSAE","2016-11-19T16:44:00.000Z","CA"
"0052X00000AcWf8QAF",,,"Jane Austin","STM-0005","San Francisco","0Hh2X000000cTy9SAE",,"United States",,,"Acme Partners Territory","0Hn2X000000cXJeSAM","0Hn2X000000cXJeSAM",,,"0Hh2X000000cTyGSAU","P",,,"Field Service Lightning User","jane@example.com","jaustin.lmoenp9rdius.bdhhet6tx1sm@summer20-sd.sdo","0Hu2X000000cU5ySAE","2016-11-19T16:44:00.000Z","CA"
"0052X00000AcWf4QAF",,,"Janice Gonzales","STM-0006","San Francisco","0Hh2X000000cTy9SAE",,"United States",,,"Acme Partners Territory","0Hn2X000000cXJvSAM","0Hn2X000000cXJvSAM",,,"0Hh2X000000cTyGSAU","S",,,"Field Service Lightning User","janice@example.com","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","0Hu2X000000cU5zSAE","2016-11-19T16:44:00.000Z","CA"
"0052X00000AcWf5QAF",,,"Louise Martin","STM-0007","San Francisco","0Hh2X000000cTy9SAE",,"United States",,,"Acme Partners Territory","0Hn2X000000cXJfSAM","0Hn2X000000cXJfSAM",,,"0Hh2X000000cTyGSAU","P",,,"Field Service Lightning User","louise@example.com","lmartin.dbn8dlntwgyg.kdxjufnirunn@summer20-sd.sdo","0Hu2X000000cU60SAE","2016-11-19T16:44:00.000Z","CA"
"0052X00000AcWfBQAV",,,"Matthew Parker","STM-0008","San Francisco","0Hh2X000000cTy9SAE",,"United States",,,"Acme Partners Territory","0Hn2X000000cXJgSAM","0Hn2X000000cXJgSAM",,,"0Hh2X000000cTyGSAU","P",,,"Field Service Lightning User","matthew@example.com","mparker.9l8oeoib8xer.tp3gioocijgm@summer20-sd.sdo","0Hu2X000000cU61SAE","2016-11-19T16:44:00.000Z","CA"
"0052X00000AcWf6QAF",,,"Ralph Clark","STM-0009","San Francisco","0Hh2X000000cTy9SAE",,"United States",,,"Acme Partners Territory","0Hn2X000000cXJhSAM","0Hn2X000000cXJhSAM",,,"0Hh2X000000cTyGSAU","P",,,"Field Service Lightning User","ralph@example.com","rclark.wb8wmuppcmjy.4g8fglbhrqpy@summer20-sd.sdo","0Hu2X000000cU62SAE","2016-11-19T16:44:00.000Z","CA"
"0052X00000AcWfDQAV",,,"Andy James","STM-0011",,"0Hh2X000000cTyBSAU",,,,,,"0Hn2X000000cXJjSAM","0Hn2X000000cXJjSAM",,,,"P",,,"Field Service Lightning User","andy@example.com","ajames.ric4supwvrzg.xvpkustsnfzu@summer20-sd.sdo","0Hu2X000000cU63SAE","2016-11-19T17:08:00.000Z",
"0052X00000AcWfEQAV",,,"James Clifton","STM-0012",,"0Hh2X000000cTyBSAU",,,,,,"0Hn2X000000cXJkSAM","0Hn2X000000cXJkSAM",,,,"P",,,"Field Service Lightning User","james@example.com","james.clifton.rn02fiqpyqkf.yoa7vwhqfhdh@summer20-sd.sdo","0Hu2X000000cU64SAE","2016-11-19T17:08:00.000Z",
"0052X00000AcWfFQAV",,,"Janet Jones","STM-0013",,"0Hh2X000000cTyBSAU",,,,,,"0Hn2X000000cXJlSAM","0Hn2X000000cXJlSAM",,,,"P",,,"Field Service Lightning User","janet@example.com","jjones.bguc2dzrc4jf.jgzmrjxztvcu@summer20-sd.sdo","0Hu2X000000cU65SAE","2016-11-19T17:08:00.000Z",
"0052X00000AcWfGQAV",,,"Jim Matthews","STM-0014",,"0Hh2X000000cTyBSAU",,,,,,"0Hn2X000000cXJmSAM","0Hn2X000000cXJmSAM",,,,"P",,,"Field Service Lightning User","jim@example.com","jmatthews.w5pyuqsbozvs.a61r6sbxxtgg@summer20-sd.sdo","0Hu2X000000cU66SAE","2016-11-19T17:08:00.000Z",
"0052X00000AcWfIQAV",,,"Lamar Smith","STM-0015",,"0Hh2X000000cTyBSAU",,,,,,"0Hn2X000000cXJnSAM","0Hn2X000000cXJnSAM",,,,"P",,,"Field Service Lightning User","calbanese@example.com","lsmith.x5fzy5qfinkn.qwfn1agwfk37@summer20-sd.sdo","0Hu2X000000cU67SAE","2016-11-19T17:08:00.000Z",
"0052X00000AcWfNQAV",,,"Martino Castanon","STM-0016",,"0Hh2X000000cTyBSAU",,,,,,"0Hn2X000000cXJoSAM","0Hn2X000000cXJoSAM",,,,"P",,,"Field Service Lightning User","martino@example.com","mcastanon.esazdwfzrwqk.dbihbcnaeeqk@summer20-sd.sdo","0Hu2X000000cU68SAE","2016-11-19T17:08:00.000Z",
"0052X00000AcWfJQAV",,,"Mary Adams","STM-0017",,"0Hh2X000000cTyBSAU",,,,,,"0Hn2X000000cXJpSAM","0Hn2X000000cXJpSAM",,,,"P",,,"Field Service Lightning User","mary@example.com","madams.ud4zdgivzlsz.ycfb3qhpksa3@summer20-sd.sdo","0Hu2X000000cU69SAE","2016-11-19T17:08:00.000Z",
"0052X00000AcWfKQAV",,,"Melissa Wood","STM-0018",,"0Hh2X000000cTyBSAU",,,,,,"0Hn2X000000cXJqSAM","0Hn2X000000cXJqSAM",,,,"P",,,"Field Service Lightning User","melissa@example.com","mwood.fnyz6gf3zfmp.dwllsqauhrix@summer20-sd.sdo","0Hu2X000000cU6ASAU","2016-11-19T17:08:00.000Z",
"0052X00000AcWfLQAV",,,"Pam Lawison","STM-0019",,"0Hh2X000000cTyBSAU",,,,,,"0Hn2X000000cXJrSAM","0Hn2X000000cXJrSAM",,,,"P",,,"Field Service Lightning User","pam@example.com","plawison.0nwem4skv0nl.3k0ck5fkxkzl@summer20-sd.sdo","0Hu2X000000cU6BSAU","2016-11-19T17:08:00.000Z",
"0052X00000AcWfMQAV",,,"Paul Morrison","STM-0020",,"0Hh2X000000cTyBSAU",,,,,,"0Hn2X000000cXJsSAM","0Hn2X000000cXJsSAM",,,,"P",,,"Field Service Lightning User","paul@example.com","pmorrison.uktxnke4gyfy.ffg7sh3fmbtl@summer20-sd.sdo","0Hu2X000000cU6CSAU","2016-11-19T17:08:00.000Z",
"0052X00000AcWbLQAV","94080",,"Acme Dispatcher","STM-0022","San Francisco","0Hh2X000000cTy9SAE",,"United States",,,"Acme Partners Territory","0Hn2X000000cXJiSAM","0Hn2X000000cXJiSAM","San Francisco",,"0Hh2X000000cTyGSAU","P","CA","USA","Field Service Lightning User","acme.dispatcher@example.com","adispatcher.xemwwl1fo7f6.9ryq6ewejtwx@summer20-sd.sdo","0Hu2X000000cU6DSAU","2016-12-11T13:41:00.000Z","CA"
"0052X00000AcWf4QAF",,,"Janice Gonzales","STM-0023",,"0Hh2X000000cTyBSAU",,,,"2017-03-11T07:59:00.000Z",,"0Hn2X000000cXJvSAM","0Hn2X000000cXJvSAM",,,,"R",,,"Field Service Lightning User","janice@example.com","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","0Hu2X000000cU6ESAU","2017-03-08T08:00:00.000Z",
,,,,"STM-0047",,"0Hh2X000000cTyASAU",,,,,,"0Hn2X000000cXKGSA2","0Hn2X000000cXKGSA2",,,,"P",,,"Safety Simulator 1kW for the 1kW Turbine",,,"0Hu2X000000cU6FSAU","2020-01-01T20:00:00.000Z",
