"Article.ArticleVersion.IsVisibleInApp","Article.ArticleVersion.DataCategory.DataCategoryGroupName","Case.Type","Case.Type_of_Support__c","IsSharedByEmail","ArticleVersionNumber","Case.Reason","Article.ArticleVersion.Title","CreatedById","Article.ArticleVersion.PublishStatus","Article.User.Name","KnowledgeArticleId","Article.ArticleVersion.IsVisibleInPrm","Article.CreatedById","Article.ArticleVersion.IsVisibleInPkb","Case.Status","User.Name","Article.ArticleVersion.VersionNumber","Article.ArticleVersion.IsVisibleInCsp","CaseId","User.Id","Case.Product_Family_KB__c","Article.ArticleVersion.DataCategory.DataCategoryName","isAttachedByOwner","CreatedDate","Id","Case.ED_Outcome__c"
,,"Product Support","Silver","false","1.0","Item Damaged",,"005B0000003JLI3IAO",,,"a4CB00000000ElvMAE",,"005B0000003JK1iIAG",,"Closed","Susan Pena",,,"500B0000002uCQ8IAM","005B0000003JLI3IAO","Video Games",,"false","2020-03-06T18:23:53.000Z","a4HB000000004elMAA",68.3
,,"Product Support","Basic","true","1.0","Hardware Question",,"005B0000003JLIHIA4",,,"a4CB00000000ElwMAE",,"005B0000003JK1iIAG",,"Closed","Katie Adams",,,"500B00000033710IAA","005B0000003JLIHIA4","Home Audio",,"false","2020-01-09T17:57:15.000Z","a4HB000000004emMAA",81.6
,,"Product Support","Free","true","1.0","Hardware Question",,"005B0000003JLI7IAO",,,"a4CB00000000ElxMAE",,"005B0000003JK1iIAG",,"Closed","Jane Nelson",,,"500B00000045wVKIAY","005B0000003JLI7IAO","Tablets",,"false","2020-02-11T22:09:10.000Z","a4HB000000004enMAA",51.6
,,"Product Support","Silver","true","1.0","Item Damaged",,"005B0000003JLIHIA4",,,"a4CB00000000ElyMAE",,"005B0000003JK1iIAG",,"Closed","Katie Adams",,,"500B000000355j7IAA","005B0000003JLIHIA4","Video Games",,"false","2020-02-03T22:53:02.000Z","a4HB000000004eoMAA",68.6
,,"Product Support","Free","false","1.0","Hardware Question",,"005B0000003JLI5IAO",,,"a4CB00000000ElzMAE",,"005B0000003JK1iIAG",,"Closed","Crystal Rodriguez",,,"500B00000033712IAA","005B0000003JLI5IAO","Cables",,"false","2020-02-17T00:01:16.000Z","a4HB000000004epMAA",67.1
"true",,"Product Support","Free","true","1.0","Late Delivery","Kids","005B0000003JLI5IAO","Online",,"a4CB00000000Em0MAE","true","005B0000003JK1iIAG","true","Waiting on Customer","Crystal Rodriguez","1.0","true","500B000000355j9IAA","005B0000003JLI5IAO","Cameras",,"false","2020-02-19T16:22:07.000Z","a4HB000000004eqMAA",51.6
"true",,"Product Support","Basic","true","1.0","Late Delivery","Beauty","005B0000003JLI7IAO","Online",,"a4CB00000000Em1MAE","true","005B0000003JK1iIAG","true","Closed","Jane Nelson","1.0","true","500B00000045wVOIAY","005B0000003JLI7IAO","DVD Players",,"false","2020-02-08T20:34:49.000Z","a4HB000000004erMAA",81.6
,,"Product Support","Silver","false","1.0","Item Damaged",,"005B0000003JLI9IAO",,,"a4CB00000000Em2MAE",,"005B0000003JK1iIAG",,"Closed","Matthew Wong",,,"500B00000045wVPIAY","005B0000003JLI9IAO","Headphones",,"false","2020-01-12T19:36:03.000Z","a4HB000000004esMAA",51.6
,,"Product Support","Free","true","1.0","Late Delivery",,"005B0000003JLIBIA4",,,"a4CB00000000Em3MAE",,"005B0000003JK1iIAG",,"Closed","Katie Cole",,,"500B0000002uCQKIA2","005B0000003JLIBIA4","Tablets",,"false","2020-02-12T16:19:02.000Z","a4HB000000004etMAA",81.6
"true",,"Product Support","Free","true","1.0","Late Delivery","Computers","005B0000003JLI6IAO","Online",,"a4CB00000000Em4MAE","true","005B0000003JK1iIAG","true","Closed","William Edwards","1.0","true","500B00000045wVQIAY","005B0000003JLI6IAO","TVs",,"false","2020-01-27T21:25:45.000Z","a4HB000000004euMAA",51.6
"true",,"Product Support","Free","false","1.0","Hardware Question","Health","005B0000003JLI9IAO","Online",,"a4CB00000000Em5MAE","true","005B0000003JK1iIAG","true","Closed in Community","Matthew Wong","1.0","true","500B0000002uCQNIA2","005B0000003JLI9IAO","Cameras",,"false","2020-01-10T18:52:34.000Z","a4HB000000004evMAA",81.6
,,"Product Support","Silver","false","1.0","Item Damaged",,"005B0000003JLIHIA4",,,"a4CB00000000Em6MAE",,"005B0000003JK1iIAG",,"Closed","Katie Adams",,,"500B000000355jJIAQ","005B0000003JLIHIA4","Video Games",,"false","2020-02-13T16:04:41.000Z","a4HB000000004ewMAA",68.4
"true",,"Product Support","Free","true","1.0","Late Delivery","Beauty","005B0000003JLIEIA4","Online",,"a4CB00000000Em7MAE","true","005B0000003JK1iIAG","true","Closed","Melody Moore","1.0","true","500B00000045wVUIAY","005B0000003JLIEIA4","Cables",,"false","2020-01-29T22:58:32.000Z","a4HB000000004exMAA",51.6
,,"Product Support","Platinum","false","1.0","Hardware Question",,"005B0000003JLI4IAO",,,"a4CB00000000Em8MAE",,"005B0000003JK1iIAG",,"Closed","Zachary Fisher",,,"500B000000355jLIAQ","005B0000003JLI4IAO","Cell Phones",,"false","2020-01-14T16:36:54.000Z","a4HB000000004eyMAA",81.6
"true",,"Product Support","Basic","true","1.0","Late Delivery","Industrial","005B0000003JLIEIA4","Online",,"a4CB00000000Em9MAE","true","005B0000003JK1iIAG","true","Closed","Melody Moore","1.0","true","500B000000358TNIAY","005B0000003JLIEIA4","DVD Players",,"false","2020-01-12T16:54:32.000Z","a4HB000000004ezMAA",81.6
,,"Product Support","Basic","false","1.0","Item Damaged",,"005B0000003JLIDIA4",,,"a4CB00000000EmAMAU",,"005B0000003JK1iIAG",,"Closed","Tammy Foley",,,"500B0000002uCQiIAM","005B0000003JLIDIA4","DVD Players",,"false","2020-02-27T17:43:55.000Z","a4HB000000004f0MAA",81.6
,,"Product Support","Basic","true","1.0","Late Delivery",,"005B0000003JLIDIA4",,,"a4CB00000000EmBMAU",,"005B0000003JK1iIAG",,"Closed","Tammy Foley",,,"500B00000045wVeIAI","005B0000003JLIDIA4","Home Audio",,"false","2020-01-20T18:17:50.000Z","a4HB000000004f1MAA",51.6
,,"Product Support","Basic","true","1.0","Item Damaged",,"005B0000003JLI4IAO",,,"a4CB00000000EmCMAU",,"005B0000003JK1iIAG",,"Closed","Zachary Fisher",,,"500B000000358TVIAY","005B0000003JLI4IAO","Home Audio",,"false","2020-02-04T18:46:05.000Z","a4HB000000004f2MAA",81.6
"true",,"Product Support","Free","true","1.0","Item Damaged","Grocery","005B0000003JLI8IAO","Online",,"a4CB00000000EmDMAU","true","005B0000003JK1iIAG","true","Closed","Nathaniel Castillo","1.0","true","500B0000003371OIAQ","005B0000003JLI8IAO","TVs",,"false","2020-02-19T19:50:33.000Z","a4HB000000004f3MAA",51.6
"true",,"Product Support","Platinum","false","1.0","Late Delivery","Games","005B0000003JLI7IAO","Online",,"a4CB00000000EmEMAU","true","005B0000003JK1iIAG","true","Closed","Jane Nelson","1.0","true","500B00000045wVqIAI","005B0000003JLI7IAO","Cameras",,"false","2020-01-23T18:47:35.000Z","a4HB000000004f4MAA",51.6
,,"Product Support","Basic","true","1.0","Item Damaged",,"005B0000003JLICIA4",,,"a4CB00000000EmFMAU",,"005B0000003JK1iIAG",,"Closed","Jennifer Barton",,,"500B000000358TcIAI","005B0000003JLICIA4","Computers",,"false","2020-01-15T22:24:56.000Z","a4HB000000004f5MAA",51.6
"true",,"Product Support","Basic","true","1.0","Item Damaged","Grocery","005B0000003JLICIA4","Online",,"a4CB00000000EmGMAU","true","005B0000003JK1iIAG","true","Closed","Jennifer Barton","1.0","true","500B00000045wVtIAI","005B0000003JLICIA4","DVD Players",,"false","2020-01-20T23:33:15.000Z","a4HB000000004f6MAA",81.6
,,"Product Support","Basic","true","1.0","Hardware Question",,"005B0000003JLIHIA4",,,"a4CB00000000EmHMAU",,"005B0000003JK1iIAG",,"Closed","Katie Adams",,,"500B00000045wVuIAI","005B0000003JLIHIA4","DVD Players",,"false","2020-02-29T16:22:02.000Z","a4HB000000004f7MAA",81.6
"true",,"Product Support","Basic","false","1.0","Late Delivery","Music","005B0000003JLI9IAO","Online",,"a4CB00000000EmIMAU","true","005B0000003JK1iIAG","true","Working","Matthew Wong","1.0","true","500B00000045wVyIAI","005B0000003JLI9IAO","Cables",,"false","2020-02-10T18:51:43.000Z","a4HB000000004f8MAA",81.6
"true",,"Product Support","Basic","false","1.0","Hardware Question","Baby","005B0000003JLIIIA4","Online",,"a4CB00000000EmJMAU","true","005B0000003JK1iIAG","true","Closed","Marissa White","1.0","true","500B00000045wW1IAI","005B0000003JLIIIA4","Computers",,"false","2020-02-23T00:37:45.000Z","a4HB000000004f9MAA",51.6
"true",,"Product Support","Free","true","1.0","Late Delivery","Automotive","005B0000003JLICIA4","Online",,"a4CB00000000EmKMAU","true","005B0000003JK1iIAG","true","Closed","Jennifer Barton","1.0","true","500B000000355jlIAA","005B0000003JLICIA4","Home Audio",,"false","2020-02-15T21:25:56.000Z","a4HB000000004fAMAQ",51.6
,,"Product Support","Free","true","1.0","Hardware Question",,"005B0000003JLI5IAO",,,"a4CB00000000EmLMAU",,"005B0000003JK1iIAG",,"Closed","Crystal Rodriguez",,,"500B00000045wW2IAI","005B0000003JLI5IAO","Tablets",,"false","2020-03-02T22:36:36.000Z","a4HB000000004fBMAQ",51.6
