"ProcessName","AccountId","InteractionId","InteractionDate","CustomerInteractionId","InteractionTopic","LastProcessedDate","CaseId","OrderNumber","SubscriptionName","OrderId","AccountStatus","OrderStatus","SubscriptionId","SubscriptionStatus","Outcome","CaseStatus","CaseNumber","CaseReason","DurationInMinute"
"Join","0014x00000Abb2qAAB","a1R4x000000AFjZEAW","2021-03-03","a1S4x000000AeO1EAK","a1R4x000000AFjZ","2021-07-12",,"00000805",,"8014x000001KaQbAAK","Active","Activated",,,"Successful",,,,189871
"Join","0014x00000Abb2rAAB","a1R4x000000AFjaEAG","2021-03-03","a1S4x000000AeO3EAK","a1R4x000000AFja","2021-07-12",,"00000810",,"8014x000001KaQdAAK","Active","Activated",,,"Successful",,,,189861
"Join","0014x00000Abb2sAAB","a1R4x000000AFjbEAG","2021-03-03","a1S4x000000AeO5EAK","a1R4x000000AFjb","2021-07-12",,"00000811",,"8014x000001KaQeAAK","Active","Activated",,,"Successful",,,,189826
"Cash top up","0014x00000Abb2qAAB","a1R4x000000AFjcEAG","2021-03-03","a1S4x000000AeO6EAK","a1R4x000000AFjc","2021-07-12",,,"John Baker",,"Active",,"3040394276","Active","Successful",,,,6
"Buy add-ons","0014x00000Abb2qAAB","a1R4x000000AFjdEAG","2021-03-03","a1S4x000000AeO6EAK","a1R4x000000AFjd","2021-07-12",,"00000815","John Baker","8014x000001KaQfAAK","Active","Activated","3040394276","Active","Successful",,,,6
"Buy add-ons","0014x00000Abb2qAAB","a1R4x000000AFjeEAG","2021-03-03","a1S4x000000AeO6EAK","a1R4x000000AFje","2021-07-12",,,"John Baker",,"Active",,"3040394276","Active","Canceled",,,,6
"Cash top up","0014x00000Abb2rAAB","a1R4x000000AFjfEAG","2021-03-03","a1S4x000000AeO7EAK","a1R4x000000AFjf","2021-07-12",,,"Julie Parker",,"Active",,"3031264735","Active","Successful",,,,32
"Buy add-ons","0014x00000Abb2rAAB","a1R4x000000AFjgEAG","2021-03-03","a1S4x000000AeO7EAK","a1R4x000000AFjg","2021-07-12",,"00000817","Julie Parker","8014x000001KaQgAAK","Active","Activated","3031264735","Active","Successful",,,,32
"Cash top up","0014x00000Abb2rAAB","a1R4x000000AFjhEAG","2021-03-03","a1S4x000000AeO7EAK","a1R4x000000AFjh","2021-07-12",,,"Julie Parker",,"Active",,"3031264735","Active","Successful",,,,32
"Voucher top up","0014x00000Abb2rAAB","a1R4x000000AFjiEAG","2021-03-03","a1S4x000000AeO7EAK","a1R4x000000AFji","2021-07-12",,,"Julie Parker",,"Active",,"3031264735","Active","Successful",,,,32
"Manage Features","0014x00000Abb2rAAB","a1R4x000000AFjjEAG","2021-03-03","a1S4x000000AeO7EAK","a1R4x000000AFjj","2021-07-12",,"00000818","Julie Parker","8014x000001KaQhAAK","Active","Activated","3031264735","Active","Successful",,,,32
"Request SIM Unlock Code","0014x00000Abb2rAAB","a1R4x000000AFjkEAG","2021-03-03","a1S4x000000AeO7EAK","a1R4x000000AFjk","2021-07-12",,,"Julie Parker",,"Active",,"3030196666","Active","Successful",,,,32
"Cash top up","0014x00000Abb2sAAB","a1R4x000000AFjlEAG","2021-03-03","a1S4x000000AeO9EAK","a1R4x000000AFjl","2021-07-12",,,"Marie Watson",,"Active",,"3031269405","Active","Successful",,,,41
"Manage lost SIM or device - Suspend SIM","0014x00000Abb2sAAB","a1R4x000000AFjmEAG","2021-03-03","a1S4x000000AeO9EAK","a1R4x000000AFjm","2021-07-12",,"00000819","Marie Watson","8014x000001KaQiAAK","Active","Activated","3031269405","Active","Successful",,,,41
