"DataThresholdFlag","Subscription_vlocity_cmt_AccountId__c","Subscription_vlocity_cmt_ServiceAccountId__c","Subscription_Account_vlocity_cmt_Status__c","VoiceThresholdFlag","Subscription_vlocity_cmt_SuspendDate__c","Subscription_CreatedDate","Subscription_vlocity_cmt_SubscriptionNumber__c","Subscription_IsDeleted","SMSThresholdFlag","Subscription_Account_vlocity_cmt_CustomerSinceDate__c","Subscription_Account_Name","Subscription_Account_vlocity_cmt_Active__c","Subscription_vlocity_cmt_EndDate__c","Subscription_vlocity_cmt_Status__c","ActivityDate","LastProcessedDate","Subscription_vlocity_cmt_ServiceIdentifier__c","SubscriptionID","Subscription_Name","Subscription_vlocity_cmt_StartDate__c","Subscription_Id","Subscription_vlocity_cmt_ServiceContactId__c","Subscription_Account_MonthsSinceCustomer","Subscription_DaysSinceSubscription","Subscription_Account_vlocity_cmt_CLTV__c","TopupAmount","VoiceUsageInMinutes","SMSUsage","DataUsageInGB","Subscription_Account_DaysSinceCustomer","Subscription_vlocity_cmt_OldMSISDN__c"
"n","0014x00000Abb2qAAB","0014x00000Abb2qAAB","Active","n",,"2021-03-10","Sub-5082ddf7-f359-7d9c-b2a5-bb058c689eac","false","n","2020-02-20","John Baker","Yes",,"Active","2021-01-17","2021-07-12","3040394276","a4a4x000000ULTAAA4","John Baker",,"a4a4x000000ULTAAA4",,17,126,250,15,7,3,0.5,510,
"n","0014x00000Abb2qAAB","0014x00000Abb2qAAB","Active","n",,"2021-03-10","Sub-5082ddf7-f359-7d9c-b2a5-bb058c689eac","false","n","2020-02-20","John Baker","Yes",,"Active","2021-02-05","2021-07-12","3040394276","a4a4x000000ULTAAA4","John Baker",,"a4a4x000000ULTAAA4",,17,126,250,10,7,2,0.3,510,
"n","0014x00000Abb2qAAB","0014x00000Abb2qAAB","Active","n",,"2021-03-10","Sub-5082ddf7-f359-7d9c-b2a5-bb058c689eac","false","n","2020-02-20","John Baker","Yes",,"Active","2021-02-27","2021-07-12","3040394276","a4a4x000000ULTAAA4","John Baker",,"a4a4x000000ULTAAA4",,17,126,250,10,9,2,0.3,510,
"n","0014x00000Abb2qAAB","0014x00000Abb2qAAB","Active","n",,"2021-03-10","Sub-5082ddf7-f359-7d9c-b2a5-bb058c689eac","false","n","2020-02-20","John Baker","Yes",,"Active","2021-03-22","2021-07-12","3040394276","a4a4x000000ULTAAA4","John Baker",,"a4a4x000000ULTAAA4",,17,126,250,10,9,2,0.4,510,
"n","0014x00000Abb2qAAB","0014x00000Abb2qAAB","Active","n",,"2021-03-10","Sub-5082ddf7-f359-7d9c-b2a5-bb058c689eac","false","n","2020-02-20","John Baker","Yes",,"Active","2021-04-09","2021-07-12","3040394276","a4a4x000000ULTAAA4","John Baker",,"a4a4x000000ULTAAA4",,17,126,250,15,8,2,0.2,510,
"n","0014x00000Abb2qAAB","0014x00000Abb2qAAB","Active","n",,"2021-03-10","Sub-5082ddf7-f359-7d9c-b2a5-bb058c689eac","false","n","2020-02-20","John Baker","Yes",,"Active","2021-05-13","2021-07-12","3040394276","a4a4x000000ULTAAA4","John Baker",,"a4a4x000000ULTAAA4",,17,126,250,10,8,2,0.1,510,
"n","0014x00000Abb2qAAB","0014x00000Abb2qAAB","Active","n",,"2021-03-10","Sub-5082ddf7-f359-7d9c-b2a5-bb058c689eac","false","n","2020-02-20","John Baker","Yes",,"Active","2021-06-04","2021-07-12","3040394276","a4a4x000000ULTAAA4","John Baker",,"a4a4x000000ULTAAA4",,17,126,250,10,8,2,0.7,510,
"n","0014x00000Abb2qAAB","0014x00000Abb2qAAB","Active","n",,"2021-03-10","Sub-5082ddf7-f359-7d9c-b2a5-bb058c689eac","false","n","2020-02-20","John Baker","Yes",,"Active","2021-06-17","2021-07-12","3040394276","a4a4x000000ULTAAA4","John Baker",,"a4a4x000000ULTAAA4",,17,126,250,10,8,2,0.7,510,
"n","0014x00000Abb2qAAB","0014x00000Abb2qAAB","Active","n",,"2021-03-10","Sub-5082ddf7-f359-7d9c-b2a5-bb058c689eac","false","n","2020-02-20","John Baker","Yes",,"Active","2021-07-02","2021-07-12","3040394276","a4a4x000000ULTAAA4","John Baker",,"a4a4x000000ULTAAA4",,17,126,250,20,7,3,0.4,510,
"n","0014x00000Abb2rAAB","0014x00000Abb2rAAB","Active","n",,"2021-03-10","Sub-c698bfb0-cda0-ab9d-70ac-ab07df078759","false","n","2020-01-03","Julie Parker","Yes",,"Active","2021-02-20","2021-07-12","3031264735","a4a4x000000ULTBAA4","Julie Parker",,"a4a4x000000ULTBAA4",,18,126,3200,0,40,3,0.8,558,
"n","0014x00000Abb2rAAB","0014x00000Abb2rAAB","Active","n",,"2021-03-10","Sub-3e699263-d093-9606-d23d-5268cd75c8b5","false","n","2020-01-03","Julie Parker","Yes",,"Active","2021-01-20","2021-07-12","3030196666","a4a4x000000ULTCAA4","Julie Parker",,"a4a4x000000ULTCAA4",,18,126,3200,5,15,1,0.2,558,
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-d3ef59b1-76c3-4880-d5ea-e4f9f55ffb27","false","n","2016-08-12","Marie Watson","Yes",,"Inactive","2021-01-20","2021-07-12","3030214444","a4a4x000000ULTDAA4","Marie Watson",,"a4a4x000000ULTDAA4",,59,126,4200,0,15,1,2,1797,3035552555
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-d3ef59b1-76c3-4880-d5ea-e4f9f55ffb27","false","n","2016-08-12","Marie Watson","Yes",,"Inactive","2021-02-03","2021-07-12","3030214444","a4a4x000000ULTDAA4","Marie Watson",,"a4a4x000000ULTDAA4",,59,126,4200,10,15,1,1.5,1797,3035552555
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-d3ef59b1-76c3-4880-d5ea-e4f9f55ffb27","false","n","2016-08-12","Marie Watson","Yes",,"Inactive","2021-03-02","2021-07-12","3030214444","a4a4x000000ULTDAA4","Marie Watson",,"a4a4x000000ULTDAA4",,59,126,4200,30,13,0,1.1,1797,3035552555
