"AccountId","Description","PrimaryContactId","RetailStoreGroup_Description","Account_Type","Account_Parent_Account_NamesPath","RetailStoreGroup_Name","Account_Phone","PrimaryContact_Description","Name","Location_Address_City","StoreType","Location_Address_Country","OwnerId","RetailStoreGroup_Id","RetailLocationGroupId","Account_Name","PrimaryContact_Name","Location_Name","DeliveryMethod","PrimaryContact_Email","Location_Address_PostalCode","Priority","LocationId","LastProcessedDate","Location_Address_State","PrimaryContact_MobilePhone","PrimaryContact_Department","Account_Parent_Account_Names","RetailStoreGroupName_Custom","Location_Address_Name","Product_Id_with_Name","Account_Industry","CreatedDate","Dummy_Key","Id","PrimaryContact_Phone","Account_AccountSource","Promotion_Id","Account_AnnualRevenue","DeliveryFrequency","Location_LocationLevel"
"001B000001LahY9IAJ",,,,,"Northern Trail Outfitters",,,,"Nutrition Stop - Elkhorn","Sioux Falls",,"Minnehaha","005B0000007DFG6IAO",,,"Northern Trail Outfitters",,"Dmart Location 2",,,"57105",,"131B00000000uJ3IAI","2021-01-26","SD",,,"Northern Trail Outfitters","NA","A00000009","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Manufacturing","2021-04-21","NA","0YQB00000004E0hOAE",,,"0c8B00000004De3IAE",0,0,1
"001B000001LahY9IAJ",,,"Description of Dmart Location Group 3",,"Northern Trail Outfitters","Northeast",,,"NTO Store- San Francisco","Kulpsville",,"Montgomery","005B0000007DFG6IAO","0Y2B00000004DVwKAM","0Y2B00000004DVwKAM","Northern Trail Outfitters",,"Dmart Location 4",,,"19443",,"131B00000000uJ4IAI","2021-01-26","PA",,,"Northern Trail Outfitters","Northeast","A00000011","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Manufacturing","2021-04-21","NA","0YQB00000004E0iOAE",,,"0c8B00000004De3IAE",0,0,1
"001B000001LahYFIAZ",,,"Description of Dmart Location Group 3",,"Alpine Nutrition/Northern Trail Outfitters","Northeast",,,"Nutrition Stop - San Francisco","New Orleans",,"Orleans","005B0000007DFG6IAO","0Y2B00000004DVwKAM","0Y2B00000004DVwKAM","Alpine Nutrition",,"Dmart Location 1",,,"70116",,"131B00000000uJ5IAI","2021-01-26","LA",,,"Alpine Nutrition","Northeast","A00000001","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Transportation","2021-04-21","NA","0YQB00000004E0jOAE",,,"0c8B00000004De3IAE",0,0,1
"001B000001LahYFIAZ",,,,,"Alpine Nutrition/Northern Trail Outfitters",,,,"Alpine Nutrition - Brooklyn","Kulpsville",,"Montgomery","005B0000007DFG6IAO",,,"Alpine Nutrition",,"Dmart Location 4",,,"19443",,"131B00000000uJ4IAI","2021-01-26","PA",,,"Alpine Nutrition","NA","A00000011","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Transportation","2021-04-21","NA","0YQB00000004E0kOAE",,,"0c8B00000004De3IAE",0,0,1
"001B000001LahY9IAJ",,,,,"Northern Trail Outfitters",,,,"Nutrition Stop - Austin","Sioux Falls",,"Minnehaha","005B0000007DFG6IAO",,,"Northern Trail Outfitters",,"Dmart Location 2",,,"57105",,"131B00000000uJ3IAI","2021-01-26","SD",,,"Northern Trail Outfitters","NA","A00000009","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Manufacturing","2021-04-21","NA","0YQB00000004E0lOAE",,,"0c8B00000004De3IAE",0,0,1
"001B000001LahY9IAJ",,,,,"Northern Trail Outfitters",,,,"NTO Store - Chelsea","Rockford",,"Winnebago","005B0000007DFG6IAO",,,"Northern Trail Outfitters",,"Dmart Location 13",,,"61109",,"131B00000000uJ6IAI","2021-01-26","IL",,,"Northern Trail Outfitters","NA","A00000020","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Manufacturing","2021-04-21","NA","0YQB00000004E0mOAE",,,"0c8B00000004De3IAE",0,0,1
"001B000001LahYFIAZ",,"003B000000HndBrIAJ","Description of Dmart Location Group 3",,"Alpine Nutrition/Northern Trail Outfitters","Northeast",,,"Alpine Nutrition - Austin","Milwaukee","Regular","Milwaukee","005B0000007GkqyIAC","0Y2B00000004DVwKAM","0Y2B00000004DVwKAM","Alpine Nutrition","Art Venere","Dmart Location 11","Truck","art@venere.org","53207","Medium","131B00000000uJEIAY","2021-01-26","WI",,,"Alpine Nutrition","Northeast","A00000018","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Transportation","2021-04-21","NA","0YQB00000004E0nOAE","856-636-8749",,"0c8B00000004De3IAE",0,10,1
"001B000001LahY9IAJ",,"003B000000HndBjIAJ","Description of Dmart Location Group 3",,"Northern Trail Outfitters","Northeast",,,"Fare Merchants - Brooklyn","New Orleans","Regular","Orleans","005B0000007GkqyIAC","0Y2B00000004DVwKAM","0Y2B00000004DVwKAM","Northern Trail Outfitters","Edward Stamos","Dmart Location 1","Van","info@salesforce.com","70116","Low","131B00000000uJ5IAI","2021-01-26","LA",,,"Northern Trail Outfitters","Northeast","A00000001","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Manufacturing","2021-04-21","NA","0YQB00000004E0oOAE","(212) 555-5555",,"0c8B00000004De3IAE",0,5,1
"001B000001LahY9IAJ",,"003B000000HndC4IAJ","Description of Dmart Location Group 2",,"Northern Trail Outfitters","Midwest",,,"Fare Merchants - Gold Coast","Sioux Falls","Regular","Minnehaha","005B0000007GkqyIAC","0Y2B00000004DVxKAM","0Y2B00000004DVxKAM","Northern Trail Outfitters","Mattie Poquette","Dmart Location 2","Truck","mattie@aol.com","57105","High","131B00000000uJ3IAI","2021-01-26","SD",,,"Northern Trail Outfitters","Midwest","A00000009","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Manufacturing","2021-04-21","NA","0YQB00000004E0pOAE","602-277-4385",,"0c8B00000004De3IAE",0,2,1
"001B000001LahYHIAZ",,"003B000000HndC3IAJ","Description of Dmart Location Group 5",,"Nutrition Stop/Alpine Nutrition/Northern Trail Outfitters","West",,,"NTO Store - Berkeley","Baltimore","Regular","Baltimore City","005B0000007GkqyIAC","0Y2B00000004DVyKAM","0Y2B00000004DVyKAM","Rondel","Cammy Albares","Dmart Location 3","Truck","calbares@gmail.com","21224","Medium","131B00000000uJ7IAI","2021-01-26","MD",,,"Alpine Nutrition","West","A00000010","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Food & Beverage","2021-04-21","NA","0YQB00000004E0qOAE","956-537-6195",,"0c8B00000004De3IAE",0,10,1
