"LastModifiedDate","VisitorId","PlannedVisitEndTime","RetailStore.RetailStoreGroup.Description","RetailStore.DeliveryMethod","RetailStore.Priority","Name","RetailStore.RetailStoreGroupName_Custom","Visitor.UniqueUserName","CreatedById","Visitor.FullPhotoUrl","RetailStore.AccountId","Visitor.UserType","StatusRemarks","Visitor.Username","Status","ActualVisitEndTime","PlaceId","IsDeleted","ActualVisitStartTime","RetailStore.RetailStoreGroup.Name","RetailStore.Location.Address.City","ActualVisitStartTime_YearMonthDay","RetailStore.Account.Industry","RetailStore.PrimaryContact.Name","PlannedVisitStartTime","RetailStore.Account.Type","Visitor.SmallPhotoUrl","CreatedDate","Id","RetailStore.Id","RetailStore.RetailLocationGroupId","RetailStore.Account.AccountSource","RetailStore.Location.Address.Name","InstructionDescription","RetailStore.Account.Parent_Account_Names","RetailStore.Location.Address.PostalCode","VisitPriority","Visitor.Name","RetailStore.Name","OwnerId","RetailStore.Location.Name","Visitor.Role.ParentRoleId","Visitor.Computed_ParentID","RetailStore.Location.Address.Country","RetailStore.PrimaryContact.MobilePhone","Visitor.ParentPath","RetailStore.PrimaryContact.Phone","RetailStore.StoreType","RetailStore.PrimaryContactId","RetailStore.Account.Name","RetailStore.Location.Address.State","RetailStore.PrimaryContact.Email","RetailStore.PrimaryContact.Department","RetailStore.Account.Phone","RetailStore.Description","SystemModstamp","Visitor.Role.Name","RetailStore.PrimaryContact.Description","Visitor.Parents","Visitor.ManagerId","LastModifiedById","RetailStore.Account.Parent_Account_NamesPath","ActualVisitDuration","RetailStore.DeliveryFrequency","RetailStore.Location.LocationLevel","RetailStore.Account.AnnualRevenue","PlannedVisitDuration"
"2020-10-23T17:32:40.000Z","005B0000007DFGOIA4","2018-07-13T18:11:09.000Z","Description of Dmart Location Group 5","Truck","High","00000368","West","Ricky Coyier","005B0000007GkqyIAC","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FJ/F","001B000001LahYHIAZ","Standard",,"rickyeast.00smg9iqf3tm@cga228dev.demo","Completed","2018-07-13T18:11:09.000Z","0YQB00000004E14OAE","false","2018-07-13T17:37:29.000Z","West","San Jose","2018-07-13","Food & Beverage","Donette Foller","2018-07-13T17:37:29.000Z",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FJ/T","2020-10-23T17:32:40.000Z","0Z5B00000004SFSKA2","0YQB00000004E14OAE","0Y2B00000004DVyKAM",,"A00000008","Please complete the visit and collect all the KPIs","Alpine Nutrition","95111","Medium","Ricky Coyier","Nutrition Stop - Kennesaw","005B0000007GkqyIAC","Dmart Location 17",,,"Santa Clara",,,"513-570-1893","Regular","003B000000HndBtIAJ","Rondel Account","CA","donette.foller@cox.net",,,,"2020-10-23T17:32:40.000Z",,,,"005B0000007DFG7IAO","005B0000007GkqyIAC","Nutrition Stop Account/Alpine Nutrition/Northern Trail Outfitters",33,2,1,,33
"2020-10-23T17:32:40.000Z","005B0000007DFGNIA4","2019-04-14T07:01:33.000Z","Description of Dmart Location Group 2","Truck","High","00000277","Midwest","Valerie Juhas","005B0000007GkqyIAC","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FI/F","001B000001LahY9IAJ","Standard",,"valerieeast.siu4krkqhrgs@cga228dev.demo","Completed","2020-04-14T07:01:33.000Z","0YQB00000004E0pOAE","false","2020-04-14T06:22:14.000Z","Midwest","Sioux Falls","2020-04-14","Manufacturing","Mattie Poquette","2019-04-14T06:22:14.000Z",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FI/T","2020-10-23T17:32:40.000Z","0Z5B00000004SFTKA2","0YQB00000004E0pOAE","0Y2B00000004DVxKAM",,"A00000009","Please complete the visit and collect all the KPIs","Northern Trail Outfitters","57105","High","Valerie Juhas","Fare Merchants - Gold Coast","005B0000007GkqyIAC","Dmart Location 2","00EB0000000gPdqMAE","00EB0000000gPdqMAE","Minnehaha",,"00EB0000000gPdqMAE/00EB0000000gPdpMAE","602-277-4385","Regular","003B000000HndC4IAJ","Northern Trail Outfitters","SD","mattie@aol.com",,,,"2020-10-23T17:32:40.000Z","SalesRep",,"00EB0000000gPdpMAE","NA","005B0000007DFG6IAO","Northern Trail Outfitters",39,2,1,,39
"2020-10-23T17:32:40.000Z","005B0000007DFGPIA4","2019-04-17T10:09:48.000Z","Description of Dmart Location Group 1","Truck","Medium","00000569","Bay Area","Bill Malley","005B0000007GkqyIAC","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FK/F","001B000001LahYFIAZ","Standard",,"billeast.cnhkgac2k0xw@cga228dev.demo","Completed","2019-04-17T10:09:48.000Z","0YQB00000004E15OAE","false","2019-04-17T09:44:04.000Z","Bay Area","Chicago","2019-04-17","Transportation","Willard Kolmetz","2019-04-17T09:44:04.000Z",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FK/T","2020-10-23T17:32:40.000Z","0Z5B00000004SFUKA2","0YQB00000004E15OAE","0Y2B00000004DVzKAM",,"A00000007","Please complete the visit and collect all the KPIs","Alpine Nutrition","60632","Medium","Bill Malley","Nutrition Stop - Elkhorn","005B0000007GkqyIAC","Dmart Location 18","00EB0000000gPdqMAE","00EB0000000gPdqMAE","Cook",,"00EB0000000gPdqMAE/00EB0000000gPdpMAE","972-303-9197","Regular","003B000000HndCBIAZ","Alpine Nutrition","IL","willard@hotmail.com",,,,"2020-10-23T17:32:40.000Z","SalesRep",,"00EB0000000gPdpMAE","NA","005B0000007DFG6IAO","Alpine Nutrition/Northern Trail Outfitters",25,10,1,,25
"2020-10-23T17:32:40.000Z","005B0000007DFGIIA4","2019-04-07T16:05:43.000Z","Description of Dmart Location Group 2","Van","Low","00000262","Midwest","Wendy Keener","005B0000007GkqyIAC","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FD/F","001B000001LahYEIAZ","Standard",,"wendywest.y79rl7auqo4w@cga228dev.demo","Completed","2019-04-07T16:05:43.000Z","0YQB00000004E0yOAE","false","2019-04-07T15:11:33.000Z","Midwest","Taylor","2019-04-07","Finance","Mitsue Tollner","2019-04-07T15:11:33.000Z",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FD/T","2020-10-23T17:32:40.000Z","0Z5B00000004SFVKA2","0YQB00000004E0yOAE","0Y2B00000004DVxKAM",,"A00000019","Please complete the visit and collect all the KPIs","Alpine Nutrition","48180","High","Wendy Keener","Alpine Nutrition - Glendale","005B0000007GkqyIAC","Dmart Location 12","00EB0000000gPdpMAE","00EB0000000gPdpMAE","Wayne",,"00EB0000000gPdpMAE","773-573-6914","Regular","003B000000HndBvIAJ","Fare Merchants","MI","mitsue_tollner@yahoo.com",,,,"2020-10-23T17:32:40.000Z","Sales Manager",,"00EB0000000gPdpMAE","005B0000007DFGOIA4","005B0000007GkqyIAC","Alpine Nutrition/Northern Trail Outfitters",54,3,1,,54
"2020-10-23T17:32:40.000Z","005B0000007DFGKIA4","2020-03-14T19:44:02.000Z","Description of Dmart Location Group 1","Van","Low","00000454","Bay Area","Cindy Timmel","005B0000007GkqyIAC","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FF/F","001B000001LahY9IAJ","Standard",,"cindycentral.xvexzdli7eny@cga228dev.demo","Completed","2020-03-14T19:44:02.000Z","0YQB00000004E0rOAE","false","2020-03-14T19:17:33.000Z","Bay Area","Kulpsville","2020-03-14","Manufacturing","Yuki Whobrey","2020-03-14T19:17:33.000Z",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FF/T","2020-10-23T17:32:40.000Z","0Z5B00000004SFWKA2","0YQB00000004E0rOAE","0Y2B00000004DVzKAM",,"A00000011","Please complete the visit and collect all the KPIs","Northern Trail Outfitters","19443","High","Cindy Timmel","NTO Store - Alameda","005B0000007GkqyIAC","Dmart Location 4",,,"Montgomery",,,"313-288-7937","Regular","003B000000HndC7IAJ","Northern Trail Outfitters","PA","yuki_whobrey@aol.com",,,,"2020-10-23T17:32:40.000Z",,,,"005B0000007DFG7IAO","005B0000007GkqyIAC","Northern Trail Outfitters",26,3,1,,26
"2020-10-23T17:32:40.000Z","005B0000007DFGKIA4","2019-03-21T10:55:45.000Z","Description of Dmart Location Group 1","Van","Low","00000474","Bay Area","Cindy Timmel","005B0000007GkqyIAC","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FF/F","001B000001LahY9IAJ","Standard",,"cindycentral.xvexzdli7eny@cga228dev.demo","Completed","2019-03-21T10:55:45.000Z","0YQB00000004E1AOAU","false","2019-03-21T09:44:23.000Z","Bay Area","Brighton","2019-03-21","Manufacturing","Simona Morasca","2019-03-21T09:44:23.000Z",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FF/T","2020-10-23T17:32:40.000Z","0Z5B00000004SFXKA2","0YQB00000004E1AOAU","0Y2B00000004DVzKAM",,"A00000002","Please complete the visit and collect all the KPIs","Northern Trail Outfitters","48116","Low","Cindy Timmel","NTO Store - Presidio","005B0000007GkqyIAC","Dmart Location 23",,,"Livingston",,,"419-503-2484","Regular","003B000000HndBuIAJ","Northern Trail Outfitters","MI","simona@morasca.com",,,,"2020-10-23T17:32:40.000Z",,,,"005B0000007DFG7IAO","005B0000007GkqyIAC","Northern Trail Outfitters",71,5,1,,71
"2020-10-23T17:32:40.000Z","005B0000007DFGNIA4","2019-05-13T12:37:29.000Z","Description of Dmart Location Group 2","Van","Low","00000467","Midwest","Valerie Juhas","005B0000007GkqyIAC","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FI/F","001B000001LahYGIAZ","Standard",,"valerieeast.siu4krkqhrgs@cga228dev.demo","Completed","2019-05-13T12:37:29.000Z","0YQB00000004E13OAE","false","2019-05-13T11:12:24.000Z","Midwest","Albany","2019-05-13","Construction","Lenna Paprocki","2019-05-13T11:12:24.000Z",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FI/T","2020-10-23T17:32:40.000Z","0Z5B00000004SFYKA2","0YQB00000004E13OAE","0Y2B00000004DVxKAM",,"A00000024","Please complete the visit and collect all the KPIs","Alpine Nutrition","12204","Medium","Valerie Juhas","Nutrition Stop - Hillsdale","005B0000007GkqyIAC","Dmart Location 25","00EB0000000gPdqMAE","00EB0000000gPdqMAE","Albany",,"00EB0000000gPdqMAE/00EB0000000gPdpMAE","907-385-4412","Regular","003B000000HndBsIAJ","Nutrition Stop Account","NY","lpaprocki@hotmail.com",,,,"2020-10-23T17:32:40.000Z","SalesRep",,"00EB0000000gPdpMAE","NA","005B0000007GkqyIAC","Nutrition Stop Account/Alpine Nutrition/Northern Trail Outfitters",85,5,1,,85
"2020-10-23T17:32:40.000Z","005B0000007DFGPIA4","2019-06-17T10:32:15.000Z","Description of Dmart Location Group 1","Van","High","00000139","Bay Area","Bill Malley","005B0000007GkqyIAC","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FK/F","001B000001LahYFIAZ","Standard",,"billeast.cnhkgac2k0xw@cga228dev.demo","Completed","2019-06-17T10:32:15.000Z","0YQB00000004E10OAE","false","2019-06-17T10:02:45.000Z","Bay Area",,"2019-06-17","Transportation","Kiley Caldarera","2019-06-17T10:02:45.000Z",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FK/T","2020-10-23T17:32:40.000Z","0Z5B00000004SFZKA2","0YQB00000004E10OAE","0Y2B00000004DVzKAM",,,"Please complete the visit and collect all the KPIs","Alpine Nutrition",,"High","Bill Malley","NTO Store - Noe Valley","005B0000007GkqyIAC","Location","00EB0000000gPdqMAE","00EB0000000gPdqMAE",,,"00EB0000000gPdqMAE/00EB0000000gPdpMAE","310-498-5651","Regular","003B000000HndC1IAJ","Alpine Nutrition",,"kiley.caldarera@aol.com",,,,"2020-10-23T17:32:40.000Z","SalesRep",,"00EB0000000gPdpMAE","NA","005B0000007GkqyIAC","Alpine Nutrition/Northern Trail Outfitters",29,1,1,,29
"2020-10-23T17:32:40.000Z","005B0000007DFGJIA4","2017-12-29T01:20:24.000Z","Description of Dmart Location Group 5","Van","Medium","00000373","West","Vince Breland","005B0000007GkqyIAC","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FE/F","001B000001LahY9IAJ","Standard",,"vincewest.etys9pocsgvv@cga228dev.demo","Completed","2017-12-29T01:20:24.000Z","0YQB00000004E19OAE","false","2017-12-29T00:28:48.000Z","West","Bridgeport","2017-12-29","Manufacturing","Minna Amigon","2017-12-29T00:28:48.000Z",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FE/T","2020-10-23T17:32:40.000Z","0Z5B00000004SFaKAM","0YQB00000004E19OAE","0Y2B00000004DVyKAM",,"A00000003","Please complete the visit and collect all the KPIs","Northern Trail Outfitters","8014","High","Vince Breland","Fare Merchants - Chelsea","005B0000007GkqyIAC","Dmart Location 22",,,"Gloucester",,,"215-874-1229","Regular","003B000000HndBzIAJ","Northern Trail Outfitters","NJ","minna_amigon@yahoo.com",,,,"2020-10-23T17:32:40.000Z",,,,"005B0000007DFGOIA4","005B0000007GkqyIAC","Northern Trail Outfitters",51,3,1,,51
"2020-10-23T17:32:40.000Z","005B0000007DFGLIA4","2019-02-20T02:33:21.000Z","Description of Dmart Location Group 4","Truck","High","00000385","South","Vanessa Riden","005B0000007GkqyIAC","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FG/F","001B000001LahYGIAZ","Standard",,"vanessacentral.3oinruaiuzfj@cga228dev.demo","Completed","2020-02-20T02:33:21.000Z","0YQB00000004E0xOAE","false","2019-02-20T01:23:44.000Z","South","Mc Minnville","2019-02-20","Construction","Graciela Ruta","2019-02-20T01:23:44.000Z",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FG/T","2020-10-23T17:32:40.000Z","0Z5B00000004SFbKAM","0YQB00000004E0xOAE","0Y2B00000004DW0KAM",,"A00000017","Please complete the visit and collect all the KPIs","Alpine Nutrition","37110","High","Vanessa Riden","Rondel Store - Evanston","005B0000007GkqyIAC","Dmart Location 10",,,"Warren",,,"440-780-8425","Regular","003B000000HndC2IAJ","Nutrition Stop Account","TN","gruta@cox.net",,,,"2020-10-23T17:32:40.000Z",,,,"NA","005B0000007DFG6IAO","Nutrition Stop Account/Alpine Nutrition/Northern Trail Outfitters",525669,2,1,,69
