"BalanceBeforeReset","ExpirablePoints","Id","LastExpirationProcessRunDate","LastResetDate","LoyaltyMemberId","LoyaltyProgramCurrency.CostperUnit","LoyaltyProgramCurrency.CurrencyType","LoyaltyProgramCurrency.Id","LoyaltyProgramCurrency.IsPrimary","LoyaltyProgramCurrency.NQP_Currency","LoyaltyProgramCurrency.QP_Currency","LoyaltyProgramCurrencyId","LoyaltyProgramMember.Account.Name","LoyaltyProgramMember.AccountContact.Id","LoyaltyProgramMember.Contact.Birthdate","LoyaltyProgramMember.Contact.MobilePhone","LoyaltyProgramMember.Contact.Name","LoyaltyProgramMember.EnrollmentChannel","LoyaltyProgramMember.EnrollmentDate","LoyaltyProgramMember.IsReferral","LoyaltyProgramMember.LastActivityDate","LoyaltyProgramMember.LeadOrContactId","LoyaltyProgramMember.LeadOrContactName","LoyaltyProgramMember.LoyaltyProgram.Name","LoyaltyProgramMember.MemberName","LoyaltyProgramMember.MemberStatus","LoyaltyProgramMember.MemberType","LoyaltyProgramMember.MembershipEndDate","LoyaltyProgramMember.MembershipNumber","LoyaltyProgramMember.ProgramId","LoyaltyProgramMember.Referrer.Account.Name","LoyaltyProgramMember.Referrer.Contact.Birthdate","LoyaltyProgramMember.Referrer.Contact.MobilePhone","LoyaltyProgramMember.Referrer.Contact.Name","MemberTier.LoyaltyTier.LoyaltyTierGroup.Name","MemberTier.LoyaltyTier.Name","Name","NextResetDate","PointsBalance","PointsBalance_Amount","TotalPointsAccrued","TotalPointsExpired","TotalPointsRedeemed","LastProcessedDate"
,,"0lzB0000000H64OIAS",,,"0lMB0000000GwDzMAK",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_jj","POS",2021-05-18,"No",,"003B000000JOoj8IAD","Cnt-RTE-_UIDaiajbieh_b_jj","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_jj","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_b","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64PIAS",,,"0lMB0000000GwE0MAK",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_ji","POS",2020-09-09,"No",,"003B000000JOoj7IAD","Cnt-RTE-_UIDaiajbieh_b_ji","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_ji","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_c","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64QIAS",,,"0lMB0000000GwE1MAK",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_jh","POS",2020-11-14,"No",,"003B000000JOoj6IAD","Cnt-RTE-_UIDaiajbieh_b_jh","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_jh","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_d","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,149,1.49,150,,1,2021-11-01
,,"0lzB0000000H64RIAS",,,"0lMB0000000GwE2MAK",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_jg","POS",2020-09-16,"No",,"003B000000JOoj5IAD","Cnt-RTE-_UIDaiajbieh_b_jg","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_jg","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_e","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64SIAS",,,"0lMB0000000GwE3MAK",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_jf","POS",2021-02-24,"No",,"003B000000JOoj4IAD","Cnt-RTE-_UIDaiajbieh_b_jf","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_jf","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_f","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64TIAS",,,"0lMB0000000GwE4MAK",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_je","POS",2021-03-12,"No",,"003B000000JOoj3IAD","Cnt-RTE-_UIDaiajbieh_b_je","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_je","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_g","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64UIAS",,,"0lMB0000000GwE5MAK",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_jd","POS",2021-03-24,"No",,"003B000000JOoj2IAD","Cnt-RTE-_UIDaiajbieh_b_jd","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_jd","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_h","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64VIAS",,,"0lMB0000000GwE6MAK",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_jc","POS",2021-04-21,"No",,"003B000000JOoj1IAD","Cnt-RTE-_UIDaiajbieh_b_jc","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_jc","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_i","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64WIAS",,,"0lMB0000000GwE7MAK",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_jb","POS",2020-07-14,"No",,"003B000000JOoj0IAD","Cnt-RTE-_UIDaiajbieh_b_jb","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_jb","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_j","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,13,0.13,14,,,2021-11-01
,,"0lzB0000000H64XIAS",,,"0lMB0000000GwE8MAK",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_ja","POS",2020-08-30,"No",,"003B000000JOoizIAD","Cnt-RTE-_UIDaiajbieh_b_ja","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_ja","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_ba","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64YIAS",,,"0lMB0000000GwE9MAK",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_ij","POS",2020-10-30,"No",,"003B000000JOoiyIAD","Cnt-RTE-_UIDaiajbieh_b_ij","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_ij","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_bb","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64ZIAS",,,"0lMB0000000GwEAMA0",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_ii","POS",2020-07-28,"No",,"003B000000JOoixIAD","Cnt-RTE-_UIDaiajbieh_b_ii","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_ii","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_bc","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64aIAC",,,"0lMB0000000GwEBMA0",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_ih","POS",2021-02-23,"No",,"003B000000JOoiwIAD","Cnt-RTE-_UIDaiajbieh_b_ih","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_ih","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_bd","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64bIAC",,,"0lMB0000000GwECMA0",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_ig","POS",2020-06-19,"No",,"003B000000JOoivIAD","Cnt-RTE-_UIDaiajbieh_b_ig","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_ig","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_be","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64cIAC",,,"0lMB0000000GwEDMA0",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_if","POS",2020-12-28,"No",,"003B000000JOoiuIAD","Cnt-RTE-_UIDaiajbieh_b_if","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_if","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_bf","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64dIAC",,,"0lMB0000000GwEEMA0",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_ie","POS",2020-12-01,"No",,"003B000000JOoitIAD","Cnt-RTE-_UIDaiajbieh_b_ie","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_ie","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_bg","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64eIAC",,,"0lMB0000000GwEFMA0",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_id","POS",2021-04-25,"No",,"003B000000JOoisIAD","Cnt-RTE-_UIDaiajbieh_b_id","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_id","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_bh","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
,,"0lzB0000000H64fIAC",,,"0lMB0000000GwEGMA0",0.01,"NonQualifying","0lcB0000000PBAjIAO",TRUE,"Points",,"0lcB0000000PBAjIAO",,,,,"Cnt-RTE-_UIDaiajbieh_b_ic","POS",2021-04-03,"No",,"003B000000JOoirIAD","Cnt-RTE-_UIDaiajbieh_b_ic","NTO Insider","Cnt-RTE-_UIDaiajbieh_b_ic","Active","Group",,"GRPNTO_WC_EDc_UIDaiajbieh_b_bi","0lpB0000000PBdwIAG",,,,,"Status Tier Group","Silver","Points",,,,,,,2021-11-01
