"EffectiveDate","ExpirationDate","Id","LoyaltyMemberCurrency.LoyaltyProgramCurrency.NQP_Currency","LoyaltyMemberCurrency.LoyaltyProgramCurrency.QP_Currency","LoyaltyMemberCurrency.LoyaltyProgramMember.LoyaltyProgram.Name","LoyaltyMemberCurrency.LoyaltyProgramMember.MemberName","LoyaltyMemberCurrency.LoyaltyProgramMember.MemberType","LoyaltyMemberTier.LoyaltyTier.LoyaltyTierGroup.Name","LoyaltyMemberTier.LoyaltyTier.Name","LoyaltyProgramMemberId","PromotionId","Status","TransactionJournalId","UseDate","VoucherDefinition.CostPerVoucher","VoucherDefinition.EffectiveDate","VoucherDefinition.ExpirationDate","VoucherDefinition.Type","VoucherDefinitionId","LastProcessedDate"
2020-07-01,2021-06-30,"0kDB0000000CaRvMAK","Points","Number of Transactions","NTO Insider","Perf194 Trail194","Individual","Lifetime","Premium","0lMB0000000RIEnMAO","0c8B0000000Gpa7IAC","Redeemed","0lVB0000000VSDWMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaRwMAK","Points","Number of Transactions","NTO Insider","Perf193 Trail193","Individual","Lifetime","Premium","0lMB0000000RIEmMAO","0c8B0000000GpaOIAS","Redeemed","0lVB0000000VSDVMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaRxMAK","Points","Number of Transactions","NTO Insider","Perf192 Trail192","Individual","Lifetime","Premium","0lMB0000000RIElMAO","0c8B0000000GpaNIAS","Redeemed","0lVB0000000VSDUMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaRyMAK","Points","Number of Transactions","NTO Insider","Perf191 Trail191","Individual","Lifetime","Premium","0lMB0000000RIEkMAO","0c8B0000000GpaMIAS","Redeemed","0lVB0000000VSDTMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaRzMAK","Points","Number of Transactions","NTO Insider","Perf190 Trail190","Individual","Lifetime","Premium","0lMB0000000RIEjMAO","0c8B0000000GpaLIAS","Redeemed","0lVB0000000VSDSMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaS0MAK","Points","Number of Transactions","NTO Insider","Perf189 Trail189","Individual","Lifetime","Premium","0lMB0000000RIEiMAO","0c8B0000000GpaKIAS","Redeemed","0lVB0000000VSDRMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaS1MAK","Points","Number of Transactions","NTO Insider","Perf188 Trail188","Individual","Lifetime","Premium","0lMB0000000RIEhMAO","0c8B0000000GpaJIAS","Redeemed","0lVB0000000VSDQMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaS2MAK","Points","Number of Transactions","NTO Insider","Perf187 Trail187","Individual","Lifetime","Premium","0lMB0000000RIEgMAO","0c8B0000000GpaIIAS","Redeemed","0lVB0000000VSDPMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaS3MAK","Points","Number of Transactions","NTO Insider","Perf186 Trail186","Individual","Lifetime","Premium","0lMB0000000RIEfMAO","0c8B0000000GpaHIAS","Redeemed","0lVB0000000VSDOMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaS4MAK","Points","Number of Transactions","NTO Insider","Perf185 Trail185","Individual","Lifetime","Premium","0lMB0000000RIEeMAO","0c8B0000000GpaGIAS","Redeemed","0lVB0000000VSDNMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaS5MAK","Points","Number of Transactions","NTO Insider","Perf184 Trail184","Individual","Lifetime","Elite","0lMB0000000RIEdMAO","0c8B0000000GpaFIAS","Redeemed","0lVB0000000VSDMMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaS6MAK","Points","Number of Transactions","NTO Insider","Perf183 Trail183","Individual","Lifetime","Premium","0lMB0000000RIEcMAO","0c8B0000000GpaEIAS","Redeemed","0lVB0000000VSDLMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaS7MAK","Points","Number of Transactions","NTO Insider","Perf182 Trail182","Individual","Lifetime","Premium","0lMB0000000RIEbMAO","0c8B0000000GpaDIAS","Redeemed","0lVB0000000VSDKMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaS8MAK","Points","Number of Transactions","NTO Insider","Perf181 Trail181","Individual","Lifetime","Premium","0lMB0000000RIEaMAO","0c8B0000000GpaCIAS","Redeemed","0lVB0000000VSDJMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaS9MAK","Points","Number of Transactions","NTO Insider","Perf180 Trail180","Individual","Lifetime","Premium","0lMB0000000RIEZMA4","0c8B0000000GpaBIAS","Redeemed","0lVB0000000VSDIMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaSAMA0","Points","Number of Transactions","NTO Insider","Perf179 Trail179","Individual","Lifetime","Premium","0lMB0000000RIEYMA4","0c8B0000000GpaAIAS","Redeemed","0lVB0000000VSDHMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaSBMA0","Points","Number of Transactions","NTO Insider","Perf178 Trail178","Individual","Lifetime","Premium","0lMB0000000RIEXMA4","0c8B0000000Gpa9IAC","Redeemed","0lVB0000000VSDGMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-01,2021-06-30,"0kDB0000000CaSCMA0","Points","Number of Transactions","NTO Insider","Marc15 Tom15","Individual","Lifetime","Premium","0lMB0000000RIE9MAO","0c8B0000000Gpa8IAC","Redeemed","0lVB0000000VSDFMA4",2021-05-18,5,2020-07-01,,"FixedValue","2XaB0000000KyjaKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSDMA0","Points","Number of Transactions","NTO Insider","Perf111 Trail111","Individual","Lifetime","Premium","0lMB0000000RIIKMA4","0c8B0000000Gpa7IAC","Redeemed","0lVB0000000VSEHMA4",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSEMA0","Points","Number of Transactions","NTO Insider","Perf110 Trail110","Individual","Lifetime","Premium","0lMB0000000RIIJMA4","0c8B0000000GpaVIAS","Redeemed","0lVB0000000VSEGMA4",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSFMA0","Points","Number of Transactions","NTO Insider","Perf109 Trail109","Individual","Lifetime","Premium","0lMB0000000RIIIMA4","0c8B0000000GpaUIAS","Redeemed","0lVB0000000VSEFMA4",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSGMA0","Points","Number of Transactions","NTO Insider","Perf108 Trail108","Individual","Lifetime","Premium","0lMB0000000RIIHMA4","0c8B0000000GpaTIAS","Redeemed","0lVB0000000VSEEMA4",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSHMA0","Points","Number of Transactions","NTO Insider","Perf107 Trail107","Individual","Lifetime","Premium","0lMB0000000RIIGMA4","0c8B0000000GpaSIAS","Redeemed","0lVB0000000VSEDMA4",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSIMA0","Points","Number of Transactions","NTO Insider","Perf106 Trail106","Individual","Lifetime","Premium","0lMB0000000RIIFMA4","0c8B0000000GpaRIAS","Redeemed","0lVB0000000VSECMA4",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSJMA0","Points","Number of Transactions","NTO Insider","Perf105 Trail105","Individual","Lifetime","Premium","0lMB0000000RIIEMA4","0c8B0000000GpaQIAS","Redeemed","0lVB0000000VSEBMA4",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSKMA0","Points","Number of Transactions","NTO Insider","Perf104 Trail104","Individual","Lifetime","Premium","0lMB0000000RIIDMA4","0c8B0000000GpaPIAS","Redeemed","0lVB0000000VSEAMA4",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSLMA0","Points","Number of Transactions","NTO Insider","Perf103 Trail103","Individual","Lifetime","Premium","0lMB0000000RIICMA4","0c8B0000000GpaOIAS","Redeemed","0lVB0000000VSE9MAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSMMA0","Points","Number of Transactions","NTO Insider","Perf102 Trail102","Individual","Lifetime","Premium","0lMB0000000RIIBMA4","0c8B0000000GpaNIAS","Redeemed","0lVB0000000VSE8MAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSNMA0","Points","Number of Transactions","NTO Insider","Perf101 Trail101","Individual","Lifetime","Premium","0lMB0000000RIIAMA4","0c8B0000000GpaMIAS","Redeemed","0lVB0000000VSE7MAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
