"MembershipEndDate","TransactionJournal_Last_Transaction_Activity_Date","MemberTier_TierGroup_Program_Name","MemberTier_EffectiveDate","MemberTier_LoyaltyMemberId","MemberTier_LoyaltyTierId","MemberTenure","MemberTier_Id","MemberTier_CreatedDate","ProgramId","LoyaltyProgramMember_MembershipNumber","Program_Name","Contact_MailingCity1","Id","Contact_MailingCity","Referred_Member_Count","Contact_City_State","MemberTier_TierGroup_Name","Contact_Birthdate","Account_Name","Latest_NPS_Scoring_NPS_Response_Bucket","Contact_MailingState1","isTrainingData","Account_BillingCity","Contact_Name","MemberTier_TierGroup_Program_Id","MemberTier_TierGroup_SelectedTierGroup_Flag","LastActivityDate","InactivityFlag","LeadOrContactId","AccountId","MemberCurrency_Name","MemberTier_Name","ReferredById","Contact_MailingState","Account_BillingState","Contact_Account_Name","EnrollmentChannel","MemberTier_TierGroup_Program_OwnerId","IsAReferral","MemberTier_TierGroup_Program_Status","MemberName","Contact_Account_Id","MemberTier_LoyaltyTierGroupId","MemberTier_TierGroup_Id","ContactId","MemberTier_TierGroup_LoyaltyProgramId","EnrollmentDate","Latest_NPS_NPS_Response_Bucket","AccountContactId","LeadOrContactName","MemberTier_TierExpirationDate","MemberType","MemberStatus","Latest_NPS_Scoring_NumberValue","Transactions_Redemption_Transactions_Previous_Period","Latest_CSAT_NumberValue","Transactions_DaysBetweenCurrentTransactions","Transactions_Accrual_Transactions_Current_Period","Overall_CSAT_Scoring_CSAT","Latest_CSAT_Scoring_NumberValue","Transactions_Transactions_all","Overall_NPS_Count","Overall_CSAT_CSAT","Transactions_Transaction_Amount_all","MemberCurrency_Ledger_Previous_Accrued_Points","Member_Count","Transactions_Transaction_Amount_Current_Period","Transactions_Redemption_Transactions_Current_Period","DaysSinceLastActivity","Latest_NPS","Transactions_DaysBetweenPreviousTransactions","Overall_NPS_NPS_Response_Number","MemberCurrency_Ledger_Previous_Expired_Points","Latest_CSAT","Overall_CSAT_Count","MemberCurrency_Ledger_Previous_Redeemed_Points","Months_in_Tier","Latest_CSAT_Scoring_QuestionChoice_MaxValue","Overall_NPS_Scoring_Count","Membership_Duration_days","Latest_CSAT_QuestionChoice_MaxValue","Transactions_Accrual_Transactions_Previous_Period","Current_Transaction_Frequency","CSAT","MemberCurrency_Ledger_Current_Accrued_Points","Overall_CSAT_Scoring_Count","MemberCurrency_Ledger_Current_Redeemed_Points","Latest_NPS_NumberValue","MemberCurrency_Ledger_Current_Expired_Points","NPS","Previous_Transaction_Frequency","Transactions_Transaction_Amount_Previous_Period","MemberCurrency_PointsBalance","Scale","Engagement_Score","InactivityScore","Overall_NPS_Scoring_NPS_Response_Number","Contact_Age"
,"2021-09-27T19:00:00.000Z","NTO Insider","2020-07-01","0lMB0000000RIE9MAO","0lgB0000000TNJCIA4","6.1-2 years","0lyB0000000RJAVIA4","2021-03-03T12:33:28.000Z","0lpB0000000PBdwIAG","A001","NTO Insider","San Francisco","0lMB0000000RIE9MAO","San Francisco",,"San Francisco - CA","Status Tier Group",,,,"CA","false",,"Marc15 Tom15","0lpB0000000PBdwIAG","Yes",,"true","003B000000IXi01IAD",,"Points","Silver",,"CA",,,"CallCenter","005B0000006txQYIAY","false","Active","Marc15 Tom15",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi01IAD","0lpB0000000PBdwIAG","2020-07-01",,"003B000000IXi01IAD","Marc15 Tom15",,"Individual","Active",,0,,246,6,,,7,,,5277,1527,1,4532,1,29,,0,,0,,,0,15,,,482,,1,35.14,,60359,,2087,,0,,0,745,16772,5,38.2,61.8,,
,"2021-11-04T00:00:00.000Z","NTO Insider","2020-07-22","0lMB0000000RIEEMA4","0lgB0000000TNJCIA4","6.1-2 years","0lyB0000000RJAaIAO","2021-03-03T12:34:45.000Z","0lpB0000000PBdwIAG","Ab002","NTO Insider","New York","0lMB0000000RIEEMA4","New York",,"New York - NY","Status Tier Group",,,,"NY","false",,"Q4Data329 Trail329","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXi8lIAD",,"Points","Silver",,"NY",,,"POS","005B0000006txQYIAY","false","Active","Q4Data329 Trail329",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8lIAD","0lpB0000000PBdwIAG","2020-07-22",,"003B000000IXi8lIAD","Q4Data329 Trail329",,"Individual","Active",,0,,172,5,,,6,,,8004,1002,1,6710,0,-8,,0,,0,,,0,15,,,461,,1,34.4,,8154,,0,,0,,0,1294,14209,5,99.55,0.45,,
,"2021-11-02T00:00:00.000Z","NTO Insider","2020-12-14","0lMB0000000RIEJMA4","0lgB0000000TNJCIA4","5.9-12 months","0lyB0000000RJAfIAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_132","NTO Insider","New York","0lMB0000000RIEJMA4","New York",,"New York - NY","Status Tier Group","1986-08-12",,"Passives","NY","false",,"Q4Data330 Trail330","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXi8mIAD",,"Points","Silver",,"NY",,,"Social","005B0000006txQYIAY","false","Active","Q4Data330 Trail330",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8mIAD","0lpB0000000PBdwIAG","2020-12-14","Passives","003B000000IXi8mIAD","Q4Data330 Trail330",,"Individual","Active",7,0,4,149,4,2,4,5,1,2,4738,0,1,3834,1,-6,7,0,0,0,2,1,0,10,10,1,316,10,0,29.8,2,8213,1,2751,7,0,0,0,0,12480,5,98.87,1.13,0,35
,,"NTO Insider","2021-11-02","0lMB0000000RIEKMA4","0lgB0000000TNJCIA4","9.NA","0lyB0000000RJAhIAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_133","NTO Insider","San Francisco","0lMB0000000RIEKMA4","San Francisco",,"San Francisco - CA","Status Tier Group",,,"Promoters","CA","false",,"Q4Data331 Trail331","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXi8nIAD",,"Points","Silver",,"CA",,,"Email","005B0000006txQYIAY","false","Active","Q4Data331 Trail331",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8nIAD","0lpB0000000PBdwIAG","2021-11-02","Promoters","003B000000IXi8nIAD","Q4Data331 Trail331",,"Individual","Active",10,,3,,,1.5,3,,1,1.5,,,1,,,,10,,1,,1.5,1,,-1,10,1,-6,10,,0,1.5,,1,,10,,1,0,,0,5,99.91,0.09,1,
,"2021-12-17T00:00:00.000Z","NTO Insider","2020-12-08","0lMB0000000RIELMA4","0lgB0000000TNJCIA4","5.9-12 months","0lyB0000000RJAjIAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_134","NTO Insider","New Jersey","0lMB0000000RIELMA4","New Jersey",,"New Jersey - NJ","Status Tier Group",,,"Passives","NJ","false",,"Q4Data332 Trail332","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXi8oIAD",,"Points","Silver",,"NJ",,,"Web","005B0000006txQYIAY","false","Active","Q4Data332 Trail332",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8oIAD","0lpB0000000PBdwIAG","2020-12-08","Passives","003B000000IXi8oIAD","Q4Data332 Trail332",,"Individual","Active",7,0,8,339,3,4,8,5,1,4,6107,0,1,3252,1,-51,7,0,0,0,4,1,0,10,10,1,322,10,0,84.75,4,5166,1,2509,7,0,0,0,0,12420,5,99.19,0.81,0,
,"2021-08-17T00:00:00.000Z","NTO Insider","2020-11-23","0lMB0000000RIEMMA4","0lgB0000000TNJCIA4","5.9-12 months","0lyB0000000RJAlIAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_144","NTO Insider","San Francisco","0lMB0000000RIEMMA4","San Francisco",,"San Francisco - CA","Status Tier Group","1981-08-01",,"Passives","CA","false",,"Q4Data333 Trail333","0lpB0000000PBdwIAG","Yes",,"true","003B000000IXi8pIAD",,"Points","Silver",,"CA",,,"Web","005B0000006txQYIAY","false","Active","Q4Data333 Trail333",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8pIAD","0lpB0000000PBdwIAG","2020-11-23","Passives","003B000000IXi8pIAD","Q4Data333 Trail333",,"Individual","Active",7,0,6,283,5,3,6,5,1,3,5867,0,1,5867,1,70,7,0,0,0,3,1,0,11,10,1,337,10,0,47.17,3,8224,1,2333,7,0,0,0,0,13023,5,3.04,96.96,0,40
,,"NTO Insider","2021-06-29","0lMB0000000RIENMA4","0lgB0000000TNJCIA4","3.3-6 months","0lyB0000000RJAnIAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_135","NTO Insider","Toronto","0lMB0000000RIENMA4","Toronto",,"Toronto - Ontario","Status Tier Group",,,"Detractors","Ontario","false",,"Q4Data334 Trail334","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXi8qIAD",,"Points","Silver",,"Ontario",,,"POS","005B0000006txQYIAY","false","Active","Q4Data334 Trail334",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8qIAD","0lpB0000000PBdwIAG","2021-06-29","Detractors","003B000000IXi8qIAD","Q4Data334 Trail334",,"Individual","Active",6,,10,,,5,10,,1,5,,,1,,,,6,,-1,,5,1,,4,10,1,119,10,,0,5,,1,,6,,-1,0,,0,5,99.91,0.09,-1,
,"2021-09-30T00:00:00.000Z","NTO Insider","2020-10-13","0lMB0000000RIEOMA4","0lgB0000000TNJCIA4","6.1-2 years","0lyB0000000RJApIAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_136","NTO Insider","Toronto","0lMB0000000RIEOMA4","Toronto",,"Toronto - Ontario","Status Tier Group",,,"Passives","Ontario","false",,"Q4Data335 Trail335","0lpB0000000PBdwIAG","Yes",,"true","003B000000IXi8rIAD",,"Points","Silver",,"Ontario",,,"CallCenter","005B0000006txQYIAY","false","Active","Q4Data335 Trail335",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8rIAD","0lpB0000000PBdwIAG","2020-10-13","Passives","003B000000IXi8rIAD","Q4Data335 Trail335",,"Individual","Active",7,0,5,253,5,2.5,5,5,1,2.5,3779,0,1,3779,1,26,7,0,0,0,2.5,1,0,12,10,1,378,10,0,42.17,2.5,8387,1,2285,7,0,0,0,0,12769,5,76.89,23.11,0,
,"2021-08-19T00:00:00.000Z","NTO Insider","2020-09-28","0lMB0000000RIEPMA4","0lgB0000000TNJCIA4","6.1-2 years","0lyB0000000RJArIAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_137","NTO Insider","Toronto","0lMB0000000RIEPMA4","Toronto",,"Toronto - Ontario","Status Tier Group",,,"Passives","Ontario","false",,"Q4Data336 Trail336","0lpB0000000PBdwIAG","Yes",,"true","003B000000IXi8sIAD",,"Points","Silver",,"Ontario",,,"Social","005B0000006txQYIAY","false","Active","Q4Data336 Trail336",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8sIAD","0lpB0000000PBdwIAG","2020-09-28","Passives","003B000000IXi8sIAD","Q4Data336 Trail336",,"Individual","Active",8,0,5,166,5,2.5,5,5,1,2.5,6226,0,1,6226,1,68,8,0,0,0,2.5,1,0,13,10,1,393,10,0,27.67,2.5,8746,1,2679,8,0,0,0,0,12810,5,4.47,95.53,0,
,,"NTO Insider","2021-06-29","0lMB0000000RIEQMA4","0lgB0000000TNJCIA4","3.3-6 months","0lyB0000000RJAtIAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_138","NTO Insider","New York City","0lMB0000000RIEQMA4","New York City",,"New York City - NY","Status Tier Group",,,"Promoters","NY","false",,"Q4Data337 Trail337","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXi8tIAD",,"Points","Silver",,"NY",,,"Email","005B0000006txQYIAY","false","Active","Q4Data337 Trail337",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8tIAD","0lpB0000000PBdwIAG","2021-06-29","Promoters","003B000000IXi8tIAD","Q4Data337 Trail337",,"Individual","Active",9,,5,,,2.5,5,,1,2.5,,,1,,,,9,,1,,2.5,1,,4,10,1,119,10,,0,2.5,,1,,9,,1,0,,0,5,99.91,0.09,1,
