"TransactionJournal.Status","LastModifiedDate","TransactionJournal.JournalDate","User.Username","LoyaltyProgramCurrency.QP_Currency","TransactionJournal.LoyaltyProgramMember.LeadOrContactName","TransactionJournal.LoyaltyProgramMember.Referrer.Contact.Birthdate","IsDeleted","AdditionalNotes","TransactionJournal.LoyaltyProgramMember.MemberStatus","TransactionJournal.Industry","User.Role.ParentRoleId","TransactionJournal.LoyaltyProgramMember.Contact.Name","TransactionJournal.LoyaltyProgramMember.MemberState","User.Computed_ParentID","TransactionJournal.LoyaltyProgramMember.MemberType","Id","TransactionJournal.LoyaltyProgramMember.MembershipNumber","Correlation","TransactionJournal.LoyaltyProgramPartner.Partner.Type","User.SmallPhotoUrl","TransactionJournal.LoyaltyProgramPartner.PartnerIndustry","TransactionJournal.Product_or_ProductCategory_ID","TransactionJournal.LoyaltyProgramMember.Contact.MobilePhone","TransactionJournal.JournalReason","TransactionJournal.LoyaltyProgramMember.Referrer.Contact.Name","TransactionJournal.LoyaltyProgramMember.MemberCity","TransactionJournal.ProductCategory.Name","LoyaltyProgramCurrency.CurrencyType","TransactionJournal.User.SmallPhotoUrl","User.FullPhotoUrl","TransactionJournal.Product.Name","User.ParentPath","User.Parents","TransactionJournal.LoyaltyProgramMember.EnrollmentDate","TransactionJournal.LoyaltyProgramMember.LoyaltyProgram.Name","TransactionJournal.Product_or_ProductCategory","Flow","SystemModstamp","TransactionJournal.Channel","TransactionJournal.LoyaltyProgramMember.AccountContact.Id","LoyaltyTierMember.LoyaltyTier.LoyaltyTierGroup.Name","TransactionJournal.MemberId","ExpiryDate","EventType","TransactionJournal.LoyaltyProgramMember.MemberName","TransactionJournal.LoyaltyProgramMember.IsReferral","TransactionJournal.JournalSubType.Name","User.ManagerId","CreatedById","TransactionJournal.LoyaltyProgramPartner.PartnerCategory","User.Role.Name","TransactionJournal.PartnerId","TransactionJournal.LoyaltyProgramMember.ProgramId","TransactionJournal.LoyaltyProgramMember.Contact.Birthdate","TransactionJournalId","TransactionJournal.LoyaltyProgramMember.LastActivityDate","ActivityDate","TransactionJournal.LoyaltyProgramMember.Account.Name","TransactionJournal.LoyaltyProgramMember.MemberTenureBucket","User.UniqueUserName","ChangeReasonType","IncludeInManualActions","TransactionJournal.JournalType.Name","TransactionJournal.LoyaltyProgramPartner.Partner.Name","CreatedDate","TransactionJournal.LoyaltyProgramPartner.PartnerType","TransactionJournal.LoyaltyProgramMember.MemberCountry","TransactionJournal.User.UniqueUserName","TransactionJournal.UsageType","TransactionType","TransactionJournal.Establishment","TransactionJournal.QuantityUnitOfMeasureId","LoyaltyProgramCurrencyId","TransactionJournal.LoyaltyProgramMember.MembershipEndDate","TransactionJournal.Product.Family","TransactionJournal.RelatedJournalId","TransactionJournal.Product.ProductCode","TransactionJournal.LoyaltyProgramMember.EnrollmentChannel","LastProcessedDate","LoyaltyProgramMemberId","LoyaltyTierMember.LoyaltyTier.Name","TransactionJournal.Brand","LoyaltyProgramCurrency.NQP_Currency","TransactionJournal.LoyaltyProgramMember.Referrer.Contact.MobilePhone","TransactionType_w_GroupMember","TransactionJournal.TransactionLocation","LastModifiedById","TransactionJournal.ActivityDate","TransactionJournal.LoyaltyProgramMember.LeadOrContactId","TransactionJournal.Quantity","PointsTemp","Points_Amount","TransactionJournal.TransactionAmount","LoyaltyProgramCurrency.CostperUnit","Total_Accrued_Points_Amount","Total_Accrued_Points","Points"
"Processed","2021-03-12T13:39:18.000Z","2021-03-12T13:39:17.000Z","divya@232loyaltyed2.com","Number of Transactions","Adeline Allocco",,"false","1","Active",,,"Adeline Allocco","Ontario",,"Individual","05wB0000001zAwPIAU","123456",,,"https://232loyaltyed2--c.documentforce.com/profilephoto/005/T",,,,"Service Recovery",,"Toronto",,"Qualifying","https://232loyaltyed2--c.documentforce.com/profilephoto/005/T","https://232loyaltyed2--c.documentforce.com/profilephoto/005/F",,,,"2020-01-01","NTO Insider",,,"2021-03-12T13:39:18.000Z",,,"Lifetime","0lMB0000000RIF0MAO",,"Debit","Adeline Allocco","No",,"NA","005B0000006txQYIAY",,,,"0lpB0000000PBdwIAG",,"0lVB0000001isXpMAI",,"2021-04-16",,"6.1-2 years","Divya Admin (divya@232loyaltyed2.com)","Service Recovery","True","Manual Points Adjustment",,"2021-03-12T13:39:18.000Z",,"Canada","Divya Admin (divya@232loyaltyed2.com)","Loyalty","AdjustedPoints_Negative",,,"0lcB0000000PBAeIAO",,,,,"CallCenter","2021-11-04","0lMB0000000RIF0MAO","Premium",,,,"AdjustedPoints_Negative",,"005B0000006txQYIAY","2021-04-16","003B000000IXhuqIAD",,1,0,,,0,-1,1
"Processed","2021-03-12T13:39:56.000Z","2021-03-12T13:39:55.000Z","divya@232loyaltyed2.com",,"Adeline Allocco",,"false","1","Active",,,"Adeline Allocco","Ontario",,"Individual","05wB0000001zAwUIAU","123456",,,"https://232loyaltyed2--c.documentforce.com/profilephoto/005/T",,,,"Service Recovery",,"Toronto",,"NonQualifying","https://232loyaltyed2--c.documentforce.com/profilephoto/005/T","https://232loyaltyed2--c.documentforce.com/profilephoto/005/F",,,,"2020-01-01","NTO Insider",,,"2021-03-12T13:39:56.000Z",,,"Lifetime","0lMB0000000RIF0MAO",,"Debit","Adeline Allocco","No",,"NA","005B0000006txQYIAY",,,,"0lpB0000000PBdwIAG",,"0lVB0000001isXuMAI",,"2021-04-16",,"6.1-2 years","Divya Admin (divya@232loyaltyed2.com)","Service Recovery","True","Manual Points Adjustment",,"2021-03-12T13:39:56.000Z",,"Canada","Divya Admin (divya@232loyaltyed2.com)","Loyalty","AdjustedPoints_Negative",,,"0lcB0000000PBAjIAO",,,,,"CallCenter","2021-11-04","0lMB0000000RIF0MAO","Premium",,"Points",,"AdjustedPoints_Negative",,"005B0000006txQYIAY","2021-04-16","003B000000IXhuqIAD",,1,0.01,,0.01,-0.01,-1,1
"Processed","2021-03-15T19:34:16.000Z","2021-03-15T19:34:15.000Z","divya@232loyaltyed2.com",,"Data16 User16",,"false","Compensation","Active",,,"Data16 User16","NJ",,"Individual","05wB0000001zAwZIAU","IndivAiK_428",,,"https://232loyaltyed2--c.documentforce.com/profilephoto/005/T",,,,"Service Recovery",,"New Jersey",,"NonQualifying","https://232loyaltyed2--c.documentforce.com/profilephoto/005/T","https://232loyaltyed2--c.documentforce.com/profilephoto/005/F",,,,"2020-01-21","NTO Insider",,,"2021-03-15T19:34:16.000Z","Mobile",,"Lifetime","0lMB0000000RILEMA4",,"Debit","Data16 User16","No",,"NA","005B0000006txQYIAY",,,,"0lpB0000000PBdwIAG",,"0lVB0000001isc7MAA",,"2021-04-19",,"6.1-2 years","Divya Admin (divya@232loyaltyed2.com)","Service Recovery","True","Manual Points Adjustment",,"2021-03-15T19:34:16.000Z",,"USA","Divya Admin (divya@232loyaltyed2.com)","Loyalty","AdjustedPoints_Negative","Estb 4",,"0lcB0000000PBAjIAO",,,,,"Social","2021-11-04","0lMB0000000RILEMA4","Elite",,"Points",,"AdjustedPoints_Negative","Outlet 4","005B0000006txQYIAY","2021-04-19","003B000000IXi05IAD",,5,0.05,,0.01,-0.05,-5,5
"Processed","2021-03-15T19:34:20.000Z","2021-03-15T19:34:20.000Z","divya@232loyaltyed2.com",,"Q4Data70 Trail70",,"false","Compensation","Active",,,"Q4Data70 Trail70","CA",,"Individual","05wB0000001zAweIAE","IndivAiK_430",,,"https://232loyaltyed2--c.documentforce.com/profilephoto/005/T",,,,"Service Recovery",,"San Francisco",,"NonQualifying","https://232loyaltyed2--c.documentforce.com/profilephoto/005/T","https://232loyaltyed2--c.documentforce.com/profilephoto/005/F",,,,"2020-04-17","NTO Insider",,,"2021-03-15T19:34:20.000Z","Web",,"Lifetime","0lMB0000000RILGMA4",,"Debit","Q4Data70 Trail70","No",,"NA","005B0000006txQYIAY",,,,"0lpB0000000PBdwIAG",,"0lVB0000001iscCMAQ",,"2021-04-19",,"6.1-2 years","Divya Admin (divya@232loyaltyed2.com)","Service Recovery","True","Manual Points Adjustment",,"2021-03-15T19:34:20.000Z",,"USA","Divya Admin (divya@232loyaltyed2.com)","Loyalty","AdjustedPoints_Negative","Estb 5",,"0lcB0000000PBAjIAO",,,,,"Web","2021-11-04","0lMB0000000RILGMA4","Premium",,"Points",,"AdjustedPoints_Negative","Outlet 5","005B0000006txQYIAY","2021-04-19","003B000000IXi3CIAT",,5,0.05,,0.01,-0.05,-5,5
"Processed","2021-03-15T19:34:24.000Z","2021-03-15T19:34:24.000Z","divya@232loyaltyed2.com",,"Q4Data174 Trail174",,"false","Compensation","Active",,,"Q4Data174 Trail174","Ontario",,"Individual","05wB0000001zAwjIAE","IndivAiK_432",,,"https://232loyaltyed2--c.documentforce.com/profilephoto/005/T",,,,"Resolve Disputed Points",,"Toronto",,"NonQualifying","https://232loyaltyed2--c.documentforce.com/profilephoto/005/T","https://232loyaltyed2--c.documentforce.com/profilephoto/005/F",,,,"2020-11-03","NTO Insider",,,"2021-03-15T19:34:24.000Z","POS",,"Lifetime","0lMB0000000RILIMA4",,"Debit","Q4Data174 Trail174","No",,"NA","005B0000006txQYIAY",,,,"0lpB0000000PBdwIAG",,"0lVB0000001iscHMAQ",,"2021-04-19",,"5.9-12 months","Divya Admin (divya@232loyaltyed2.com)","Resolve Disputed Points","True","Manual Points Adjustment",,"2021-03-15T19:34:24.000Z",,"Canada","Divya Admin (divya@232loyaltyed2.com)","Loyalty","AdjustedPoints_Negative","Estb 6",,"0lcB0000000PBAjIAO",,,,,"CallCenter","2021-11-04","0lMB0000000RILIMA4","Premium",,"Points",,"AdjustedPoints_Negative","Outlet 6","005B0000006txQYIAY","2021-04-19","003B000000IXi3EIAT",,5,0.05,,0.01,-0.05,-5,5
"Processed","2021-03-15T19:34:29.000Z","2021-03-15T19:34:29.000Z","divya@232loyaltyed2.com",,"Q4Data176 Trail176",,"false","Compensation","Active",,,"Q4Data176 Trail176","NY",,"Individual","05wB0000001zAwoIAE","IndivAiK_437",,,"https://232loyaltyed2--c.documentforce.com/profilephoto/005/T",,,,"Resolve Disputed Points",,"New York",,"NonQualifying","https://232loyaltyed2--c.documentforce.com/profilephoto/005/T","https://232loyaltyed2--c.documentforce.com/profilephoto/005/F",,,,"2020-09-02","NTO Insider",,,"2021-03-15T19:34:29.000Z","Mobile",,"Lifetime","0lMB0000000RILKMA4",,"Debit","Q4Data176 Trail176","No",,"NA","005B0000006txQYIAY",,,,"0lpB0000000PBdwIAG",,"0lVB0000001iscMMAQ",,"2021-04-19",,"6.1-2 years","Divya Admin (divya@232loyaltyed2.com)","Resolve Disputed Points","True","Manual Points Adjustment",,"2021-03-15T19:34:29.000Z",,"USA","Divya Admin (divya@232loyaltyed2.com)","Loyalty","AdjustedPoints_Negative","Estb 7",,"0lcB0000000PBAjIAO",,,,,"CallCenter","2021-11-04","0lMB0000000RILKMA4","Premium",,"Points",,"AdjustedPoints_Negative","Outlet 7","005B0000006txQYIAY","2021-04-19","003B000000IXi3GIAT",,5,0.05,,0.01,-0.05,-5,5
"Processed","2021-03-15T19:38:29.000Z","2021-03-15T19:38:29.000Z","divya@232loyaltyed2.com",,"Q4Data179 Trail179",,"false","Compensation","Active",,,"Q4Data179 Trail179","NJ",,"Individual","05wB0000001zAwpIAE","IndivAiK_440",,,"https://232loyaltyed2--c.documentforce.com/profilephoto/005/T",,,,"Resolve Disputed Points",,"New Jersey",,"NonQualifying","https://232loyaltyed2--c.documentforce.com/profilephoto/005/T","https://232loyaltyed2--c.documentforce.com/profilephoto/005/F",,,,"2021-02-05","NTO Insider",,,"2021-03-15T19:38:29.000Z","Web",,"Lifetime","0lMB0000000RILNMA4","2022-03-31","Credit","Q4Data179 Trail179","No",,"NA","005B0000006txQYIAY",,,,"0lpB0000000PBdwIAG",,"0lVB0000001iscNMAQ",,"2021-04-19",,"4.6-9 months","Divya Admin (divya@232loyaltyed2.com)","Resolve Disputed Points","True","Manual Points Adjustment",,"2021-03-15T19:38:29.000Z",,"USA","Divya Admin (divya@232loyaltyed2.com)","Loyalty","AdjustedPoints_Positive","Estb 9",,"0lcB0000000PBAjIAO",,,,,"Web","2021-11-04","0lMB0000000RILNMA4","Premium",,"Points",,"AdjustedPoints_Positive","Outlet 9","005B0000006txQYIAY","2021-04-19","003B000000IXi3JIAT",,10,0.1,,0.01,0.1,10,10
"Processed","2021-03-15T19:34:33.000Z","2021-03-15T19:34:33.000Z","divya@232loyaltyed2.com",,"Q4Data177 Trail177",,"false","Compensation","Active",,,"Q4Data177 Trail177","NY",,"Individual","05wB0000001zAwtIAE","IndivAiK_438",,,"https://232loyaltyed2--c.documentforce.com/profilephoto/005/T",,,,"Resolve Disputed Points",,"New York",,"NonQualifying","https://232loyaltyed2--c.documentforce.com/profilephoto/005/T","https://232loyaltyed2--c.documentforce.com/profilephoto/005/F",,,,"2020-02-27","NTO Insider",,,"2021-03-15T19:34:33.000Z","Web",,"Lifetime","0lMB0000000RILLMA4",,"Debit","Q4Data177 Trail177","No",,"NA","005B0000006txQYIAY",,,,"0lpB0000000PBdwIAG",,"0lVB0000001iscRMAQ",,"2021-04-19",,"6.1-2 years","Divya Admin (divya@232loyaltyed2.com)","Resolve Disputed Points","True","Manual Points Adjustment",,"2021-03-15T19:34:33.000Z",,"USA","Divya Admin (divya@232loyaltyed2.com)","Loyalty","AdjustedPoints_Negative","Estb 8",,"0lcB0000000PBAjIAO",,,,,"Social","2021-11-04","0lMB0000000RILLMA4","Premium",,"Points",,"AdjustedPoints_Negative","Outlet 8","005B0000006txQYIAY","2021-04-19","003B000000IXi3HIAT",,5,0.05,,0.01,-0.05,-5,5
"Processed","2021-03-15T19:34:37.000Z","2021-03-15T19:34:37.000Z","divya@232loyaltyed2.com",,"Q4Data179 Trail179",,"false","Compensation","Active",,,"Q4Data179 Trail179","NJ",,"Individual","05wB0000001zAwyIAE","IndivAiK_440",,,"https://232loyaltyed2--c.documentforce.com/profilephoto/005/T",,,,"Resolve Disputed Points",,"New Jersey",,"NonQualifying","https://232loyaltyed2--c.documentforce.com/profilephoto/005/T","https://232loyaltyed2--c.documentforce.com/profilephoto/005/F",,,,"2021-02-05","NTO Insider",,,"2021-03-15T19:34:37.000Z","POS",,"Lifetime","0lMB0000000RILNMA4",,"Debit","Q4Data179 Trail179","No",,"NA","005B0000006txQYIAY",,,,"0lpB0000000PBdwIAG",,"0lVB0000001iscWMAQ",,"2021-04-19",,"4.6-9 months","Divya Admin (divya@232loyaltyed2.com)","Resolve Disputed Points","True","Manual Points Adjustment",,"2021-03-15T19:34:37.000Z",,"USA","Divya Admin (divya@232loyaltyed2.com)","Loyalty","AdjustedPoints_Negative","Estb 9",,"0lcB0000000PBAjIAO",,,,,"Web","2021-11-04","0lMB0000000RILNMA4","Premium",,"Points",,"AdjustedPoints_Negative","Outlet 9","005B0000006txQYIAY","2021-04-19","003B000000IXi3JIAT",,5,0.05,,0.01,-0.05,-5,5
"Processed","2021-03-15T19:34:42.000Z","2021-03-15T19:34:41.000Z","divya@232loyaltyed2.com",,"Q4Data180 Trail180",,"false","Compensation","Active",,,"Q4Data180 Trail180","CA",,"Individual","05wB0000001zAx3IAE","IndivAiK_441",,,"https://232loyaltyed2--c.documentforce.com/profilephoto/005/T",,,,"Service Recovery",,"San Francisco",,"NonQualifying","https://232loyaltyed2--c.documentforce.com/profilephoto/005/T","https://232loyaltyed2--c.documentforce.com/profilephoto/005/F",,,,"2020-04-14","NTO Insider",,,"2021-03-15T19:34:42.000Z","Mobile",,"Lifetime","0lMB0000000RILOMA4",,"Debit","Q4Data180 Trail180","No",,"NA","005B0000006txQYIAY",,,,"0lpB0000000PBdwIAG",,"0lVB0000001iscbMAA",,"2021-04-19",,"6.1-2 years","Divya Admin (divya@232loyaltyed2.com)","Service Recovery","True","Manual Points Adjustment",,"2021-03-15T19:34:42.000Z",,"USA","Divya Admin (divya@232loyaltyed2.com)","Loyalty","AdjustedPoints_Negative","Estb 10",,"0lcB0000000PBAjIAO",,,,,"POS","2021-11-04","0lMB0000000RILOMA4","Premium",,"Points",,"AdjustedPoints_Negative","Outlet 10","005B0000006txQYIAY","2021-04-19","003B000000IXi3KIAT",,5,0.05,,0.01,-0.05,-5,5
