"ApprovalChain","ReportName","ReportId","Approver","ApproverName","ApprovalChainRejected","Rejected","TimeResponse"
"Billing","Approvals","00O3c000007Dqc3EAC","Revenue Operations Group","Lynn Legal","Credit Check","Rejected",2.2
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Dolph Director","Discounting","Approved",0.5
"Legal","Approvals","00O3c000007Dqc3EAC","Legal","Bill Joel","Legal","Approved",0.8
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Fiona Finance","Invoice Review for Post","Approved",4.6
"Invoice Review for Post","Approvals","00O3c000007Dqc3EAC","Fulfillment","Victoria VP","Invoice Review for Post","Rejected",1.3
"Milestone Billing ","Approvals","00O3c000007Dqc3EAC","Manager","Dolph Director","Milestone Billing ","Approved",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Fiona Finance","Discounting","Approved",4.6
"Invoice Review for Post","Approvals","00O3c000007Dqc3EAC","Finance","Victoria VP","Invoice Review for Post","Rejected",1.3
"Finance Period Closure Approval","Approvals","00O3c000007Dqc3EAC","Controller","Bill Joel","Credit Check","Approved",0.8
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Lynn Legal","Discounting","Approved",2.2
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Dolph Director","Payment Terms","Rejected",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Victoria VP","Discounting","Approved",1.3
"Billing","Approvals","00O3c000007Dqc3EAC","Revenue Operations Group","Fiona Finance","Payment Terms","Approved",4.6
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Lynn Legal","Discounting","Approved",2.2
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Bill Joel","Discounting","Rejected",0.8
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Victoria VP","Payment Terms","Approved",1.3
"Discounting","Approvals","00O3c000007Dqc3EAC","Finance","Bill Joel","Invoice Run Approval","Approved",0.8
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Lynn Legal","Discounting","Rejected",2.2
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Dolph Director","Discounting","Approved",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Finance","Fiona Finance","Discounting","Approved",4.6
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Fiona Finance","Credit Check","Approved",4.6
"Legal","Approvals","00O3c000007Dqc3EAC","Legal","Victoria VP","Legal","Rejected",1.3
"Billing","Approvals","00O3c000007Dqc3EAC","Revenue Operations Group","Lynn Legal","Credit Check","Approved",2.2
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Dolph Director","Discounting","Approved",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Bill Joel","Discounting","Rejected",0.8
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Lynn Legal","Discounting","Approved",2.2
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Victoria VP","Credit Check","Approved",1.3
"Discounting","Approvals","00O3c000007Dqc3EAC","Finance","Dolph Director","Discounting","Rejected",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Fiona Finance","Discounting","Approved",4.6
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Bill Joel","Discounting","Approved",0.8
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Lynn Legal","Payment Terms","Approved",2.2
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Bill Joel","Discounting","Rejected",0.8
"Billing","Approvals","00O3c000007Dqc3EAC","Revenue Operations Group","Fiona Finance","Payment Terms","Approved",4.6
"Invoice Run Approval","Approvals","00O3c000007Dqc3EAC","Finance","Victoria VP","Discounting","Approved",1.3
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Dolph Director","Discounting","Rejected",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Lynn Legal","Discounting","Approved",2.2
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Bill Joel","Payment Terms","Approved",0.8
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Victoria VP","Discounting","Rejected",1.3
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Fiona Finance","Credit Check","Approved",4.6
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Dolph Director","Discounting","Approved",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Dolph Director","Discounting","Approved",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Victoria VP","Discounting","Rejected",1.3
"Discounting","Approvals","00O3c000007Dqc3EAC","Finance","Bill Joel","Discounting","Approved",0.8
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Lynn Legal","Credit Check","Approved",2.2
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Fiona Finance","Discounting","Rejected",4.6
"Billing","Approvals","00O3c000007Dqc3EAC","Revenue Operations Group","Fiona Finance","Payment Terms","Approved",4.6
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Lynn Legal","Discounting","Approved",2.2
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Dolph Director","Payment Terms","Rejected",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Bill Joel","Discounting","Approved",0.8
"Discounting","Approvals","00O3c000007Dqc3EAC","Finance","Victoria VP","Discounting","Approved",1.3
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Fiona Finance","Discounting","Approved",4.6
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Dolph Director","Discounting","Rejected",0.5
"Legal","Approvals","00O3c000007Dqc3EAC","Legal","Victoria VP","Legal","Approved",1.3
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Lynn Legal","Discounting","Approved",2.2
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Bill Joel","Discounting","Rejected",0.8
"Billing","Approvals","00O3c000007Dqc3EAC","Revenue Operations Group","Lynn Legal","Credit Check","Approved",2.2
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Dolph Director","Credit Check","Approved",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Finance","Fiona Finance","Discounting","Rejected",4.6
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Bill Joel","Payment Terms","Approved",0.8
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Victoria VP","Discounting","Approved",1.3
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Bill Joel","Discounting","Rejected",0.8
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Victoria VP","Payment Terms","Approved",1.3
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Lynn Legal","Discounting","Approved",2.2
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Fiona Finance","Discounting","Approved",4.6
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Dolph Director","Discounting","Rejected",0.5
"Legal","Approvals","00O3c000007Dqc3EAC","Legal","Lynn Legal","Legal","Approved",2.2
"Discounting","Approvals","00O3c000007Dqc3EAC","Finance","Bill Joel","Discounting","Approved",0.8
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Dolph Director","Discounting","Rejected",0.5
"Billing","Approvals","00O3c000007Dqc3EAC","Revenue Operations Group","Victoria VP","Payment Terms","Approved",1.3
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Fiona Finance","Credit Check","Approved",4.6
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Fiona Finance","Payment Terms","Rejected",4.6
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Dolph Director","Discounting","Approved",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Bill Joel","Discounting","Approved",0.8
"Billing","Approvals","00O3c000007Dqc3EAC","Revenue Operations Group","Lynn Legal","Credit Check","Approved",2.2
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Victoria VP","Discounting","Rejected",1.3
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Fiona Finance","Credit Check","Approved",4.6
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Dolph Director","Discounting","Approved",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Victoria VP","Discounting","Rejected",1.3
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Lynn Legal","Discounting","Approved",2.2
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Bill Joel","Credit Check","Approved",0.8
"Discounting","Approvals","00O3c000007Dqc3EAC","Finance","Dolph Director","Discounting","Approved",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Fiona Finance","Discounting","Rejected",4.6
"Legal","Approvals","00O3c000007Dqc3EAC","Legal","Lynn Legal","Legal","Approved",2.2
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Bill Joel","Discounting","Approved",0.8
"Discounting","Approvals","00O3c000007Dqc3EAC","Finance","Victoria VP","Discounting","Rejected",1.3
"Billing","Approvals","00O3c000007Dqc3EAC","Revenue Operations Group","Dolph Director","Credit Check","Approved",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Bill Joel","Discounting","Approved",0.8
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Fiona Finance","Discounting","Rejected",4.6
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Victoria VP","Payment Terms","Approved",1.3
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Lynn Legal","Discounting","Approved",2.2
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Fiona Finance","Credit Check","Approved",4.6
"Discounting","Approvals","00O3c000007Dqc3EAC","Finance","Victoria VP","Discounting","Rejected",1.3
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Lynn Legal","Discounting","Approved",2.2
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Dolph Director","Discounting","Approved",0.5
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Bill Joel","Payment Terms","Rejected",0.8
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Fiona Finance","Discounting","Approved",4.6
"Discounting","Approvals","00O3c000007Dqc3EAC","Manager","Bill Joel","Discounting","Approved",0.8
"Billing","Approvals","00O3c000007Dqc3EAC","Revenue Operations Group","Lynn Legal","Payment Terms","Rejected",2.2
"Billing","Approvals","00O3c000007Dqc3EAC","Controller","Dolph Director","Payment Terms","Approved",0.5
"Discounting","Approvals","00O3c000007Dqc3EAC","Finance","Victoria VP","Discounting","Approved",1.3
"Discounting","Approvals","00O3c000007Dqc3EAC","Director","Dolph Director","Discounting","Rejected",0.5
