"UserName","LastProcessedDate","Photo","Manager","CloseDate","Role","UserExternalId","QuotaAttainment","Quota","PipelineForecast","ClosedWonForecast","ClosedWon","CommitForecast"
"Jennifer Lee","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJN/T","Michelle Chung","2022-06-06","West CSR","W_User.4",90,400000,480686,407639,366875,675824
"Bob Hodges","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c382/T","Acme Dispatcher","2022-10-13","Omega, Inc. Customer Executive","User.061",95,300000,338808,284386,270167,488230
"Taylor Gonzalez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIU/T","Cindy Central","2022-12-03","Central CSR","W_User.11",108,500000,613789,513300,554364,999866
"Steve Ishikawa","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37g/T","Acme Dispatcher","2022-12-15","Vand Enterprises, Inc. Customer User","User.036",70,400000,498587,444803,311362,522063
"John Smith","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38R/T",,"2022-09-08","CEO","User.163",40,200000,238049,279933,111973,169123
"Dustin Good","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIo/T","John Smith","2022-05-05","East CSR","W_User.14",85,300000,354691,304131,258511,468720
"Kimberly Nixon","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIK/T","Wanda Wilson","2022-02-26","Central CSR","W_User.7",60,500000,571854,527795,316677,351769
"Jennifer Perez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJJ/T","Michelle Chung","2022-08-21","West CSR","W_User.1",80,200000,246536,223749,178999,320371
"Karen Perez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIe/T","John Smith","2022-03-16","East CSR","W_User.12",60,400000,501436,457305,274383,280213
"Sue Marketing","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37a/T","Acme Dispatcher","2022-07-24","VP of Marketing","User.017",55,400000,471236,482609,265435,416288
"Wanda Wilson","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHS2/T",,"2022-05-03","CEO","User.001",55,400000,487850,446460,245553,398178
"Jennifer Adams","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJ8/T","Michelle Chung","2022-01-29","West CSR","W_User.3",60,200000,237074,230718,138431,150748
"Social Hub","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c380/T",,"2022-12-14","CEO","User.068",105,200000,247955,197556,207434,381310
"Diane Brock","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJI/T","Michelle Chung","2022-09-14","West CSR","W_User.2",95,400000,472321,412643,392011,706222
"Neil Patel","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37q/T","Acme Dispatcher","2022-11-30","Social Media Manager","User.065",60,200000,238161,206577,123946,167460
"Ricky East","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36X/T","Dustin Good","2022-04-30","East Sales","User.019",105,400000,474511,388912,408358,739925
"Mark Kingston","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37f/T","Acme Dispatcher","2022-02-18","Omega, Inc. Customer Executive","User.026",90,300000,347067,305693,275124,501560
