ForecastName,SnapshotTextDate,OwnerName,SmallPhotoUrl,ForecastCategory,ProjectedMultiplier,TotalAttainment,AttainmentMultiplier,ForecastAmount,ForecastMultiplier,LastProcessedDate,Manager,OwnerId,PeriodEndDate,PeriodStartDate,PeriodAuxDate,PeriodName,Role,SnapshotDate,SnapshotName
44 for Commit,2021-06-09,Rebecca Espinoza,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,44,1,"$228,800.00",1,2021-06-09,Gary Hill,,2021-05-13,2021-04-14,2021-04-16,1 Month Ago,West Sales,2021-06-09,Today
90 for Closed,2021-05-10,Devin Washington,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,90,1,"$468,000.00",1,2021-06-09,Brian Chandler,,2021-04-13,2021-03-14,2021-04-03,2 Months Ago,East Sales,2021-05-10,1 Month Ago
15 for Pipeline,2021-04-09,Nicole Bowers,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Dean Pierce,,2021-06-13,2021-05-14,2021-06-09,Current Month,Central Sales,2021-04-09,2 Months Ago
25 for Best Case,2021-03-12,Kylie Cannon,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Dean Pierce,,2021-03-13,2021-02-14,2021-03-08,3 Months Ago,Central Sales,2021-03-12,3 Months Ago
15 for Pipeline,2021-04-09,Lucas Baxter,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Brian Chandler,,2021-02-13,2021-01-14,2021-01-14,4 Months Ago,East Sales,2021-04-09,2 Months Ago
25 for Best Case,2021-03-12,Karen Mccann,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Gary Hill,,2021-01-13,2020-12-14,2020-12-15,5 Months Ago,West Sales,2021-03-12,3 Months Ago
85 for Closed Erica,2021-05-10,Amy Thomas,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,85,1,"$531,250.00",1,2021-06-09,Gary Hill,,2021-02-13,2021-01-14,2021-01-14,4 Months Ago,West Sales,2021-05-10,1 Month Ago
70 for Closed Erica,2021-06-09,Amy Johnson,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,70,1,"$427,000.00",1,2021-06-09,Gary Hill,,2021-01-13,2020-12-14,2021-01-06,5 Months Ago,West Sales,2021-06-09,Today
25 for Best Case,2021-05-10,Ebony Ali,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Gary Hill,,2021-06-13,2021-05-14,2021-06-09,Current Month,West Sales,2021-05-10,1 Month Ago
15 for Pipeline,2021-04-09,Erica Fletcher,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,Pipeline,0.82,15,0.85,"$78,000.00",0.75,2021-06-09,Mary Eng,005B0000006zLBdIAM,2021-04-13,2021-03-14,2021-04-05,2 Months Ago,RVP Central,2021-04-09,2 Months Ago
55 for Commit,2021-06-09,Elizabeth Lewis,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,55,1,"$286,000.00",1,2021-06-09,Dean Pierce,,2021-03-13,2021-02-14,2021-03-05,3 Months Ago,Central Sales,2021-06-09,Today
93 for Closed Erica,2021-03-12,Brian Chandler,https://c.gus.content.force.com/profilephoto/729B0000000Pvwt/T,Closed,1,93,1,"$581,250.00",1,2021-06-09,Mary Eng,005B0000006zLFOIA2,2021-05-13,2021-04-14,2021-04-19,1 Month Ago,RVP East,2021-03-12,3 Months Ago
85 for Closed,2021-05-10,Patricia Shepard,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,85,1,"$442,000.00",1,2021-06-09,Brian Chandler,,2021-01-13,2020-12-14,2020-12-15,5 Months Ago,East Sales,2021-05-10,1 Month Ago
15 for Pipeline,2021-06-09,Beth Malone,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Gary Hill,,2021-06-13,2021-05-14,2021-06-09,Current Month,West Sales,2021-06-09,Today
75 for Closed Erica,2021-04-09,Dean Pierce,https://c.gus.content.force.com/profilephoto/729B0000000IUx9/T,Commit,1,75,1,"$457,500.00",1,2021-06-09,Mary Eng,005B0000006zLDrIAM,2021-05-13,2021-04-14,2021-04-16,1 Month Ago,RVP Central,2021-04-09,2 Months Ago
25 for Best Case,2021-03-12,Jane Martin,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Dean Pierce,,2021-03-13,2021-02-14,2021-03-01,3 Months Ago,Central Sales,2021-03-12,3 Months Ago
