SnapshotTextDate,OwnerName,AccountId,SmallPhotoUrl,ForecastCategory,PredictedWinRate,WinRate,Amount,AccountName,CloseDate,CreatedDate,IsClosed,IsWon,LastProcessedDate,Manager,OpportunityName,OpportunityId,OwnerId,PeriodEndDate,PeriodStartDate,Role,SnapshotDate,SnapshotName
2021-04-09,Patricia Shepard,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,85,86,"$649,500.00",Convergence Data,2021-04-14,2021-02-14,false,false,2021-06-09,Brian Chandler,Convergence Data 1,,,2021-04-19,2021-03-20,East Sales,2021-04-09,2 Months Ago
2021-03-12,Rebecca Espinoza,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,90,89,"$540,500.00",Cargill Service Operations,2020-07-31,2020-06-01,true,true,2021-06-09,Gary Hill,Cargill Service Operations 2,,,2021-03-19,2021-02-20,West Sales,2021-03-12,3 Months Ago
2021-06-09,Devin Washington,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,58,61,"$692,000.00",Cosmetic Essence Inc,2021-07-07,2021-04-18,true,true,2021-06-09,Brian Chandler,Cosmetic Essence Inc 3,,,2021-06-19,2021-05-20,East Sales,2021-06-09,Today
2021-05-10,Nicole Bowers,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,57,54,"$579,500.00",Continuum Applied Technology,2020-10-19,2020-07-29,false,false,2021-06-09,Dean Pierce,Continuum Applied Technology 4,,,2021-05-19,2021-04-20,Central Sales,2021-05-10,1 Month Ago
2021-04-09,Jane Martin,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,72,74,"$542,000.00",Dixon Inc [2422],2020-09-13,2020-06-24,true,true,2021-06-09,Dean Pierce,Dixon Inc [2422] 5,,,2021-04-19,2021-03-20,Central Sales,2021-04-09,2 Months Ago
2021-03-12,Brian Chandler,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwt/T,Closed,60,63,"$622,500.00",Coviant,2021-07-23,2021-05-09,false,false,2021-06-09,Mary Eng,Coviant 6,,005B0000006zLFOIA2,2021-03-19,2021-02-20,RVP East,2021-03-12,3 Months Ago
2021-06-09,Karen Mccann,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,72,70,"$747,000.00",Boomerangit,2020-08-18,2020-07-12,true,false,2021-06-09,Gary Hill,Boomerangit 7,,,2021-06-19,2021-05-20,West Sales,2021-06-09,Today
2021-05-10,Dean Pierce,,https://c.gus.content.force.com/profilephoto/729B0000000IUx9/T,Pipeline,57,58,"$682,000.00",Catalog.com,2020-12-01,2020-09-17,false,true,2021-06-09,Mary Eng,Catalog.com 8,,005B0000006zLDrIAM,2021-05-19,2021-04-20,RVP Central,2021-05-10,1 Month Ago
2021-06-09,Mary Eng,,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,Closed,88,89,"$608,500.00",Cree,2021-04-27,2021-03-27,false,true,2021-06-09,,Cree 9,,005B0000006zLGfIAM,2021-06-19,2021-05-20,VP of Sales,2021-06-09,Today
2021-03-12,Austin Le,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,74,77,"$602,500.00",Clayton Inc [2220],2020-11-19,2020-09-03,true,false,2021-06-09,Brian Chandler,Clayton Inc [2220] 10,,,2021-03-19,2021-02-20,East Sales,2021-03-12,3 Months Ago
2021-04-09,Kylie Cannon,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,86,85,"$694,500.00",Eclipsys Corporation,2021-07-11,2021-05-31,false,true,2021-06-09,Dean Pierce,Eclipsys Corporation 11,,,2021-04-19,2021-03-20,Central Sales,2021-04-09,2 Months Ago
2021-05-10,Lucas Baxter,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,68,63,"$662,500.00",Edge Communications,2020-09-30,2020-07-18,true,false,2021-06-09,Brian Chandler,Edge Communications 12,,,2021-05-19,2021-04-20,East Sales,2021-05-10,1 Month Ago
2021-06-09,Ebony Ali,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,63,67,"$571,500.00",CommTech Industries,2021-03-18,2021-02-16,false,false,2021-06-09,Gary Hill,CommTech Industries 13,,,2021-06-19,2021-05-20,West Sales,2021-06-09,Today
2021-04-09,Amy Johnson,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,79,77,"$603,000.00",Content Enablers,2020-07-23,2020-04-24,true,true,2021-06-09,Gary Hill,Content Enablers 14,,,2021-04-19,2021-03-20,West Sales,2021-04-09,2 Months Ago
2021-05-10,Beth Malone,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,75,74,"$560,500.00",Eastern Technology Corp.,2020-11-14,2020-10-10,true,false,2021-06-09,Gary Hill,Eastern Technology Corp. 15,,,2021-05-19,2021-04-20,West Sales,2021-05-10,1 Month Ago
2021-03-12,Gary Hill,,https://c.gus.content.force.com/profilephoto/729B0000000PvxE/T,Closed,52,51,"$507,000.00",Edwards Inc [2051],2020-10-20,2020-09-12,false,true,2021-06-09,Mary Eng,Edwards Inc [2051] 16,,005B0000006zLFqIAM,2021-03-19,2021-02-20,RVP West,2021-03-12,3 Months Ago
2021-04-09,Oscar Anthony,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,54,55,"$719,000.00",Duke Energy,2021-07-06,2021-05-10,false,false,2021-06-09,Brian Chandler,Duke Energy 17,,,2021-04-19,2021-03-20,East Sales,2021-04-09,2 Months Ago
2021-05-10,Amy Thomas,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,83,85,"$514,500.00",EHMI,2021-07-01,2021-05-01,true,true,2021-06-09,Gary Hill,EHMI 18,,,2021-05-19,2021-04-20,West Sales,2021-05-10,1 Month Ago
