OwnerName,AccountId,ForecastCategory,IsClosed,Manager,PredictedWinRate,PipeGenerated,PipeCoverage,EventCount,TaskCount,AccountName,ActivitiesBucket,ActivityCount,Amount,CallCount,CloseDate,ClosedWon,CreatedDate,EmailCount,IsWon,LastProcessedDate,OpportunityName,OpportunityId,OwnerId,Probability,Role,SmallPhotoUrl,WinRate
Oscar Anthony,,Best Case,false,Brian Chandler,54,"$4,200,000.00",2.5,8,5,Computerized Facility Integration,4 - 8,24,"$83,000.00",6,2021-05-21,"$2,900,000.00",2021-03-23,5,false,2021-06-02,Computerized Facility Integration 1,,,60,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,57
Jane Martin,,Closed,true,Dean Pierce,77,"$3,300,000.00",2.41,11,10,CarrierPoint,8 - 12,44,"$76,000.00",11,2020-10-04,"$1,500,000.00",2020-08-17,12,true,2021-06-02,CarrierPoint 2,,,100,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,75
Amy Johnson,,Commit,true,Gary Hill,88,"$4,150,000.00",2.36,10,10,Commercial Federal Bank Inc,8 - 12,37,"$28,000.00",8,2021-05-10,"$1,500,000.00",2021-03-06,9,true,2021-06-02,Commercial Federal Bank Inc 3,,,90,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,89
Lucas Baxter,,Pipeline,true,Brian Chandler,52,"$3,900,000.00",2.05,12,9,Concrete.com,8 - 12,44,"$86,000.00",11,2021-02-13,"$1,500,000.00",2020-11-25,12,false,2021-06-02,Concrete.com 4,,,55,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,51
Brian Chandler,,Closed,true,Mary Eng,74,"$3,350,000.00",2.38,8,6,Concuity,4 - 8,27,"$53,000.00",5,2021-04-27,"$1,500,000.00",2021-03-15,8,true,2021-06-02,Concuity 5,,005B0000006zLFOIA2,100,RVP East,https://c.gus.content.force.com/profilephoto/729B0000000Pvwt/T,76
Elizabeth Lewis,,Commit,false,Dean Pierce,81,"$4,200,000.00",2.5,9,12,BondRewards,8 - 12,39,"$35,000.00",8,2020-09-23,"$2,900,000.00",2020-07-11,10,false,2021-06-02,BondRewards 6,,,90,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,79
Patricia Shepard,,Closed,true,Brian Chandler,63,"$4,150,000.00",2.13,8,9,Corio,8 - 12,40,"$95,000.00",12,2020-10-30,"$1,500,000.00",2020-09-05,11,true,2021-06-02,Corio 7,,,100,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,63
Mary Eng,,Pipeline,false,,80,"$4,450,000.00",2.18,5,6,BotTechnology.com,4 - 8,20,"$97,000.00",5,2020-11-08,"$1,500,000.00",2020-08-15,4,false,2021-06-02,BotTechnology.com 8,,005B0000006zLGfIAM,50,VP of Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,83
Gary Hill,,Commit,true,Mary Eng,87,"$4,300,000.00",2.55,8,12,Cogent Business Applications,8 - 12,43,"$91,000.00",11,2021-02-05,"$1,500,000.00",2020-12-27,12,true,2021-06-02,Cogent Business Applications 9,,005B0000006zLFqIAM,70,RVP West,https://c.gus.content.force.com/profilephoto/729B0000000PvxE/T,87
Dean Pierce,,Best Case,true,Mary Eng,54,"$4,200,000.00",2.5,10,8,Bartlett Nuclear,8 - 12,39,"$82,000.00",10,2021-01-01,"$2,900,000.00",2020-11-24,11,false,2021-06-02,Bartlett Nuclear 10,,005B0000006zLDrIAM,60,RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000IUx9/T,53
