"User.Role.RoleNamesPath","User.Role.ForecastManager.UniqueUserName","User.SmallPhotoUrl","User.UserRoleId","User.Role.ParentRole.ForecastManager.UniqueUserName","User.Role.ParentRole.DeveloperName","Name","Industry","User.Role.DeveloperName","User.IsActive","OwnerId","User.Role.ForecastManager.Name","User.Username","User.Role.Name","AccountSource","User.Role.ForecastManager.ForecastEnabled","User.Role.ParentRole.Name","User.Name","User.Role.RoleNames","User.UniqueUserName","User.Role.ParentRoleId","Type","BillingCountry","User.Role.ParentRole.ForecastManager.Name","User.Role.Roles","CreatedDate","LastActivityDate","User.ForecastEnabled","Id","BillingState","User.Role.RolePath","NumberOfEmployees","AnnualRevenue"
,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,,,"kelahuane","Consulting",,"true","005B0000006YzV7IAK",,"servicewaveadmin.2v3twssrkgth.tumpggnw6j9x.u6nrtszcdu.5qcubuwaugst@gs0.org",,"Web",,,"Service admin",,"Service admin",,,"USA",,,"2020-02-24T19:15:06.000Z","2021-02-12","false","001B000001AkPAkIAN","IN",,,
,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,,,"bo","Manufacturing",,"true","005B0000006YzVGIA0",,"jon.snow.nuwfs5zizr7w.f6laotu4mdhw@gs0.org",,"Employee Referral",,,"Jon Snow",,"Jon Snow",,,"USA",,,"2020-02-24T19:15:06.000Z",,"false","001B000001AkPAlIAN","IN",,,
,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lgAZMAY",,"CEO","Craig Inc [372]","Consulting","CS_Director","true","005B0000006YzVJIA0",,"aeinstein.3hn12r9kihmm.4xeiza6uttg0.ccgwtu7doy5k.aupuyc22vv1v@gs0.org","CS Director","Employee Referral",,"CEO","Cindy Miller",,"Cindy Miller","00EB0000000lgAUMAY","Partner","Spain",,"00EB0000000lgAUMAY","2020-02-24T19:15:06.000Z","2019-09-05","false","001B000001AkPApIAN",,"00EB0000000lgAZMAY/00EB0000000lgAUMAY",40286,8886315000
,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lgAZMAY",,"CEO","Fletcher Inc [211]","Energy","CS_Director","true","005B0000006YzVJIA0",,"aeinstein.3hn12r9kihmm.4xeiza6uttg0.ccgwtu7doy5k.aupuyc22vv1v@gs0.org","CS Director","Public Relations",,"CEO","Cindy Miller",,"Cindy Miller","00EB0000000lgAUMAY","Customer","Singapore",,"00EB0000000lgAUMAY","2020-02-24T19:15:06.000Z","2019-07-23","false","001B000001AkPAqIAN",,"00EB0000000lgAZMAY/00EB0000000lgAUMAY",10730,6237626000
,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,,,"Cain Inc [639]","Agriculture",,"true","005B0000006YzVRIA0",,"nchomsky.ufae6wwckk9s.vwbqccc0njkk.gw9rklbrvcsd.a0n4lwzltroi@gs0.org",,"Advertisement",,,"Naom Chomsky",,"Naom Chomsky",,"Customer","Italy",,,"2020-02-24T19:15:06.000Z",,"false","001B000001AkPArIAN",,,17088,5822987000
"Grace Hopper",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lgAZMAY",,"CEO","Walker Inc [692]","Manufacturing","CS_Director","true","005B0000006YzVOIA0",,"ghopper.wvyn8r31z2wl.xfcmvqcjzkhx.lawd5kfgnkqi.lxaegsszqjbm.xvtnujjmtiic@gs0.org","CS Director","Public Relations",,"CEO","Grace Hopper","Grace Hopper","Grace Hopper","00EB0000000lgAUMAY","Partner","Brazil",,"00EB0000000lgAUMAY","2020-02-24T19:15:06.000Z","2019-11-22","true","001B000001AkPAsIAN",,"00EB0000000lgAZMAY/00EB0000000lgAUMAY",37210,2624353000
,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,,,"Buchanan Inc [180]","Consulting",,"true","005B0000006YzV7IAK",,"servicewaveadmin.2v3twssrkgth.tumpggnw6j9x.u6nrtszcdu.5qcubuwaugst@gs0.org",,"Word of mouth",,,"Service admin",,"Service admin",,"Customer","Italy",,,"2020-02-24T19:15:06.000Z","2020-01-28","false","001B000001AkPAtIAN",,,4924,4383451000
,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,,,"West Inc [830]","Energy",,"true","005B0000006YzVAIA0",,"blitz.2144_read.htdb1b7coft3.ggxdlaouym9r.s7kynipqfh0r.e8pitiqhyegn@gs0.org",,"Word of mouth",,,"Blitz Platform Integration User",,"Blitz Platform Integration User",,"Customer","Japan",,,"2020-02-24T19:15:06.000Z","2019-12-24","false","001B000001AkPAuIAN",,,38553,6504303000
,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,,,"Owens Inc [844]","Biotechnology",,"true","005B0000006YzV7IAK",,"servicewaveadmin.2v3twssrkgth.tumpggnw6j9x.u6nrtszcdu.5qcubuwaugst@gs0.org",,"Trade Show",,,"Service admin",,"Service admin",,"Customer","Hong Kong",,,"2020-02-24T19:15:06.000Z","2019-01-30","false","001B000001AkPAvIAN",,,11430,1984167000
"Emily Dickinson",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,,,"Cannon Inc [916]","Engineering",,"true","005B0000006YzVPIA0",,"edickinson.2ou2hzestkvu.iakevcirz6it.esteqqdjq5iq.fl1kscwpqdhh@gs0.org",,"Web",,,"Emily Dickinson","Emily Dickinson","Emily Dickinson",,"Partner","Japan",,,"2020-02-24T19:15:06.000Z",,"true","001B000001AkPAwIAN",,,43138,6440768000
,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,,,"Burgess Inc [560]","Banking",,"true","005B0000006YzVRIA0",,"nchomsky.ufae6wwckk9s.vwbqccc0njkk.gw9rklbrvcsd.a0n4lwzltroi@gs0.org",,"Partner",,,"Naom Chomsky",,"Naom Chomsky",,"Customer","USA",,,"2020-02-24T19:15:06.000Z","2019-09-01","false","001B000001AkPAxIAN","VT",,12956,9315198000
,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lgAUMAY",,,"Medina Inc [221]","Manufacturing","CEO","true","005B0000006YzVKIA0",,"hsolo.vbsx1qfaenqe.mn8xxb2bfcme.fghu6bv0ajac.0hp7ofch.hd6vgyp5xyfr@gs0.org","CEO","Advertisement",,,"Hans Solo",,"Hans Solo",,"Customer","Spain",,"00EB0000000lgAUMAY","2020-02-24T19:15:06.000Z","2020-03-03","false","001B000001AkPAyIAN",,"00EB0000000lgAUMAY",10621,9904314000
,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lgAZMAY",,"CEO","Alexander Inc [469]","Telecommunications","CS_Director","true","005B0000006YzVJIA0",,"aeinstein.3hn12r9kihmm.4xeiza6uttg0.ccgwtu7doy5k.aupuyc22vv1v@gs0.org","CS Director","Public Relations",,"CEO","Cindy Miller",,"Cindy Miller","00EB0000000lgAUMAY","Customer","Japan",,"00EB0000000lgAUMAY","2020-02-24T19:15:06.000Z","2019-09-18","false","001B000001AkPAzIAN",,"00EB0000000lgAZMAY/00EB0000000lgAUMAY",47686,5499653000
,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,,,"Jimenez Inc [912]","Technology",,"true","005B0000006YzVMIA0",,"servicereadonly.kcqpibq2xhoq.bt1fzawzsbig.vw3labdbm9v.wyqmsbdjj4pp@gs0.org",,"Web",,,"Service ReadOnly",,"Service ReadOnly",,"Customer","Germany",,,"2020-02-24T19:15:06.000Z","2019-04-21","false","001B000001AkPB0IAN",,,11836,8283068000
