"User.Role.RoleNamesPath","IsAmount","User.Role.ForecastManager.UniqueUserName","User.SmallPhotoUrl","User.UserRoleId","HasAdjustment","User.Role.ParentRole.ForecastManager.UniqueUserName","ForecastingType.MasterLabel","User.Role.ParentRole.DeveloperName","User.Role.DeveloperName","ForecastingType.IsAmount","OwnerId","User.Role.ForecastManager.Name","User.Username","User.Role.Name","User.Role.ForecastManager.ForecastEnabled","User.Role.ParentRole.Name","Period.IsForecastPeriod","ForecastingType.DeveloperName","User.Name","User.Role.RoleNames","User.LastName","Period.Type","Period.EndDate","PeriodId","User.UniqueUserName","ForecastingType.IsActive","User.Role.ParentRoleId","ForecastingTypeId","Period.StartDate","User.Role.ParentRole.ForecastManager.Name","User.Role.Roles","HasOwnerAdjustment","User.ForecastEnabled","Id","ForecastingType.IsQuantity","ForecastCategoryName","User.Role.RolePath","AmountWithoutOwnerAdjustment","AmountWithoutManagerAdjustment","AmountWithoutAdjustments","ForecastAmount"
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2019-08-31","026B0000000kC3FIAU","Mary Eng","true",,"0DbB0000001948lKAA","2019-08-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lE9nKAE","false","Closed","00EB0000000lg9lMAA",6360937,6360937,6360937,6360937
"Amartya Sen","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVLIA0","Mary Eng","asen.hzrt3sjezvqv.ctxeq0yeuh1t.v2wwcuhdzhia.ciczvotmc.lwq3igz2jkjv@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Amartya Sen","Amartya Sen","Sen","Month","2021-01-31","026B0000000kC3gIAE","Amartya Sen","true",,"0DbB0000001948lKAA","2021-01-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lE9oKAE","false","Pipeline","00EB0000000lg9lMAA",0,0,0,0
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2019-01-31","026B0000000kC38IAE","Mary Eng","true",,"0DbB0000001948lKAA","2019-01-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lE9sKAE","false","Closed","00EB0000000lg9lMAA",2655496,2655496,2655496,2655496
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2019-09-30","026B0000000kC3GIAU","Mary Eng","true",,"0DbB0000001948lKAA","2019-09-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lE9xKAE","false","Closed","00EB0000000lg9lMAA",3723594,3723594,3723594,3723594
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2020-05-31","026B0000000kC3TIAU","Mary Eng","true",,"0DbB0000001948lKAA","2020-05-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEA2KAM","false","Commit","00EB0000000lg9lMAA",1773163,1773163,1773163,1773163
"Emily Dickinson","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,"false",,"Opportunity Revenue",,,"true","005B0000006YzVPIA0",,"edickinson.2ou2hzestkvu.iakevcirz6it.esteqqdjq5iq.fl1kscwpqdhh@gs0.org",,,,"true","OpportunityRevenue","Emily Dickinson","Emily Dickinson","Dickinson","Month","2019-08-31","026B0000000kC3FIAU","Emily Dickinson","true",,"0DbB0000001948lKAA","2019-08-01",,,"false","true","0G3B0000006lEA3KAM","false","Closed",,19101399,19101399,19101399,19101399
"Emily Dickinson","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,"false",,"Opportunity Revenue",,,"true","005B0000006YzVPIA0",,"edickinson.2ou2hzestkvu.iakevcirz6it.esteqqdjq5iq.fl1kscwpqdhh@gs0.org",,,,"true","OpportunityRevenue","Emily Dickinson","Emily Dickinson","Dickinson","Month","2019-06-30","026B0000000kC3DIAU","Emily Dickinson","true",,"0DbB0000001948lKAA","2019-06-01",,,"false","true","0G3B0000006lEA4KAM","false","Closed",,13618961,13618961,13618961,13618961
"Grace Hopper","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lgAZMAY","false",,"Opportunity Revenue","CEO","CS_Director","true","005B0000006YzVOIA0",,"ghopper.wvyn8r31z2wl.xfcmvqcjzkhx.lawd5kfgnkqi.lxaegsszqjbm.xvtnujjmtiic@gs0.org","CS Director",,"CEO","true","OpportunityRevenue","Grace Hopper","Grace Hopper","Hopper","Month","2021-01-31","026B0000000kC3gIAE","Grace Hopper","true","00EB0000000lgAUMAY","0DbB0000001948lKAA","2021-01-01",,"00EB0000000lgAUMAY","false","true","0G3B0000006lEA5KAM","false","Pipeline","00EB0000000lgAZMAY/00EB0000000lgAUMAY",48891,48891,48891,48891
"Grace Hopper","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lgAZMAY","false",,"Opportunity Revenue","CEO","CS_Director","true","005B0000006YzVOIA0",,"ghopper.wvyn8r31z2wl.xfcmvqcjzkhx.lawd5kfgnkqi.lxaegsszqjbm.xvtnujjmtiic@gs0.org","CS Director",,"CEO","true","OpportunityRevenue","Grace Hopper","Grace Hopper","Hopper","Month","2021-01-31","026B0000000kC3gIAE","Grace Hopper","true","00EB0000000lgAUMAY","0DbB0000001948lKAA","2021-01-01",,"00EB0000000lgAUMAY","false","true","0G3B0000006lEA6KAM","false","Best Case","00EB0000000lgAZMAY/00EB0000000lgAUMAY",480629,480629,480629,480629
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"false","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2018-12-31","026B0000000kC4PIAU","Mary Eng","true",,"0DbB0000001948lKAA","2018-12-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEA7KAM","false","Closed","00EB0000000lg9lMAA",2795302,2795302,2795302,2795302
