"ProductFamily","IsAmount","Quota.Role.Name","Quota.ForecastEnabled","Quota.Role.Roles","Quota.LastName","Quota.IsActive","Quota.UserRoleId","StartDate","Quota.Role.DeveloperName","Quota.Username","Quota.Role.ParentRole.DeveloperName","Quota.SmallPhotoUrl","Quota.UniqueUserName","Quota.ManagerId","Quota.Role.ParentRole.Name","Quota.Role.RolePath","Quota.Role.RoleNamesPath","Quota.Role.RoleNames","Quota.FirstName","PeriodId","Quota.Role.ForecastManager.Name","Quota.Role.ParentRoleId","Quota.Name","Quota.Role.ParentRole.ForecastManager.Name","Quota.Role.ForecastManager.UniqueUserName","ForecastingTypeId","QuotaOwnerId","Quota.Role.ParentRole.ForecastManager.UniqueUserName","Id","Quota.Role.ForecastManager.ForecastEnabled","QuotaQuantity","QuotaAmount"
,"true","East Sales","true","00EB0000000azEDMAY","Crawford","true","00EB0000000azEDMAY","2020-01-01","EastSales","jmeyer1615836938140@demo.user","RVPEast","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs35/T","Erica Fletcher","005B0000003JbhdIAC","RVP East","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Erica Fletcher/Brandon Thomas/Elliot Shapiro/Admin","Admin","Beth","026B0000000UpRLIA0",,"00EB0000000azEHMAY","Erica Fletcher","Brandon Thomas",,"0DbB0000000DMwuKAG","005B0000003CnfJIAS","Brandon Thomas","0J9B0000000J7W6KAK",,0,300000
,"true","East Sales","true","00EB0000000azEDMAY","Crawford","true","00EB0000000azEDMAY","2020-02-01","EastSales","jmeyer1615836938140@demo.user","RVPEast","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs35/T","Erica Fletcher","005B0000003JbhdIAC","RVP East","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Erica Fletcher/Brandon Thomas/Elliot Shapiro/Admin","Admin","Beth","026B0000000UpRMIA0",,"00EB0000000azEHMAY","Erica Fletcher","Brandon Thomas",,"0DbB0000000DMwuKAG","005B0000003CnfJIAS","Brandon Thomas","0J9B0000000J7W7KAK",,0,750000
,"true","East Sales","true","00EB0000000azEDMAY","Crawford","true","00EB0000000azEDMAY","2020-03-01","EastSales","jmeyer1615836938140@demo.user","RVPEast","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs35/T","Erica Fletcher","005B0000003JbhdIAC","RVP East","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Erica Fletcher/Brandon Thomas/Elliot Shapiro/Admin","Admin","Beth","026B0000000UpRNIA0",,"00EB0000000azEHMAY","Erica Fletcher","Brandon Thomas",,"0DbB0000000DMwuKAG","005B0000003CnfJIAS","Brandon Thomas","0J9B0000000J7W8KAK",,0,500000
,"true","East Sales","true","00EB0000000azEDMAY","Crawford","true","00EB0000000azEDMAY","2020-04-01","EastSales","jmeyer1615836938140@demo.user","RVPEast","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs35/T","Erica Fletcher","005B0000003JbhdIAC","RVP East","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Erica Fletcher/Brandon Thomas/Elliot Shapiro/Admin","Admin","Beth","026B0000000UpROIA0",,"00EB0000000azEHMAY","Erica Fletcher","Brandon Thomas",,"0DbB0000000DMwuKAG","005B0000003CnfJIAS","Brandon Thomas","0J9B0000000J7W9KAK",,0,300000
,"true","East Sales","true","00EB0000000azEDMAY","Crawford","true","00EB0000000azEDMAY","2020-05-01","EastSales","jmeyer1615836938140@demo.user","RVPEast","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs35/T","Erica Fletcher","005B0000003JbhdIAC","RVP East","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Erica Fletcher/Brandon Thomas/Elliot Shapiro/Admin","Admin","Beth","026B0000000UpRPIA0",,"00EB0000000azEHMAY","Erica Fletcher","Brandon Thomas",,"0DbB0000000DMwuKAG","005B0000003CnfJIAS","Brandon Thomas","0J9B0000000J7WAKA0",,0,750000
,"true","East Sales","true","00EB0000000azEDMAY","Crawford","true","00EB0000000azEDMAY","2020-06-01","EastSales","jmeyer1615836938140@demo.user","RVPEast","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs35/T","Erica Fletcher","005B0000003JbhdIAC","RVP East","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Erica Fletcher/Brandon Thomas/Elliot Shapiro/Admin","Admin","Beth","026B0000000UpRQIA0",,"00EB0000000azEHMAY","Erica Fletcher","Brandon Thomas",,"0DbB0000000DMwuKAG","005B0000003CnfJIAS","Brandon Thomas","0J9B0000000J7WBKA0",,0,500000
,"true","East Sales","true","00EB0000000azEDMAY","Crawford","true","00EB0000000azEDMAY","2020-07-01","EastSales","jmeyer1615836938140@demo.user","RVPEast","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs35/T","Erica Fletcher","005B0000003JbhdIAC","RVP East","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Erica Fletcher/Brandon Thomas/Elliot Shapiro/Admin","Admin","Beth","026B0000000UpRRIA0",,"00EB0000000azEHMAY","Erica Fletcher","Brandon Thomas",,"0DbB0000000DMwuKAG","005B0000003CnfJIAS","Brandon Thomas","0J9B0000000J7WCKA0",,0,300000
,"true","East Sales","true","00EB0000000azEDMAY","Crawford","true","00EB0000000azEDMAY","2020-08-01","EastSales","jmeyer1615836938140@demo.user","RVPEast","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs35/T","Erica Fletcher","005B0000003JbhdIAC","RVP East","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Erica Fletcher/Brandon Thomas/Elliot Shapiro/Admin","Admin","Beth","026B0000000UpRSIA0",,"00EB0000000azEHMAY","Erica Fletcher","Brandon Thomas",,"0DbB0000000DMwuKAG","005B0000003CnfJIAS","Brandon Thomas","0J9B0000000J7WDKA0",,0,750000
,"true","East Sales","true","00EB0000000azEDMAY","Crawford","true","00EB0000000azEDMAY","2020-09-01","EastSales","jmeyer1615836938140@demo.user","RVPEast","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs35/T","Erica Fletcher","005B0000003JbhdIAC","RVP East","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Erica Fletcher/Brandon Thomas/Elliot Shapiro/Admin","Admin","Beth","026B0000000UpRTIA0",,"00EB0000000azEHMAY","Erica Fletcher","Brandon Thomas",,"0DbB0000000DMwuKAG","005B0000003CnfJIAS","Brandon Thomas","0J9B0000000J7WEKA0",,0,500000
,"true","East Sales","true","00EB0000000azEDMAY","Crawford","true","00EB0000000azEDMAY","2020-10-01","EastSales","jmeyer1615836938140@demo.user","RVPEast","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs35/T","Erica Fletcher","005B0000003JbhdIAC","RVP East","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Erica Fletcher/Brandon Thomas/Elliot Shapiro/Admin","Admin","Beth","026B0000000UpRUIA0",,"00EB0000000azEHMAY","Erica Fletcher","Brandon Thomas",,"0DbB0000000DMwuKAG","005B0000003CnfJIAS","Brandon Thomas","0J9B0000000J7WFKA0",,0,300000
